time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
38.0,gneE5,gneJ6,gneJ7,0.5,0.0,38.0,38.0,0.0,2
57.0,gneE10,gneJ7,gneJ14,0.59375,0.0,57.0,57.0,0.0,2
78.0,-gneE10,gneJ14,gneJ7,0.3389830508474576,0.0,40.0,40.0,0.0,2
99.0,gneE10,gneJ7,gneJ14,0.34146341463414637,0.0,42.0,42.0,0.0,2
118.0,gneE11,gneJ14,gneJ10,0.7468354430379747,0.0,118.0,118.0,0.0,2
139.0,gneE8,gneJ10,gneJ11,0.776536312849162,0.0,139.0,139.0,0.0,2
159.0,-gneE8,gneJ11,gneJ10,0.205,0.0,41.0,41.0,0.0,2
179.0,gneE8,gneJ10,gneJ11,0.3333333333333333,0.0,40.0,40.0,0.0,2
199.0,gneE9,gneJ11,gneJ12,0.8326359832635983,0.0,199.0,199.0,0.0,2
221.0,-gneE9,gneJ12,gneJ11,1.0,0.0,42.0,42.0,0.0,1
240.0,gneE9,gneJ11,gneJ12,0.3360655737704918,0.0,41.0,41.0,0.0,2
260.0,-gneE9,gneJ12,gneJ11,1.0,0.0,39.0,39.0,0.0,1
280.0,-gneE8,gneJ11,gneJ10,0.7515527950310559,0.0,121.0,121.0,0.0,2
300.0,-gneE11,gneJ10,gneJ14,0.8340248962655602,0.0,201.0,201.0,0.0,2
321.0,gneE11,gneJ14,gneJ10,0.1443661971830986,0.0,41.0,41.0,0.0,2
341.0,-gneE11,gneJ10,gneJ14,0.3360655737704918,0.0,41.0,41.0,0.0,2
360.0,-gneE10,gneJ14,gneJ7,0.8785046728971962,0.0,282.0,282.0,0.0,2
380.0,-gneE5,gneJ7,gneJ6,0.9027431421446384,0.0,362.0,362.0,0.0,2
401.0,gneE5,gneJ6,gneJ7,0.09276018099547512,0.0,41.0,41.0,0.0,2
422.0,-gneE5,gneJ7,gneJ6,0.34146341463414637,0.0,42.0,42.0,0.0,2
441.0,-gneE4,gneJ6,gneJ5,0.9168399168399168,0.0,441.0,441.0,0.0,2
459.0,-gneE3,gneJ5,gneJ4,0.9254032258064516,0.0,459.0,459.0,0.0,2
479.0,-gneE2,gneJ4,gneJ3,0.9264990328820116,0.0,479.0,479.0,0.0,2
498.0,-gneE1,gneJ3,gneJ2,0.9273743016759777,0.0,498.0,498.0,0.0,2
520.0,gneE1,gneJ2,gneJ3,1.0,0.0,41.0,41.0,0.0,1
540.0,-gneE1,gneJ3,gneJ2,0.34146341463414637,0.0,42.0,42.0,0.0,2
561.0,gneE1,gneJ2,gneJ3,1.0,0.0,41.0,41.0,0.0,1
579.0,gneE2,gneJ3,gneJ4,0.7547169811320755,0.0,120.0,120.0,0.0,2
600.0,-gneE2,gneJ4,gneJ3,0.19696969696969696,0.0,39.0,39.0,0.0,2
620.0,gneE2,gneJ3,gneJ4,0.33884297520661155,0.0,41.0,41.0,0.0,2
639.0,gneE3,gneJ4,gneJ5,0.8354430379746836,0.0,198.0,198.0,0.0,2
658.0,-gneE3,gneJ5,gneJ4,0.1386861313868613,0.0,38.0,38.0,0.0,2
