time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
30.0,19to24,19,24,0.3333333333333333,0.0,30.0,30.0,0.0,3
45.0,24to19,24,19,0.43936870694531266,-0.2437245180991989,45.0,30.0,15.0,2
61.0,19to24,19,24,0.3333333333333333,0.0,30.0,31.0,-1.0,3
76.0,24to19,24,19,0.44538080969884514,-0.219352066289279,30.0,31.0,-1.0,2
91.0,19to24,19,24,0.3333333333333333,0.0,31.0,30.0,1.0,3
106.0,24to19,24,19,0.4556976916339124,-0.17767517369431599,31.0,30.0,1.0,2
122.0,19to18,19,18,0.3333333333333333,0.0,122.0,122.0,0.0,3
137.0,18to17,18,17,0.25,0.0,137.0,137.0,0.0,4
154.0,17to18,17,18,0.17785119594191898,-0.4323618940259931,154.0,32.0,122.0,4
169.0,18to17,18,17,0.17983456570596476,-0.41885643151417706,137.0,32.0,105.0,4
185.0,17to18,17,18,0.19018240040643405,-0.35021313416105443,32.0,31.0,1.0,4
200.0,18to17,18,17,0.19187292733355246,-0.3392737095264834,32.0,31.0,1.0,4
217.0,17to18,17,18,0.1956347417139141,-0.315191820744949,31.0,32.0,-1.0,4
231.0,18to17,18,17,0.19718868844697984,-0.30534633857383503,31.0,31.0,0.0,4
246.0,17to18,17,18,0.18957212815186303,-0.3541804807835386,32.0,29.0,3.0,4
260.0,18to17,18,17,0.27034650536491367,0.1057470215060714,29.01978,29.0,0.019780000000000797,4
276.0,17to18,17,18,0.1303552659704267,-0.7992089496295203,29.99259,30.0,-0.007410000000000139,4
293.0,18to13,18,13,0.24321783154502874,0.0,293.0,293.0,0.0,4
310.0,13to14,13,14,0.25,0.0,310.0,310.0,0.0,4
327.0,14to19,14,19,0.247338695235223,-0.4197095184700861,327.0,221.0,106.0,3
343.0,19to14,19,14,0.22980038383084436,-0.5162915067731273,343.0,33.0,310.0,3
359.0,14to19,14,19,0.18170043419885845,-0.8117219413161376,221.0,32.0,189.0,3
374.0,19to18,19,18,0.3241214892033133,-0.2669375073494693,122.0,98.0,24.0,3
390.0,18to13,18,13,0.16656802410028373,-0.4750303193307466,293.0,97.0,196.0,4
405.0,13to14,13,14,0.16870671413407473,-0.4962085871548484,310.0,62.0,248.0,4
420.0,14to19,14,19,0.2521897771983106,-0.3938201641858764,32.0,61.0,-29.0,3
435.0,19to14,19,14,0.2524420164328138,-0.517071226466363,33.0,30.0,3.0,3
451.0,14to19,14,19,0.2111097154781901,-0.6251020973401539,61.0,31.0,30.0,3
466.0,19to18,19,18,0.3044795491050001,-0.35839039580174925,98.0,92.0,6.0,3
482.0,18to13,18,13,0.15912647197247803,-0.5296239707769738,97.0,92.0,5.0,4
498.0,13to14,13,14,0.17578061637282544,-0.44658772843936356,62.0,63.0,-1.0,4
515.0,14to19,14,19,0.20180215039879662,-0.6819215540390147,63.69678000000002,64.0,-0.30321999999998184,3
531.0,19to24,19,24,0.5849324742780769,0.6016157159698354,30.0,440.0,-410.0,3
545.0,24to19,24,19,0.4743340378633237,-0.10275416330775003,30.0,30.0,0.0,2
562.0,19to14,19,14,0.26143572473146415,-0.11272805135811059,30.0,64.0,-34.0,3
577.0,14to19,14,19,0.22430885283923077,-0.5475833446705707,35.16939,32.0,3.16939,3
593.0,19to24,19,24,0.47822861983730836,0.3779721914261347,65.36979,62.0,3.3697899999999947,3
610.0,24to19,24,19,0.39974454504752704,-0.4065296171498587,32.96979,33.0,-0.03020999999999674,2
626.0,19to24,19,24,0.43421724077582585,0.20044758875327529,36.23669999999999,33.0,3.236699999999992,3
642.0,24to23,24,23,0.6002554549524729,0.0,642.0,642.0,0.0,2
657.0,23to24,23,24,0.2187973360350468,-0.5795415333990089,657.0,31.0,626.0,3
