time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
31.0,17to12,17,12,0.25,0.0,31.0,31.0,0.0,4
47.0,12to11,12,11,0.25,0.0,47.0,47.0,0.0,4
63.0,11to10,11,10,0.25,0.0,63.0,63.0,0.0,4
80.0,10to5,10,5,0.3333333333333333,0.0,80.0,80.0,0.0,3
96.0,5to0,5,0,0.3333333333333333,0.0,96.0,96.0,0.0,3
113.0,0to1,0,1,0.39940762344340247,-0.4079339543837931,113.0,20.0,93.0,2
129.0,1to2,1,2,0.24687139135805805,-0.42222130940062297,129.0,20.0,109.0,3
144.0,2to1,2,1,0.24472024400014772,-0.43382534090445335,144.0,20.0,124.0,3
160.0,1to2,1,2,0.26818874232532913,-0.31068446040456615,20.0,22.0,-2.0,3
177.0,2to1,2,1,0.2844190205548733,-0.22949901557059796,20.0,25.0,-5.0,3
192.0,1to2,1,2,0.32245668096404373,-0.04935750506470493,22.0,32.0,-10.0,3
210.0,2to1,2,1,0.3336434143021555,0.001395040154445415,25.0,33.0,-8.0,3
225.0,1to2,1,2,0.32356498529129657,-0.04428922574356212,32.0,33.0,-1.0,3
240.0,2to1,2,1,0.3119771065614057,-0.0977451234550291,33.0,30.0,3.0,3
256.0,1to2,1,2,0.4094232453425319,0.32679702154839707,31.01778,31.0,0.017779999999998353,3
273.0,2to1,2,1,0.2483468283016303,-0.4143015587637451,32.97194999999999,33.0,-0.028050000000007458,3
288.0,1to2,1,2,0.34731080386052904,0.06226619503912051,31.901580000000006,32.0,-0.09841999999999373,3
303.0,2to1,2,1,0.28736396832221067,-0.21507404040966477,30.29697,30.0,0.29697000000000173,3
318.0,1to2,1,2,0.3791437497516982,0.19996302661909787,30.189870000000006,30.0,0.1898700000000062,3
334.0,2to1,2,1,0.2436466128397348,-0.4396426622881796,30.9294,31.0,-0.07059999999999889,3
351.0,1to2,1,2,0.34524422054187276,0.05313692246893792,32.71869,33.0,-0.28130999999999773,3
367.0,2to1,2,1,0.22424075896129028,-0.5479747436458855,32.79267,33.0,-0.2073299999999989,3
382.0,1to2,1,2,0.37954780300043345,0.2016791703814571,31.171589999999995,31.0,0.1715899999999948,3
398.0,2to1,2,1,0.27973926711139385,-0.252608114453562,31.178970000000003,31.0,0.17897000000000318,3
414.0,1to2,1,2,0.3185631358138596,-0.06723573987580822,31.916880000000003,32.0,-0.08311999999999742,3
429.0,2to1,2,1,0.36954420376687086,0.15897450121704748,31.017599999999998,31.0,0.01759999999999806,3
444.0,1to2,1,2,0.3612118700869186,0.12303903016696549,30.191400000000005,30.0,0.19140000000000512,3
460.0,2to1,2,1,0.5109079776769414,0.7367860152427197,31.001490000000008,31.0,0.0014900000000075408,3
477.0,1to2,1,2,0.34540226236546223,0.05383599028049689,32.71887,33.0,-0.28112999999999744,3
493.0,2to1,2,1,0.45368213671024904,0.5073430204358318,32.799870000000006,33.0,-0.20012999999999437,3
510.0,1to6,1,6,0.32729886881726883,0.0,510.0,510.0,0.0,3
527.0,6to1,6,1,0.16152284905731462,-0.5483284294182125,527.0,34.0,493.0,4
544.0,1to6,1,6,0.21834876467313621,-0.5548876068808278,510.0,34.0,476.0,3
560.0,6to1,6,1,0.17754919844687966,-0.4344286315831224,34.0,33.0,1.0,4
576.0,1to0,1,0,0.2575855393562108,-0.5703143158031797,576.0,11.0,565.0,3
592.0,0to1,0,1,0.47164658175137303,-0.11353547488996651,20.0,32.0,-12.0,2
609.0,1to0,1,0,0.2686418173610946,-0.5132828842228617,11.0,12.0,-1.0,3
624.0,0to1,0,1,0.4757521587309686,-0.09706750832432266,32.0,32.0,0.0,2
641.0,1to6,1,6,0.3570514993135142,-0.08508537355359175,34.0,97.0,-63.0,3
657.0,6to1,6,1,0.15311210193822128,-0.6117856999565585,33.0,13.0,20.0,4
674.0,1to2,1,2,0.48996184598358106,0.37655119351112154,180.57159000000001,197.0,-16.428409999999985,3
690.0,2to1,2,1,0.43649914854565003,0.43776476070865167,18.57969,17.0,1.5796899999999994,3
706.0,1to2,1,2,0.43154561016950266,0.14116133086595303,46.85688,32.0,14.856879999999997,3
721.0,2to1,2,1,0.4343680674367011,0.42909586604910605,29.757690000000004,31.0,-1.2423099999999963,3
736.0,1to2,1,2,0.4324414469298661,0.1448122186312349,31.685400000000005,30.0,1.685400000000005,3
753.0,2to1,2,1,0.39112465393920526,0.25055993727795767,31.77549000000001,32.0,-0.22450999999999155,3
768.0,1to2,1,2,0.35260132159005825,-0.19091507652920958,31.968270000000008,32.0,-0.031729999999992486,3
783.0,2to1,2,1,0.413420196467552,0.3433029549147969,30.17727000000001,30.0,0.1772700000000107,3
799.0,1to6,1,6,0.49513217524199044,0.3345105502190986,97.0,158.0,-61.0,3
816.0,6to7,6,7,0.28229596602059287,0.0,816.0,816.0,0.0,4
833.0,7to8,7,8,0.25,0.0,833.0,833.0,0.0,4
850.0,8to13,8,13,0.25,0.0,850.0,850.0,0.0,4
866.0,13to18,13,18,0.25,0.0,866.0,866.0,0.0,4
882.0,18to19,18,19,0.25,0.0,882.0,882.0,0.0,4
899.0,19to24,19,24,0.3333333333333333,0.0,899.0,899.0,0.0,3
916.0,24to23,24,23,0.5,0.0,916.0,916.0,0.0,2
933.0,23to18,23,18,0.21384595794780814,-0.6087496417706192,933.0,67.0,866.0,3
951.0,18to19,18,19,0.15424622413757436,-0.603065799859303,882.0,69.0,813.0,4
967.0,19to24,19,24,0.21447082866015918,-0.6050366815369904,899.0,68.0,831.0,3
981.0,24to19,24,19,0.350423937824977,-0.6171762656290852,981.0,30.0,951.0,2
999.0,19to14,19,14,0.3927645856699204,0.0,999.0,999.0,0.0,3
1014.0,14to13,14,13,0.21412825413694675,-0.6070712714535926,1014.0,164.0,850.0,3
1029.0,13to18,13,18,0.15488531044573076,-0.5981751463362956,866.0,96.0,770.0,4
1045.0,18to19,18,19,0.1503389621378093,-0.6333327100051044,69.0,64.0,5.0,4
1061.0,19to14,19,14,0.25892802412941934,-0.6158414954014579,999.0,62.0,937.0,3
1077.0,14to13,14,13,0.16794866715949555,-0.9070885763931235,164.0,63.0,101.0,3
1094.0,13to18,13,18,0.13099462648981505,-0.7935807169360627,96.0,65.0,31.0,4
1108.0,18to19,18,19,0.1663649588354089,-0.5129994951041346,64.0,63.0,1.0,4
1125.0,19to14,19,14,0.28482572292265373,-0.4849426278053176,62.0,64.0,-2.0,3
1141.0,14to13,14,13,0.18100891723221763,-0.8163797187538111,63.0,64.0,-1.0,3
1156.0,13to18,13,18,0.13701726144527698,-0.7416754866983407,65.0,62.0,3.0,4
1173.0,18to19,18,19,0.12393875927988884,-0.8570361424899275,64.98080999999999,65.0,-0.019190000000008922,4
1190.0,19to24,19,24,0.37285716072822916,-0.04019050169136662,68.0,223.0,-155.0,3
1206.0,24to23,24,23,0.5094075726976782,-0.5795415333990089,916.0,290.0,626.0,2
1224.0,23to18,23,18,0.2242581666159775,-0.5478746775935572,67.0,68.0,-1.0,3
1242.0,18to19,18,19,0.12336525692078538,-0.8623286090588664,68.59746000000001,69.0,-0.4025399999999877,4
1259.0,19to24,19,24,0.2553506543393977,-0.5904872873657547,223.0,69.0,154.0,3
1274.0,24to19,24,19,0.5233324445980579,-0.48614392101018217,30.0,32.0,-2.0,2
1290.0,19to24,19,24,0.2715840404565251,-0.5068121976372972,31.517819999999997,31.0,0.5178199999999968,3
1306.0,24to23,24,23,0.3880498800768733,-0.941660808547641,290.0,100.0,190.0,2
