time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
38.0,-gneE2,gneJ4,gneJ3,0.5,0.0,38.0,38.0,0.0,2
57.0,-gneE1,gneJ3,gneJ2,0.5,0.0,57.0,57.0,0.0,2
79.0,gneE1,gneJ2,gneJ3,1.0,-0.32738275437537473,79.0,41.0,38.0,1
99.0,-gneE1,gneJ3,gneJ2,0.42486896323818085,-0.30281710526395406,57.0,42.0,15.0,2
120.0,gneE1,gneJ2,gneJ3,1.0,-0.29464447893783724,41.0,41.0,0.0,1
140.0,-gneE1,gneJ3,gneJ2,0.42593272458660536,-0.29846518371208236,42.0,41.0,1.0,2
160.0,gneE1,gneJ2,gneJ3,1.0,-0.23866202793964816,41.0,40.0,1.0,1
181.0,-gneE1,gneJ3,gneJ2,0.4276877017304218,-0.2912915579951407,41.0,41.0,0.0,2
202.0,gneE1,gneJ2,gneJ3,1.0,-0.1454811070896888,40.0,42.0,-2.0,1
223.0,-gneE1,gneJ3,gneJ2,0.3244599670780647,-0.7333502592619492,41.98967999999999,42.0,-0.010320000000007212,2
242.0,gneE1,gneJ2,gneJ3,1.0,0.245288322630283,40.01769,40.0,0.01769000000000176,1
262.0,-gneE1,gneJ3,gneJ2,0.39151281167592994,-0.4409576182023691,39.298590000000004,39.0,0.29859000000000435,2
282.0,gneE1,gneJ2,gneJ3,1.0,0.7900990151432222,40.0014,40.0,0.0013999999999967372,1
301.0,-gneE1,gneJ3,gneJ2,0.5256201836728218,0.10257056654337014,39.02949,39.0,0.02949000000000268,2
321.0,gneE1,gneJ2,gneJ3,1.0,0.8659250660165245,39.099779999999996,39.0,0.09977999999999554,1
342.0,-gneE1,gneJ3,gneJ2,0.5030835126985228,0.01233420716136395,40.80258,41.0,-0.19742000000000104,2
362.0,gneE1,gneJ2,gneJ3,1.0,0.6146414934327165,40.809599999999996,41.0,-0.1904000000000039,1
382.0,-gneE1,gneJ3,gneJ2,0.5862256912145041,0.34838417670441396,40.07988,40.0,0.07988000000000284,2
402.0,gneE1,gneJ2,gneJ3,1.0,0.7873860502279104,40.0806,40.0,0.0805999999999969,1
424.0,-gneE1,gneJ3,gneJ2,0.5556495809173243,0.2235243620902964,41.807610000000004,42.0,-0.19238999999999606,2
445.0,gneE1,gneJ2,gneJ3,1.0,0.6068847989172054,42.707699999999996,43.0,-0.29230000000000445,1
466.0,-gneE1,gneJ3,gneJ2,0.4664386341057199,-0.134447622924163,41.98041,42.0,-0.019590000000000884,2
486.0,gneE1,gneJ2,gneJ3,1.0,0.6508360054005933,41.17041,41.0,0.17040999999999684,1
508.0,-gneE1,gneJ3,gneJ2,0.3393428169717136,-0.6662242155637823,41.997690000000006,42.0,-0.002309999999994261,2
529.0,gneE1,gneJ2,gneJ3,1.0,0.41609474783544687,42.81669,43.0,-0.18330999999999875,1
548.0,-gneE1,gneJ3,gneJ2,0.4208179103986866,-0.3194166946914715,40.199400000000004,40.0,0.19940000000000424,2
568.0,gneE1,gneJ2,gneJ3,1.0,0.4238119388373886,39.381299999999996,39.0,0.381299999999996,1
588.0,-gneE1,gneJ3,gneJ2,0.5428354218150058,0.17176273002921422,40.019580000000005,40.0,0.019580000000004816,2
608.0,gneE1,gneJ2,gneJ3,1.0,0.1200563962663233,39.93777,40.0,-0.06222999999999956,1
628.0,-gneE1,gneJ3,gneJ2,0.6772861259159986,0.7413277297247978,40.00158,40.0,0.0015799999999970282,2
649.0,gneE1,gneJ2,gneJ3,1.0,-0.04538090533843203,40.893390000000004,41.0,-0.10660999999999632,1
670.0,-gneE1,gneJ3,gneJ2,0.6229409487174737,0.5020499190460879,41.79978,42.0,-0.20022000000000162,2
690.0,gneE1,gneJ2,gneJ3,1.0,-0.44386171706690036,40.98897,41.0,-0.011029999999998097,1
709.0,-gneE1,gneJ3,gneJ2,0.6085542125495256,0.44123896867277834,39.2796,39.0,0.27960000000000207,2
731.0,gneE1,gneJ2,gneJ3,1.0,-1.0084557592389825,40.99851,41.0,-0.0014899999999968827,1
752.0,-gneE1,gneJ3,gneJ2,0.5504609023971982,0.2025331013198744,42.6276,43.0,-0.37239999999999895,2
773.0,gneE1,gneJ2,gneJ3,1.0,-1.118129293837993,41.899499999999996,42.0,-0.10050000000000381,1
