time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
41.0,gneE11,gneJ14,gneJ10,0.5,0.0,41.0,41.0,0.0,2
62.0,-gneE11,gneJ10,gneJ14,0.43413511793942583,-0.26499950812497963,62.0,43.0,19.0,2
84.0,gneE11,gneJ14,gneJ10,0.5173217448321853,0.06931471805599453,41.0,43.0,-2.0,2
106.0,-gneE11,gneJ10,gneJ14,0.44227980748900075,-0.2319146590971622,43.0,44.0,-1.0,2
128.0,gneE11,gneJ14,gneJ10,0.5155907557182551,0.06238324625039507,43.0,44.0,-1.0,2
150.0,-gneE11,gneJ10,gneJ14,0.44947384902084586,-0.20279678479365842,44.0,44.0,0.0,2
173.0,gneE11,gneJ14,gneJ10,0.5140325444233728,0.05614492162535556,44.0,45.0,-1.0,2
195.0,-gneE11,gneJ10,gneJ14,0.4558196877015513,-0.1771833387598838,44.0,45.0,-1.0,2
217.0,gneE11,gneJ14,gneJ10,0.6165399351823667,0.47488761584514566,44.00847,44.0,0.008470000000002642,2
240.0,-gneE11,gneJ10,gneJ14,0.3167686356716762,-0.7686618979178677,44.99856,45.0,-0.0014400000000023283,2
261.0,gneE11,gneJ14,gneJ10,0.745782638795927,1.0762445349984968,44.00046,44.0,0.0004599999999967963,2
283.0,-gneE11,gneJ10,gneJ14,0.42965441722635633,-0.2832612579854876,43.19946,43.0,0.19946000000000197,2
305.0,gneE11,gneJ14,gneJ10,0.5431082940681008,0.17286234115185528,43.999649999999995,44.0,-0.00035000000000451337,2
327.0,-gneE11,gneJ10,gneJ14,0.37976986346433395,-0.49052515033188837,43.91955,44.0,-0.08044999999999902,2
349.0,gneE11,gneJ14,gneJ10,0.35039634755657256,-0.6172974760674682,43.999559999999995,44.0,-0.0004400000000046589,2
371.0,gneE8,gneJ10,gneJ11,0.620230136535666,0.0,371.0,371.0,0.0,2
392.0,-gneE8,gneJ11,gneJ10,0.3712270216909716,-0.5269564729982185,392.0,43.0,349.0,2
415.0,gneE8,gneJ10,gneJ11,0.49235777893159455,-0.5210964153807528,371.0,44.0,327.0,2
438.0,-gneE8,gneJ11,gneJ10,0.3986724873628871,-0.41099948611311504,43.0,46.0,-3.0,2
461.0,gneE8,gneJ10,gneJ11,0.522697663035853,-0.39967205578668297,44.0,46.0,-2.0,2
484.0,-gneE8,gneJ11,gneJ10,0.39942335293526643,-0.4078683828015384,46.0,46.0,0.0,2
507.0,gneE8,gneJ10,gneJ11,0.5326585119630626,-0.3597048502080147,46.0,46.0,0.0,2
528.0,-gneE8,gneJ11,gneJ10,0.3875355385157554,-0.4576833617821879,46.0,44.0,2.0,2
551.0,gneE8,gneJ10,gneJ11,0.6351033038019991,0.06364822907354664,44.01936,44.0,0.019359999999998934,2
574.0,-gneE8,gneJ11,gneJ10,0.30893919267785935,-0.8050833488327389,45.98154,46.0,-0.01845999999999748,2
595.0,gneE8,gneJ10,gneJ11,0.7548997731395866,0.634392623179752,44.00154,44.0,0.0015399999999985425,2
618.0,-gneE8,gneJ11,gneJ10,0.40329911691537956,-0.3917374422443911,44.19774,44.0,0.19774000000000314,2
638.0,gneE8,gneJ10,gneJ11,0.7706261459636236,0.7213249878733762,43.09974,43.0,0.09973999999999705,2
658.0,-gneE8,gneJ11,gneJ10,0.47280290331751634,-0.1088958693601782,40.41936,40.0,0.4193599999999975,2
680.0,gneE8,gneJ10,gneJ11,0.7813949178543457,0.7832887042902983,42.10955999999999,42.0,0.10955999999998767,2
700.0,-gneE8,gneJ11,gneJ10,0.4482313937439569,-0.2078191638610874,41.84154,42.0,-0.15845999999999805,2
723.0,gneE8,gneJ10,gneJ11,0.7219321994814807,0.46354110690373734,42.91056,43.0,-0.0894400000000033,2
745.0,-gneE8,gneJ11,gneJ10,0.4358259334209737,-0.2581199042078204,44.68374,45.0,-0.31625999999999976,2
768.0,gneE8,gneJ10,gneJ11,0.6794689947451786,0.2608074407578258,44.790659999999995,45.0,-0.20934000000000452,2
790.0,-gneE8,gneJ11,gneJ10,0.36549136960797796,-0.5516082225932364,44.96796,45.0,-0.03204000000000207,2
811.0,gneE8,gneJ10,gneJ11,0.7019871525554321,0.36625335451717245,43.178670000000004,43.0,0.17867000000000388,2
833.0,-gneE8,gneJ11,gneJ10,0.4417137538219422,-0.23420976033461433,43.196400000000004,43.0,0.19640000000000413,2
854.0,gneE8,gneJ10,gneJ11,0.759765294823841,0.6608680289468418,43.01748,43.0,0.017479999999999052,2
876.0,-gneE8,gneJ11,gneJ10,0.5707614698184491,0.2849586024358346,43.01928,43.0,0.019280000000001962,2
898.0,gneE8,gneJ10,gneJ11,0.7069754326004875,0.3902143128819385,43.90137,44.0,-0.09863,2
920.0,-gneE8,gneJ11,gneJ10,0.5154232190918593,0.061712454526334726,43.90155,44.0,-0.0984499999999997,2
942.0,gneE8,gneJ10,gneJ11,0.5961702633330627,-0.10099219256603342,43.98975,44.0,-0.010249999999999204,2
965.0,-gneE8,gneJ11,gneJ10,0.45647208326121247,-0.17455352568558952,44.88975,45.0,-0.11025000000000063,2
986.0,gneE8,gneJ10,gneJ11,0.4365007506326056,-0.7459010567805214,43.99857,44.0,-0.0014299999999991542,2
1009.0,-gneE8,gneJ11,gneJ10,0.4970571444035017,-0.011771558315772375,44.08857,44.0,0.08856999999999715,2
1031.0,-gneE11,gneJ10,gneJ14,0.6733567535848662,-0.022494358885271848,637.99155,704.0,-66.00845000000004,2
1054.0,gneE11,gneJ14,gneJ10,0.3127005258288832,-0.7875241670240914,44.899559999999994,45.0,-0.10044000000000608,2
1078.0,-gneE11,gneJ10,gneJ14,0.589173989753262,-0.3853493103207245,106.09874999999998,47.0,59.09874999999998,2
1098.0,gneE11,gneJ14,gneJ10,0.37982432489032814,-0.49029394194975395,44.08955999999999,44.0,0.08955999999999165,2
1121.0,-gneE11,gneJ10,gneJ14,0.566597781565527,-0.4779175925026009,49.30947,43.0,6.3094699999999975,2
1144.0,gneE11,gneJ14,gneJ10,0.34254240608940834,-0.6519848025807276,45.80856,46.0,-0.19144000000000005,2
1166.0,-gneE11,gneJ10,gneJ14,0.6069782441615875,-0.31127307664678644,45.43055999999999,45.0,0.4305599999999927,2
1189.0,gneE11,gneJ14,gneJ10,0.41156659442883237,-0.3574929203036922,45.08046,45.0,0.0804600000000022,2
1210.0,-gneE11,gneJ10,gneJ14,0.6612850443231955,-0.07687499289199452,44.14266,44.0,0.14265999999999934,2
1231.0,gneE11,gneJ14,gneJ10,0.4508210481925984,-0.19735387614138897,42.30765,42.0,0.3076500000000024,2
1254.0,-gneE11,gneJ10,gneJ14,0.7537978931070403,0.37307045765764857,44.00793,44.0,0.007930000000001769,2
1276.0,gneE11,gneJ14,gneJ10,0.4321109823453432,-0.27324354934946504,44.730360000000005,45.0,-0.26963999999999544,2
1298.0,-gneE11,gneJ10,gneJ14,0.8531180598117412,1.0133677504128504,44.00037,44.0,0.0003699999999966508,2
1319.0,gneE11,gneJ14,gneJ10,0.5298830464296919,0.11967481394895657,43.17264000000001,43.0,0.17264000000000834,2
1340.0,-gneE11,gneJ10,gneJ14,0.8498387984567908,0.9874362318447578,42.19965,42.0,0.19964999999999833,2
1362.0,gneE11,gneJ14,gneJ10,0.6553579550627248,0.642675255143145,43.016850000000005,43.0,0.01685000000000514,2
1383.0,-gneE11,gneJ10,gneJ14,0.8090151353361398,0.697722386491116,42.91956,43.0,-0.08044000000000295,2
1406.0,gneE11,gneJ14,gneJ10,0.6018416509827987,0.41314458446298075,43.90128,44.0,-0.09872000000000014,2
1427.0,-gneE11,gneJ10,gneJ14,0.7669098758686929,0.4450430579308283,43.89155999999999,44.0,-0.10844000000000875,2
1449.0,gneE11,gneJ14,gneJ10,0.6529298642013825,0.6319428380167641,43.08975,43.0,0.08975000000000222,2
1471.0,-gneE11,gneJ10,gneJ14,0.6808425966006896,0.011745678297686024,43.98876,44.0,-0.011240000000000805,2
1491.0,gneE11,gneJ14,gneJ10,0.6712460598949891,0.7138262074727708,42.10856999999999,42.0,0.10856999999999317,2
1514.0,-gneE11,gneJ10,gneJ14,0.7489221235363978,0.3469707916094999,43.098479999999995,43.0,0.09847999999999502,2
1536.0,gneE11,gneJ14,gneJ10,0.6344733689107441,0.5514561758888976,44.71047,45.0,-0.2895299999999992,2
1557.0,gneE8,gneJ10,gneJ11,0.34936781787854015,-0.27484839986019494,518.2994699999999,571.0,-52.70053000000007,2
1577.0,gneE9,gneJ11,gneJ12,0.5029428555964983,0.0,1577.0,1577.0,0.0,2
1600.0,-gneE9,gneJ12,gneJ11,1.0,-0.6615464554650599,1600.0,43.0,1557.0,1
1621.0,-gneE8,gneJ11,gneJ10,0.5407245153758805,0.16325972104197173,80.90847000000001,85.0,-4.091529999999992,2
1644.0,gneE8,gneJ10,gneJ11,0.29163391578357317,-0.5404909339102524,91.42956,44.0,47.429559999999995,2
1666.0,gneE9,gneJ11,gneJ12,0.2808729133135114,-0.7768760745968166,1577.0,89.0,1488.0,2
1689.0,-gneE9,gneJ12,gneJ11,1.0,-0.510567418363572,43.0,45.0,-2.0,1
1711.0,gneE9,gneJ11,gneJ12,0.2270114415398826,-1.0620041064906898,89.0,45.0,44.0,2
1734.0,-gneE9,gneJ12,gneJ11,1.0,-0.4440010030282275,45.0,45.0,0.0,1
1755.0,gneE9,gneJ11,gneJ12,0.24906125224771386,-0.9403655073040538,45.0,44.0,1.0,2
1778.0,-gneE9,gneJ12,gneJ11,1.0,-0.33017243280478836,45.0,44.0,1.0,1
1799.0,-gneE8,gneJ11,gneJ10,0.7937324573603024,0.40720686487464275,168.29046,178.0,-9.709540000000004,2
1820.0,-gneE11,gneJ10,gneJ14,0.7741813426484035,0.6915829289875097,279.70947,306.0,-26.29052999999999,2
1842.0,gneE11,gneJ14,gneJ10,0.6749451742847233,0.7306376016808864,43.17066,43.0,0.17065999999999804,2
1866.0,-gneE11,gneJ10,gneJ14,0.7208979804528094,0.40842931962851237,69.37056,46.0,23.370559999999998,2
1889.0,gneE11,gneJ14,gneJ10,0.6457681103116932,0.6004887226792116,46.616670000000006,47.0,-0.38332999999999373,2
1910.0,-gneE11,gneJ10,gneJ14,0.7101125129253637,0.3554396203853904,46.53666,44.0,2.5366599999999977,2
1932.0,gneE11,gneJ14,gneJ10,0.6552465146520517,0.6421818966715998,43.36128,43.0,0.3612800000000007,2
1955.0,-gneE11,gneJ10,gneJ14,0.7527085940874205,0.5726198034888094,45.15327,45.0,0.15326999999999913,2
1977.0,gneE11,gneJ14,gneJ10,0.6110495336819152,0.4517260261741366,44.83575,45.0,-0.16425000000000267,2
1998.0,-gneE11,gneJ10,gneJ14,0.7728044946048378,0.6837242609115896,43.21494,43.0,0.21493999999999858,2
