time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
31.0,12to11,12,11,0.5081967213114754,0.0,31.0,31.0,0.0,4
48.0,11to6,11,6,0.6153846153846154,0.0,48.0,48.0,0.0,4
63.0,6to11,6,11,0.6065608168875246,-0.3090588484036632,63.0,32.0,31.0,4
79.0,11to6,11,6,0.5535474688533797,-0.25498920096505945,48.0,31.0,17.0,4
94.0,6to11,6,11,0.45368337946734244,-0.2503376672069672,32.0,31.0,1.0,4
110.0,11to6,11,6,0.4509828275725378,-0.2294902808685535,31.0,31.0,0.0,4
125.0,6to11,6,11,0.45201957535351484,-0.22530390048627047,31.0,31.0,0.0,4
141.0,11to6,11,6,0.4566710944160911,-0.20654125278169816,31.0,31.0,0.0,4
156.0,6to11,6,11,0.45760610800188056,-0.2027735104376434,31.0,31.0,0.0,4
173.0,11to6,11,6,0.3591316673490032,-0.6433512255989193,31.989690000000007,32.0,-0.01030999999999338,4
188.0,6to11,6,11,0.35991249162389444,-0.6399602574892701,31.989690000000007,32.0,-0.01030999999999338,4
203.0,11to6,11,6,0.4087651627646672,-0.37567364153158495,30.198690000000006,30.0,0.19869000000000625,4
219.0,6to11,6,11,0.4319302618800657,-0.30994835963447326,31.098690000000005,31.0,0.09869000000000483,4
235.0,11to6,11,6,0.3892481110066247,-0.5093586014301699,31.81959,32.0,-0.1804099999999984,4
251.0,6to11,6,11,0.38755903854561413,-0.5192935634943138,31.90959,32.0,-0.09040999999999855,4
267.0,11to6,11,6,0.3112175955121621,-0.858398933260753,31.981679999999997,32.0,-0.01832000000000278,4
282.0,6to11,6,11,0.45788020518897077,-0.2045901256295439,31.090680000000003,31.0,0.09068000000000254,4
298.0,11to6,11,6,0.38931328798905357,-0.4861419623045232,31.097880000000004,31.0,0.09788000000000352,4
315.0,6to11,6,11,0.4353476314066203,-0.34956418119907257,32.80878,33.0,-0.19122000000000128,4
330.0,11to6,11,6,0.3506776353608447,-0.6777683089016941,31.909499999999998,32.0,-0.09050000000000225,4
345.0,6to11,6,11,0.46021926104682787,-0.16876951928316772,30.28059,30.0,0.2805900000000001,4
361.0,11to6,11,6,0.4262313590639689,-0.33295466940952195,31.090680000000003,31.0,0.09068000000000254,4
376.0,6to11,6,11,0.4051049181667241,-0.4146963936681314,30.92778,31.0,-0.0722200000000015,4
390.0,11to6,11,6,0.46121839372866796,-0.1287106030515345,29.20878,29.0,0.20878000000000085,4
406.0,6to11,6,11,0.4703929532454789,-0.12164515151375416,30.092490000000005,30.0,0.09249000000000507,4
423.0,11to12,11,12,0.8788900597301827,-0.2437245180991989,423.0,408.0,15.0,4
439.0,12to11,12,11,0.5255039817677791,0.06931471805599453,31.0,33.0,-2.0,4
453.0,11to12,11,12,0.8131386241468522,-0.719046030657007,408.0,30.0,378.0,4
470.0,12to11,12,11,0.5222532530102474,-0.006238324625039511,33.0,31.0,2.0,4
485.0,11to12,11,12,0.26927266364406355,-0.5778267095353118,30.0,32.0,-2.0,4
500.0,12to11,12,11,0.5069337504469598,-0.005053042946282004,31.0,30.0,1.0,4
516.0,11to6,11,6,0.7792159259062291,0.11116055215538992,116.32059000000001,126.0,-9.67940999999999,4
532.0,6to11,6,11,0.44870561353690236,-0.26445286342827734,31.808970000000006,32.0,-0.19102999999999426,4
547.0,11to6,11,6,0.49194957087833197,-0.10290177410392783,39.53177999999999,31.0,8.53177999999999,4
