time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
30.0,2to3,2,3,0.6,0.0,30.0,30.0,0.0,3
46.0,3to4,3,4,0.696969696969697,0.0,46.0,46.0,0.0,3
60.0,4to9,4,9,0.8571428571428571,0.0,60.0,60.0,0.0,2
75.0,9to14,9,14,0.7894736842105263,0.0,75.0,75.0,0.0,3
91.0,14to13,14,13,0.8198198198198198,0.0,91.0,91.0,0.0,3
109.0,13to12,13,12,0.7841726618705036,0.0,109.0,109.0,0.0,4
125.0,12to11,12,11,0.7321826027063647,-0.4213918104411798,125.0,17.0,108.0,4
142.0,11to16,11,16,0.8255813953488372,0.0,142.0,142.0,0.0,4
158.0,16to21,16,21,0.8404255319148937,0.0,158.0,158.0,0.0,4
174.0,21to20,21,20,0.8969072164948454,0.0,174.0,174.0,0.0,3
189.0,20to21,20,21,0.9229789999067475,-0.4556335529724271,189.0,31.0,158.0,2
203.0,21to20,21,20,0.8475375732597888,-0.4479060368178517,174.0,29.0,145.0,3
218.0,20to21,20,21,0.6681779474062302,-0.431446424158061,31.0,29.0,2.0,2
235.0,21to20,21,20,0.5195673395738684,-0.2932542042692555,29.0,32.0,-3.0,3
252.0,20to21,20,21,0.6979073810631691,-0.22735799049884486,29.0,34.0,-5.0,2
268.0,21to20,21,20,0.5513371625448166,-0.26392878384233,32.0,33.0,-1.0,3
284.0,20to21,20,21,0.7265586818357562,-0.24654321855445943,34.0,32.0,2.0,2
300.0,21to20,21,20,0.6651954847946959,0.2162677275374914,32.00841,32.0,0.008409999999997808,3
315.0,20to21,20,21,0.7982327458695391,0.24352173156224424,31.01121,31.0,0.011209999999998388,2
332.0,21to20,21,20,0.7957398211528143,0.8898559527494929,32.00058000000001,32.0,0.0005800000000064642,3
348.0,20to21,20,21,0.7908738470385617,0.1423311555150017,32.80086,33.0,-0.19913999999999987,2
364.0,21to20,21,20,0.6098412890809347,-0.02335130765633564,31.99977,32.0,-0.00022999999999839815,3
380.0,20to15,20,15,0.9094868473084966,0.0,380.0,380.0,0.0,2
397.0,15to20,15,20,0.9229521641295522,-0.5050530745168489,397.0,33.0,364.0,3
413.0,20to15,20,15,0.8558136547858065,-0.5264392301952173,380.0,33.0,347.0,2
428.0,15to20,15,20,0.5137439930432408,-0.44578546303858485,33.0,31.0,2.0,3
442.0,20to15,20,15,0.3345982138425379,-0.5511822689589161,33.0,29.0,4.0,2
456.0,15to20,15,20,0.5009960920472917,-0.4342705574709258,31.0,28.0,3.0,3
472.0,20to21,20,21,0.895454434759882,0.34914743262373216,114.87978000000001,124.0,-9.12021999999999,2
488.0,21to20,21,20,0.42004893867433546,-0.7925661270089528,31.99968,32.0,-0.00031999999999854367,3
