time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
39.0,gneE5,gneJ6,gneJ7,0.975,0.0,39.0,39.0,0.0,2
58.0,gneE10,gneJ7,gneJ14,0.9830508474576272,0.0,58.0,58.0,0.0,2
79.0,-gneE10,gneJ14,gneJ7,0.9827022086013952,-0.3297205481516682,79.0,40.0,39.0,2
100.0,gneE10,gneJ7,gneJ14,0.9783510166942686,-0.24953298500158028,58.0,42.0,16.0,2
120.0,-gneE10,gneJ14,gneJ7,0.9674577012369721,-0.2967484933365014,40.0,41.0,-1.0,2
140.0,-gneE5,gneJ7,gneJ6,0.7048703094302883,-0.2601334582106548,140.0,122.0,18.0,2
159.0,-gneE4,gneJ6,gneJ5,0.5,0.0,159.0,159.0,0.0,2
177.0,-gneE3,gneJ5,gneJ4,0.9943820224719101,0.0,177.0,177.0,0.0,2
197.0,gneE3,gneJ4,gneJ5,0.9920531601683257,-0.4562013781998208,197.0,38.0,159.0,2
216.0,-gneE3,gneJ5,gneJ4,0.9912741123704514,-0.44345283166414845,177.0,39.0,138.0,2
237.0,gneE3,gneJ4,gneJ5,0.964302336615404,-0.3412665223238442,38.0,40.0,-2.0,2
257.0,-gneE3,gneJ5,gneJ4,0.9655692849852477,-0.32979283044173907,39.0,41.0,-2.0,2
278.0,gneE3,gneJ4,gneJ5,0.9671289524821625,-0.30713987009145977,40.0,41.0,-1.0,2
297.0,-gneE3,gneJ5,gneJ4,0.9691247925356488,-0.26713219265780863,41.0,40.0,1.0,2
317.0,gneE3,gneJ4,gneJ5,0.967779629392344,-0.31116654102447744,41.0,39.0,2.0,2
338.0,-gneE3,gneJ5,gneJ4,0.9529439088005294,-0.7051224124006769,40.99041,41.0,-0.009590000000002874,2
358.0,gneE3,gneJ4,gneJ5,0.9540898841599373,-0.679048341611799,40.9815,41.0,-0.01850000000000307,2
378.0,-gneE3,gneJ5,gneJ4,0.9653974986805915,-0.36272970511270625,40.09869,40.0,0.09868999999999772,2
399.0,gneE3,gneJ4,gneJ5,0.9235012942715556,-1.222619783795955,40.99779,41.0,-0.002209999999998047,2
419.0,-gneE3,gneJ5,gneJ4,0.9586979938035635,-0.5666972774290548,40.909499999999994,41.0,-0.0905000000000058,2
440.0,gneE3,gneJ4,gneJ5,0.866419055436181,-1.843896607522381,40.99941,41.0,-0.0005900000000025329,2
460.0,-gneE3,gneJ5,gneJ4,0.9391587632029428,-0.9766257822246067,40.99059,41.0,-0.009410000000002583,2
480.0,gneE3,gneJ4,gneJ5,0.9172390865212108,-1.285953835199655,40.09959,40.0,0.09958999999999918,2
500.0,-gneE3,gneJ5,gneJ4,0.9572500342031648,-0.5826474346700894,40.09869,40.0,0.09868999999999772,2
520.0,gneE3,gneJ4,gneJ5,0.9554567837436061,-0.6233895114038697,40.009589999999996,40.0,0.009589999999995769,2
541.0,-gneE3,gneJ5,gneJ4,0.950109141579743,-0.7646232340306998,40.909499999999994,41.0,-0.0905000000000058,2
561.0,-gneE2,gneJ4,gneJ3,0.9631726265176174,0.0,561.0,561.0,0.0,2
580.0,-gneE1,gneJ3,gneJ2,0.9982788296041308,0.0,580.0,580.0,0.0,2
602.0,gneE1,gneJ2,gneJ3,1.0,-0.5696748814970427,602.0,41.0,561.0,1
622.0,-gneE1,gneJ3,gneJ2,0.9966461756191963,-0.6687335865247769,580.0,42.0,538.0,2
643.0,gneE1,gneJ2,gneJ3,1.0,-0.5127073933473384,41.0,41.0,0.0,1
663.0,-gneE1,gneJ3,gneJ2,0.9570349011521512,-0.6342178895842638,42.0,41.0,1.0,2
683.0,gneE1,gneJ2,gneJ3,1.0,-0.41529298861134406,41.0,40.0,1.0,1
704.0,-gneE1,gneJ3,gneJ2,0.9570296130675384,-0.6102489345439152,41.0,41.0,0.0,2
725.0,gneE1,gneJ2,gneJ3,1.0,-0.30444897169421514,40.0,42.0,-2.0,1
746.0,-gneE1,gneJ3,gneJ2,0.9371392563207132,-1.0355138452932762,41.98967999999999,42.0,-0.010320000000007212,2
765.0,gneE1,gneJ2,gneJ3,1.0,0.11652435230061677,40.01769,40.0,0.01769000000000176,1
785.0,-gneE1,gneJ3,gneJ2,0.9508386491524939,-0.7089520195322487,39.298590000000004,39.0,0.29859000000000435,2
805.0,gneE1,gneJ2,gneJ3,1.0,0.6858001991761924,40.0014,40.0,0.0013999999999967372,1
824.0,-gneE1,gneJ3,gneJ2,0.9715566911821352,-0.13333083481588126,39.02949,39.0,0.02949000000000268,2
844.0,gneE1,gneJ2,gneJ3,1.0,0.762929037822152,39.099779999999996,39.0,0.09977999999999554,1
865.0,-gneE1,gneJ3,gneJ2,0.9706588368369161,-0.2097616767404277,40.80258,41.0,-0.19742000000000104,2
885.0,gneE1,gneJ2,gneJ3,1.0,0.5207733183774517,40.809599999999996,41.0,-0.1904000000000039,1
905.0,-gneE1,gneJ3,gneJ2,0.9790083980051427,0.15154330514648745,40.07988,40.0,0.07988000000000284,2
925.0,gneE1,gneJ2,gneJ3,1.0,0.6758230511169402,40.0806,40.0,0.0805999999999969,1
947.0,-gneE1,gneJ3,gneJ2,0.9774419622585969,0.0357690927726204,41.807610000000004,42.0,-0.19238999999999606,2
968.0,gneE1,gneJ2,gneJ3,1.0,0.48864134913215296,42.707699999999996,43.0,-0.29230000000000445,1
989.0,-gneE1,gneJ3,gneJ2,0.96840166722763,-0.3146604930396514,41.98041,42.0,-0.019590000000000884,2
1009.0,gneE1,gneJ2,gneJ3,1.0,0.5550588110747008,41.17041,41.0,0.17040999999999684,1
1031.0,-gneE1,gneJ3,gneJ2,0.947851379297969,-0.8375146321286816,41.997690000000006,42.0,-0.002309999999994261,2
