time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
37.0,gneE2,gneJ3,gneJ4,0.9736842105263158,0.0,37.0,37.0,0.0,2
57.0,gneE3,gneJ4,gneJ5,0.9776440197914277,-0.26499950812497963,57.0,38.0,19.0,2
77.0,gneE4,gneJ5,gneJ6,0.9871794871794872,0.0,77.0,77.0,0.0,2
98.0,-gneE4,gneJ6,gneJ5,0.9853404981891841,-0.37706892678237824,98.0,32.0,66.0,2
118.0,gneE4,gneJ5,gneJ6,0.9821442947147604,-0.3363902656455032,77.0,35.0,42.0,2
137.0,-gneE4,gneJ6,gneJ5,0.9552736472479557,-0.40430093667385625,32.0,29.0,3.0,2
157.0,gneE4,gneJ5,gneJ6,0.9567159450306211,-0.45962585392404276,35.0,27.0,8.0,2
177.0,-gneE4,gneJ6,gneJ5,0.948585201763375,-0.45225025120661366,29.0,25.0,4.0,2
198.0,gneE4,gneJ5,gneJ6,0.945892528673564,-0.4346801879288697,27.0,25.0,2.0,2
219.0,-gneE4,gneJ6,gneJ5,0.9566931521407309,-0.12370389168033069,25.0,42.0,-17.0,2
239.0,gneE4,gneJ5,gneJ6,0.9579550146491841,-0.0104091323909468,23.022450000000003,23.0,0.022450000000002746,2
260.0,-gneE4,gneJ6,gneJ5,0.9608582388522844,0.05764437209434827,23.173109999999998,23.0,0.17310999999999765,2
280.0,gneE4,gneJ5,gneJ6,0.9645367352753259,0.20748561974852694,22.10193,22.0,0.10192999999999941,2
300.0,gneE5,gneJ6,gneJ7,0.8804459160528568,-0.5064859002321573,300.0,22.0,278.0,2
321.0,-gneE5,gneJ7,gneJ6,0.9948766284546656,-0.502635112442132,321.0,22.0,299.0,2
342.0,gneE5,gneJ6,gneJ7,0.35841933358548544,-0.4726368254384425,22.0,20.0,2.0,2
362.0,-gneE5,gneJ7,gneJ6,0.9288757296922415,-0.5214961244158872,22.0,18.0,4.0,2
382.0,-gneE4,gneJ6,gneJ5,0.9169652179727154,0.300672173779893,112.11705,122.0,-9.882949999999994,2
