time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
30.0,23to24,23,24,1.0,3.0,30.0,30.0,0.0,3
45.0,24to23,24,23,1.0,3.285,45.0,30.0,15.0,2
60.0,23to24,23,24,1.0,6.012075,30.0,30.0,0.0,3
76.0,24to23,24,23,1.0,6.627647125000001,30.0,31.0,-1.0,2
92.0,23to24,23,24,1.0,9.240493976875001,30.0,32.0,-2.0,3
108.0,24to23,24,23,1.0,10.042729340303126,31.0,32.0,-1.0,2
122.0,23to24,23,24,1.0,12.270503866516298,32.0,30.0,2.0,3
137.0,24to23,24,23,1.0,13.104154273591861,32.0,29.0,3.0,2
153.0,23to24,23,24,1.0,15.388348135855896,30.991499999999995,31.0,-0.008500000000005059,3
167.0,24to23,24,23,1.0,16.255631919138985,29.99259,30.0,-0.007410000000000139,2
183.0,23to24,23,24,1.0,18.39379835458851,30.098880000000005,30.0,0.09888000000000474,3
199.0,24to23,24,23,1.0,19.577479570910995,31.79898,32.0,-0.20101999999999975,2
215.0,23to24,23,24,1.0,21.614279078366206,31.809600000000003,32.0,-0.1903999999999968,3
229.0,24to23,24,23,1.0,22.673088126264684,30.17961,30.0,0.17961000000000027,2
244.0,23to24,23,24,1.0,24.50679454252473,29.280690000000003,29.0,0.28069000000000344,3
259.0,24to23,24,23,1.0,25.733924795178066,30.0177,30.0,0.01770000000000138,2
274.0,23to24,23,24,1.0,27.500837943814172,29.927790000000005,30.0,-0.07220999999999478,3
290.0,24to23,24,23,1.0,28.873111920322607,30.901499999999995,31.0,-0.09850000000000492,2
306.0,23to24,23,24,1.0,30.6936997818634,31.792499999999997,32.0,-0.20750000000000313,3
321.0,24to23,24,23,1.0,32.00170220756737,30.98988,31.0,-0.010120000000000573,2
336.0,23to24,23,24,1.0,33.66449151339596,30.178980000000003,30.0,0.1789800000000028,3
352.0,24to23,24,23,1.0,35.09965868058325,30.998700000000007,31.0,-0.0012999999999934175,2
368.0,23to24,23,24,1.0,36.83250993671177,31.81761,32.0,-0.1823900000000016,3
383.0,24to23,24,23,1.0,38.18878125651254,30.999600000000004,31.0,-0.00039999999999551505,2
398.0,23to24,23,24,1.0,39.77719316240929,30.181499999999996,30.0,0.18149999999999622,3
412.0,24to23,24,23,1.0,41.04873648129017,29.199690000000007,29.0,0.19969000000000747,2
428.0,23to24,23,24,1.0,42.69910381189093,30.01788,30.0,0.017880000000001672,3
444.0,24to23,24,23,1.0,44.200277695290794,31.719690000000003,32.0,-0.2803099999999965,2
460.0,23to24,23,24,1.0,45.82821981175446,31.801499999999994,32.0,-0.19850000000000634,3
476.0,24to23,24,23,1.0,47.33393080787839,31.971690000000006,32.0,-0.028309999999994062,2
491.0,23to24,23,24,1.0,48.842121257327456,31.079880000000003,31.0,0.07988000000000284,3
507.0,24to23,24,23,1.0,50.34053924653666,31.09689000000001,31.0,0.09689000000000902,2
522.0,23to24,23,24,1.0,51.84026036001569,31.007700000000003,31.0,0.007700000000003371,3
539.0,24to23,24,23,1.0,53.431310056084484,31.909409999999998,32.0,-0.09059000000000239,2
555.0,23to24,23,24,1.0,55.03220877934215,32.8005,33.0,-0.19950000000000045,3
571.0,24to23,24,23,1.0,56.51623888451354,31.99068,32.0,-0.009319999999998885,2
587.0,23to24,23,24,1.0,58.09803059543672,32.07978,32.0,0.07977999999999952,3
603.0,24to23,24,23,1.0,59.58392790262867,31.998780000000004,32.0,-0.0012199999999964461,2
617.0,23to24,23,24,1.0,60.948700686642766,30.207690000000003,30.0,0.20769000000000304,3
633.0,24to23,24,23,1.0,62.415661677596866,30.199590000000004,30.0,0.19959000000000415,2
