time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
36.0,-gneE2,gneJ4,gneJ3,1.0,3.6,36.0,36.0,0.0,2
55.0,-gneE1,gneJ3,gneJ2,1.0,5.5,55.0,55.0,0.0,2
77.0,gneE1,gneJ2,gneJ3,1.0,4.6225000000000005,77.0,41.0,36.0,1
97.0,-gneE1,gneJ3,gneJ2,1.0,9.5891375,55.0,42.0,13.0,2
118.0,gneE1,gneJ2,gneJ3,1.0,9.1712180625,41.0,41.0,0.0,1
138.0,-gneE1,gneJ3,gneJ2,1.0,13.601489465937501,42.0,41.0,1.0,2
158.0,gneE1,gneJ2,gneJ3,1.0,13.546237755514063,41.0,40.0,1.0,1
179.0,-gneE1,gneJ3,gneJ2,1.0,17.628233106117587,41.0,41.0,0.0,2
200.0,gneE1,gneJ2,gneJ3,1.0,18.066296125043827,40.0,42.0,-2.0,1
221.0,-gneE1,gneJ3,gneJ2,1.0,21.781707927384993,41.98967999999999,42.0,-0.010320000000007212,2
240.0,gneE1,gneJ2,gneJ3,1.0,22.32892876564102,40.01769,40.0,0.01769000000000176,1
260.0,-gneE1,gneJ3,gneJ2,1.0,25.62478536738239,39.298590000000004,39.0,0.29859000000000435,2
280.0,gneE1,gneJ2,gneJ3,1.0,26.530390498978246,40.0014,40.0,0.0013999999999967372,1
299.0,-gneE1,gneJ3,gneJ2,1.0,29.482693928047084,39.02949,39.0,0.02949000000000268,2
319.0,gneE1,gneJ2,gneJ3,1.0,30.578207372244893,39.099779999999996,39.0,0.09977999999999554,1
340.0,-gneE1,gneJ3,gneJ2,1.0,33.53935423560564,40.80258,41.0,-0.19742000000000104,2
360.0,gneE1,gneJ2,gneJ3,1.0,34.80662528740294,40.809599999999996,41.0,-0.1904000000000039,1
380.0,-gneE1,gneJ3,gneJ2,1.0,37.49204821434836,40.07988,40.0,0.07988000000000284,2
400.0,gneE1,gneJ2,gneJ3,1.0,38.88770733902574,40.0806,40.0,0.0805999999999969,1
422.0,-gneE1,gneJ3,gneJ2,1.0,41.63717559012097,41.807610000000004,42.0,-0.19238999999999606,2
443.0,gneE1,gneJ2,gneJ3,1.0,43.254468286184654,42.707699999999996,43.0,-0.29230000000000445,1
464.0,-gneE1,gneJ3,gneJ2,1.0,45.78263251829641,41.98041,42.0,-0.019590000000000884,2
484.0,gneE1,gneJ2,gneJ3,1.0,47.378371546804345,41.17041,41.0,0.17040999999999684,1
506.0,-gneE1,gneJ3,gneJ2,1.0,49.90531456341318,41.997690000000006,42.0,-0.002309999999994261,2
527.0,gneE1,gneJ2,gneJ3,1.0,51.68153927564816,42.81669,43.0,-0.18330999999999875,1
546.0,-gneE1,gneJ3,gneJ2,1.0,53.824529338258436,40.199400000000004,40.0,0.19940000000000424,2
566.0,gneE1,gneJ2,gneJ3,1.0,55.5267156352179,39.381299999999996,39.0,0.381299999999996,1
586.0,-gneE1,gneJ3,gneJ2,1.0,57.71711438977829,40.019580000000005,40.0,0.019580000000004816,2
606.0,gneE1,gneJ2,gneJ3,1.0,59.457169938725045,39.93777,40.0,-0.06222999999999956,1
626.0,-gneE1,gneJ3,gneJ2,1.0,61.593834094979336,40.00158,40.0,0.0015799999999970282,2
647.0,gneE1,gneJ2,gneJ3,1.0,63.46286718387558,40.893390000000004,41.0,-0.10660999999999632,1
668.0,-gneE1,gneJ3,gneJ2,1.0,65.66342306794958,41.79978,42.0,-0.20022000000000162,2
688.0,gneE1,gneJ2,gneJ3,1.0,67.45460565694323,40.98897,41.0,-0.011029999999998097,1
707.0,-gneE1,gneJ3,gneJ2,1.0,69.40526829856422,39.2796,39.0,0.27960000000000207,2
729.0,gneE1,gneJ2,gneJ3,1.0,71.40264557961251,40.99851,41.0,-0.0014899999999968827,1
750.0,-gneE1,gneJ3,gneJ2,1.0,73.54799279877099,42.6276,43.0,-0.37239999999999895,2
771.0,gneE1,gneJ2,gneJ3,1.0,75.4494403375345,41.899499999999996,42.0,-0.10050000000000381,1
792.0,-gneE1,gneJ3,gneJ2,1.0,77.56089035095967,42.0624,42.0,0.06239999999999668,2
813.0,gneE1,gneJ2,gneJ3,1.0,79.47278088712221,41.98959,42.0,-0.010410000000000252,1
834.0,-gneE1,gneJ3,gneJ2,1.0,81.5547155001403,42.005880000000005,42.0,0.00588000000000477,2
855.0,gneE1,gneJ2,gneJ3,1.0,83.47320077092331,41.99859,42.0,-0.0014099999999999113,1
875.0,-gneE1,gneJ3,gneJ2,1.0,85.429198023364,41.100210000000004,41.0,0.10021000000000413,2
895.0,gneE1,gneJ2,gneJ3,1.0,87.24165450605057,40.199490000000004,40.0,0.19949000000000439,1
915.0,-gneE1,gneJ3,gneJ2,1.0,89.1742353991024,40.10967000000001,40.0,0.10967000000000837,2
935.0,gneE1,gneJ2,gneJ3,1.0,90.98904141836023,40.019580000000005,40.0,0.019580000000004816,1
955.0,-gneE1,gneJ3,gneJ2,1.0,92.90077079393637,40.01058,40.0,0.01057999999999737,2
976.0,gneE1,gneJ2,gneJ3,1.0,94.81571050194816,40.901579999999996,41.0,-0.09842000000000439,1
996.0,-gneE1,gneJ3,gneJ2,1.0,96.7181862122278,40.900679999999994,41.0,-0.09932000000000585,2
1016.0,gneE1,gneJ2,gneJ3,1.0,98.52236714191498,40.08978,40.0,0.08977999999999753,1
1037.0,-gneE1,gneJ3,gneJ2,1.0,100.50599246948696,40.98969,41.0,-0.010309999999996933,2
1057.0,gneE1,gneJ2,gneJ3,1.0,102.31819971232474,40.90859999999999,41.0,-0.09140000000000725,1
1077.0,-gneE1,gneJ3,gneJ2,1.0,104.17562219520912,40.0986,40.0,0.09859999999999758,2
1098.0,gneE1,gneJ2,gneJ3,1.0,106.08306384963713,40.9905,41.0,-0.009500000000002728,1
1120.0,-gneE1,gneJ3,gneJ2,1.0,108.13595104140373,42.70949999999999,43.0,-0.29050000000000864,2
1141.0,gneE1,gneJ2,gneJ3,1.0,110.04767281360677,42.79869,43.0,-0.20130999999999943,1
1162.0,-gneE1,gneJ3,gneJ2,1.0,111.97688485455599,42.070589999999996,42.0,0.07058999999999571,2
1183.0,gneE1,gneJ2,gneJ3,1.0,113.8807095934289,42.07949999999999,42.0,0.0794999999999888,1
1204.0,-gneE1,gneJ3,gneJ2,1.0,115.79786378047613,42.006690000000006,42.0,0.00669000000000608,2
1225.0,gneE1,gneJ2,gneJ3,1.0,117.69343569323124,42.00759,42.0,0.00759000000000043,1
1245.0,-gneE1,gneJ3,gneJ2,1.0,119.4989537932855,41.100300000000004,41.0,0.10030000000000427,2
1265.0,gneE1,gneJ2,gneJ3,1.0,121.27649273427024,40.200390000000006,40.0,0.20039000000000584,1
1284.0,-gneE1,gneJ3,gneJ2,1.0,122.97032522371262,39.20967,39.0,0.2096700000000027,2
1305.0,gneE1,gneJ2,gneJ3,1.0,124.83102435709591,40.019670000000005,40.0,0.01967000000000496,1
1326.0,-gneE1,gneJ3,gneJ2,1.0,126.73224001526548,41.72058,42.0,-0.2794200000000018,2
1345.0,gneE1,gneJ2,gneJ3,1.0,128.38748472283655,40.00158,40.0,0.0015799999999970282,1
1363.0,gneE2,gneJ3,gneJ4,0.515871997153444,135.042,1363.0,1347.0,16.0,2
1382.0,gneE3,gneJ4,gneJ5,0.9746121297602257,138.20000000000002,1382.0,1382.0,0.0,2
1401.0,-gneE3,gneJ5,gneJ4,1.0,16.929000000000002,1401.0,38.0,1363.0,2
1422.0,gneE3,gneJ4,gneJ5,0.9730515231297842,129.988255,1382.0,40.0,1342.0,2
1442.0,-gneE3,gneJ5,gneJ4,1.0,31.684984225,38.0,41.0,-3.0,2
1462.0,-gneE2,gneJ4,gneJ3,0.17602354807856843,27.768990000000002,36.0,117.0,-81.0,2
1482.0,gneE2,gneJ3,gneJ4,0.5210764295141769,137.886684225,1347.0,40.0,1307.0,2
1502.0,gneE3,gneJ4,gneJ5,0.8217290963984938,127.999503001375,40.0,80.0,-40.0,2
1521.0,-gneE3,gneJ5,gneJ4,1.0,44.576438587630626,41.0,39.0,2.0,2
1541.0,gneE3,gneJ4,gneJ5,0.8162251307718383,123.33431436706242,80.0,39.0,41.0,2
1562.0,-gneE3,gneJ5,gneJ4,1.0,55.935554593738495,39.0,41.0,-2.0,2
1582.0,gneE3,gneJ4,gneJ5,0.812604351796863,120.41476061676133,41.0166,41.0,0.01659999999999684,2
1602.0,-gneE3,gneJ5,gneJ4,1.0,65.78140139295698,40.00779,40.0,0.007789999999999964,2
1623.0,gneE3,gneJ4,gneJ5,0.8104395917662781,118.72251768741611,41.0013,41.0,0.001300000000000523,2
1643.0,-gneE3,gneJ5,gneJ4,1.0,74.58190043396581,40.90041,41.0,-0.09958999999999918,2
1664.0,gneE3,gneJ4,gneJ5,0.8095464608013965,118.03554645990125,40.99941,41.0,-0.0005900000000025329,2
1684.0,-gneE3,gneJ5,gneJ4,1.0,82.43708730425985,40.98969,41.0,-0.010309999999996933,2
1705.0,gneE3,gneJ4,gneJ5,0.8097134700765666,118.16351510781581,40.99959,41.0,-0.0004100000000022419,2
1725.0,-gneE3,gneJ5,gneJ4,1.0,89.51891250907636,40.998599999999996,41.0,-0.0014000000000038426,2
1745.0,gneE3,gneJ4,gneJ5,0.8106062971028414,118.85146028539648,40.09959,40.0,0.09958999999999918,2
1766.0,-gneE3,gneJ5,gneJ4,1.0,95.95790998528139,40.9995,41.0,-0.0005000000000023874,2
1786.0,gneE3,gneJ4,gneJ5,0.8123099362483323,120.18231570545856,40.909589999999994,41.0,-0.09041000000000565,2
1806.0,-gneE3,gneJ5,gneJ4,1.0,101.77943897877181,40.09959,40.0,0.09958999999999918,2
1827.0,gneE3,gneJ4,gneJ5,0.8145050327639014,121.93313083789603,40.99059,41.0,-0.009410000000002583,2
1847.0,-gneE3,gneJ5,gneJ4,1.0,107.28514251049475,40.909589999999994,41.0,-0.09041000000000565,2
1867.0,gneE3,gneJ4,gneJ5,0.8169490709768868,123.93190629260343,40.09869,40.0,0.09868999999999772,2
1888.0,-gneE3,gneJ5,gneJ4,1.0,112.4301593572426,40.99059,41.0,-0.009410000000002583,2
1908.0,gneE3,gneJ4,gneJ5,0.8197855307800096,126.31958080228114,40.909499999999994,41.0,-0.0905000000000058,2
1927.0,-gneE3,gneJ5,gneJ4,1.0,117.08750359773505,39.19869,39.0,0.19868999999999915,2
1948.0,gneE3,gneJ4,gneJ5,0.8226529365114652,128.81093556383786,40.09059,40.0,0.09058999999999884,2
1968.0,-gneE3,gneJ5,gneJ4,1.0,121.71579211652615,40.81949999999999,41.0,-0.1805000000000092,2
1990.0,gneE3,gneJ4,gneJ5,0.8258580777186849,131.69284225852405,41.80869,42.0,-0.19131000000000142,2
2010.0,-gneE3,gneJ5,gneJ4,1.0,126.25503291943332,41.88159,42.0,-0.11840999999999724,2
2030.0,gneE3,gneJ4,gneJ5,0.8288893854628102,134.5177861600178,40.180499999999995,40.0,0.180499999999995,2
2049.0,-gneE3,gneJ5,gneJ4,1.0,130.30871931269166,39.28779,39.0,0.2877900000000011,2
2069.0,gneE3,gneJ4,gneJ5,0.8318196204222968,137.34533587872173,39.11769,39.0,0.11769000000000318,2
2090.0,-gneE3,gneJ5,gneJ4,1.0,134.42565428990105,40.82841,41.0,-0.1715900000000019,2
2109.0,gneE3,gneJ4,gneJ5,0.8348560683437958,140.38123944839015,39.9114,40.0,-0.08859999999999957,2
2129.0,-gneE3,gneJ5,gneJ4,1.0,138.21930660850802,39.18249000000001,39.0,0.18249000000000848,2
2150.0,gneE3,gneJ4,gneJ5,0.8379332696185534,143.5739496313594,40.89078,41.0,-0.10922000000000054,2
2170.0,-gneE3,gneJ5,gneJ4,1.0,142.13690116263635,40.817879999999995,41.0,-0.18212000000000472,2
2191.0,gneE3,gneJ4,gneJ5,0.8409460989527903,146.81956027867392,40.9887,41.0,-0.011299999999998533,2
2210.0,-gneE3,gneJ5,gneJ4,1.0,145.87106927284674,40.08141,40.0,0.0814099999999982,2
2231.0,gneE3,gneJ4,gneJ5,0.8437876286716891,149.99535583172695,40.09851,40.0,0.09850999999999743,2
2253.0,-gneE3,gneJ5,gneJ4,1.0,149.83352114957611,42.70779,43.0,-0.2922099999999972,2
2273.0,gneE3,gneJ4,gneJ5,0.8467486531196103,153.43000475776398,41.80949999999999,42.0,-0.19050000000000722,2
2294.0,-gneE3,gneJ5,gneJ4,1.0,153.5260194866061,41.17041,41.0,0.17040999999999684,2
2314.0,gneE3,gneJ4,gneJ5,0.8495239805997639,156.77197613321516,41.08059,41.0,0.08059000000000083,2
2336.0,-gneE3,gneJ5,gneJ4,1.0,157.26675527060092,41.91669,42.0,-0.08330999999999733,2
2356.0,gneE3,gneJ4,gneJ5,0.8522958356600229,160.23512027060073,41.90769,42.0,-0.09230999999999767,2
2376.0,-gneE3,gneJ5,gneJ4,1.0,160.7624161692479,40.1913,40.0,0.19129999999999825,2
2394.0,gneE3,gneJ4,gneJ5,0.854652970838904,163.2840377796192,38.3904,38.0,0.39039999999999964,2
2414.0,-gneE3,gneJ5,gneJ4,1.0,163.99815814138694,38.21877,38.0,0.21876999999999924,2
2436.0,gneE3,gneJ4,gneJ5,0.8572321088839562,166.73545902508906,41.638679999999994,42.0,-0.3613200000000063,2
2457.0,-gneE3,gneJ5,gneJ4,1.0,167.7382109346317,42.52149,43.0,-0.47851,2
2477.0,gneE3,gneJ4,gneJ5,0.8596576200759383,170.09704316137015,41.06349000000001,41.0,0.0634900000000087,2
2498.0,-gneE3,gneJ5,gneJ4,1.0,171.2236089414987,41.151779999999995,41.0,0.15177999999999514,2
2520.0,gneE3,gneJ4,gneJ5,0.8621356595422018,173.65358169467552,42.80598,43.0,-0.19402000000000186,2
2540.0,-gneE3,gneJ5,gneJ4,1.0,174.798338308343,41.9148,42.0,-0.08520000000000039,2
2561.0,gneE3,gneJ4,gneJ5,0.8643847645763851,176.99406566450057,41.18022,41.0,0.1802199999999985,2
2581.0,-gneE3,gneJ5,gneJ4,1.0,178.23294071563626,41.09112,41.0,0.09111999999999654,2
2600.0,-gneE2,gneJ4,gneJ3,0.46183664537975566,151.891326001375,117.0,1138.0,-1021.0,2
2620.0,gneE2,gneJ3,gneJ4,0.5332914112378241,144.81245204062756,40.0,39.0,1.0,2
2642.0,-gneE2,gneJ4,gneJ3,0.466328271487143,154.65937634509712,1138.0,42.0,1096.0,2
2664.0,-gneE1,gneJ3,gneJ2,0.6423220600007197,260.0558270624084,1208.3716800000002,1338.0,-129.6283199999998,2
