time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
28.0,22to21,22,21,0.3333333333333333,0.0,28.0,28.0,0.0,3
44.0,21to20,21,20,0.3333333333333333,0.0,44.0,44.0,0.0,3
61.0,20to15,20,15,0.5,0.0,61.0,61.0,0.0,2
78.0,15to16,15,16,0.3333333333333333,0.0,78.0,78.0,0.0,3
93.0,16to17,16,17,0.25,0.0,93.0,93.0,0.0,4
110.0,17to18,17,18,0.18263258724798692,-0.4,110.0,66.0,44.0,4
126.0,18to23,18,23,0.17153279710678038,-0.47619047619047616,126.0,66.0,60.0,4
144.0,23to24,23,24,0.3135821989753042,-0.09027777777777778,144.0,131.0,13.0,3
160.0,24to19,24,19,0.45636131276292113,-0.175,160.0,132.0,28.0,2
177.0,19to14,19,14,0.3333333333333333,0.0,177.0,177.0,0.0,3
193.0,14to13,14,13,0.3333333333333333,0.0,193.0,193.0,0.0,3
211.0,13to12,13,12,0.11155890447451897,-0.976303317535545,211.0,5.0,206.0,4
226.0,12to7,12,7,0.12572255281710332,-0.8407079646017699,226.0,36.0,190.0,4
243.0,7to8,7,8,0.25,0.0,243.0,243.0,0.0,4
260.0,8to9,8,9,0.25,0.0,260.0,260.0,0.0,4
276.0,9to4,9,4,0.3333333333333333,0.0,276.0,276.0,0.0,3
292.0,4to3,4,3,0.5,0.0,292.0,292.0,0.0,2
309.0,3to2,3,2,0.3333333333333333,0.0,309.0,309.0,0.0,3
326.0,2to1,2,1,0.3333333333333333,0.0,326.0,326.0,0.0,3
343.0,1to0,1,0,0.3333333333333333,0.0,343.0,343.0,0.0,3
359.0,0to5,0,5,0.3937073616553588,-0.43175487465181056,359.0,204.0,155.0,2
374.0,5to10,5,10,0.2563922967318442,-0.3716577540106952,374.0,235.0,139.0,3
391.0,10to15,10,15,0.2929652181616126,-0.18787878787878787,330.0,268.0,62.0,3
408.0,15to20,15,20,0.3333333333333333,0.0,364.0,364.0,0.0,3
423.0,20to21,20,21,0.4589533428982564,-0.16455696202531644,395.0,330.0,65.0,2
439.0,21to22,21,22,0.3008229904933492,-0.15023474178403756,426.0,362.0,64.0,3
454.0,22to17,22,17,0.24248002697655452,-0.44598337950138506,361.0,200.0,161.0,3
471.0,17to12,17,12,0.272455804250671,0.0,260.0,260.0,0.0,4
487.0,12to11,12,11,0.20646367601301066,-0.45790554414784396,487.0,264.0,223.0,4
503.0,11to12,11,12,0.25,0.0,32.0,32.0,0.0,4
519.0,12to13,12,13,0.2657950261160456,-0.29141104294478526,326.0,231.0,95.0,4
534.0,13to18,13,18,0.2234921601296899,-0.37971698113207547,424.0,263.0,161.0,4
550.0,18to19,18,19,0.2761557342977399,0.0,390.0,390.0,0.0,4
567.0,19to18,19,18,0.3333333333333333,0.0,33.0,33.0,0.0,3
583.0,18to23,18,23,0.07629115130752402,-1.3952276753152026,457.0,37.0,420.0,4
599.0,23to24,23,24,0.15390396324200925,-1.0111568986568986,455.0,36.0,419.0,3
615.0,24to19,24,19,0.35654661054363984,-0.5903846153846154,65.0,38.0,27.0,2
631.0,19to14,19,14,0.3333333333333333,0.0,454.0,454.0,0.0,3
648.0,14to9,14,9,0.3009808037210566,-0.14948453608247422,388.0,330.0,58.0,3
665.0,9to8,9,8,0.15692355773988126,-0.9881516587677726,422.0,5.0,417.0,3
680.0,8to7,8,7,0.11718961909012307,-0.920704845814978,454.0,36.0,418.0,4
696.0,7to6,7,6,0.15214634865173496,-0.6192528735632183,696.0,265.0,431.0,4
712.0,6to1,6,1,0.20972371951586058,-0.22797927461139897,386.0,298.0,88.0,4
727.0,1to2,1,2,0.3047613560766327,-0.13157894736842105,418.0,363.0,55.0,3
743.0,2to3,2,3,0.15652982168267165,-0.991130820399113,451.0,4.0,447.0,3
759.0,3to4,3,4,0.16539624064438022,-0.9254658385093167,483.0,36.0,447.0,3
774.0,4to9,4,9,0.3850295890757511,-0.46825396825396826,126.0,67.0,59.0,2
790.0,9to14,9,14,0.3331837205911772,-0.37735849056603776,159.0,99.0,60.0,3
806.0,14to13,14,13,0.23780534299446968,-0.5435540069686411,287.0,131.0,156.0,3
821.0,13to18,13,18,0.20623148769569624,-0.4820791858564849,254.0,228.0,26.0,4
838.0,18to23,18,23,0.07629115130752402,-1.3952276753152026,255.0,255.0,0.0,4
856.0,23to22,23,22,0.37142679863024447,-0.2158273381294964,417.0,327.0,90.0,3
873.0,22to21,22,21,0.18486865379614145,-0.9888888888888889,450.0,5.0,445.0,3
890.0,21to16,21,16,0.171464708656234,-0.9544334975369458,812.0,37.0,775.0,3
904.0,16to15,16,15,0.11037499847408583,-0.9883040935672515,513.0,6.0,507.0,4
922.0,15to10,15,10,0.1575297762531549,-0.9835766423357665,548.0,9.0,539.0,3
940.0,10to5,10,5,0.17037674267303096,-0.9793459552495697,581.0,12.0,569.0,3
957.0,5to0,5,0,0.18193186442476159,-0.9788273615635179,614.0,13.0,601.0,3
974.0,0to1,0,1,0.3740666253790296,-0.9465648854961832,262.0,14.0,248.0,2
