time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours,,,,
31,13to18,13,18,0.25,0,31,31,0,4,,54211,22298,54202
46,18to17,18,17,0.197346806070796,-0.304347826086957,46,32,14,4,,10100,12490,10100
62,17to12,17,12,0.25,0,62,62,0,4,,,,
78,12to7,12,7,0.25,0,78,78,0,4,,,,
94,7to8,7,8,0.25,0,94,94,0,4,,,,
111,8to9,8,9,0.25,0,111,111,0,4,,,,
128,9to4,9,4,0.333333333333333,0,128,128,0,3,,,,
144,4to3,4,3,0.5,0,144,144,0,2,,,,
160,3to2,3,2,0.333333333333333,0,160,160,0,3,,,,
177,2to1,2,1,0.170773838617242,-0.887005649717514,177,20,157,3,,,,
193,1to0,1,0,0.194891229472887,-0.725388601036269,193,53,140,3,,,,
208,0to5,0,5,0.285310681674837,-0.918269230769231,208,17,191,2,,,,
224,5to6,5,6,0.186952813835155,-0.776785714285714,224,50,174,3,,,,
239,6to11,6,11,0.119392683640775,-0.899581589958159,239,24,215,4,,,,
255,11to10,11,10,0.118731820589503,-0.905882352941176,255,24,231,4,,,,
269,10to15,10,15,0.179146100406881,-0.828996282527881,269,46,223,3,,,,
284,15to20,15,20,0.177821783197166,-0.838028169014084,284,46,238,3,,,,
301,20to21,20,21,0.30072374616246,-0.843853820598007,301,47,254,2,,,,
316,21to16,21,16,0.211390371976904,-0.623417721518987,316,119,197,3,,,,
332,16to17,16,17,0.240934430777091,-0.048951048951049,286,272,14,4,,,,
349,17to22,17,22,0.133281448160227,-0.773638968481375,349,79,270,4,,,,
365,22to23,22,23,0.18551072694268,-0.786301369863014,365,78,287,3,,,,
381,23to24,23,24,0.184553247538798,-0.792650918635171,381,79,302,3,,,,
398,24to19,24,19,0.311316902052894,-0.793969849246231,398,82,316,2,,,,
414,19to14,19,14,0.333333333333333,0,414,414,0,3,,,,
428,14to13,14,13,0.182508675727976,-0.806295399515738,413,80,333,3,,,,
442,13to18,13,18,0.138412376554134,-0.72992700729927,411,111,300,4,,,,
458,18to23,18,23,0.267551064643068,0,93,93,0,4,,,,
474,23to22,23,22,0.261654903849152,-0.664,125,42,83,3,,,,
491,22to21,22,21,0.274859666051463,-0.594736842105263,190,77,113,3,,,,
508,21to20,21,20,0.280366279144125,-0.513392857142857,224,109,115,3,,,,
523,20to15,20,15,0.599386362822087,-0.440944881889764,254,142,112,2,,,,
539,15to20,15,20,0.177821783197166,-0.838028169014084,31,31,0,3,,,,
556,20to21,20,21,0.400613637177913,-0.843853820598007,65,65,0,2,,,,
572,21to16,21,16,0.117706096928656,-1.54529272151899,256,20,236,3,,,,
588,16to11,16,11,0.116576863453457,-0.94269340974212,349,20,329,4,,,,
604,11to12,11,12,0.136578826388043,-0.966789667896679,542,18,524,4,,,,
621,12to7,12,7,0.112499219454649,-0.966850828729282,543,18,525,4,,,,
638,7to8,7,8,0.130515739142222,-0.797794117647059,544,110,434,4,,,,
654,8to9,8,9,0.124213088939127,-0.85451197053407,543,79,464,4,,,,
669,9to4,9,4,0.18394874467186,-0.796672828096118,541,110,431,3,,,,
683,4to3,4,3,0.322947348329506,-0.74025974025974,539,140,399,2,,,,
700,3to2,3,2,0.176347050995285,-0.848148148148148,540,82,458,3,,,,
716,2to1,2,1,0.076878602480584,-1.79238598366928,539,51,488,3,,,,
732,1to6,1,6,0.214770189786734,-0.901574803149606,508,50,458,3,,,,
748,6to5,6,5,0.143375535516888,-0.909259259259259,540,49,491,4,,,,
765,5to0,5,0,0.235536832548846,-0.798951048951049,572,115,457,3,,,,
782,0to1,0,1,0.714689318325163,0,66,66,0,2,,,,
799,1to2,1,2,0.529081971219194,0,99,99,0,3,,,,
814,2to7,2,7,0.461560698759708,0,193,193,0,3,,,,
832,7to12,7,12,0.289828086952593,0,228,228,0,4,,,,
849,12to17,12,17,0.145720060086041,-0.901353965183752,517,51,466,4,,,,
866,17to18,17,18,0.14425136190789,-0.879716981132076,424,51,373,4,,,,
883,18to19,18,19,0.161894841288876,-0.637113402061856,485,176,309,4,,,,
900,19to24,19,24,0.205526162584674,-0.658959537572254,519,177,342,3,,,,
916,24to23,24,23,0.544444715739406,-0.615720524017467,458,176,282,2,,,,
933,23to22,23,22,0.153370213587991,-1.33502396514161,459,151,308,3,,,,
949,22to21,22,21,0.178380798520211,-1.15198875050221,393,174,219,3,,,,
966,21to20,21,20,0.214694110167765,-1.10355679156909,427,175,252,3,,,,
984,20to15,20,15,0.44691503826422,-1.05699694262729,461,177,284,2,,,,
1000,15to10,15,10,0.273504433342761,-0.61744966442953,745,285,460,3,,,,
1016,10to11,10,11,0.279626947484372,-0.58411214953271,428,178,250,3,,,,
1032,11to16,11,16,0.245125128796662,-0.545652173913043,460,209,251,4,,,,
1047,16to17,16,17,0.202690553949799,-0.498445998445999,198,109,89,4,,,,
1062,17to12,17,12,0.240305671976834,-0.521739130434783,230,110,120,4,,,,
1078,12to13,12,13,0.196089823806453,-0.830769230769231,650,110,540,4,,,,
1095,13to14,13,14,0.155550469288219,-0.782672540381791,681,148,533,4,,,,
1112,14to9,14,9,0.243946740023504,-0.762008733624454,458,109,349,3,,,,
1128,9to8,9,8,0.253449887438651,-0.708163265306122,490,143,347,3,,,,
1145,8to3,8,3,0.161680903207184,-0.75974025974026,462,111,351,4,,,,
1160,3to4,3,4,0.255545570139882,-0.712830957230143,491,141,350,3,,,,
1176,4to9,4,9,0.677052651670494,0,64,64,0,2,,,,
1192,9to14,9,14,0.514568860571666,0,97,97,0,3,,,,
1208,14to19,14,19,0.461994156068088,-0.243076923076923,325,246,79,3,,,,
1224,19to18,19,18,0.201348860826586,-0.960893854748603,358,14,344,3,,,,
1240,18to23,18,23,0.158005958565171,-0.854938271604938,324,47,277,4,,,,
1256,23to24,23,24,0.223016888693432,-1.01456103099472,356,277,79,3,,,,
1272,24to19,24,19,0.383404103897599,-1.09084484924623,64,45,19,2,,,,
1288,19to14,19,14,0.395124200193196,-0.53125,96,45,51,3,,,,
1304,14to9,14,9,0.246373935036667,-0.910446233624454,128,109,19,3,,,,
1320,9to8,9,8,0.207392782651561,-0.968579931972789,192,142,50,3,,,,
1335,8to7,8,7,0.17480657580421,-0.91362763915547,521,45,476,4,,,,
1351,7to6,7,6,0.132196076256469,-0.98546042003231,619,9,610,4,,,,
1368,6to1,6,1,0.179504793200105,-0.926621160409556,586,43,543,4,,,,
1386,1to2,1,2,0.321048380216342,-0.86541737649063,587,79,508,3,,,,
1403,2to3,2,3,0.300696438361331,-0.689922480620155,258,80,178,3,,,,
1418,3to4,3,4,0.131135469222737,-1.53453638358673,258,46,212,3,,,,
1435,4to9,4,9,0.526642729530918,-0.633587786259542,131,48,83,2,,,,
1450,9to4,9,4,0.246292930002659,-0.796672828096118,32,32,0,3,,,,
1466,4to3,4,3,0.473357270469082,-0.74025974025974,63,63,0,2,,,,
1482,3to8,3,8,0.578585199274545,-0.123456790123457,162,142,20,3,,,,
1499,8to3,8,3,0.203887314422934,-0.75974025974026,33,33,0,4,,,,
1515,3to2,3,2,0.280309529179629,-0.848148148148148,129,129,0,3,,,,
1530,2to7,2,7,0.599456688639918,0,195,195,0,3,,,,
1548,7to12,7,12,0.261327953514312,-0.438271604938272,486,273,213,4,,,,
1564,12to11,12,11,0.304404415535516,-0.625912408759124,548,205,343,4,,,,
1579,11to16,11,16,0.10706029439247,-1.54199586678324,547,2,545,4,,,,
1594,16to21,16,21,0.162606836253381,-0.947286821705426,645,34,611,4,,,,
1609,21to22,21,22,0.452212669689906,-0.798816568047337,676,136,540,3,,,,
1626,22to17,22,17,0.375787955901724,-0.766839378238342,579,135,444,3,,,,
1642,17to18,17,18,0.167994945980058,-0.879716981132076,418,418,0,4,,,,
1658,18to13,18,13,0.196469089890981,-0.882758620689655,580,68,512,4,,,,
1674,13to8,13,8,0.24206260724124,-0.479166666666667,192,100,92,4,,,,
1691,8to9,8,9,0.185451937261039,-0.85451197053407,256,256,0,4,,,,
1708,9to14,9,14,0.478009248101244,-0.273809523809524,420,305,115,3,,,,
1725,14to19,14,19,0.25701363504999,-1.22541687892681,453,8,445,3,,,,
1741,19to24,19,24,0.175299936610203,-1.57854716643823,485,39,446,3,,,,
1756,24to23,24,23,0.403905863988005,-1.48006160928879,516,70,446,2,,,,
