time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
30.0,9to14,9,14,0.3333333333333333,0.0,30.0,30.0,0.0,3
46.0,14to13,14,13,0.3333333333333333,0.0,46.0,46.0,0.0,3
62.0,13to8,13,8,0.25,0.0,62.0,62.0,0.0,4
78.0,8to7,8,7,0.25,0.0,78.0,78.0,0.0,4
95.0,7to2,7,2,0.25,0.0,95.0,95.0,0.0,4
111.0,2to3,2,3,0.3333333333333333,0.0,111.0,111.0,0.0,3
127.0,3to2,3,2,0.3333333333333333,0.0,32.0,32.0,0.0,3
143.0,2to1,2,1,0.3333333333333333,0.0,143.0,143.0,0.0,3
160.0,1to2,1,2,0.3333333333333333,0.0,33.0,33.0,0.0,3
175.0,2to7,2,7,0.3333333333333333,0.0,97.0,97.0,0.0,3
191.0,7to6,7,6,0.25,0.0,191.0,191.0,0.0,4
206.0,6to11,6,11,0.25,0.0,206.0,206.0,0.0,4
222.0,11to10,11,10,0.25,0.0,222.0,222.0,0.0,4
238.0,10to5,10,5,0.3333333333333333,0.0,238.0,238.0,0.0,3
254.0,5to0,5,0,0.3333333333333333,0.0,254.0,254.0,0.0,3
271.0,0to1,0,1,0.5,0.0,128.0,128.0,0.0,2
288.0,1to2,1,2,0.3333333333333333,0.0,128.0,128.0,0.0,3
304.0,2to3,2,3,0.3333333333333333,0.0,193.0,193.0,0.0,3
320.0,3to4,3,4,0.3333333333333333,0.0,320.0,320.0,0.0,3
336.0,4to9,4,9,0.5,0.0,322.0,322.0,0.0,2
353.0,9to14,9,14,0.3333333333333333,0.0,323.0,323.0,0.0,3
369.0,14to19,14,19,0.3333333333333333,0.0,369.0,369.0,0.0,3
384.0,19to18,19,18,0.3333333333333333,0.0,384.0,384.0,0.0,3
400.0,18to23,18,23,0.25,0.0,400.0,400.0,0.0,4
415.0,23to24,23,24,0.3333333333333333,0.0,415.0,415.0,0.0,3
430.0,24to19,24,19,0.5,0.0,61.0,61.0,0.0,2
447.0,19to14,19,14,0.3333333333333333,0.0,94.0,94.0,0.0,3
463.0,14to13,14,13,0.3333333333333333,0.0,417.0,417.0,0.0,3
479.0,13to12,13,12,0.25,0.0,479.0,479.0,0.0,4
