time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours,,,,
30,22to21,22,21,0.333333333333333,0,30,30,0,3,,63021,15179,61173
45,21to16,21,16,0.333333333333333,0,45,45,0,3,,11284,12132,11284
60,16to17,16,17,0.134088932424224,-0.766666666666667,60,14,46,4,,,,
75,17to12,17,12,0.127274049787681,-0.826666666666667,75,13,62,4,,,,
91,12to11,12,11,0.25,0,91,91,0,4,,,,
107,11to10,11,10,0.25,0,107,107,0,4,,,,
124,10to5,10,5,0.333333333333333,0,124,124,0,3,,,,
140,5to0,5,0,0.333333333333333,0,140,140,0,3,,,,
157,0to1,0,1,0.5,0,157,157,0,2,,,,
174,1to6,1,6,0.333333333333333,0,174,174,0,3,,,,
191,6to5,6,5,0.25,0,67,67,0,4,,,,
206,5to10,5,10,0.333333333333333,0,99,99,0,3,,,,
223,10to15,10,15,0.203300413877026,-0.672645739910314,223,73,150,3,,,,
238,15to20,15,20,0.198638136027331,-0.701680672268908,238,71,167,3,,,,
254,20to21,20,21,0.33757779371167,-0.674107142857143,224,73,151,2,,,,
270,21to22,21,22,0.263766998666561,-0.333333333333333,255,170,85,3,,,,
287,22to23,22,23,0.27311775204053,-0.285714285714286,287,205,82,3,,,,
302,23to24,23,24,0.286654089098619,-0.218543046357616,302,236,66,3,,,,
316,24to19,24,19,0.459739251833766,-0.161392405063291,316,265,51,2,,,,
331,19to18,19,18,0.312855588701709,-0.093655589123867,331,300,31,3,,,,
348,18to13,18,13,0.242005488913736,-0.043103448275862,348,333,15,4,,,,
363,13to8,13,8,0.204636264269145,-0.258953168044077,363,269,94,4,,,,
379,8to3,8,3,0.185645094153476,-0.379947229551451,379,235,144,4,,,,
395,3to4,3,4,0.265573591774907,-0.324050632911392,395,267,128,3,,,,
409,4to9,4,9,0.432564989745463,-0.271393643031785,409,298,111,2,,,,
424,9to14,9,14,0.15848254768965,-0.976415094339623,424,10,414,3,,,,
440,14to19,14,19,0.205145841191547,-0.661290322580645,124,42,82,3,,,,
456,19to24,19,24,0.238594171094214,-0.512987012987013,154,75,79,3,,,,
472,24to23,24,23,0.318010053545787,-0.924324324324324,185,14,171,2,,,,
488,23to24,23,24,0.286654089098619,-0.218543046357616,32,32,0,3,,,,
503,24to19,24,19,0.681989946454213,-0.161392405063291,63,63,0,2,,,,
521,19to18,19,18,0.241026537572717,-0.677866115439657,190,79,111,3,,,,
537,18to17,18,17,0.130350067239174,-0.813417190775681,477,89,388,4,,,,
552,17to16,17,16,0.193802081923032,-0.534516765285996,507,236,271,4,,,,
568,16to11,16,11,0.229296919961309,-0.310272536687631,477,329,148,4,,,,
586,11to12,11,12,0.134947102760707,-0.759295499021526,511,123,388,4,,,,
603,12to7,12,7,0.173460348659374,-0.462686567164179,603,324,279,4,,,,
618,7to2,7,2,0.171368609230593,-0.477346278317152,618,323,295,4,,,,
634,2to1,2,1,0.265398682409874,-0.324947589098532,477,322,155,3,,,,
650,1to0,1,0,0.256596259251171,-0.370588235294118,510,321,189,3,,,,
665,0to1,0,1,0.5,0,31,31,0,2,,,,
682,1to6,1,6,0.33178572842599,-0.175196850393701,508,419,89,3,,,,
699,6to5,6,5,0.197536674168369,-0.303149606299213,508,354,154,4,,,,
715,5to10,5,10,0.268627917810016,-0.308447937131631,509,352,157,3,,,,
732,10to15,10,15,0.12398920776035,-1.26203670258222,509,209,300,3,,,,
