time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
35.0,-gneE3,gneJ5,gneJ4,0.5,0.0,35.0,35.0,0.0,2
55.0,-gneE2,gneJ4,gneJ3,0.5,0.0,55.0,55.0,0.0,2
74.0,-gneE1,gneJ3,gneJ2,0.5,0.0,74.0,74.0,0.0,2
96.0,gneE1,gneJ2,gneJ3,1.0,0.0,41.0,41.0,0.0,1
115.0,gneE2,gneJ3,gneJ4,0.5,0.0,80.0,80.0,0.0,2
134.0,gneE3,gneJ4,gneJ5,0.5,0.0,117.0,117.0,0.0,2
154.0,gneE4,gneJ5,gneJ6,0.5,0.0,154.0,154.0,0.0,2
174.0,gneE5,gneJ6,gneJ7,0.5,0.0,174.0,174.0,0.0,2
193.0,gneE10,gneJ7,gneJ14,0.5,0.0,193.0,193.0,0.0,2
212.0,gneE11,gneJ14,gneJ10,0.5,0.0,212.0,212.0,0.0,2
233.0,gneE8,gneJ10,gneJ11,0.5,0.0,233.0,233.0,0.0,2
253.0,gneE9,gneJ11,gneJ12,0.5,0.0,253.0,253.0,0.0,2
275.0,-gneE9,gneJ12,gneJ11,1.0,0.0,42.0,42.0,0.0,1
294.0,-gneE8,gneJ11,gneJ10,0.5,0.0,82.0,82.0,0.0,2
314.0,gneE8,gneJ10,gneJ11,0.5,0.0,39.0,39.0,0.0,2
332.0,gneE9,gneJ11,gneJ12,0.5,0.0,79.0,79.0,0.0,2
352.0,-gneE9,gneJ12,gneJ11,1.0,0.0,38.0,38.0,0.0,1
372.0,-gneE8,gneJ11,gneJ10,0.5,0.0,78.0,78.0,0.0,2
392.0,-gneE11,gneJ10,gneJ14,0.5,0.0,199.0,199.0,0.0,2
412.0,-gneE10,gneJ14,gneJ7,0.5,0.0,238.0,238.0,0.0,2
432.0,-gneE5,gneJ7,gneJ6,0.5,0.0,278.0,278.0,0.0,2
453.0,-gneE4,gneJ6,gneJ5,0.5,0.0,319.0,319.0,0.0,2
471.0,-gneE3,gneJ5,gneJ4,0.5,0.0,356.0,356.0,0.0,2
491.0,-gneE2,gneJ4,gneJ3,0.5,0.0,395.0,395.0,0.0,2
510.0,-gneE1,gneJ3,gneJ2,0.5,0.0,436.0,436.0,0.0,2
531.0,gneE1,gneJ2,gneJ3,1.0,0.0,40.0,40.0,0.0,1
551.0,gneE2,gneJ3,gneJ4,0.5,0.0,80.0,80.0,0.0,2
571.0,gneE3,gneJ4,gneJ5,0.5,0.0,118.0,118.0,0.0,2
590.0,gneE4,gneJ5,gneJ6,0.5,0.0,158.0,158.0,0.0,2
610.0,gneE5,gneJ6,gneJ7,0.5,0.0,198.0,198.0,0.0,2
630.0,gneE10,gneJ7,gneJ14,0.5,0.0,238.0,238.0,0.0,2
650.0,gneE11,gneJ14,gneJ10,0.5,0.0,278.0,278.0,0.0,2
668.0,gneE8,gneJ10,gneJ11,0.5,0.0,316.0,316.0,0.0,2
687.0,gneE9,gneJ11,gneJ12,0.5,0.0,355.0,355.0,0.0,2
708.0,-gneE9,gneJ12,gneJ11,1.0,0.0,40.0,40.0,0.0,1
727.0,-gneE8,gneJ11,gneJ10,0.5,0.0,77.0,77.0,0.0,2
746.0,-gneE11,gneJ10,gneJ14,0.5,0.0,116.0,116.0,0.0,2
765.0,-gneE10,gneJ14,gneJ7,0.5,0.0,155.0,155.0,0.0,2
785.0,-gneE5,gneJ7,gneJ6,0.5,0.0,195.0,195.0,0.0,2
804.0,-gneE4,gneJ6,gneJ5,0.5,0.0,233.0,233.0,0.0,2
826.0,gneE4,gneJ5,gneJ6,0.5,0.0,41.0,41.0,0.0,2
847.0,gneE5,gneJ6,gneJ7,0.5,0.0,82.0,82.0,0.0,2
866.0,gneE10,gneJ7,gneJ14,0.5,0.0,120.0,120.0,0.0,2
885.0,gneE11,gneJ14,gneJ10,0.5,0.0,158.0,158.0,0.0,2
905.0,gneE8,gneJ10,gneJ11,0.5,0.0,197.0,197.0,0.0,2
924.0,gneE9,gneJ11,gneJ12,0.5,0.0,237.0,237.0,0.0,2
944.0,-gneE9,gneJ12,gneJ11,1.0,0.0,39.0,39.0,0.0,1
963.0,-gneE8,gneJ11,gneJ10,0.5,0.0,78.0,78.0,0.0,2
984.0,gneE8,gneJ10,gneJ11,0.5,0.0,40.0,40.0,0.0,2
1004.0,gneE9,gneJ11,gneJ12,0.5,0.0,80.0,80.0,0.0,2
1025.0,-gneE9,gneJ12,gneJ11,1.0,0.0,41.0,41.0,0.0,1
1044.0,-gneE8,gneJ11,gneJ10,0.5,0.0,81.0,81.0,0.0,2
1063.0,-gneE11,gneJ10,gneJ14,0.5,0.0,197.0,197.0,0.0,2
1083.0,-gneE10,gneJ14,gneJ7,0.5,0.0,236.0,236.0,0.0,2
1102.0,-gneE5,gneJ7,gneJ6,0.5,0.0,276.0,276.0,0.0,2
1122.0,-gneE4,gneJ6,gneJ5,0.5,0.0,318.0,318.0,0.0,2
1141.0,-gneE3,gneJ5,gneJ4,0.5,0.0,590.0,590.0,0.0,2
1159.0,-gneE2,gneJ4,gneJ3,0.5,0.0,628.0,628.0,0.0,2
1179.0,-gneE1,gneJ3,gneJ2,0.5,0.0,669.0,669.0,0.0,2
1199.0,gneE1,gneJ2,gneJ3,1.0,0.0,40.0,40.0,0.0,1
1219.0,gneE2,gneJ3,gneJ4,0.5,0.0,78.0,78.0,0.0,2
1240.0,gneE3,gneJ4,gneJ5,0.5,0.0,118.0,118.0,0.0,2
1259.0,gneE4,gneJ5,gneJ6,0.5,0.0,157.0,157.0,0.0,2
1279.0,gneE5,gneJ6,gneJ7,0.5,0.0,196.0,196.0,0.0,2
1298.0,gneE10,gneJ7,gneJ14,0.5,0.0,235.0,235.0,0.0,2
1317.0,gneE11,gneJ14,gneJ10,0.5,0.0,273.0,273.0,0.0,2
1336.0,gneE8,gneJ10,gneJ11,0.5,0.0,311.0,311.0,0.0,2
1355.0,gneE9,gneJ11,gneJ12,0.5,0.0,351.0,351.0,0.0,2
1376.0,-gneE9,gneJ12,gneJ11,1.0,0.0,40.0,40.0,0.0,1
1396.0,-gneE8,gneJ11,gneJ10,0.5,0.0,79.0,79.0,0.0,2
1416.0,-gneE11,gneJ10,gneJ14,0.5,0.0,118.0,118.0,0.0,2
1435.0,-gneE10,gneJ14,gneJ7,0.5,0.0,156.0,156.0,0.0,2
1454.0,-gneE5,gneJ7,gneJ6,0.5,0.0,195.0,195.0,0.0,2
1476.0,gneE5,gneJ6,gneJ7,0.5,0.0,41.0,41.0,0.0,2
1496.0,gneE10,gneJ7,gneJ14,0.5,0.0,80.0,80.0,0.0,2
1516.0,gneE11,gneJ14,gneJ10,0.5,0.0,120.0,120.0,0.0,2
1536.0,gneE8,gneJ10,gneJ11,0.5,0.0,160.0,160.0,0.0,2
1555.0,gneE9,gneJ11,gneJ12,0.5,0.0,200.0,200.0,0.0,2
1577.0,-gneE9,gneJ12,gneJ11,1.0,0.0,41.0,41.0,0.0,1
1597.0,-gneE8,gneJ11,gneJ10,0.5,0.0,81.0,81.0,0.0,2
1616.0,-gneE11,gneJ10,gneJ14,0.5,0.0,120.0,120.0,0.0,2
1636.0,-gneE10,gneJ14,gneJ7,0.5,0.0,160.0,160.0,0.0,2
1655.0,-gneE5,gneJ7,gneJ6,0.5,0.0,201.0,201.0,0.0,2
1675.0,-gneE4,gneJ6,gneJ5,0.5,0.0,435.0,435.0,0.0,2
1693.0,-gneE3,gneJ5,gneJ4,0.5,0.0,474.0,474.0,0.0,2
1713.0,-gneE2,gneJ4,gneJ3,0.5,0.0,514.0,514.0,0.0,2
1733.0,-gneE1,gneJ3,gneJ2,0.5,0.0,554.0,554.0,0.0,2
1754.0,gneE1,gneJ2,gneJ3,1.0,0.0,41.0,41.0,0.0,1
1774.0,gneE2,gneJ3,gneJ4,0.5,0.0,81.0,81.0,0.0,2
1793.0,gneE3,gneJ4,gneJ5,0.5,0.0,118.0,118.0,0.0,2
1811.0,gneE4,gneJ5,gneJ6,0.5,0.0,156.0,156.0,0.0,2
1830.0,gneE5,gneJ6,gneJ7,0.5,0.0,194.0,194.0,0.0,2
1850.0,gneE10,gneJ7,gneJ14,0.5,0.0,234.0,234.0,0.0,2
1870.0,gneE11,gneJ14,gneJ10,0.5,0.0,273.0,273.0,0.0,2
1888.0,gneE8,gneJ10,gneJ11,0.5,0.0,311.0,311.0,0.0,2
1907.0,gneE9,gneJ11,gneJ12,0.5,0.0,352.0,352.0,0.0,2
1928.0,-gneE9,gneJ12,gneJ11,1.0,0.0,40.0,40.0,0.0,1
1948.0,gneE9,gneJ11,gneJ12,0.5,0.0,41.0,41.0,0.0,2
1968.0,-gneE9,gneJ12,gneJ11,1.0,0.0,40.0,40.0,0.0,1
1986.0,-gneE8,gneJ11,gneJ10,0.5,0.0,116.0,116.0,0.0,2
2006.0,gneE8,gneJ10,gneJ11,0.5,0.0,38.0,38.0,0.0,2
2025.0,gneE9,gneJ11,gneJ12,0.5,0.0,77.0,77.0,0.0,2
2045.0,-gneE9,gneJ12,gneJ11,1.0,0.0,39.0,39.0,0.0,1
2065.0,-gneE8,gneJ11,gneJ10,0.5,0.0,79.0,79.0,0.0,2
2083.0,-gneE11,gneJ10,gneJ14,0.5,0.0,233.0,233.0,0.0,2
2103.0,-gneE10,gneJ14,gneJ7,0.5,0.0,273.0,273.0,0.0,2
2123.0,-gneE5,gneJ7,gneJ6,0.5,0.0,312.0,312.0,0.0,2
2142.0,-gneE4,gneJ6,gneJ5,0.5,0.0,349.0,349.0,0.0,2
2163.0,-gneE3,gneJ5,gneJ4,0.5,0.0,389.0,389.0,0.0,2
