time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
38.0,gneE5,gneJ6,gneJ7,0.5,0.0,38.0,38.0,0.0,2
57.0,gneE10,gneJ7,gneJ14,0.42170222670396834,-0.3157894736842105,57.0,39.0,18.0,2
76.0,gneE11,gneJ14,gneJ10,0.30946288022462576,-0.8026315789473685,76.0,15.0,61.0,2
97.0,gneE8,gneJ10,gneJ11,0.3958755292412703,-0.422680412371134,97.0,56.0,41.0,2
115.0,gneE9,gneJ11,gneJ12,0.4609492582050372,-0.1565217391304348,115.0,97.0,18.0,2
134.0,-gneE9,gneJ12,gneJ11,1.0,0.0,37.0,37.0,0.0,1
154.0,-gneE8,gneJ11,gneJ10,0.3312686749275491,-0.8589743589743589,78.0,11.0,67.0,2
173.0,-gneE11,gneJ10,gneJ14,0.46349380126435863,-0.5689655172413793,116.0,50.0,66.0,2
193.0,-gneE10,gneJ14,gneJ7,0.5977695108887082,-0.4064516129032258,155.0,92.0,63.0,2
213.0,-gneE5,gneJ7,gneJ6,0.5263588067278256,-0.21025641025641026,195.0,154.0,41.0,2
233.0,-gneE4,gneJ6,gneJ5,0.4160388542097425,-0.33905579399141633,233.0,154.0,79.0,2
251.0,-gneE3,gneJ5,gneJ4,0.29307871719643125,-0.8804780876494024,251.0,30.0,221.0,2
271.0,-gneE2,gneJ4,gneJ3,0.32182718108032016,-0.7453874538745388,271.0,69.0,202.0,2
291.0,-gneE1,gneJ3,gneJ2,0.350109778371081,-0.6185567010309279,291.0,111.0,180.0,2
310.0,gneE1,gneJ2,gneJ3,1.0,0.0,39.0,39.0,0.0,1
330.0,gneE2,gneJ3,gneJ4,0.6498902216289191,0.0,79.0,79.0,0.0,2
349.0,gneE3,gneJ4,gneJ5,0.513929465040738,-0.6896551724137931,116.0,36.0,80.0,2
370.0,gneE4,gneJ5,gneJ6,0.5916822178477648,-0.5095541401273885,157.0,77.0,80.0,2
390.0,gneE5,gneJ6,gneJ7,0.4718495863271665,-0.4517766497461929,197.0,108.0,89.0,2
410.0,gneE10,gneJ7,gneJ14,0.3430263012923272,-0.860093271152565,237.0,108.0,129.0,2
429.0,gneE11,gneJ14,gneJ10,0.21389005987009754,-1.7080861244019139,275.0,26.0,249.0,2
448.0,gneE8,gneJ10,gneJ11,0.34445041177190927,-1.2124893295685863,314.0,66.0,248.0,2
468.0,-gneE8,gneJ11,gneJ10,0.3312686749275491,-0.8589743589743589,39.0,39.0,0.0,2
489.0,-gneE11,gneJ10,gneJ14,0.6145096855358315,-0.746180707114797,79.0,65.0,14.0,2
508.0,-gneE10,gneJ14,gneJ7,0.6236393417085716,-1.2030617823947511,118.0,24.0,94.0,2
