time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours,,,,
41,-gneE9,gneJ12,gneJ11,1,0,41,41,0,1,,95655,5423,95639
61,-gneE8,gneJ11,gneJ10,0.5,0,61,61,0,2,,7230,4925,7230
81,-gneE11,gneJ10,gneJ14,0.330991581175263,-0.703703703703704,81,24,57,2,,,,
101,-gneE10,gneJ14,gneJ7,0.404647195370449,-0.386138613861386,101,62,39,2,,,,
123,gneE10,gneJ7,gneJ14,0.5,0,42,42,0,2,,,,
143,gneE11,gneJ14,gneJ10,0.550628839324695,-0.182926829268293,82,67,15,2,,,,
163,gneE8,gneJ10,gneJ11,0.485356344438751,-0.762295081967213,122,29,93,2,,,,
184,gneE9,gneJ11,gneJ12,0.357935181464669,-0.58433734939759,166,69,97,2,,,,
207,-gneE9,gneJ12,gneJ11,1,0,44,44,0,1,,,,
229,-gneE8,gneJ11,gneJ10,0.612167020452675,-0.127906976744186,86,75,11,2,,,,
251,-gneE11,gneJ10,gneJ14,0.417745894091098,-1.0943287037037,128,78,50,2,,,,
273,-gneE10,gneJ14,gneJ7,0.323420744571899,-0.921022334791619,172,80,92,2,,,,
293,-gneE5,gneJ7,gneJ6,0.290947861079044,-0.890784982935154,293,32,261,2,,,,
313,-gneE4,gneJ6,gneJ5,0.316486017488921,-0.769968051118211,313,72,241,2,,,,
333,-gneE3,gneJ5,gneJ4,0.270716382818274,-0.990990990990991,333,3,330,2,,,,
353,-gneE2,gneJ4,gneJ3,0.293553624336939,-0.878186968838527,353,43,310,2,,,,
374,-gneE1,gneJ3,gneJ2,0.314734944686667,-0.77807486631016,374,83,291,2,,,,
398,gneE1,gneJ2,gneJ3,1,0,45,45,0,1,,,,
421,gneE2,gneJ3,gneJ4,0.685265055313333,0,88,88,0,2,,,,
443,gneE3,gneJ4,gneJ5,0.645945411516706,-0.276923076923077,130,94,36,2,,,,
463,gneE4,gneJ5,gneJ6,0.631358638385991,-0.452941176470588,170,93,77,2,,,,
484,gneE5,gneJ6,gneJ7,0.488702466777401,-0.815165876777251,211,39,172,2,,,,
506,gneE10,gneJ7,gneJ14,0.489364516858364,-0.933333333333333,255,17,238,2,,,,
527,gneE11,gneJ14,gneJ10,0.484025958801498,-0.984940252087085,298,59,239,2,,,,
549,gneE8,gneJ10,gneJ11,0.407902113854851,-1.46697344454031,342,101,241,2,,,,
570,gneE9,gneJ11,gneJ12,0.28598193973723,-1.04288657219552,386,209,177,2,,,,
592,-gneE9,gneJ12,gneJ11,1,0,43,43,0,1,,,,
613,-gneE8,gneJ11,gneJ10,0.71401806026277,-0.127906976744186,86,86,0,2,,,,
634,-gneE11,gneJ10,gneJ14,0.592097886145149,-1.0943287037037,128,128,0,2,,,,
655,-gneE10,gneJ14,gneJ7,0.290048931872142,-1.880086662277,171,7,164,2,,,,
675,-gneE5,gneJ7,gneJ6,0.324967303728814,-1.66436988859553,212,48,164,2,,,,
696,-gneE4,gneJ6,gneJ5,0.302330416860098,-1.6513909760194,253,30,223,2,,,,
717,-gneE3,gneJ5,gneJ4,0.215040359954465,-1.74774774774775,296,72,224,2,,,,
740,gneE3,gneJ4,gneJ5,0.462884371753907,-1.02692307692308,44,11,33,2,,,,
762,gneE4,gneJ5,gneJ6,0.709407406869438,-0.855240027045301,87,52,35,2,,,,
783,gneE5,gneJ6,gneJ7,0.611450302975301,-1.19797837677725,128,79,49,2,,,,
805,gneE10,gneJ7,gneJ14,0.552448529056571,-1.45380116959064,171,82,89,2,,,,
825,gneE11,gneJ14,gneJ10,0.480871414719368,-1.95663836529463,212,6,206,2,,,,
845,gneE8,gneJ10,gneJ11,0.231700917326821,-2.29306040106205,253,44,209,2,,,,
