time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
29.0,8to3,8,3,0.25,0.0,29.0,29.0,0.0,4
45.0,3to2,3,2,0.3333333333333333,0.0,45.0,45.0,0.0,3
60.0,2to7,2,7,0.3333333333333333,0.0,60.0,60.0,0.0,3
75.0,7to12,7,12,0.25,0.0,75.0,75.0,0.0,4
92.0,12to11,12,11,0.25,0.0,92.0,92.0,0.0,4
109.0,11to16,11,16,0.25,0.0,109.0,109.0,0.0,4
125.0,16to21,16,21,0.25,0.0,125.0,125.0,0.0,4
141.0,21to20,21,20,0.3333333333333333,0.0,141.0,141.0,0.0,3
157.0,20to15,20,15,0.5,0.0,157.0,157.0,0.0,2
174.0,15to10,15,10,0.3333333333333333,0.0,174.0,174.0,0.0,3
190.0,10to5,10,5,0.3333333333333333,0.0,190.0,190.0,0.0,3
206.0,5to6,5,6,0.3333333333333333,0.0,206.0,206.0,0.0,3
221.0,6to1,6,1,0.25,0.0,221.0,221.0,0.0,4
238.0,1to0,1,0,0.3333333333333333,0.0,238.0,238.0,0.0,3
255.0,0to1,0,1,0.5,0.0,34.0,34.0,0.0,2
273.0,1to2,1,2,0.3333333333333333,0.0,228.0,228.0,0.0,3
288.0,2to3,2,3,0.3333333333333333,0.0,259.0,259.0,0.0,3
304.0,3to4,3,4,0.3333333333333333,0.0,304.0,304.0,0.0,3
318.0,4to9,4,9,0.5,0.0,318.0,318.0,0.0,2
333.0,9to14,9,14,0.3333333333333333,0.0,333.0,333.0,0.0,3
349.0,14to13,14,13,0.3333333333333333,0.0,349.0,349.0,0.0,3
364.0,13to18,13,18,0.25,0.0,364.0,364.0,0.0,4
380.0,18to19,18,19,0.25,0.0,380.0,380.0,0.0,4
397.0,19to24,19,24,0.3333333333333333,0.0,397.0,397.0,0.0,3
413.0,24to23,24,23,0.5,0.0,413.0,413.0,0.0,2
430.0,23to22,23,22,0.3333333333333333,0.0,430.0,430.0,0.0,3
446.0,22to17,22,17,0.3333333333333333,0.0,446.0,446.0,0.0,3
462.0,17to12,17,12,0.25,0.0,387.0,387.0,0.0,4
477.0,12to7,12,7,0.25,0.0,417.0,417.0,0.0,4
495.0,7to8,7,8,0.25,0.0,482.0,482.0,0.0,4
510.0,8to3,8,3,0.25,0.0,222.0,222.0,0.0,4
525.0,3to2,3,2,0.3333333333333333,0.0,252.0,252.0,0.0,3
542.0,2to1,2,1,0.3333333333333333,0.0,287.0,287.0,0.0,3
