time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
30.0,2to1,2,1,0.3333333333333333,0.0,30.0,30.0,0.0,3
47.0,1to0,1,0,0.3333333333333333,0.0,47.0,47.0,0.0,3
63.0,0to5,0,5,0.5,0.0,63.0,63.0,0.0,2
79.0,5to10,5,10,0.3333333333333333,0.0,79.0,79.0,0.0,3
95.0,10to11,10,11,0.3333333333333333,0.0,95.0,95.0,0.0,3
113.0,11to12,11,12,0.1790980862808372,-0.42385771811811007,113.0,2.0,111.0,4
128.0,12to7,12,7,0.25,0.0,128.0,128.0,0.0,4
144.0,7to8,7,8,0.25,0.0,144.0,144.0,0.0,4
161.0,8to13,8,13,0.18116695388342371,-0.40984892024404873,161.0,66.0,95.0,4
176.0,13to14,13,14,0.20712603419417416,-0.2437245180991989,176.0,161.0,15.0,4
193.0,14to9,14,9,0.3333333333333333,0.0,193.0,193.0,0.0,3
210.0,9to4,9,4,0.3333333333333333,0.0,210.0,210.0,0.0,3
226.0,4to3,4,3,0.5,0.0,226.0,226.0,0.0,2
244.0,3to2,3,2,0.3333333333333333,0.0,230.0,230.0,0.0,3
261.0,2to1,2,1,0.3333333333333333,0.0,231.0,231.0,0.0,3
277.0,1to6,1,6,0.23637522891980914,-0.47950885519106234,277.0,71.0,206.0,3
294.0,6to5,6,5,0.25,0.0,231.0,231.0,0.0,4
310.0,5to0,5,0,0.3333333333333333,0.0,263.0,263.0,0.0,3
327.0,0to1,0,1,0.408905696865951,-0.36849101059998907,66.0,6.0,60.0,2
345.0,1to2,1,2,0.29935867566025887,-0.36849101059998907,101.0,41.0,60.0,3
361.0,2to7,2,7,0.2493571604137647,-0.4088965304043004,233.0,139.0,94.0,3
377.0,7to12,7,12,0.25,0.0,264.0,264.0,0.0,4
395.0,12to17,12,17,0.1774270460448142,-0.43526537162563306,395.0,269.0,126.0,4
411.0,17to22,17,22,0.25,0.0,411.0,411.0,0.0,4
427.0,22to21,22,21,0.3333333333333333,0.0,427.0,427.0,0.0,3
442.0,21to16,21,16,0.24258933342918132,-0.4453883901340352,442.0,301.0,141.0,3
458.0,16to15,16,15,0.17455620246575979,-0.45506212248134775,458.0,301.0,157.0,4
473.0,15to20,15,20,0.3333333333333333,0.0,473.0,473.0,0.0,3
488.0,20to21,20,21,0.5,0.0,61.0,61.0,0.0,2
503.0,21to22,21,22,0.29076907417919085,-0.3966047322537828,92.0,10.0,82.0,3
520.0,22to23,22,23,0.22304051190461222,-0.5548876068808278,520.0,44.0,476.0,3
536.0,23to24,23,24,0.22357422888773143,-0.5518103840534827,536.0,76.0,460.0,3
550.0,24to19,24,19,0.36618366150632525,-0.5486242106189002,550.0,106.0,444.0,2
565.0,19to18,19,18,0.25251360519182864,-0.3921037944020633,565.0,487.0,78.0,3
582.0,18to13,18,13,0.16845491900228238,-0.49800505398547684,421.0,168.0,253.0,4
598.0,13to8,13,8,0.1885041770777348,-0.4359768377812732,454.0,327.0,127.0,4
615.0,8to9,8,9,0.20544281680557483,-0.37288212537523796,422.0,359.0,63.0,4
632.0,9to14,9,14,0.23305292287993154,-0.49800505398547684,456.0,203.0,253.0,3
649.0,14to19,14,19,0.3333333333333333,0.0,99.0,99.0,0.0,3
665.0,19to24,19,24,0.2800901039953984,-0.42782311719957283,129.0,13.0,116.0,3
680.0,24to23,24,23,0.5303576939285352,-0.42704389155269257,160.0,45.0,115.0,2
698.0,23to22,23,22,0.2984543212847044,-0.39983861308412855,195.0,110.0,85.0,3
714.0,22to17,22,17,0.28494412673668146,-0.46636051952628765,319.0,141.0,178.0,3
730.0,17to12,17,12,0.20219698742738174,-0.2740070193951081,353.0,332.0,21.0,4
747.0,12to11,12,11,0.18495534715150255,-0.5096664432122352,652.0,364.0,288.0,4
763.0,11to10,11,10,0.1844865852295744,-0.5099784019301189,684.0,395.0,289.0,4
781.0,10to5,10,5,0.2578790048459429,-0.3638746141051095,487.0,430.0,57.0,3
797.0,5to6,5,6,0.22211949116719218,-0.5602102586347825,520.0,15.0,505.0,3
813.0,6to1,6,1,0.16079048255724265,-0.5537459425233695,486.0,16.0,470.0,4
829.0,1to0,1,0,0.36264191207745977,-0.2932286884219334,519.0,493.0,26.0,3
845.0,0to5,0,5,0.591094303134049,0.0,64.0,64.0,0.0,2
861.0,5to10,5,10,0.3889402544164039,0.0,98.0,98.0,0.0,3
879.0,10to15,10,15,0.2838658767700477,-0.3976956547016939,421.0,338.0,83.0,3
896.0,15to16,15,16,0.2458313476381257,-0.42782311719957283,454.0,338.0,116.0,3
912.0,16to21,16,21,0.22397231960173053,-0.2740070193951081,424.0,403.0,21.0,4
928.0,21to20,21,20,0.347950555769163,-0.3556119346723285,455.0,403.0,52.0,3
943.0,20to15,20,15,0.5,0.0,64.0,64.0,0.0,2
959.0,15to10,15,10,0.28957629861123696,-0.39550042392051954,98.0,17.0,81.0,3
976.0,10to11,10,11,0.3145644392834883,-0.46636051952628765,229.0,51.0,178.0,3
992.0,11to6,11,6,0.3072172505971416,0.0,195.0,195.0,0.0,4
1009.0,6to7,6,7,0.18453846359229376,-0.5401273390165036,648.0,244.0,404.0,4
1026.0,7to2,7,2,0.1608163507480316,-0.5535542491601652,681.0,212.0,469.0,4
1043.0,2to3,2,3,0.252414491921011,-0.5763216778141335,817.0,213.0,604.0,3
1060.0,3to4,3,4,0.2185536370301657,-0.5809678707006111,850.0,214.0,636.0,3
1076.0,4to9,4,9,0.37868976114978226,-0.4951132389490254,461.0,216.0,245.0,2
1091.0,9to8,9,8,0.2837800590729609,-0.45095717646866307,493.0,343.0,150.0,3
1107.0,8to13,8,13,0.1373656922289637,-0.8482691321708068,525.0,215.0,310.0,4
1123.0,13to18,13,18,0.22292705950230648,-0.3606599866709224,558.0,503.0,55.0,4
1138.0,18to19,18,19,0.2281797274531466,-0.2601334582106548,489.0,471.0,18.0,4
1154.0,19to14,19,14,0.3147320386638414,-0.49474514027638816,522.0,278.0,244.0,3
1173.0,14to9,14,9,0.2815326777699801,-0.2437245180991989,97.0,82.0,15.0,3
1189.0,9to4,9,4,0.3849770853722524,-0.24953298500158028,129.0,113.0,16.0,3
1204.0,4to9,4,9,0.38478015065087473,-0.469307548629273,31.0,31.0,0.0,2
1221.0,9to8,9,8,0.2794200436604578,-0.6202645139046765,130.0,113.0,17.0,3
1236.0,8to7,8,7,0.2690423773225898,-0.24953298500158028,227.0,211.0,16.0,4
1254.0,7to12,7,12,0.1958122422893978,-0.46686472252566796,524.0,345.0,179.0,4
1270.0,12to17,12,17,0.13510429310205532,-0.9007828404037557,556.0,114.0,442.0,4
