time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
31.0,14to19,14,19,0.3333333333333333,0.0,31.0,31.0,0.0,3
46.0,19to24,19,24,0.3333333333333333,0.0,46.0,46.0,0.0,3
62.0,24to23,24,23,0.5,0.0,62.0,62.0,0.0,2
78.0,23to18,23,18,0.3333333333333333,0.0,78.0,78.0,0.0,3
95.0,18to13,18,13,0.25,0.0,95.0,95.0,0.0,4
111.0,13to12,13,12,0.25,0.0,111.0,111.0,0.0,4
126.0,12to17,12,17,0.25,0.0,126.0,126.0,0.0,4
141.0,17to16,17,16,0.25,0.0,141.0,141.0,0.0,4
157.0,16to15,16,15,0.25,0.0,157.0,157.0,0.0,4
174.0,15to10,15,10,0.2522972618463821,-0.39325030672203193,174.0,95.0,79.0,3
190.0,10to11,10,11,0.24917893638659971,-0.40984892024404873,190.0,95.0,95.0,3
206.0,11to6,11,6,0.25,0.0,206.0,206.0,0.0,4
222.0,6to7,6,7,0.17722028276085425,-0.43668272375276557,222.0,94.0,128.0,4
239.0,7to8,7,8,0.17567987836641677,-0.44728319696184005,239.0,95.0,144.0,4
256.0,8to9,8,9,0.17189524583110913,-0.47364211700143977,256.0,63.0,193.0,4
271.0,9to8,9,8,0.3333333333333333,0.0,32.0,32.0,0.0,3
287.0,8to3,8,3,0.18968412695576853,-0.48784814993450576,287.0,61.0,226.0,4
304.0,3to2,3,2,0.23363610441986296,-0.49474514027638816,304.0,60.0,244.0,3
321.0,2to1,2,1,0.23255250892454332,-0.5008068366590425,321.0,60.0,261.0,3
336.0,1to0,1,0,0.22980038383084436,-0.5162915067731273,336.0,26.0,310.0,3
351.0,0to5,0,5,0.3748367590727455,-0.5115221790604814,351.0,57.0,294.0,2
368.0,5to10,5,10,0.3333333333333333,0.0,194.0,194.0,0.0,3
383.0,10to11,10,11,0.25692529772356193,-0.36886402821964387,193.0,193.0,0.0,3
398.0,11to12,11,12,0.16782416608741205,-0.5025146677903529,287.0,21.0,266.0,4
414.0,12to13,12,13,0.1860806326029922,-0.37706892678237824,319.0,253.0,66.0,4
429.0,13to14,13,14,0.17423019242161608,-0.45732639284860166,414.0,253.0,161.0,4
444.0,14to19,14,19,0.3333333333333333,0.0,413.0,413.0,0.0,3
460.0,19to24,19,24,0.3333333333333333,0.0,414.0,414.0,0.0,3
476.0,24to23,24,23,0.5,0.0,414.0,414.0,0.0,2
493.0,23to22,23,22,0.22533882708840458,-0.5416733893046611,493.0,82.0,411.0,3
509.0,22to21,22,21,0.2226524404886152,-0.5571283865267833,509.0,21.0,488.0,3
