time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
37.0,gneE2,gneJ3,gneJ4,0.5,0.0,37.0,37.0,0.0,2
56.0,gneE3,gneJ4,gneJ5,0.5,0.0,56.0,56.0,0.0,2
76.0,gneE4,gneJ5,gneJ6,0.5,0.0,76.0,76.0,0.0,2
96.0,gneE5,gneJ6,gneJ7,0.5,0.0,96.0,96.0,0.0,2
115.0,gneE10,gneJ7,gneJ14,0.5,0.0,115.0,115.0,0.0,2
134.0,gneE11,gneJ14,gneJ10,0.5,0.0,134.0,134.0,0.0,2
155.0,gneE8,gneJ10,gneJ11,0.5,0.0,155.0,155.0,0.0,2
175.0,gneE9,gneJ11,gneJ12,0.5,0.0,175.0,175.0,0.0,2
197.0,-gneE9,gneJ12,gneJ11,1.0,0.0,42.0,42.0,0.0,1
216.0,gneE9,gneJ11,gneJ12,0.5,0.0,41.0,41.0,0.0,2
236.0,-gneE9,gneJ12,gneJ11,1.0,0.0,39.0,39.0,0.0,1
255.0,-gneE8,gneJ11,gneJ10,0.5,0.0,121.0,121.0,0.0,2
275.0,-gneE11,gneJ10,gneJ14,0.5,0.0,160.0,160.0,0.0,2
295.0,-gneE10,gneJ14,gneJ7,0.5,0.0,199.0,199.0,0.0,2
315.0,-gneE5,gneJ7,gneJ6,0.5,0.0,239.0,239.0,0.0,2
334.0,-gneE4,gneJ6,gneJ5,0.5,0.0,278.0,278.0,0.0,2
352.0,-gneE3,gneJ5,gneJ4,0.5,0.0,315.0,315.0,0.0,2
373.0,gneE3,gneJ4,gneJ5,0.5,0.0,39.0,39.0,0.0,2
392.0,gneE4,gneJ5,gneJ6,0.5,0.0,77.0,77.0,0.0,2
412.0,gneE5,gneJ6,gneJ7,0.5,0.0,117.0,117.0,0.0,2
432.0,gneE10,gneJ7,gneJ14,0.5,0.0,157.0,157.0,0.0,2
452.0,gneE11,gneJ14,gneJ10,0.5,0.0,197.0,197.0,0.0,2
470.0,gneE8,gneJ10,gneJ11,0.5,0.0,234.0,234.0,0.0,2
490.0,gneE9,gneJ11,gneJ12,0.5,0.0,274.0,274.0,0.0,2
511.0,-gneE9,gneJ12,gneJ11,1.0,0.0,41.0,41.0,0.0,1
531.0,-gneE8,gneJ11,gneJ10,0.5,0.0,79.0,79.0,0.0,2
550.0,-gneE11,gneJ10,gneJ14,0.5,0.0,118.0,118.0,0.0,2
569.0,-gneE10,gneJ14,gneJ7,0.5,0.0,157.0,157.0,0.0,2
589.0,-gneE5,gneJ7,gneJ6,0.5,0.0,197.0,197.0,0.0,2
610.0,-gneE4,gneJ6,gneJ5,0.5,0.0,237.0,237.0,0.0,2
628.0,-gneE3,gneJ5,gneJ4,0.5,0.0,276.0,276.0,0.0,2
648.0,-gneE2,gneJ4,gneJ3,0.5,0.0,630.0,630.0,0.0,2
667.0,-gneE1,gneJ3,gneJ2,0.5,0.0,667.0,667.0,0.0,2
689.0,gneE1,gneJ2,gneJ3,1.0,0.0,41.0,41.0,0.0,1
708.0,gneE2,gneJ3,gneJ4,0.5,0.0,80.0,80.0,0.0,2
728.0,gneE3,gneJ4,gneJ5,0.5,0.0,118.0,118.0,0.0,2
749.0,gneE4,gneJ5,gneJ6,0.5,0.0,160.0,160.0,0.0,2
770.0,gneE5,gneJ6,gneJ7,0.5,0.0,201.0,201.0,0.0,2
789.0,gneE10,gneJ7,gneJ14,0.5,0.0,239.0,239.0,0.0,2
808.0,gneE11,gneJ14,gneJ10,0.5,0.0,277.0,277.0,0.0,2
827.0,gneE8,gneJ10,gneJ11,0.5,0.0,316.0,316.0,0.0,2
846.0,gneE9,gneJ11,gneJ12,0.5,0.0,356.0,356.0,0.0,2
866.0,-gneE9,gneJ12,gneJ11,1.0,0.0,39.0,39.0,0.0,1
885.0,-gneE8,gneJ11,gneJ10,0.5,0.0,77.0,77.0,0.0,2
904.0,-gneE11,gneJ10,gneJ14,0.5,0.0,115.0,115.0,0.0,2
924.0,-gneE10,gneJ14,gneJ7,0.5,0.0,154.0,154.0,0.0,2
