time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
41.0,-gneE5,gneJ7,gneJ6,0.5,0.0,41.0,41.0,0.0,2
63.0,-gneE4,gneJ6,gneJ5,0.5,0.0,63.0,63.0,0.0,2
85.0,-gneE3,gneJ5,gneJ4,0.41887757526967284,-0.32738275437537473,85.0,47.0,38.0,2
105.0,-gneE2,gneJ4,gneJ3,0.397841906825283,-0.4144653167389283,105.0,5.0,100.0,2
126.0,-gneE1,gneJ3,gneJ2,0.4032109577814205,-0.3921037944020633,126.0,48.0,78.0,2
147.0,gneE1,gneJ2,gneJ3,1.0,0.0,42.0,42.0,0.0,1
169.0,gneE2,gneJ3,gneJ4,0.5180228055328986,-0.31998132553404723,84.0,49.0,35.0,2
190.0,gneE3,gneJ4,gneJ5,0.5061745151313696,-0.3897660006257698,127.0,51.0,76.0,2
210.0,gneE4,gneJ5,gneJ6,0.47452735634741317,-0.4293616162019099,169.0,51.0,118.0,2
232.0,gneE5,gneJ6,gneJ7,0.38802217622798213,-0.4556335529724271,212.0,54.0,158.0,2
253.0,gneE10,gneJ7,gneJ14,0.3833180535375906,-0.47548833558641895,253.0,56.0,197.0,2
273.0,gneE11,gneJ14,gneJ10,0.3813610976897424,-0.4837750566915749,273.0,57.0,216.0,2
295.0,-gneE11,gneJ10,gneJ14,0.5,0.0,42.0,42.0,0.0,2
317.0,-gneE10,gneJ14,gneJ7,0.6186389023102575,0.0,85.0,85.0,0.0,2
338.0,-gneE5,gneJ7,gneJ6,0.6166819464624095,0.0,128.0,128.0,0.0,2
357.0,-gneE4,gneJ6,gneJ5,0.6045672531787333,-0.0311013616656606,167.0,167.0,0.0,2
378.0,-gneE3,gneJ5,gneJ4,0.5244029380186629,-0.33167224899728537,209.0,209.0,0.0,2
398.0,-gneE2,gneJ4,gneJ3,0.49658730040499005,-0.40341701099076993,251.0,251.0,0.0,2
418.0,-gneE1,gneJ3,gneJ2,0.49177272028261665,-0.35289341496185694,292.0,292.0,0.0,2
442.0,gneE1,gneJ2,gneJ3,1.0,-0.030398225925734487,44.0,44.0,0.0,1
463.0,gneE2,gneJ3,gneJ4,0.506970161417923,-0.32501096304009064,85.0,85.0,0.0,2
486.0,-gneE2,gneJ4,gneJ3,0.4989536638387199,-0.3939513513805015,44.0,44.0,0.0,2
507.0,-gneE1,gneJ3,gneJ2,0.5011297626052124,-0.320491904928616,89.0,89.0,0.0,2
528.0,gneE1,gneJ2,gneJ3,1.0,-0.05780513430137956,42.0,42.0,0.0,1
550.0,gneE2,gneJ3,gneJ4,0.3987166213439056,-0.7313072978771187,87.0,4.0,83.0,2
571.0,gneE3,gneJ4,gneJ5,0.39082449619360954,-0.8377991607854072,214.0,44.0,170.0,2
592.0,gneE4,gneJ5,gneJ6,0.3811961717871109,-0.8161464249894381,254.0,83.0,171.0,2
613.0,gneE5,gneJ6,gneJ7,0.3096495785013171,-0.832859421412466,296.0,123.0,173.0,2
634.0,gneE10,gneJ7,gneJ14,0.2994378313727518,-0.8499762894781157,339.0,164.0,175.0,2
654.0,gneE11,gneJ14,gneJ10,0.2977117249793572,-0.8582183154464634,381.0,203.0,178.0,2
674.0,gneE8,gneJ10,gneJ11,0.3668046125387187,-0.5459497281093373,674.0,243.0,431.0,2
695.0,gneE9,gneJ11,gneJ12,0.36779839519791374,-0.5416733893046611,695.0,284.0,411.0,2
718.0,-gneE9,gneJ12,gneJ11,1.0,0.0,44.0,44.0,0.0,1
740.0,-gneE8,gneJ11,gneJ10,0.6322016048020862,0.0,86.0,86.0,0.0,2
762.0,-gneE11,gneJ10,gneJ14,0.6331953874612812,0.0,128.0,128.0,0.0,2
783.0,-gneE10,gneJ14,gneJ7,0.7022882750206428,0.0,170.0,170.0,0.0,2
805.0,-gneE5,gneJ7,gneJ6,0.5922036610051741,-0.4768935724353472,213.0,25.0,188.0,2
826.0,-gneE4,gneJ6,gneJ5,0.5684594031574679,-0.5572911103876389,255.0,65.0,190.0,2
848.0,-gneE3,gneJ5,gneJ4,0.5006853914147098,-0.8134048576134214,298.0,105.0,193.0,2
871.0,-gneE2,gneJ4,gneJ3,0.496454923904965,-0.851979702788568,343.0,147.0,196.0,2
892.0,-gneE1,gneJ3,gneJ2,0.4963328146036757,-0.7459763024960862,385.0,187.0,198.0,2
914.0,gneE1,gneJ2,gneJ3,1.0,-0.12149881416956787,43.0,43.0,0.0,1
936.0,gneE2,gneJ3,gneJ4,0.5020521920091795,-0.7377674883640205,88.0,88.0,0.0,2
958.0,gneE3,gneJ4,gneJ5,0.5051715647217072,-0.8312927061801415,132.0,132.0,0.0,2
978.0,gneE4,gneJ5,gneJ6,0.5064822416986905,-0.78747443797732,173.0,173.0,0.0,2
1000.0,gneE5,gneJ6,gneJ7,0.3387772702493643,-1.2260389807221113,217.0,41.0,176.0,2
1022.0,gneE10,gneJ7,gneJ14,0.3369466642336618,-1.1538243540307074,260.0,84.0,176.0,2
1042.0,gneE11,gneJ14,gneJ10,0.23839168317658735,-1.161517355037923,302.0,124.0,178.0,2
1063.0,gneE8,gneJ10,gneJ11,0.2870846854705315,-0.9095853963486821,345.0,165.0,180.0,2
1083.0,gneE9,gneJ11,gneJ12,0.2874893180930134,-0.9076091990925036,388.0,205.0,183.0,2
1105.0,-gneE9,gneJ12,gneJ11,1.0,-0.18714973875118524,42.0,34.0,8.0,1
1126.0,-gneE8,gneJ11,gneJ10,0.6354169738323402,-0.3520820704885332,84.0,34.0,50.0,2
1147.0,-gneE11,gneJ10,gneJ14,0.6235403307181699,-0.4049828703297239,125.0,35.0,90.0,2
1167.0,-gneE10,gneJ14,gneJ7,0.6538455032474454,-0.5255314628573535,167.0,35.0,132.0,2
1189.0,-gneE5,gneJ7,gneJ6,0.550614360976199,-0.9506710826024001,211.0,38.0,173.0,2
1209.0,-gneE4,gneJ6,gneJ5,0.5374243140956116,-1.0760612303827422,251.0,38.0,213.0,2
1230.0,-gneE3,gneJ5,gneJ4,0.3727358387301517,-1.3079722381355474,294.0,38.0,256.0,2
1251.0,-gneE2,gneJ4,gneJ3,0.37643296295360673,-1.3360090046939321,337.0,39.0,298.0,2
1273.0,-gneE1,gneJ3,gneJ2,0.39825437730164714,-1.1505113506436773,381.0,42.0,339.0,2
1295.0,gneE1,gneJ2,gneJ3,1.0,-0.5589638255024304,44.0,6.0,38.0,1
1315.0,gneE2,gneJ3,gneJ4,0.5177106376196312,-1.0796391499106264,85.0,45.0,40.0,2
1335.0,gneE3,gneJ4,gneJ5,0.6255177959183492,-0.8229735071699728,126.0,126.0,0.0,2
1356.0,gneE4,gneJ5,gneJ6,0.6217586302623446,-0.8109528110659485,167.0,167.0,0.0,2
1377.0,gneE5,gneJ6,gneJ7,0.4706120104439586,-1.1937488354971282,210.0,210.0,0.0,2
1398.0,gneE10,gneJ7,gneJ14,0.46563020666738153,-1.0883674075990852,251.0,251.0,0.0,2
1419.0,gneE11,gneJ14,gneJ10,0.36393915513287084,-1.0838389922154543,293.0,293.0,0.0,2
1440.0,gneE8,gneJ10,gneJ11,0.39005244274914813,-0.8520746534102245,335.0,335.0,0.0,2
1461.0,gneE9,gneJ11,gneJ12,0.38165123850942,-0.8346275043646159,378.0,378.0,0.0,2
1484.0,-gneE9,gneJ12,gneJ11,1.0,-0.518198726810423,44.0,15.0,29.0,1
1506.0,-gneE8,gneJ11,gneJ10,0.5424559835307788,-0.664393649539821,87.0,57.0,30.0,2
1526.0,-gneE11,gneJ10,gneJ14,0.5299942555387069,-0.7319534024164919,128.0,97.0,31.0,2
1547.0,-gneE10,gneJ14,gneJ7,0.542196872469118,-0.9146490625396442,170.0,136.0,34.0,2
1568.0,-gneE5,gneJ7,gneJ6,0.4518304424346309,-1.2816450762074836,212.0,178.0,34.0,2
1588.0,-gneE4,gneJ6,gneJ5,0.4640075953788197,-1.337967904541472,253.0,218.0,35.0,2
1608.0,-gneE3,gneJ5,gneJ4,0.32804672697217874,-1.5279855564680207,293.0,258.0,35.0,2
1629.0,-gneE2,gneJ4,gneJ3,0.31560366640784127,-1.5970234858950003,334.0,299.0,35.0,2
1650.0,-gneE1,gneJ3,gneJ2,0.43151204062602505,-1.3553238689856173,377.0,341.0,36.0,2
1674.0,gneE1,gneJ2,gneJ3,1.0,-0.8971685502174169,45.0,29.0,16.0,1
1694.0,gneE2,gneJ3,gneJ4,0.5193104500477592,-1.2780436304368468,86.0,69.0,17.0,2
1715.0,gneE3,gneJ4,gneJ5,0.6292612234287253,-1.067974724170141,127.0,110.0,17.0,2
1737.0,gneE4,gneJ5,gneJ6,0.5988445195399464,-1.1273326427357093,169.0,152.0,17.0,2
1759.0,gneE5,gneJ6,gneJ7,0.47862492893665076,-1.4235203320349634,212.0,194.0,18.0,2
1781.0,gneE10,gneJ7,gneJ14,0.4913402199500804,-1.316287660563524,255.0,235.0,20.0,2
1801.0,gneE11,gneJ14,gneJ10,0.408689604263387,-1.284034192225803,295.0,274.0,21.0,2
1823.0,gneE8,gneJ10,gneJ11,0.40994930159085124,-1.0961283677355347,339.0,315.0,24.0,2
1844.0,gneE9,gneJ11,gneJ12,0.40169244657021325,-1.0628118371465536,383.0,357.0,26.0,2
1866.0,-gneE9,gneJ12,gneJ11,1.0,-0.7374142344186401,43.0,34.0,9.0,1
1888.0,-gneE8,gneJ11,gneJ10,0.5485429103238734,-0.8680266572236917,87.0,78.0,9.0,2
1909.0,-gneE11,gneJ10,gneJ14,0.535042889227978,-0.955726623706024,128.0,119.0,9.0,2
1931.0,-gneE10,gneJ14,gneJ7,0.52848943445559,-1.1699528888728223,172.0,163.0,9.0,2
1953.0,gneE10,gneJ7,gneJ14,0.45738952162080504,-1.4525014149129771,44.0,37.0,7.0,2
1974.0,gneE11,gneJ14,gneJ10,0.4428081025460272,-1.3997260900330228,86.0,78.0,8.0,2
1994.0,gneE8,gneJ10,gneJ11,0.42652366389488144,-1.2517754478641234,128.0,118.0,10.0,2
2016.0,gneE9,gneJ11,gneJ12,0.4174654140234942,-1.201213515770737,172.0,162.0,10.0,2
2037.0,-gneE9,gneJ12,gneJ11,1.0,-0.7461353434130268,43.0,43.0,0.0,1
2058.0,-gneE8,gneJ11,gneJ10,0.5815636155209166,-0.8720180207533947,84.0,84.0,0.0,2
2079.0,-gneE11,gneJ10,gneJ14,0.5696629085210543,-0.9712994857783397,126.0,126.0,0.0,2
2099.0,-gneE10,gneJ14,gneJ7,0.5057440227480738,-1.3767489882026966,168.0,159.0,9.0,2
2120.0,-gneE5,gneJ7,gneJ6,0.4105934666992348,-1.814013976955216,383.0,4.0,379.0,2
2142.0,-gneE4,gneJ6,gneJ5,0.4016561639249654,-1.822089488453791,427.0,46.0,381.0,2
2162.0,-gneE3,gneJ5,gneJ4,0.30186591704618515,-1.9657608874780654,468.0,85.0,383.0,2
2184.0,-gneE2,gneJ4,gneJ3,0.2705450458832973,-2.0598337286016966,510.0,126.0,384.0,2
2205.0,-gneE1,gneJ3,gneJ2,0.373328009083234,-1.7960094795652741,555.0,168.0,387.0,2
2228.0,gneE1,gneJ2,gneJ3,1.0,-0.9288658400871757,44.0,44.0,0.0,1
2250.0,gneE2,gneJ3,gneJ4,0.6328150700032106,-1.2516968661893255,88.0,88.0,0.0,2
2270.0,gneE3,gneJ4,gneJ5,0.7293959169005201,-1.0682738528130193,128.0,128.0,0.0,2
2290.0,gneE4,gneJ5,gneJ6,0.6933710883899691,-1.14983381000546,170.0,170.0,0.0,2
2310.0,gneE5,gneJ6,gneJ7,0.48331105105487626,-1.8888700913415526,211.0,18.0,193.0,2
2332.0,gneE10,gneJ7,gneJ14,0.4789649369055591,-1.8982039219325986,253.0,61.0,192.0,2
2353.0,gneE11,gneJ14,gneJ10,0.39965119778499336,-1.783667650380476,295.0,100.0,195.0,2
2374.0,gneE8,gneJ10,gneJ11,0.3373629168150727,-1.6463676848466742,337.0,141.0,196.0,2
2395.0,gneE9,gneJ11,gneJ12,0.329450220461945,-1.5826906965910947,379.0,183.0,196.0,2
2418.0,-gneE9,gneJ12,gneJ11,1.0,-0.7543635210432966,44.0,44.0,0.0,1
2439.0,-gneE8,gneJ11,gneJ10,0.6694284199417692,-0.8770896698269975,86.0,86.0,0.0,2
