time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
30.0,10to5,10,5,0.3333333333333333,0.0,30.0,30.0,0.0,3
45.0,5to10,5,10,0.256198347107438,0.0,31.0,31.0,0.0,3
61.0,10to11,10,11,0.39869281045751637,0.0,61.0,61.0,0.0,3
77.0,11to10,11,10,0.12167300380228137,0.0,32.0,32.0,0.0,4
93.0,10to11,10,11,0.1702127659574468,0.0,32.0,32.0,0.0,3
109.0,11to16,11,16,0.30362116991643456,0.0,109.0,109.0,0.0,4
125.0,16to15,16,15,0.3071253071253071,0.0,125.0,125.0,0.0,4
142.0,15to10,15,10,0.2708333333333333,0.0,65.0,65.0,0.0,3
158.0,10to15,10,15,0.14601769911504425,0.0,33.0,33.0,0.0,3
174.0,15to20,15,20,0.6420664206642066,0.0,174.0,174.0,0.0,3
189.0,20to21,20,21,0.8590909090909091,0.0,189.0,189.0,0.0,2
204.0,21to22,21,22,0.6200607902735562,0.0,204.0,204.0,0.0,3
220.0,22to17,22,17,0.46709129511677283,0.0,220.0,220.0,0.0,3
236.0,17to12,17,12,0.37400950871632327,0.0,236.0,236.0,0.0,4
251.0,12to7,12,7,0.36324167872648333,0.0,251.0,251.0,0.0,4
268.0,7to8,7,8,0.32057416267942584,0.0,268.0,268.0,0.0,4
283.0,8to3,8,3,0.32122587968217936,0.0,283.0,283.0,0.0,4
299.0,3to4,3,4,0.4753577106518283,0.0,299.0,299.0,0.0,3
314.0,4to9,4,9,0.9101449275362319,0.0,314.0,314.0,0.0,2
329.0,9to8,9,8,0.14523809523809525,0.0,61.0,61.0,0.0,3
345.0,8to3,8,3,0.11654135338345864,0.0,62.0,62.0,0.0,4
362.0,3to2,3,2,0.7903930131004366,0.0,362.0,362.0,0.0,3
378.0,2to3,2,3,0.06133828996282528,0.0,33.0,33.0,0.0,3
394.0,3to2,3,2,0.16666666666666666,0.0,32.0,32.0,0.0,3
411.0,2to1,2,1,0.6804635761589404,0.0,411.0,411.0,0.0,3
427.0,1to6,1,6,0.4813979706877114,0.0,427.0,427.0,0.0,3
444.0,6to5,6,5,0.4177598385469223,0.0,414.0,414.0,0.0,4
460.0,5to0,5,0,0.5672009864364982,0.0,460.0,460.0,0.0,3
476.0,0to1,0,1,0.6701030927835051,0.0,65.0,65.0,0.0,2
493.0,1to6,1,6,0.3333333333333333,0.0,66.0,66.0,0.0,3
508.0,6to5,6,5,0.08333333333333333,0.0,64.0,64.0,0.0,4
525.0,5to0,5,0,0.13541666666666666,0.0,65.0,65.0,0.0,3
541.0,0to1,0,1,0.6632653061224489,0.0,65.0,65.0,0.0,2
559.0,1to2,1,2,0.6226415094339622,0.0,165.0,165.0,0.0,3
573.0,2to1,2,1,0.058287795992714025,0.0,32.0,32.0,0.0,3
589.0,1to2,1,2,0.15789473684210525,0.0,30.0,30.0,0.0,3
605.0,2to7,2,7,0.5774877650897227,0.0,354.0,354.0,0.0,3
620.0,7to8,7,8,0.34933973589435774,0.0,291.0,291.0,0.0,4
637.0,8to13,8,13,0.5091926458832934,0.0,637.0,637.0,0.0,4
653.0,13to12,13,12,0.23747152619589978,0.0,417.0,417.0,0.0,4
668.0,12to13,12,13,0.02775290957923008,0.0,31.0,31.0,0.0,4
684.0,13to18,13,18,0.4675324675324675,0.0,684.0,684.0,0.0,4
700.0,18to23,18,23,0.36610878661087864,0.0,700.0,700.0,0.0,4
716.0,23to18,23,18,0.025396825396825397,0.0,32.0,32.0,0.0,3
733.0,18to19,18,19,0.5453869047619048,0.0,733.0,733.0,0.0,4
749.0,19to24,19,24,0.4892227302416721,0.0,749.0,749.0,0.0,3
763.0,24to19,24,19,0.3225806451612903,0.0,30.0,30.0,0.0,2
780.0,19to14,19,14,0.8914285714285715,0.0,780.0,780.0,0.0,3
796.0,14to19,14,19,0.05132192846034215,0.0,33.0,33.0,0.0,3
811.0,19to14,19,14,0.16489361702127658,0.0,31.0,31.0,0.0,3
828.0,14to9,14,9,0.7280453257790368,0.0,514.0,514.0,0.0,3
844.0,9to14,9,14,0.04114713216957606,0.0,33.0,33.0,0.0,3
860.0,14to9,14,9,0.1111111111111111,0.0,32.0,32.0,0.0,3
877.0,9to4,9,4,0.6658986175115207,0.0,578.0,578.0,0.0,3
893.0,4to9,4,9,0.060218978102189784,0.0,33.0,33.0,0.0,2
907.0,9to4,9,4,0.07894736842105263,0.0,30.0,30.0,0.0,3
924.0,4to3,4,3,0.9462738301559792,0.0,546.0,546.0,0.0,2
941.0,3to2,3,2,0.49787835926449786,0.0,352.0,352.0,0.0,3
957.0,2to7,2,7,0.4577373211963589,0.0,352.0,352.0,0.0,3
973.0,7to12,7,12,0.270042194092827,0.0,320.0,320.0,0.0,4
990.0,12to11,12,11,0.443620178041543,0.0,897.0,897.0,0.0,4
1005.0,11to12,11,12,0.013894919669995658,0.0,32.0,32.0,0.0,4
1021.0,12to11,12,11,0.024819855884707767,0.0,31.0,31.0,0.0,4
1035.0,11to16,11,16,0.3872856545378503,0.0,926.0,926.0,0.0,4
1050.0,16to15,16,15,0.34150076569678406,0.0,892.0,892.0,0.0,4
1066.0,15to20,15,20,0.48294531672983215,0.0,892.0,892.0,0.0,3
1082.0,20to21,20,21,0.9654054054054054,0.0,893.0,893.0,0.0,2
1098.0,21to22,21,22,0.9039433771486349,0.0,894.0,894.0,0.0,3
1115.0,22to23,22,23,0.3090096798212956,0.0,415.0,415.0,0.0,3
1131.0,23to24,23,24,0.4602409638554217,0.0,382.0,382.0,0.0,3
1146.0,24to23,24,23,0.08136482939632546,0.0,31.0,31.0,0.0,2
1163.0,23to18,23,18,0.8216911764705882,0.0,447.0,447.0,0.0,3
1180.0,18to19,18,19,0.20317460317460317,0.0,384.0,384.0,0.0,4
1197.0,19to14,19,14,0.7792494481236203,0.0,353.0,353.0,0.0,3
1211.0,14to13,14,13,0.6087443946188341,0.0,543.0,543.0,0.0,3
1228.0,13to18,13,18,0.07011866235167206,0.0,65.0,65.0,0.0,4
1246.0,18to17,18,17,0.8361858190709046,0.0,1026.0,1026.0,0.0,4
1262.0,17to18,17,18,0.04985337243401759,0.0,34.0,34.0,0.0,4
1277.0,18to17,18,17,0.09538461538461539,0.0,31.0,31.0,0.0,4
1293.0,17to12,17,12,0.37305699481865284,0.0,288.0,288.0,0.0,4
1308.0,12to17,12,17,0.04046997389033943,0.0,31.0,31.0,0.0,4
1323.0,17to12,17,12,0.04966887417218543,0.0,30.0,30.0,0.0,4
1339.0,12to7,12,7,0.4447031431897555,0.0,382.0,382.0,0.0,4
1355.0,7to6,7,6,0.4219285364659814,0.0,862.0,862.0,0.0,4
1370.0,6to11,6,11,0.17116233447768514,0.0,349.0,349.0,0.0,4
1387.0,11to16,11,16,0.20791494388659185,0.0,352.0,352.0,0.0,4
1402.0,16to15,16,15,0.44110275689223055,0.0,352.0,352.0,0.0,4
1419.0,15to10,15,10,0.7683513838748496,0.0,1277.0,1277.0,0.0,3
1435.0,10to5,10,5,0.904390243902439,0.0,927.0,927.0,0.0,3
1452.0,5to10,5,10,0.03122043519394513,0.0,33.0,33.0,0.0,3
1467.0,10to5,10,5,0.16494845360824742,0.0,32.0,32.0,0.0,3
1484.0,5to0,5,0,0.85625,0.0,959.0,959.0,0.0,3
1499.0,0to1,0,1,0.9665970772442589,0.0,926.0,926.0,0.0,2
1515.0,1to6,1,6,0.20915032679738563,0.0,160.0,160.0,0.0,3
1533.0,6to5,6,5,0.14442013129102846,0.0,66.0,66.0,0.0,4
1549.0,5to0,5,0,0.33163265306122447,0.0,65.0,65.0,0.0,3
1564.0,0to1,0,1,0.6770833333333334,0.0,65.0,65.0,0.0,2
1581.0,1to2,1,2,0.8672086720867209,0.0,640.0,640.0,0.0,3
1597.0,2to1,2,1,0.03423236514522822,0.0,33.0,33.0,0.0,3
1612.0,1to2,1,2,0.16230366492146597,0.0,31.0,31.0,0.0,3
1629.0,2to3,2,3,0.6864654333008764,0.0,705.0,705.0,0.0,3
1644.0,3to2,3,2,0.01784718349135527,0.0,32.0,32.0,0.0,3
1659.0,2to7,2,7,0.7766990291262136,0.0,320.0,320.0,0.0,3
1675.0,7to6,7,6,0.10012515644555695,0.0,160.0,160.0,0.0,4
1692.0,6to7,6,7,0.054187192118226604,0.0,33.0,33.0,0.0,4
1708.0,7to8,7,8,0.6929936305732484,0.0,1088.0,1088.0,0.0,4
1725.0,8to13,8,13,0.34847457627118644,0.0,514.0,514.0,0.0,4
1740.0,13to8,13,8,0.021768707482993196,0.0,32.0,32.0,0.0,4
1757.0,8to3,8,3,0.11753902662993572,0.0,128.0,128.0,0.0,4
1772.0,3to8,3,8,0.03121951219512195,0.0,32.0,32.0,0.0,3
1789.0,8to9,8,9,0.82277318640955,0.0,896.0,896.0,0.0,4
1803.0,9to8,9,8,0.020221787345075015,0.0,31.0,31.0,0.0,3
1819.0,8to9,8,9,0.09584664536741214,0.0,30.0,30.0,0.0,4
1834.0,9to4,9,4,0.5811912225705329,0.0,927.0,927.0,0.0,3
1850.0,4to9,4,9,0.25,0.0,31.0,31.0,0.0,2
1865.0,9to4,9,4,0.040735873850197106,0.0,31.0,31.0,0.0,3
1881.0,4to3,4,3,0.8,0.0,124.0,124.0,0.0,2
1897.0,3to4,3,4,0.08443271767810026,0.0,32.0,32.0,0.0,3
1912.0,4to3,4,3,0.3333333333333333,0.0,31.0,31.0,0.0,2
1928.0,3to2,3,2,0.6454545454545455,0.0,284.0,284.0,0.0,3
1943.0,2to7,2,7,0.3996815286624204,0.0,251.0,251.0,0.0,3
1960.0,7to8,7,8,0.1413141314131413,0.0,157.0,157.0,0.0,4
1976.0,8to7,8,7,0.06962025316455696,0.0,33.0,33.0,0.0,4
1994.0,7to12,7,12,0.6155963302752293,0.0,671.0,671.0,0.0,4
2008.0,12to7,12,7,0.019358741681790685,0.0,32.0,32.0,0.0,4
2024.0,7to12,7,12,0.055658627087198514,0.0,30.0,30.0,0.0,4
2041.0,12to17,12,17,0.41814033086138047,0.0,733.0,733.0,0.0,4
2057.0,17to16,17,16,0.2726902726902727,0.0,670.0,670.0,0.0,4
2073.0,16to15,16,15,0.27993324989570295,0.0,671.0,671.0,0.0,4
2089.0,15to10,15,10,0.3764775413711584,0.0,637.0,637.0,0.0,3
2106.0,10to11,10,11,0.5484351713859911,0.0,736.0,736.0,0.0,3
2121.0,11to10,11,10,0.050078247261345854,0.0,32.0,32.0,0.0,4
2137.0,10to5,10,5,0.8640915593705293,0.0,604.0,604.0,0.0,3
2154.0,5to10,5,10,0.02954341987466428,0.0,33.0,33.0,0.0,3
2169.0,10to5,10,5,0.16753926701570682,0.0,32.0,32.0,0.0,3
2186.0,5to0,5,0,0.5398305084745763,0.0,637.0,637.0,0.0,3
2202.0,0to1,0,1,0.9482758620689655,0.0,605.0,605.0,0.0,2
2218.0,1to6,1,6,0.6277456647398844,0.0,543.0,543.0,0.0,3
2235.0,6to11,6,11,0.2835164835164835,0.0,129.0,129.0,0.0,4
2252.0,11to6,11,6,0.06126126126126126,0.0,34.0,34.0,0.0,4
2269.0,6to7,6,7,0.564935064935065,0.0,261.0,261.0,0.0,4
2283.0,7to6,7,6,0.03202479338842975,0.0,31.0,31.0,0.0,4
2300.0,6to7,6,7,0.09538461538461539,0.0,31.0,31.0,0.0,4
2317.0,7to2,7,2,0.3625349487418453,0.0,389.0,389.0,0.0,4
2334.0,2to1,2,1,0.22448979591836735,0.0,132.0,132.0,0.0,3
2350.0,1to6,1,6,0.2537878787878788,0.0,67.0,67.0,0.0,3
2367.0,6to5,6,5,0.4604651162790698,0.0,198.0,198.0,0.0,4
2384.0,5to10,5,10,0.49783549783549785,0.0,230.0,230.0,0.0,3
2400.0,10to15,10,15,0.6228571428571429,0.0,327.0,327.0,0.0,3
2417.0,15to20,15,20,0.7746559633027523,0.0,1351.0,1351.0,0.0,3
2433.0,20to21,20,21,0.9761560693641619,0.0,1351.0,1351.0,0.0,2
2451.0,21to22,21,22,0.759685569904548,0.0,1353.0,1353.0,0.0,3
2467.0,22to17,22,17,0.23919146546883774,0.0,426.0,426.0,0.0,3
2484.0,17to22,17,22,0.015406162464985995,0.0,33.0,33.0,0.0,4
2499.0,22to23,22,23,0.9324603721571331,0.0,1353.0,1353.0,0.0,3
2514.0,23to18,23,18,0.4697936210131332,0.0,1252.0,1252.0,0.0,3
2529.0,18to23,18,23,0.013363028953229399,0.0,30.0,30.0,0.0,4
