time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
29.0,21to22,21,22,0.3333333333333333,0.0,29.0,29.0,0.0,3
45.0,22to17,22,17,0.371900826446281,0.0,45.0,45.0,0.0,3
61.0,17to22,17,22,0.14883720930232558,0.0,32.0,32.0,0.0,4
78.0,22to23,22,23,0.44571428571428573,0.0,78.0,78.0,0.0,3
93.0,23to24,23,24,0.42660550458715596,0.0,93.0,93.0,0.0,3
108.0,24to23,24,23,0.21739130434782608,0.0,30.0,30.0,0.0,2
124.0,23to18,23,18,0.5688073394495413,0.0,124.0,124.0,0.0,3
141.0,18to17,18,17,0.23357664233576642,0.0,96.0,96.0,0.0,4
157.0,17to12,17,12,0.3544018058690745,0.0,157.0,157.0,0.0,4
173.0,12to11,12,11,0.3139745916515426,0.0,173.0,173.0,0.0,4
190.0,11to16,11,16,0.3150912106135987,0.0,190.0,190.0,0.0,4
206.0,16to11,16,11,0.06653225806451613,0.0,33.0,33.0,0.0,4
222.0,11to6,11,6,0.41035120147874304,0.0,222.0,222.0,0.0,4
239.0,6to5,6,5,0.31866666666666665,0.0,239.0,239.0,0.0,4
254.0,5to10,5,10,0.4703703703703704,0.0,254.0,254.0,0.0,3
269.0,10to5,10,5,0.08287292817679558,0.0,30.0,30.0,0.0,3
285.0,5to10,5,10,0.08179419525065963,0.0,31.0,31.0,0.0,3
301.0,10to15,10,15,0.7032710280373832,0.0,301.0,301.0,0.0,3
317.0,15to10,15,10,0.06722689075630252,0.0,32.0,32.0,0.0,3
332.0,10to15,10,15,0.1409090909090909,0.0,31.0,31.0,0.0,3
349.0,15to20,15,20,0.6462962962962963,0.0,349.0,349.0,0.0,3
365.0,20to15,20,15,0.0859375,0.0,33.0,33.0,0.0,2
380.0,15to20,15,20,0.10915492957746478,0.0,31.0,31.0,0.0,3
396.0,20to21,20,21,0.9249394673123487,0.0,382.0,382.0,0.0,2
411.0,21to20,21,20,0.05149501661129568,0.0,31.0,31.0,0.0,3
426.0,20to21,20,21,0.32967032967032966,0.0,30.0,30.0,0.0,2
442.0,21to22,21,22,0.5737951807228916,0.0,381.0,381.0,0.0,3
458.0,22to23,22,23,0.5007153075822603,0.0,350.0,350.0,0.0,3
474.0,23to18,23,18,0.45871559633027525,0.0,350.0,350.0,0.0,3
491.0,18to13,18,13,0.3597069597069597,0.0,491.0,491.0,0.0,4
506.0,13to8,13,8,0.36324479540559945,0.0,506.0,506.0,0.0,4
521.0,8to9,8,9,0.3270558694287508,0.0,521.0,521.0,0.0,4
538.0,9to4,9,4,0.4855595667870036,0.0,538.0,538.0,0.0,3
552.0,4to9,4,9,0.05317324185248713,0.0,31.0,31.0,0.0,2
566.0,9to4,9,4,0.04281345565749235,0.0,28.0,28.0,0.0,3
581.0,4to3,4,3,0.9524590163934427,0.0,581.0,581.0,0.0,2
596.0,3to4,3,4,0.04189944134078212,0.0,30.0,30.0,0.0,3
612.0,4to3,4,3,0.34065934065934067,0.0,31.0,31.0,0.0,2
630.0,3to2,3,2,0.799492385786802,0.0,630.0,630.0,0.0,3
645.0,2to7,2,7,0.4875283446712018,0.0,645.0,645.0,0.0,3
660.0,7to6,7,6,0.3893333333333333,0.0,438.0,438.0,0.0,4
675.0,6to1,6,1,0.4272151898734177,0.0,675.0,675.0,0.0,4
