time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
29.0,5to6,5,6,0.3333333333333333,0.0,29.0,29.0,0.0,3
45.0,6to1,6,1,0.2694610778443114,0.0,45.0,45.0,0.0,4
61.0,1to0,1,0,0.3961038961038961,0.0,61.0,61.0,0.0,3
77.0,0to1,0,1,0.3333333333333333,0.0,32.0,32.0,0.0,2
93.0,1to0,1,0,0.1693121693121693,0.0,32.0,32.0,0.0,3
108.0,0to5,0,5,0.753968253968254,0.0,95.0,95.0,0.0,2
124.0,5to10,5,10,0.496,0.0,124.0,124.0,0.0,3
140.0,10to11,10,11,0.39093892272126585,-0.2375151596653733,140.0,126.0,14.0,3
156.0,11to16,11,16,0.33121019108280253,0.0,156.0,156.0,0.0,4
172.0,16to15,16,15,0.26389544487438915,-0.2437245180991989,172.0,157.0,15.0,4
189.0,15to16,15,16,0.11498257839721254,0.0,33.0,33.0,0.0,3
204.0,16to17,16,17,0.3133418403723582,-0.42222130940062297,204.0,95.0,109.0,4
221.0,17to18,17,18,0.22517676059959135,-0.4727046085241967,221.0,30.0,191.0,4
237.0,18to23,18,23,0.22709883900843333,-0.46431497692930757,237.0,63.0,174.0,4
252.0,23to24,23,24,0.47102803738317756,0.0,252.0,252.0,0.0,3
267.0,24to19,24,19,0.8506904748131923,-0.4460244351841135,267.0,125.0,142.0,2
284.0,19to18,19,18,0.15297151549012206,-0.09887510598012988,63.0,60.0,3.0,3
300.0,18to23,18,23,0.08816848280311891,-0.4178834792363768,63.0,63.0,0.0,4
315.0,23to24,23,24,0.15403422982885084,0.0,63.0,63.0,0.0,3
331.0,24to19,24,19,0.559430130316817,-0.4860462849999221,64.0,60.0,4.0,2
347.0,19to14,19,14,0.7006848021307044,-0.5093533994183659,347.0,60.0,287.0,3
363.0,14to9,14,9,0.35463684778701005,-0.5142359524958433,363.0,60.0,303.0,3
379.0,9to4,9,4,0.3738804471038577,-0.43454823635720713,379.0,254.0,125.0,3
393.0,4to3,4,3,0.8858538387275695,-0.5235400043966884,393.0,57.0,336.0,2
410.0,3to2,3,2,0.35236045420114387,-0.5357919000859006,410.0,25.0,385.0,3
426.0,2to1,2,1,0.3112578693622988,-0.5202669164213096,349.0,25.0,324.0,3
443.0,1to2,1,2,0.03498608394664928,-0.1751319134149782,33.0,26.0,7.0,3
460.0,2to7,2,7,0.7533501744517788,-0.546366395520224,460.0,27.0,433.0,3
474.0,7to2,7,2,0.021769662921348316,0.0,31.0,31.0,0.0,4
489.0,2to7,2,7,0.10488565039546076,-0.6176886937863597,29.0,22.0,7.0,3
507.0,7to8,7,8,0.22860003725625977,-0.5191488896214395,507.0,187.0,320.0,4
523.0,8to13,8,13,0.48317626465910096,-0.54615830294197,523.0,91.0,432.0,4
540.0,13to12,13,12,0.3910828903744977,-0.5563876416044969,540.0,56.0,484.0,4
557.0,12to11,12,11,0.3485745322140011,-0.538099718841101,417.0,22.0,395.0,4
573.0,11to16,11,16,0.18045368980330795,-0.5304962550838366,384.0,21.0,363.0,4
588.0,16to21,16,21,0.3948878217870491,-0.3921037944020633,588.0,510.0,78.0,4
