time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
37.0,gneE11,gneJ14,gneJ10,0.5,0.0,37.0,37.0,0.0,2
58.0,gneE8,gneJ10,gneJ11,0.5918367346938775,0.0,58.0,58.0,0.0,2
78.0,-gneE8,gneJ11,gneJ10,0.3445378151260504,0.0,41.0,41.0,0.0,2
98.0,gneE8,gneJ10,gneJ11,0.3333333333333333,0.0,40.0,40.0,0.0,2
118.0,gneE9,gneJ11,gneJ12,0.7468354430379747,0.0,118.0,118.0,0.0,2
140.0,-gneE9,gneJ12,gneJ11,1.0,0.0,42.0,42.0,0.0,1
159.0,gneE9,gneJ11,gneJ12,0.3360655737704918,0.0,41.0,41.0,0.0,2
179.0,-gneE9,gneJ12,gneJ11,1.0,0.0,39.0,39.0,0.0,1
199.0,-gneE8,gneJ11,gneJ10,0.7515527950310559,0.0,121.0,121.0,0.0,2
219.0,-gneE11,gneJ10,gneJ14,0.8340248962655602,0.0,201.0,201.0,0.0,2
239.0,-gneE10,gneJ14,gneJ7,0.8566308243727598,0.0,239.0,239.0,0.0,2
260.0,gneE10,gneJ7,gneJ14,0.1362126245847176,0.0,41.0,41.0,0.0,2
280.0,-gneE10,gneJ14,gneJ7,0.3360655737704918,0.0,41.0,41.0,0.0,2
300.0,-gneE5,gneJ7,gneJ6,0.8823529411764706,0.0,300.0,300.0,0.0,2
319.0,-gneE4,gneJ6,gneJ5,0.8910614525139665,0.0,319.0,319.0,0.0,2
337.0,-gneE3,gneJ5,gneJ4,0.9010695187165776,0.0,337.0,337.0,0.0,2
357.0,gneE3,gneJ4,gneJ5,0.09620253164556962,0.0,38.0,38.0,0.0,2
376.0,-gneE3,gneJ5,gneJ4,0.3391304347826087,0.0,39.0,39.0,0.0,2
396.0,-gneE2,gneJ4,gneJ3,0.9103448275862069,0.0,396.0,396.0,0.0,2
415.0,gneE2,gneJ3,gneJ4,0.08590308370044053,0.0,39.0,39.0,0.0,2
436.0,-gneE2,gneJ4,gneJ3,0.33613445378151263,0.0,40.0,40.0,0.0,2
455.0,-gneE1,gneJ3,gneJ2,0.9191919191919192,0.0,455.0,455.0,0.0,2
477.0,gneE1,gneJ2,gneJ3,1.0,0.0,41.0,41.0,0.0,1
497.0,-gneE1,gneJ3,gneJ2,0.3387096774193548,0.0,42.0,42.0,0.0,2
518.0,gneE1,gneJ2,gneJ3,1.0,0.0,41.0,41.0,0.0,1
537.0,gneE2,gneJ3,gneJ4,0.7530864197530864,0.0,122.0,122.0,0.0,2
557.0,gneE3,gneJ4,gneJ5,0.8368200836820083,0.0,200.0,200.0,0.0,2
577.0,gneE4,gneJ5,gneJ6,0.8738170347003155,0.0,277.0,277.0,0.0,2
598.0,-gneE4,gneJ6,gneJ5,0.11420612813370473,0.0,41.0,41.0,0.0,2
618.0,gneE4,gneJ5,gneJ6,0.3360655737704918,0.0,41.0,41.0,0.0,2
638.0,gneE5,gneJ6,gneJ7,0.8994974874371859,0.0,358.0,358.0,0.0,2
