time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
41.0,-gneE11,gneJ10,gneJ14,0.5,0.0,41.0,41.0,0.0,2
62.0,-gneE10,gneJ14,gneJ7,0.5264255571570557,-0.2601334582106548,62.0,44.0,18.0,2
84.0,gneE10,gneJ7,gneJ14,0.33858267716535434,0.0,43.0,43.0,0.0,2
105.0,-gneE10,gneJ14,gneJ7,0.28347945024942905,-0.23412011238958932,43.0,43.0,0.0,2
126.0,-gneE5,gneJ7,gneJ6,0.6837868066593208,-0.32738275437537473,126.0,88.0,38.0,2
147.0,-gneE4,gneJ6,gneJ5,0.6990785930721078,-0.40984892024404873,147.0,52.0,95.0,2
169.0,gneE4,gneJ5,gneJ6,0.2028301886792453,0.0,43.0,43.0,0.0,2
189.0,-gneE4,gneJ6,gneJ5,0.25692529772356193,-0.36886402821964387,42.0,42.0,0.0,2
209.0,-gneE3,gneJ5,gneJ4,0.7733275962528716,-0.4262578603555046,209.0,95.0,114.0,2
231.0,gneE3,gneJ4,gneJ5,0.15384615384615385,0.0,42.0,42.0,0.0,2
254.0,-gneE3,gneJ5,gneJ4,0.2190935662422669,-0.6349676911260967,45.0,20.0,25.0,2
274.0,-gneE2,gneJ4,gneJ3,0.7946546254827419,-0.4987137190642583,274.0,19.0,255.0,2
295.0,-gneE1,gneJ3,gneJ2,0.8174004069339103,-0.4745699602707372,295.0,100.0,195.0,2
317.0,gneE1,gneJ2,gneJ3,1.0,0.0,43.0,43.0,0.0,1
339.0,-gneE1,gneJ3,gneJ2,0.25245252818984965,-0.4271129642436635,44.0,44.0,0.0,2
362.0,gneE1,gneJ2,gneJ3,1.0,0.0,45.0,45.0,0.0,1
382.0,gneE2,gneJ3,gneJ4,0.7762484050348438,-0.2740070193951081,128.0,107.0,21.0,2
405.0,-gneE2,gneJ4,gneJ3,0.13322636283466585,-0.47487301400036774,43.0,43.0,0.0,2
428.0,gneE2,gneJ3,gneJ4,0.3823729567646903,-0.24660631745559727,46.0,46.0,0.0,2
449.0,gneE3,gneJ4,gneJ5,0.8399764459814011,-0.41712560894066725,218.0,115.0,103.0,2
469.0,gneE4,gneJ5,gneJ6,0.8944788592240023,-0.48784814993450576,300.0,74.0,226.0,2
491.0,-gneE4,gneJ6,gneJ5,0.0693645985100656,-0.37832319964145755,42.0,42.0,0.0,2
513.0,gneE4,gneJ5,gneJ6,0.38637934479933006,-0.4390633349410552,44.0,44.0,0.0,2
535.0,gneE5,gneJ6,gneJ7,0.8948565118434372,-0.5165813620961311,430.0,119.0,311.0,2
559.0,-gneE5,gneJ7,gneJ6,0.06505475960567345,-0.3305851829037757,46.0,46.0,0.0,2
581.0,gneE5,gneJ6,gneJ7,0.31913098839550996,-0.464923225886518,46.0,46.0,0.0,2
601.0,gneE10,gneJ7,gneJ14,0.9099879394834887,-0.527470760111928,517.0,166.0,351.0,2
620.0,gneE11,gneJ14,gneJ10,0.916371060246021,-0.5751216600358815,601.0,5.0,596.0,2
644.0,-gneE11,gneJ10,gneJ14,0.04452619256462633,-0.3596311275017754,43.0,9.0,34.0,2
667.0,gneE11,gneJ14,gneJ10,0.2398867362085562,-0.7832209918445187,47.0,13.0,34.0,2
688.0,gneE8,gneJ10,gneJ11,0.9265089315765216,-0.5749705264991067,688.0,93.0,595.0,2
711.0,-gneE8,gneJ11,gneJ10,0.05643116443609291,-0.03416495711266866,44.0,44.0,0.0,2
734.0,gneE8,gneJ10,gneJ11,0.303854309966531,-0.5174734738491961,46.0,46.0,0.0,2
755.0,gneE9,gneJ11,gneJ12,0.9092737743955206,-0.5718933036717616,755.0,180.0,575.0,2
778.0,-gneE9,gneJ12,gneJ11,1.0,-0.003245670925703523,44.0,44.0,0.0,1
801.0,gneE9,gneJ11,gneJ12,0.24012111282565388,-0.5150123120425273,46.0,46.0,0.0,2
823.0,-gneE9,gneJ12,gneJ11,1.0,-0.006166774758836693,45.0,45.0,0.0,1
845.0,-gneE8,gneJ11,gneJ10,0.8268906605829308,-0.06491341851407045,134.0,134.0,0.0,2
866.0,-gneE11,gneJ10,gneJ14,0.8089228500014224,-0.7159244653472012,222.0,152.0,70.0,2
887.0,-gneE10,gneJ14,gneJ7,0.8855617123784116,-0.7229500335511385,306.0,113.0,193.0,2
909.0,gneE10,gneJ7,gneJ14,0.09033496914061102,-0.5434039372880933,43.0,43.0,0.0,2
930.0,-gneE10,gneJ14,gneJ7,0.3588656898860574,-0.6820606225718834,43.0,43.0,0.0,2
952.0,-gneE5,gneJ7,gneJ6,0.8730932057442276,-0.8274240319603157,393.0,158.0,235.0,2
972.0,-gneE4,gneJ6,gneJ5,0.879470887141472,-0.9156917399164003,481.0,120.0,361.0,2
993.0,-gneE3,gneJ5,gneJ4,0.8725699584034114,-1.1384416876208905,565.0,120.0,445.0,2
1016.0,gneE3,gneJ4,gneJ5,0.07088600756964983,-0.4171240648660008,44.0,44.0,0.0,2
1038.0,-gneE3,gneJ5,gneJ4,0.1758736316501037,-1.335936671093655,45.0,2.0,43.0,2
1059.0,-gneE2,gneJ4,gneJ3,0.8940373058108539,-1.0063708877860955,654.0,44.0,610.0,2
1081.0,-gneE1,gneJ3,gneJ2,0.8976009299502036,-0.923907505139954,742.0,127.0,615.0,2
1103.0,gneE1,gneJ2,gneJ3,1.0,-0.02342760015828174,44.0,44.0,0.0,1
1123.0,gneE2,gneJ3,gneJ4,0.7969462755161416,-0.26157247187230764,85.0,85.0,0.0,2
1146.0,-gneE2,gneJ4,gneJ3,0.16523335741508138,-0.9305831838353552,43.0,43.0,0.0,2
1168.0,gneE2,gneJ3,gneJ4,0.4974049896524675,-0.275042010847347,45.0,45.0,0.0,2
1189.0,gneE3,gneJ4,gneJ5,0.8194022504190993,-0.8103717312203531,173.0,94.0,79.0,2
1210.0,gneE4,gneJ5,gneJ6,0.9048813452835968,-0.8985479220789492,258.0,94.0,164.0,2
1233.0,-gneE4,gneJ6,gneJ5,0.08516878703259916,-0.9094846185222605,44.0,44.0,0.0,2
1256.0,gneE4,gneJ5,gneJ6,0.4586894894655035,-0.8528608363302734,46.0,46.0,0.0,2
1277.0,gneE5,gneJ6,gneJ7,0.8829716254362455,-0.9537431217710372,347.0,142.0,205.0,2
1299.0,-gneE5,gneJ7,gneJ6,0.07637678994493159,-0.8310826675238988,43.0,43.0,0.0,2
1321.0,gneE5,gneJ6,gneJ7,0.33322055062895084,-0.9099921836363023,44.0,44.0,0.0,2
1342.0,gneE10,gneJ7,gneJ14,0.8890926418882865,-1.0591140818740987,433.0,186.0,247.0,2
1363.0,gneE11,gneJ14,gneJ10,0.8709752719850691,-1.284756736501273,518.0,31.0,487.0,2
1385.0,-gneE11,gneJ10,gneJ14,0.04912233119858065,-0.9102434176749221,43.0,33.0,10.0,2
1406.0,gneE11,gneJ14,gneJ10,0.20896132906667442,-1.3318071305560708,43.0,34.0,9.0,2
1427.0,gneE8,gneJ10,gneJ11,0.9292014264925529,-1.0016613135445422,604.0,36.0,568.0,2
1447.0,gneE9,gneJ11,gneJ12,0.8636358058635252,-0.9763189012622593,646.0,153.0,493.0,2
1470.0,-gneE9,gneJ12,gneJ11,1.0,-0.2239446179659116,43.0,33.0,10.0,1
1493.0,gneE9,gneJ11,gneJ12,0.16779387999563844,-1.0289905255255367,46.0,37.0,9.0,2
1516.0,-gneE9,gneJ12,gneJ11,1.0,-0.3802617513453634,46.0,38.0,8.0,1
1537.0,-gneE8,gneJ11,gneJ10,0.8172963830444132,-0.6218616762164444,131.0,41.0,90.0,2
1559.0,gneE8,gneJ10,gneJ11,0.19028123722155998,-0.9605720414306502,43.0,43.0,0.0,2
1581.0,-gneE8,gneJ11,gneJ10,0.4230402232045155,-0.6461486332739176,44.0,44.0,0.0,2
1600.0,-gneE11,gneJ10,gneJ14,0.7849043705584262,-1.3231588307761513,215.0,44.0,171.0,2
1622.0,-gneE10,gneJ14,gneJ7,0.8919713959871368,-1.2143073078418731,301.0,6.0,295.0,2
1644.0,gneE10,gneJ7,gneJ14,0.09138550878052319,-1.0685618679316669,44.0,44.0,0.0,2
1665.0,-gneE10,gneJ14,gneJ7,0.37527816014090615,-1.1718294304724561,43.0,43.0,0.0,2
1686.0,-gneE5,gneJ7,gneJ6,0.8730172292821736,-1.3614130649310976,387.0,49.0,338.0,2
1706.0,-gneE4,gneJ6,gneJ5,0.8712775418149045,-1.4432135316610082,473.0,9.0,464.0,2
1726.0,-gneE3,gneJ5,gneJ4,0.8445172912902279,-1.7961096608069924,558.0,9.0,549.0,2
1747.0,gneE3,gneJ4,gneJ5,0.071438742336283,-0.8103563375496938,41.0,41.0,0.0,2
1770.0,-gneE3,gneJ5,gneJ4,0.1843350152853263,-1.6934825467935142,44.0,44.0,0.0,2
1791.0,-gneE2,gneJ4,gneJ3,0.8920529607978998,-1.383532245609286,645.0,15.0,630.0,2
1811.0,-gneE1,gneJ3,gneJ2,0.8593968595929254,-1.3442249760183906,730.0,14.0,716.0,2
1834.0,gneE1,gneJ2,gneJ3,1.0,-0.36524675702654397,43.0,16.0,27.0,1
1856.0,-gneE1,gneJ3,gneJ2,0.16559916344791115,-1.2445009203340733,45.0,45.0,0.0,2
1880.0,gneE1,gneJ2,gneJ3,1.0,-0.6387236445713801,46.0,20.0,26.0,1
1902.0,gneE2,gneJ3,gneJ4,0.8186736062141378,-0.7912746571146938,132.0,23.0,109.0,2
1925.0,-gneE2,gneJ4,gneJ3,0.13180247675595694,-1.3203501134742532,45.0,45.0,0.0,2
1947.0,gneE2,gneJ3,gneJ4,0.3770972985700908,-1.0421909921556813,45.0,28.0,17.0,2
1969.0,-gneE2,gneJ4,gneJ3,0.10953939007712926,-1.2873232463816175,44.0,44.0,0.0,2
1990.0,-gneE1,gneJ3,gneJ2,0.7306850688315332,-1.180729574534947,134.0,134.0,0.0,2
2011.0,gneE1,gneJ2,gneJ3,1.0,-0.6738594243690318,42.0,42.0,0.0,1
2032.0,-gneE1,gneJ3,gneJ2,0.31228379025821973,-1.1266732623965103,42.0,42.0,0.0,2
2054.0,gneE1,gneJ2,gneJ3,1.0,-0.7054816261869183,43.0,43.0,0.0,1
2076.0,gneE2,gneJ3,gneJ4,0.7662650393854661,-1.014955745007334,129.0,129.0,0.0,2
2097.0,gneE3,gneJ4,gneJ5,0.8893293215638528,-1.3001476083198278,350.0,119.0,231.0,2
2119.0,gneE4,gneJ5,gneJ6,0.9328171381599679,-1.3722291537224878,433.0,120.0,313.0,2
2141.0,-gneE4,gneJ6,gneJ5,0.05212934669672238,-1.4292539480985438,44.0,44.0,0.0,2
2162.0,gneE4,gneJ5,gneJ6,0.4204027879753497,-1.3214554957956877,43.0,43.0,0.0,2
2184.0,gneE5,gneJ6,gneJ7,0.9213982238705368,-1.458459686959858,519.0,164.0,355.0,2
2207.0,-gneE5,gneJ7,gneJ6,0.05630040538226865,-1.3610508835073496,45.0,45.0,0.0,2
2228.0,gneE5,gneJ6,gneJ7,0.3392604509324787,-1.4141270957173806,44.0,44.0,0.0,2
2249.0,gneE10,gneJ7,gneJ14,0.9171752469293464,-1.6240381271263415,605.0,169.0,436.0,2
2270.0,gneE11,gneJ14,gneJ10,0.8937976761771749,-1.8392676367821057,689.0,8.0,681.0,2
2294.0,-gneE11,gneJ10,gneJ14,0.03135284154439012,-1.597959545660944,45.0,12.0,33.0,2
2317.0,gneE11,gneJ14,gneJ10,0.22912570166147106,-1.746595217039807,47.0,47.0,0.0,2
2339.0,gneE8,gneJ10,gneJ11,0.9511250978502835,-1.4822093944507984,780.0,96.0,684.0,2
2359.0,gneE9,gneJ11,gneJ12,0.8981644310180121,-1.495370207674302,866.0,137.0,729.0,2
2382.0,-gneE9,gneJ12,gneJ11,1.0,-0.40361969637184925,43.0,43.0,0.0,1
2403.0,gneE9,gneJ11,gneJ12,0.19652031569613157,-1.3841770580621975,44.0,44.0,0.0,2
2425.0,-gneE9,gneJ12,gneJ11,1.0,-0.4246418468956865,43.0,43.0,0.0,1
2446.0,-gneE8,gneJ11,gneJ10,0.8532654702236869,-0.7223436624193517,129.0,129.0,0.0,2
2468.0,gneE8,gneJ10,gneJ11,0.2310295814494313,-1.402611102935557,43.0,43.0,0.0,2
2491.0,-gneE8,gneJ11,gneJ10,0.4825434435383461,-0.7833573509562944,45.0,45.0,0.0,2
2510.0,-gneE11,gneJ10,gneJ14,0.7751690120222322,-1.8024877621260325,216.0,189.0,27.0,2
2530.0,-gneE10,gneJ14,gneJ7,0.8952271987168409,-1.6481772573729927,302.0,148.0,154.0,2
2551.0,gneE10,gneJ7,gneJ14,0.08438318036387414,-1.6182111538641417,41.0,41.0,0.0,2
2573.0,-gneE10,gneJ14,gneJ7,0.37482244112133917,-1.6126593655688917,43.0,43.0,0.0,2
2594.0,-gneE5,gneJ7,gneJ6,0.8790181077725457,-1.8322711166886776,387.0,192.0,195.0,2
2615.0,-gneE4,gneJ6,gneJ5,0.8736908878164247,-1.903670335190979,474.0,193.0,281.0,2
2636.0,-gneE3,gneJ5,gneJ4,0.8511860812760755,-2.167788552507875,560.0,35.0,525.0,2
2657.0,gneE3,gneJ4,gneJ5,0.05573360889615677,-1.4529006319607072,42.0,36.0,6.0,2
2680.0,-gneE3,gneJ5,gneJ4,0.18062709304856278,-2.163402486918239,44.0,37.0,7.0,2
2702.0,-gneE2,gneJ4,gneJ3,0.911343412347616,-1.7899793909116566,648.0,121.0,527.0,2
2723.0,gneE2,gneJ3,gneJ4,0.06287004328430738,-1.051485730542868,43.0,43.0,0.0,2
2744.0,-gneE2,gneJ4,gneJ3,0.27166123131171743,-1.7108725962220634,42.0,42.0,0.0,2
2766.0,-gneE1,gneJ3,gneJ2,0.9081430884809321,-1.597624747569419,734.0,243.0,491.0,2
2788.0,gneE1,gneJ2,gneJ3,1.0,-0.734824607969799,44.0,44.0,0.0,1
2810.0,-gneE1,gneJ3,gneJ2,0.2427055136909827,-1.507670610569608,44.0,44.0,0.0,2
2833.0,gneE1,gneJ2,gneJ3,1.0,-0.7612332915743916,45.0,45.0,0.0,1
2853.0,gneE2,gneJ3,gneJ4,0.8219539618416811,-1.0843627175248485,130.0,130.0,0.0,2
2874.0,gneE3,gneJ4,gneJ5,0.8338853296266389,-1.7637803198610045,217.0,169.0,48.0,2
2896.0,gneE4,gneJ5,gneJ6,0.9127391578480611,-1.7650810654042677,302.0,170.0,132.0,2
2919.0,-gneE4,gneJ6,gneJ5,0.07539433545231722,-1.8809860028852865,45.0,45.0,0.0,2
2940.0,gneE4,gneJ5,gneJ6,0.43998300488704256,-1.722915032956992,44.0,44.0,0.0,2
2963.0,gneE5,gneJ6,gneJ7,0.896749344391898,-1.901326304308356,390.0,217.0,173.0,2
2985.0,-gneE5,gneJ7,gneJ6,0.07756443136537465,-1.827737675293912,45.0,45.0,0.0,2
3007.0,gneE5,gneJ6,gneJ7,0.33691223045462837,-1.8649237334946138,44.0,44.0,0.0,2
3028.0,gneE10,gneJ7,gneJ14,0.8890813050084037,-2.152662817820725,477.0,22.0,455.0,2
3049.0,gneE11,gneJ14,gneJ10,0.8779356656962091,-2.2263236285132937,558.0,63.0,495.0,2
3072.0,-gneE11,gneJ10,gneJ14,0.03777904699599053,-2.0207160074271306,44.0,24.0,20.0,2
3095.0,gneE11,gneJ14,gneJ10,0.23631759279173073,-2.1369393204408422,46.0,46.0,0.0,2
3117.0,gneE8,gneJ10,gneJ11,0.9454653360699058,-1.8366455438430491,649.0,150.0,499.0,2
3137.0,gneE9,gneJ11,gneJ12,0.8675490953743206,-1.7647367026120864,734.0,190.0,544.0,2
3160.0,-gneE9,gneJ12,gneJ11,1.0,-0.4565966105469658,43.0,43.0,0.0,1
3182.0,gneE9,gneJ11,gneJ12,0.18130543414763586,-1.6316397103528395,45.0,45.0,0.0,2
3204.0,-gneE9,gneJ12,gneJ11,1.0,-0.4853558978331172,44.0,44.0,0.0,1
3225.0,-gneE8,gneJ11,gneJ10,0.8651186430610139,-0.8795029425257547,130.0,130.0,0.0,2
3246.0,-gneE11,gneJ10,gneJ14,0.7835006215166546,-1.9718470464134623,174.0,174.0,0.0,2
3267.0,-gneE10,gneJ14,gneJ7,0.8708426356633057,-2.0515215830170668,260.0,159.0,101.0,2
3290.0,gneE10,gneJ7,gneJ14,0.09615681284860032,-2.132291086425274,44.0,44.0,0.0,2
3313.0,-gneE10,gneJ14,gneJ7,0.370106349399783,-2.020004503868282,46.0,46.0,0.0,2
3334.0,-gneE5,gneJ7,gneJ6,0.8718846967944346,-2.2854468527207583,349.0,167.0,182.0,2
3355.0,gneE5,gneJ6,gneJ7,0.08786506605953137,-1.8809990133555534,42.0,42.0,0.0,2
3378.0,-gneE5,gneJ7,gneJ6,0.31078499617515837,-2.2355958377227845,44.0,44.0,0.0,2
3400.0,gneE5,gneJ6,gneJ7,0.08442524536194079,-1.8954667652303991,45.0,45.0,0.0,2
3421.0,gneE10,gneJ7,gneJ14,0.775325567327972,-2.110962405650233,131.0,131.0,0.0,2
3443.0,-gneE10,gneJ14,gneJ7,0.18169567827803443,-2.018545482018226,43.0,43.0,0.0,2
3465.0,gneE10,gneJ7,gneJ14,0.3687109973511484,-2.0916279858769413,44.0,44.0,0.0,2
