time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
40.0,gneE9,gneJ11,gneJ12,0.5,0.0,40.0,40.0,0.0,2
63.0,-gneE9,gneJ12,gneJ11,1.0,0.0,43.0,43.0,0.0,1
86.0,gneE9,gneJ11,gneJ12,0.3484848484848485,0.0,46.0,46.0,0.0,2
109.0,-gneE9,gneJ12,gneJ11,1.0,0.0,46.0,46.0,0.0,1
129.0,-gneE8,gneJ11,gneJ10,0.75,0.0,129.0,129.0,0.0,2
152.0,gneE8,gneJ10,gneJ11,0.2205128205128205,0.0,43.0,43.0,0.0,2
175.0,-gneE8,gneJ11,gneJ10,0.34074074074074073,0.0,46.0,46.0,0.0,2
195.0,-gneE11,gneJ10,gneJ14,0.7416329220425631,-0.45732639284860166,195.0,34.0,161.0,2
216.0,-gneE10,gneJ14,gneJ7,0.771414928144995,-0.4453883901340352,216.0,75.0,141.0,2
236.0,gneE10,gneJ7,gneJ14,0.148014440433213,0.0,41.0,41.0,0.0,2
258.0,-gneE10,gneJ14,gneJ7,0.22845292797866523,-0.5358965094235467,42.0,35.0,7.0,2
278.0,-gneE5,gneJ7,gneJ6,0.8041138755369751,-0.4777440927661085,278.0,76.0,202.0,2
299.0,-gneE4,gneJ6,gneJ5,0.8203921764309426,-0.4678647328139244,299.0,118.0,181.0,2
322.0,gneE4,gneJ5,gneJ6,0.12021857923497267,0.0,44.0,44.0,0.0,2
343.0,gneE5,gneJ6,gneJ7,0.7551603039723467,0.0,85.0,85.0,0.0,2
367.0,-gneE5,gneJ7,gneJ6,0.18264867574116705,-0.42996968348949766,45.0,45.0,0.0,2
389.0,gneE5,gneJ6,gneJ7,0.44934845686962915,0.0,46.0,46.0,0.0,2
410.0,gneE10,gneJ7,gneJ14,0.796841303014767,-0.4611567581462933,174.0,6.0,168.0,2
432.0,gneE11,gneJ14,gneJ10,0.8633496216442258,-0.4803784271731186,257.0,49.0,208.0,2
453.0,-gneE11,gneJ10,gneJ14,0.06148131037919239,-0.7796593887731652,43.0,7.0,36.0,2
475.0,gneE11,gneJ14,gneJ10,0.356728644747579,-0.43234058445580675,43.0,43.0,0.0,2
494.0,gneE8,gneJ10,gneJ11,0.9157588849171288,-0.5148280598946671,342.0,37.0,305.0,2
515.0,gneE9,gneJ11,gneJ12,0.8635818029047775,-0.5272139839035113,429.0,79.0,350.0,2
538.0,-gneE9,gneJ12,gneJ11,1.0,0.0,44.0,44.0,0.0,1
560.0,gneE9,gneJ11,gneJ12,0.24778116051640037,-0.47449258551316015,45.0,45.0,0.0,2
582.0,-gneE9,gneJ12,gneJ11,1.0,0.0,44.0,44.0,0.0,1
604.0,gneE9,gneJ11,gneJ12,0.18202822146255762,-0.4270433269618441,44.0,44.0,0.0,2
627.0,-gneE9,gneJ12,gneJ11,1.0,0.0,45.0,45.0,0.0,1
647.0,-gneE8,gneJ11,gneJ10,0.8399731047863251,-0.15530971106138247,172.0,170.0,2.0,2
668.0,gneE8,gneJ10,gneJ11,0.2049716252951173,-0.4780996764560317,41.0,41.0,0.0,2
690.0,-gneE8,gneJ11,gneJ10,0.38905123358448845,-0.18519820921856722,43.0,43.0,0.0,2
711.0,-gneE11,gneJ10,gneJ14,0.761224821288266,-1.1104528370633526,258.0,172.0,86.0,2
732.0,-gneE10,gneJ14,gneJ7,0.8233885432297725,-0.9929253782674993,343.0,133.0,210.0,2
755.0,gneE10,gneJ7,gneJ14,0.0994850432519037,-0.4561134378549656,44.0,44.0,0.0,2
777.0,gneE11,gneJ14,gneJ10,0.7716488497519934,-0.43452599527354907,87.0,87.0,0.0,2
799.0,-gneE11,gneJ10,gneJ14,0.16062359457883843,-1.0406875229080046,44.0,44.0,0.0,2
822.0,-gneE10,gneJ14,gneJ7,0.5481486401506666,-0.9344799603722516,90.0,90.0,0.0,2
843.0,-gneE5,gneJ7,gneJ6,0.8740935227401031,-0.8996936701967698,476.0,18.0,458.0,2
863.0,-gneE4,gneJ6,gneJ5,0.8432326298681609,-0.9390022977057018,564.0,60.0,504.0,2
884.0,-gneE3,gneJ5,gneJ4,0.9224365550028855,-0.5949626440245984,884.0,141.0,743.0,2
906.0,-gneE2,gneJ4,gneJ3,0.9209686704233944,-0.5922575223556454,906.0,185.0,721.0,2
927.0,gneE2,gneJ3,gneJ4,0.0443298969072165,0.0,43.0,43.0,0.0,2
949.0,-gneE2,gneJ4,gneJ3,0.22685089836716507,-0.5330317701200809,43.0,43.0,0.0,2
970.0,-gneE1,gneJ3,gneJ2,0.926500973186903,-0.5819530251813857,970.0,327.0,643.0,2
992.0,gneE1,gneJ2,gneJ3,1.0,0.0,43.0,43.0,0.0,1
1012.0,gneE2,gneJ3,gneJ4,0.7836278972532837,0.0,85.0,85.0,0.0,2
1034.0,gneE3,gneJ4,gneJ5,0.8740250224108965,0.0,171.0,171.0,0.0,2
1056.0,-gneE3,gneJ5,gneJ4,0.10788117829481851,-0.5354663796221386,44.0,44.0,0.0,2
1077.0,gneE3,gneJ4,gneJ5,0.46296312070307644,0.0,43.0,43.0,0.0,2
1097.0,gneE4,gneJ5,gneJ6,0.8967365259224241,-0.19775021196025977,254.0,245.0,9.0,2
1117.0,gneE5,gneJ6,gneJ7,0.9242052687370071,-0.4361927824780107,295.0,244.0,51.0,2
1141.0,-gneE5,gneJ7,gneJ6,0.07975575012890358,-0.8511626175125039,44.0,44.0,0.0,2
1163.0,-gneE4,gneJ6,gneJ5,0.5493414758485683,-0.8638883380713562,86.0,86.0,0.0,2
1186.0,gneE4,gneJ5,gneJ6,0.3219512424207809,-0.2194135050996448,45.0,45.0,0.0,2
1208.0,-gneE4,gneJ6,gneJ5,0.2560982096553224,-0.7983437872486868,45.0,45.0,0.0,2
1229.0,-gneE3,gneJ5,gneJ4,0.7557623488983746,-0.48191974165992474,173.0,173.0,0.0,2
1251.0,-gneE2,gneJ4,gneJ3,0.7884986566795071,-0.47972859310807275,259.0,259.0,0.0,2
1273.0,gneE2,gneJ3,gneJ4,0.20626463263568476,0.0,44.0,44.0,0.0,2
1297.0,-gneE2,gneJ4,gneJ3,0.25128875221850827,-0.4317557337972655,46.0,46.0,0.0,2
1317.0,-gneE1,gneJ3,gneJ2,0.8236648728357653,-0.5237577226632472,347.0,347.0,0.0,2
1340.0,gneE1,gneJ2,gneJ3,1.0,0.0,43.0,43.0,0.0,1
1369.0,-gneE1,gneJ3,gneJ2,0.20134241311955525,-0.7648208224098737,52.0,8.0,44.0,2
1393.0,gneE1,gneJ2,gneJ3,1.0,-0.33422148600338775,53.0,12.0,41.0,1
1413.0,gneE2,gneJ3,gneJ4,0.8286032385706903,-0.3465132841539053,140.0,93.0,47.0,2
1434.0,gneE3,gneJ4,gneJ5,0.8358072933124432,-0.5113613690258537,226.0,37.0,189.0,2
1456.0,-gneE3,gneJ5,gneJ4,0.08354296875355743,-0.7773457490986087,43.0,12.0,31.0,2
1477.0,-gneE2,gneJ4,gneJ3,0.5950951171291673,-0.7959089810992833,84.0,13.0,71.0,2
1500.0,gneE2,gneJ3,gneJ4,0.2685051709890854,-0.6760331119726126,44.0,15.0,29.0,2
1522.0,-gneE2,gneJ4,gneJ3,0.24727982671802562,-0.9538599901526612,45.0,37.0,8.0,2
1543.0,-gneE1,gneJ3,gneJ2,0.721768483881665,-1.1206374263711913,174.0,40.0,134.0,2
1564.0,gneE1,gneJ2,gneJ3,1.0,-0.45512662662419573,42.0,40.0,2.0,1
1585.0,-gneE1,gneJ3,gneJ2,0.23255374147178715,-1.1649985848813105,42.0,35.0,7.0,2
1606.0,gneE1,gneJ2,gneJ3,1.0,-0.6778262830278403,42.0,34.0,8.0,1
1627.0,gneE2,gneJ3,gneJ4,0.773056517494773,-1.0458649033934995,127.0,36.0,91.0,2
1648.0,gneE3,gneJ4,gneJ5,0.846016660593106,-0.878471744997986,214.0,102.0,112.0,2
1668.0,gneE4,gneJ5,gneJ6,0.9205912904508842,-0.7913096801293964,482.0,101.0,381.0,2
1689.0,gneE5,gneJ6,gneJ7,0.9201597945972536,-0.9893905718633794,572.0,102.0,470.0,2
1710.0,gneE10,gneJ7,gneJ14,0.946504933227146,-1.0548491535774192,911.0,62.0,849.0,2
1732.0,-gneE10,gneJ14,gneJ7,0.026912644061691984,-0.9218924129987143,43.0,43.0,0.0,2
1755.0,gneE10,gneJ7,gneJ14,0.31029784484990525,-0.9906442077706644,45.0,45.0,0.0,2
1776.0,gneE11,gneJ14,gneJ10,0.9523424449869689,-1.0495740462442613,999.0,108.0,891.0,2
1797.0,gneE8,gneJ10,gneJ11,0.9637647170351332,-1.0512915851086706,1129.0,25.0,1104.0,2
1817.0,gneE9,gneJ11,gneJ12,0.9303844545317406,-0.9798680555938154,1213.0,67.0,1146.0,2
1840.0,-gneE9,gneJ12,gneJ11,1.0,-0.2829612617655317,43.0,27.0,16.0,1
1861.0,gneE9,gneJ11,gneJ12,0.2006838150543866,-0.9087625699021594,44.0,44.0,0.0,2
1883.0,-gneE9,gneJ12,gneJ11,1.0,-0.5900096531694068,43.0,5.0,38.0,1
1906.0,-gneE8,gneJ11,gneJ10,0.7684212308342554,-0.7702165413779274,130.0,8.0,122.0,2
1928.0,gneE8,gneJ10,gneJ11,0.16533888777557604,-1.313086974117789,45.0,9.0,36.0,2
1951.0,-gneE8,gneJ11,gneJ10,0.3597510518571464,-0.792060201916395,45.0,45.0,0.0,2
1972.0,-gneE11,gneJ10,gneJ14,0.81052295565676,-1.455382909285865,217.0,75.0,142.0,2
1995.0,gneE11,gneJ14,gneJ10,0.12615057010992609,-1.069359904161025,44.0,44.0,0.0,2
2018.0,-gneE11,gneJ10,gneJ14,0.319622822273314,-1.3974243975921563,46.0,46.0,0.0,2
2039.0,-gneE10,gneJ14,gneJ7,0.8352097178523289,-1.3890088135958651,307.0,79.0,228.0,2
2060.0,-gneE5,gneJ7,gneJ6,0.8668668193190455,-1.3507010609321297,392.0,79.0,313.0,2
2080.0,-gneE4,gneJ6,gneJ5,0.882842936568027,-1.3246122404519685,432.0,39.0,393.0,2
2102.0,gneE4,gneJ5,gneJ6,0.07911226218830351,-0.8061708164434778,42.0,42.0,0.0,2
2124.0,-gneE4,gneJ6,gneJ5,0.2799517172080866,-1.2756300687287883,44.0,42.0,2.0,2
2145.0,-gneE3,gneJ5,gneJ4,0.8765276054155204,-1.334995349539991,518.0,83.0,435.0,2
2166.0,gneE3,gneJ4,gneJ5,0.060482288187648475,-1.1066089308179967,42.0,26.0,16.0,2
2189.0,-gneE3,gneJ5,gneJ4,0.20317283309898543,-1.4910331210153214,44.0,30.0,14.0,2
2211.0,-gneE2,gneJ4,gneJ3,0.9297275227973731,-1.1226635593167071,605.0,599.0,6.0,2
2233.0,gneE2,gneJ3,gneJ4,0.058479017484907136,-1.254126142130847,44.0,34.0,10.0,2
2255.0,-gneE2,gneJ4,gneJ3,0.28593127130323676,-1.317389939577869,44.0,35.0,9.0,2
2277.0,-gneE1,gneJ3,gneJ2,0.9137186154381368,-1.6496136690475594,692.0,37.0,655.0,2
