time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
30.0,2to1,2,1,1.0,3.0,30.0,30.0,0.0,3
46.0,1to0,1,0,1.0,4.6000000000000005,46.0,46.0,0.0,3
62.0,0to5,0,5,1.0,6.2,62.0,62.0,0.0,2
78.0,5to10,5,10,1.0,7.800000000000001,78.0,78.0,0.0,3
95.0,10to15,10,15,1.0,9.5,95.0,95.0,0.0,3
111.0,15to10,15,10,1.0,4.2025,33.0,33.0,0.0,3
127.0,10to11,10,11,0.572072072072072,12.700000000000001,127.0,127.0,0.0,3
144.0,11to16,11,16,1.0,14.4,144.0,144.0,0.0,4
160.0,16to21,16,21,1.0,16.0,160.0,160.0,0.0,4
176.0,21to20,21,20,1.0,17.6,176.0,176.0,0.0,3
193.0,20to15,20,15,1.0,10.1992375,98.0,98.0,0.0,2
210.0,15to10,15,10,1.0,14.888750000000002,99.0,99.0,0.0,3
226.0,10to5,10,5,0.435703210391195,17.141000000000002,164.0,164.0,0.0,3
242.0,5to6,5,6,0.7562500000000001,24.200000000000003,242.0,242.0,0.0,3
259.0,6to7,6,7,1.0,25.900000000000002,259.0,259.0,0.0,4
276.0,7to8,7,8,1.0,27.6,276.0,276.0,0.0,4
291.0,8to9,8,9,1.0,29.1,291.0,291.0,0.0,4
308.0,9to4,9,4,1.0,30.8,308.0,308.0,0.0,3
324.0,4to3,4,3,1.0,32.4,324.0,324.0,0.0,2
339.0,3to4,3,4,1.0,6.178000000000001,31.0,31.0,0.0,3
353.0,4to9,4,9,0.2197659297789337,9.126,62.0,62.0,0.0,2
368.0,9to14,9,14,0.5443786982248521,36.800000000000004,368.0,368.0,0.0,3
384.0,14to19,14,19,1.0,38.400000000000006,384.0,384.0,0.0,3
399.0,19to24,19,24,1.0,39.900000000000006,399.0,399.0,0.0,3
415.0,24to23,24,23,1.0,41.5,415.0,415.0,0.0,2
432.0,23to22,23,22,1.0,43.2,432.0,432.0,0.0,3
448.0,22to17,22,17,1.0,44.800000000000004,448.0,448.0,0.0,3
464.0,17to18,17,18,1.0,46.400000000000006,464.0,464.0,0.0,4
480.0,18to13,18,13,1.0,48.0,480.0,480.0,0.0,4
497.0,13to12,13,12,1.0,49.7,497.0,497.0,0.0,4
513.0,12to11,12,11,1.0,39.968,386.0,386.0,0.0,4
528.0,11to16,11,16,1.0,52.88,384.0,384.0,0.0,4
