time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
28.0,24to19,24,19,1.0,1.4000000000000001,28.0,14.0,14.0,2
46.0,19to14,19,14,1.0,4.6000000000000005,46.0,46.0,0.0,3
62.0,14to9,14,9,1.0,6.2,62.0,62.0,0.0,3
80.0,9to4,9,4,1.0,8.0,80.0,80.0,0.0,3
96.0,4to3,4,3,1.0,9.600000000000001,96.0,96.0,0.0,2
113.0,3to2,3,2,1.0,11.3,113.0,113.0,0.0,3
130.0,2to1,2,1,1.0,11.700000000000001,130.0,117.0,13.0,3
146.0,1to0,1,0,1.0,11.700000000000001,146.0,117.0,29.0,3
161.0,0to5,0,5,1.0,1.7000000000000002,161.0,17.0,144.0,2
179.0,5to10,5,10,1.0,5.1000000000000005,179.0,51.0,128.0,3
197.0,10to15,10,15,1.0,8.6,197.0,86.0,111.0,3
213.0,15to20,15,20,1.0,11.9,213.0,119.0,94.0,3
230.0,20to21,20,21,1.0,12.5,230.0,125.0,105.0,2
245.0,21to16,21,16,1.0,24.5,245.0,245.0,0.0,3
260.0,16to17,16,17,1.0,2.6,260.0,26.0,234.0,4
276.0,17to22,17,22,1.0,5.800000000000001,276.0,58.0,218.0,4
291.0,22to23,22,23,1.0,8.9,291.0,89.0,202.0,3
307.0,23to18,23,18,1.0,15.4,307.0,154.0,153.0,3
324.0,18to13,18,13,1.0,5.5,324.0,55.0,269.0,4
339.0,13to8,13,8,1.0,33.9,339.0,339.0,0.0,4
355.0,8to7,8,7,1.0,5.4,355.0,54.0,301.0,4
373.0,7to8,7,8,1.0,3.9130000000000003,34.0,34.0,0.0,4
388.0,8to9,8,9,0.7448015122873346,15.76,326.0,150.0,176.0,4
405.0,9to14,9,14,0.6637101181218209,15.789,359.0,152.0,207.0,3
421.0,14to19,14,19,0.8046444213378706,25.537000000000003,393.0,251.0,142.0,3
437.0,19to14,19,14,1.0,9.766015000000001,32.0,32.0,0.0,3
453.0,14to13,14,13,0.3368437548973515,16.1205,129.0,129.0,0.0,3
469.0,13to12,13,12,0.34932821497120925,18.2,469.0,182.0,287.0,4
486.0,12to11,12,11,1.0,2.0,486.0,20.0,466.0,4
503.0,11to6,11,6,1.0,5.300000000000001,503.0,53.0,450.0,4
519.0,6to1,6,1,1.0,16.2115,389.0,151.0,238.0,4
536.0,1to2,1,2,0.6263353719879278,19.611500000000003,423.0,185.0,238.0,3
553.0,2to3,2,3,0.6625665133315067,22.9735,457.0,219.0,238.0,3
569.0,3to4,3,4,0.22133406835722164,3.2120000000000006,489.0,23.0,466.0,3
585.0,4to9,4,9,0.4251481515968156,7.0999550000000005,197.0,56.0,141.0,2
601.0,9to8,9,8,0.5052842603491231,24.297200000000004,228.0,228.0,0.0,3
618.0,8to9,8,9,0.7767878733315824,18.792234,33.0,23.0,10.0,4
634.0,9to14,9,14,0.4708267116082422,28.736115000000005,197.0,121.0,76.0,3
651.0,14to19,14,19,0.672871377078943,45.911071425,230.0,220.0,10.0,3
669.0,19to24,19,24,0.6948026368936668,22.233000000000004,656.0,221.0,435.0,3
686.0,24to23,24,23,0.9443627548384533,23.763,395.0,223.0,172.0,2
701.0,23to22,23,22,0.5962826545726232,22.745500000000003,425.0,219.0,206.0,3
717.0,22to21,22,21,0.731341030865595,24.227500000000003,487.0,219.0,268.0,3
734.0,21to20,21,20,0.4873136280408057,23.2875,521.0,221.0,300.0,3
749.0,20to15,20,15,0.650158827892137,23.230500000000003,552.0,221.0,331.0,2
766.0,15to10,15,10,0.21280677383078656,3.2170000000000005,587.0,24.0,563.0,3
781.0,10to5,10,5,0.41434846266471453,6.0845,620.0,56.0,564.0,3
799.0,5to0,5,0,0.6423938575886127,9.1615,653.0,90.0,563.0,3
815.0,0to1,0,1,0.8928330021400304,14.1630925,296.0,123.0,173.0,2
832.0,1to6,1,6,0.3141203124513126,14.3400925,329.0,128.0,201.0,3
849.0,6to7,6,7,0.543122266050432,19.271735000000003,494.0,189.0,305.0,4
866.0,7to12,7,12,0.8814350210586916,29.09,397.0,289.0,108.0,4
883.0,12to17,12,17,0.872212638170085,13.651,623.0,131.0,492.0,4
899.0,17to16,17,16,0.7392906908796691,16.447,654.0,162.0,492.0,4
915.0,16to11,16,11,0.8849735660406574,20.003500000000003,429.0,195.0,234.0,4
932.0,11to10,11,10,0.7666945459347625,17.416999999999998,166.0,166.0,0.0,4
949.0,10to15,10,15,0.8202776547038843,27.7705,200.0,189.0,11.0,3
967.0,15to20,15,20,0.90869588015348,32.0168975,233.0,191.0,42.0,3
983.0,20to21,20,21,0.5844870143807684,32.6775,266.0,191.0,75.0,2
1000.0,21to22,21,22,0.20073240759343935,12.0016125,299.0,97.0,202.0,3
1017.0,22to23,22,23,0.4877725314676858,23.0708225,331.0,129.0,202.0,3
1033.0,23to18,23,18,0.5969111079605869,33.6825,726.0,193.0,533.0,3
1050.0,18to13,18,13,1.0,8.9705,597.0,8.0,589.0,4
1067.0,13to8,13,8,0.7299513437919596,49.19526223,466.0,169.0,297.0,4
1085.0,8to9,8,9,0.8134260128558236,23.542941525000003,467.0,39.0,428.0,4
1102.0,9to8,9,8,0.4290330214837302,27.604059444875006,35.0,35.0,0.0,3
1118.0,8to7,8,7,0.4729171528544406,21.12355,269.0,135.0,134.0,4
1134.0,7to2,7,2,0.1599186798838477,6.2824825,598.0,41.0,557.0,4
1151.0,2to3,2,3,0.7135838373156196,29.14965,598.0,74.0,524.0,3
1167.0,3to4,3,4,0.5603591826571425,14.402800000000003,598.0,106.0,492.0,3
1183.0,4to9,4,9,0.6633928161384232,18.919890425000002,98.0,98.0,0.0,2
1199.0,9to14,9,14,0.5551056080118185,44.424055285375005,565.0,142.0,423.0,3
1215.0,14to19,14,19,0.7204787295522436,57.532099282500006,564.0,141.0,423.0,3
1231.0,19to24,19,24,0.7878484441663842,36.267185000000005,562.0,140.0,422.0,3
1247.0,24to23,24,23,0.9649882163465642,38.586537500000006,230.0,140.0,90.0,2
1263.0,23to22,23,22,0.5212498034523102,36.672562500000005,263.0,139.0,124.0,3
1280.0,22to17,22,17,0.4432923247092077,37.662465,397.0,361.0,36.0,3
1296.0,17to12,17,12,0.07856432974946617,1.896845,430.0,6.0,424.0,4
1313.0,12to11,12,11,0.3501261448427004,7.354615,398.0,39.0,359.0,4
1330.0,11to6,11,6,0.44208138533604113,13.800814825000002,498.0,72.0,426.0,4
1345.0,6to5,6,5,0.2925083958367676,14.670342500000002,564.0,138.0,426.0,4
1362.0,5to0,5,0,0.8209951225720608,23.3908437875,563.0,138.0,425.0,3
1379.0,0to1,0,1,0.9433519813889932,28.309875749999996,564.0,137.0,427.0,2
1396.0,1to2,1,2,0.6416155433594329,46.619566750000004,262.0,262.0,0.0,3
1412.0,2to7,2,7,0.44051692022812305,32.16355,294.0,294.0,0.0,3
1428.0,7to8,7,8,0.15640735204137132,6.558279444875001,326.0,8.0,318.0,4
1443.0,8to13,8,13,0.16260860843384858,8.673549911850001,393.0,40.0,353.0,4
1460.0,13to8,13,8,0.7320073704025428,49.712315451875,32.0,32.0,0.0,4
1476.0,8to3,8,3,0.03906200891581438,2.1682660000000005,325.0,8.0,317.0,4
1494.0,3to4,3,4,0.5808591285471435,15.659909590375003,327.0,9.0,318.0,3
1511.0,4to9,4,9,0.6976205252134162,22.148186634610628,328.0,9.0,319.0,2
1528.0,9to14,9,14,0.5660754016719394,46.44719918867501,329.0,10.0,319.0,3
1546.0,14to19,14,19,0.7165462613815892,56.424271929250004,331.0,12.0,319.0,3
1562.0,19to14,19,14,0.3054512621330122,15.94971933327875,34.0,18.0,16.0,3
1579.0,14to13,14,13,0.25050591580834913,20.931119967928126,136.0,17.0,119.0,3
1595.0,13to18,13,18,0.0362196145702883,2.5521975,562.0,17.0,545.0,4
1612.0,18to23,18,23,0.4740065055450613,8.0838934375,365.0,46.0,319.0,4
1629.0,23to24,23,24,0.14118176803907326,11.565721062500002,398.0,79.0,319.0,3
1645.0,24to19,24,19,0.27457896903151036,14.605382575,99.0,99.0,0.0,2
1661.0,19to14,19,14,0.4495149835133016,29.615053233229624,99.0,99.0,0.0,3
1676.0,14to9,14,9,0.25510857794354486,26.492483922924126,165.0,165.0,0.0,3
1692.0,9to8,9,8,0.45294279153707573,45.08023294526251,232.0,180.0,52.0,3
1708.0,8to7,8,7,0.5549446171368337,42.874745000000004,296.0,211.0,85.0,4
1724.0,7to12,7,12,0.8009758339040673,51.677845000000005,428.0,242.0,186.0,4
1740.0,12to17,12,17,0.7945809259452705,28.448365,460.0,146.0,314.0,4
1755.0,17to16,17,16,0.8598011247010502,47.20263250000001,856.0,305.0,551.0,4
1770.0,16to21,16,21,0.4609358231380124,19.3275,787.0,170.0,617.0,4
1786.0,21to20,21,20,0.5294044747789668,41.0631125,819.0,170.0,649.0,3
1803.0,20to15,20,15,0.5567743551335979,41.049055262500005,854.0,171.0,683.0,2
