time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
36.0,-gneE3,gneJ5,gneJ4,1.0,3.6,36.0,36.0,0.0,2
56.0,-gneE2,gneJ4,gneJ3,1.0,5.6000000000000005,56.0,56.0,0.0,2
75.0,gneE2,gneJ3,gneJ4,1.0,4.432,39.0,39.0,0.0,2
95.0,gneE3,gneJ4,gneJ5,0.5924901761024597,8.142000000000001,78.0,78.0,0.0,2
115.0,gneE4,gneJ5,gneJ6,0.7615894039735099,11.5,115.0,115.0,0.0,2
135.0,gneE5,gneJ6,gneJ7,1.0,13.5,135.0,135.0,0.0,2
154.0,gneE10,gneJ7,gneJ14,1.0,15.4,154.0,154.0,0.0,2
173.0,gneE11,gneJ14,gneJ10,1.0,17.3,173.0,173.0,0.0,2
194.0,gneE8,gneJ10,gneJ11,1.0,19.400000000000002,194.0,194.0,0.0,2
214.0,gneE9,gneJ11,gneJ12,1.0,21.400000000000002,214.0,214.0,0.0,2
236.0,-gneE9,gneJ12,gneJ11,1.0,6.2330000000000005,42.0,42.0,0.0,1
255.0,-gneE8,gneJ11,gneJ10,0.3194033648188786,10.043000000000001,82.0,82.0,0.0,2
275.0,-gneE11,gneJ10,gneJ14,0.4146665258648,13.743500000000001,121.0,121.0,0.0,2
295.0,-gneE10,gneJ14,gneJ7,0.5023444466818169,17.463,160.0,160.0,0.0,2
315.0,-gneE5,gneJ7,gneJ6,0.5801812853540517,21.2825,200.0,200.0,0.0,2
334.0,-gneE4,gneJ6,gneJ5,0.6492823277261804,24.992500000000003,239.0,239.0,0.0,2
352.0,-gneE3,gneJ5,gneJ4,0.7338793973826229,31.71349,277.0,277.0,0.0,2
372.0,-gneE2,gneJ4,gneJ3,0.8198793709449629,37.06104,316.0,316.0,0.0,2
391.0,-gneE1,gneJ3,gneJ2,0.8981898373610218,39.1,391.0,391.0,0.0,2
413.0,gneE1,gneJ2,gneJ3,1.0,7.814500000000002,41.0,41.0,0.0,1
432.0,gneE2,gneJ3,gneJ4,0.2840086567345373,15.509598800000001,80.0,80.0,0.0,2
452.0,gneE3,gneJ4,gneJ5,0.3739860660961913,22.14058155,118.0,118.0,0.0,2
471.0,gneE4,gneJ5,gneJ6,0.4717744173657994,28.3242875,156.0,156.0,0.0,2
491.0,gneE5,gneJ6,gneJ7,0.5746995360919367,33.771837500000004,196.0,196.0,0.0,2
511.0,gneE10,gneJ7,gneJ14,0.6476493914015525,39.118985,236.0,236.0,0.0,2
531.0,gneE11,gneJ14,gneJ10,0.720484666111787,45.013000000000005,276.0,276.0,0.0,2
549.0,gneE8,gneJ10,gneJ11,0.7870429911755363,50.793000000000006,313.0,313.0,0.0,2
567.0,gneE9,gneJ11,gneJ12,0.8459547633423874,55.152135,353.0,353.0,0.0,2
587.0,-gneE9,gneJ12,gneJ11,1.0,14.649152825000002,38.0,38.0,0.0,1
607.0,-gneE8,gneJ11,gneJ10,0.28015019544829767,21.464035000000003,76.0,76.0,0.0,2
626.0,-gneE11,gneJ10,gneJ14,0.356548781685868,28.145385,115.0,115.0,0.0,2
645.0,-gneE10,gneJ14,gneJ7,0.4362523108909399,34.833003575000006,154.0,154.0,0.0,2
665.0,-gneE5,gneJ7,gneJ6,0.5163423503255845,41.762574562500006,194.0,194.0,0.0,2
686.0,-gneE4,gneJ6,gneJ5,0.5915250612037878,48.90603155000001,234.0,234.0,0.0,2
705.0,-gneE3,gneJ5,gneJ4,0.6769850253892109,59.36293980000001,273.0,273.0,0.0,2
723.0,-gneE2,gneJ4,gneJ3,0.754566264908126,68.069436,310.0,310.0,0.0,2
742.0,-gneE1,gneJ3,gneJ2,0.8207852482333478,71.0323775,351.0,351.0,0.0,2
763.0,gneE1,gneJ2,gneJ3,1.0,17.7811258625,40.0,40.0,0.0,1
782.0,gneE2,gneJ3,gneJ4,0.28364171478575906,28.12523534,77.0,77.0,0.0,2
801.0,gneE3,gneJ4,gneJ5,0.3525547916362222,37.066002676000004,115.0,115.0,0.0,2
822.0,gneE4,gneJ5,gneJ6,0.43571817488852566,45.83793174725,157.0,157.0,0.0,2
843.0,gneE5,gneJ6,gneJ7,0.5254980214998648,54.162098333437505,198.0,198.0,0.0,2
862.0,gneE10,gneJ7,gneJ14,0.6016765926860429,63.083321500000004,236.0,236.0,0.0,2
881.0,gneE11,gneJ14,gneJ10,0.6761830335245838,72.737035,274.0,274.0,0.0,2
900.0,gneE8,gneJ10,gneJ11,0.7450565419207353,82.253152825,313.0,313.0,0.0,2
919.0,gneE9,gneJ11,gneJ12,0.8006916927038468,86.228591018375,352.0,352.0,0.0,2
940.0,-gneE9,gneJ12,gneJ11,1.0,25.375953689245627,40.0,40.0,0.0,1
959.0,-gneE8,gneJ11,gneJ10,0.2883096945158692,34.931681018375,78.0,78.0,0.0,2
978.0,-gneE11,gneJ10,gneJ14,0.34768393966706157,43.840864825,116.0,116.0,0.0,2
998.0,-gneE10,gneJ14,gneJ7,0.42078965165001586,52.84261876000001,155.0,155.0,0.0,2
1017.0,-gneE5,gneJ7,gneJ6,0.4966021434218162,62.23171644792657,195.0,195.0,0.0,2
1036.0,-gneE4,gneJ6,gneJ5,0.5745886584120374,73.15490767600001,235.0,235.0,0.0,2
1054.0,-gneE3,gneJ5,gneJ4,0.6551754537904968,87.09324224000001,272.0,272.0,0.0,2
1074.0,-gneE2,gneJ4,gneJ3,0.7278092522043331,99.1105682625,311.0,311.0,0.0,2
1093.0,-gneE1,gneJ3,gneJ2,0.7817102342765198,100.7183467069375,351.0,351.0,0.0,2
1113.0,gneE1,gneJ2,gneJ3,1.0,29.471256213409063,39.0,39.0,0.0,1
1134.0,gneE2,gneJ3,gneJ4,0.2978685236292816,42.7282157909375,80.0,80.0,0.0,2
1153.0,gneE3,gneJ4,gneJ5,0.3498551622700266,53.33326042120001,117.0,117.0,0.0,2
1172.0,gneE4,gneJ5,gneJ6,0.4224474877265703,63.70385480174501,155.0,155.0,0.0,2
1192.0,gneE5,gneJ6,gneJ7,0.5033399130048182,74.13880404259376,194.0,194.0,0.0,2
1211.0,gneE10,gneJ7,gneJ14,0.5829440914635058,86.985007675,233.0,233.0,0.0,2
1230.0,gneE11,gneJ14,gneJ10,0.6551193131677706,100.377381018375,271.0,271.0,0.0,2
1250.0,gneE8,gneJ10,gneJ11,0.7208662421778562,113.21955368924563,310.0,310.0,0.0,2
1269.0,gneE9,gneJ11,gneJ12,0.7670415672434991,115.01644751701583,350.0,350.0,0.0,2
1289.0,-gneE9,gneJ12,gneJ11,1.0,37.66492083443757,39.0,39.0,0.0,1
1308.0,-gneE8,gneJ11,gneJ10,0.30297632065980695,49.99437051701584,78.0,78.0,0.0,2
1329.0,-gneE11,gneJ10,gneJ14,0.34935846681160404,60.792629539245624,118.0,118.0,0.0,2
1350.0,gneE11,gneJ14,gneJ10,0.6658451548457218,105.29550051701584,42.0,42.0,0.0,2
1371.0,gneE8,gneJ10,gneJ11,0.6656379786800759,121.02416083443757,82.0,82.0,0.0,2
1391.0,gneE9,gneJ11,gneJ12,0.7046774419628917,119.29297024458582,122.0,122.0,0.0,2
1412.0,-gneE9,gneJ12,gneJ11,1.0,49.33126092422946,41.0,41.0,0.0,1
1431.0,-gneE8,gneJ11,gneJ10,0.3512638814850424,64.59222874458582,81.0,81.0,0.0,2
1450.0,-gneE11,gneJ10,gneJ14,0.38827439436861066,76.81643913443757,121.0,121.0,0.0,2
