time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
50.0,gneE9,gneJ11,gneJ12,1.0,1.0,50.0,10.0,40.0,2
73.0,-gneE9,gneJ12,gneJ11,1.0,1.295,53.0,12.0,41.0,1
94.0,-gneE8,gneJ11,gneJ10,0.5833333333333333,1.4000000000000001,94.0,14.0,80.0,2
114.0,-gneE11,gneJ10,gneJ14,1.0,1.4000000000000001,114.0,14.0,100.0,2
134.0,-gneE10,gneJ14,gneJ7,1.0,1.3,134.0,13.0,121.0,2
156.0,-gneE5,gneJ7,gneJ6,1.0,1.6,156.0,16.0,140.0,2
177.0,-gneE4,gneJ6,gneJ5,1.0,14.100000000000001,177.0,141.0,36.0,2
197.0,-gneE3,gneJ5,gneJ4,1.0,6.2,197.0,62.0,135.0,2
219.0,gneE3,gneJ4,gneJ5,1.0,4.789000000000001,42.0,42.0,0.0,2
240.0,gneE4,gneJ5,gneJ6,0.6110292041782992,9.7395,84.0,84.0,0.0,2
260.0,gneE5,gneJ6,gneJ7,0.41377016464327293,9.952,126.0,98.0,28.0,2
280.0,gneE10,gneJ7,gneJ14,0.8611532954397536,9.9235,166.0,98.0,68.0,2
301.0,gneE11,gneJ14,gneJ10,0.5567678145243778,1.633,207.0,15.0,192.0,2
323.0,gneE8,gneJ10,gneJ11,0.8116507466702543,6.033,250.0,59.0,191.0,2
345.0,gneE9,gneJ11,gneJ12,0.8890915608580352,11.223025,295.0,102.0,193.0,2
367.0,-gneE9,gneJ12,gneJ11,1.0,5.731687375,44.0,35.0,9.0,1
388.0,-gneE8,gneJ11,gneJ10,0.45403105443818303,9.333135,87.0,75.0,12.0,2
410.0,-gneE11,gneJ10,gneJ14,0.6619814899427867,11.815135,130.0,104.0,26.0,2
431.0,-gneE10,gneJ14,gneJ7,0.8853691798578978,12.612732500000002,171.0,105.0,66.0,2
450.0,-gneE5,gneJ7,gneJ6,0.5723182347110287,13.2795,210.0,105.0,105.0,2
471.0,-gneE4,gneJ6,gneJ5,0.708726945486764,24.215252500000002,252.0,106.0,146.0,2
492.0,-gneE3,gneJ5,gneJ4,0.4611455781101007,8.334955,295.0,23.0,272.0,2
513.0,-gneE2,gneJ4,gneJ3,0.5795065413995961,6.6000000000000005,513.0,66.0,447.0,2
534.0,-gneE1,gneJ3,gneJ2,1.0,10.8,534.0,108.0,426.0,2
558.0,gneE1,gneJ2,gneJ3,1.0,4.626,45.0,36.0,9.0,1
579.0,gneE2,gneJ3,gneJ4,0.2812936713914953,4.227,87.0,36.0,51.0,2
602.0,gneE3,gneJ4,gneJ5,0.5832110462965696,9.235352500000001,131.0,40.0,91.0,2
622.0,gneE4,gneJ5,gneJ6,0.6453354615121877,15.1659989875,172.0,41.0,131.0,2
642.0,gneE5,gneJ6,gneJ7,0.3699458455692616,14.2183525,211.0,40.0,171.0,2
663.0,gneE10,gneJ7,gneJ14,0.4375204803610678,10.3293595875,253.0,2.0,251.0,2
684.0,gneE11,gneJ14,gneJ10,0.3033514035953196,5.492137825,296.0,29.0,267.0,2
705.0,gneE8,gneJ10,gneJ11,0.5350389753847911,13.595887375,338.0,71.0,267.0,2
726.0,gneE9,gneJ11,gneJ12,0.7025614888797976,22.045232800625,381.0,114.0,267.0,2
749.0,-gneE9,gneJ12,gneJ11,1.0,11.652815753559373,44.0,44.0,0.0,1
770.0,-gneE8,gneJ11,gneJ10,0.453469106454758,18.291430800625,86.0,86.0,0.0,2
791.0,-gneE11,gneJ10,gneJ14,0.6328186574938636,23.4318310875,128.0,116.0,12.0,2
811.0,-gneE10,gneJ14,gneJ7,0.8157319153463769,24.31301175,169.0,117.0,52.0,2
833.0,-gneE5,gneJ7,gneJ6,0.7168592401441288,26.1519989875,211.0,119.0,92.0,2
853.0,-gneE4,gneJ6,gneJ5,0.6340460834484813,24.6344971538125,251.0,14.0,237.0,2
874.0,-gneE3,gneJ5,gneJ4,0.44537939305406526,12.1788179875,295.0,38.0,257.0,2
895.0,-gneE2,gneJ4,gneJ3,0.6168118573428607,14.866000000000003,337.0,79.0,258.0,2
917.0,-gneE1,gneJ3,gneJ2,0.8416051279918251,22.459470000000003,383.0,123.0,260.0,2
939.0,gneE1,gneJ2,gneJ3,1.0,6.497049650000001,44.0,2.0,42.0,1
961.0,gneE2,gneJ3,gneJ4,0.2998053999184438,9.616570000000001,87.0,44.0,43.0,2
983.0,gneE3,gneJ4,gneJ5,0.5511281948424338,18.2525871538125,130.0,85.0,45.0,2
1003.0,gneE4,gneJ5,gneJ6,0.7012688794408386,28.589676318362187,170.0,126.0,44.0,2
1023.0,gneE5,gneJ6,gneJ7,0.5472885880076063,29.7809571538125,212.0,145.0,67.0,2
1045.0,-gneE5,gneJ7,gneJ6,0.7237795689472376,27.06599001836219,42.0,7.0,35.0,2
1066.0,-gneE4,gneJ6,gneJ5,0.5000512820005522,29.787066688675658,83.0,49.0,34.0,2
1087.0,gneE4,gneJ5,gneJ6,0.7240822002902598,31.960480021950158,42.0,34.0,8.0,2
1109.0,gneE5,gneJ6,gneJ7,0.5357464012767204,34.37413049017566,86.0,50.0,36.0,2
1130.0,gneE10,gneJ7,gneJ14,0.31430159794628976,12.406159745,339.0,8.0,331.0,2
1151.0,gneE11,gneJ14,gneJ10,0.33356069905782093,12.168947995812502,381.0,50.0,331.0,2
1172.0,gneE8,gneJ10,gneJ11,0.5936377920393905,34.23059575355938,423.0,199.0,224.0,2
1194.0,gneE9,gneJ11,gneJ12,0.71121449304317,45.04772701715064,468.0,241.0,227.0,2
1217.0,-gneE9,gneJ12,gneJ11,1.0,18.467068244832745,45.0,37.0,8.0,1
1239.0,-gneE8,gneJ11,gneJ10,0.3817384143568628,27.814194317150644,88.0,81.0,7.0,2
1261.0,-gneE11,gneJ10,gneJ14,0.5104948502367639,35.698384095,131.0,123.0,8.0,2
1282.0,-gneE10,gneJ14,gneJ7,0.7586576204125809,38.252979626744406,173.0,138.0,35.0,2
1305.0,-gneE5,gneJ7,gneJ6,0.770388511135614,41.62493341309266,218.0,140.0,78.0,2
1325.0,-gneE4,gneJ6,gneJ5,0.478537779733278,31.544605621893357,259.0,17.0,242.0,2
1347.0,-gneE3,gneJ5,gneJ4,0.36655992367901574,18.494931968362188,386.0,58.0,328.0,2
1367.0,-gneE2,gneJ4,gneJ3,0.5810324720832456,25.313049650000004,428.0,98.0,330.0,2
1387.0,-gneE1,gneJ3,gneJ2,0.7836411379629709,34.83074271675,470.0,140.0,330.0,2
1410.0,gneE1,gneJ2,gneJ3,1.0,12.35626524309125,43.0,32.0,11.0,1
