time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
30.0,1to0,1,0,0.3333333333333333,0.0,30.0,30.0,0.0,3
46.0,0to1,0,1,0.5,0.0,32.0,32.0,0.0,2
62.0,1to0,1,0,0.3405399122533619,0.03225806451612903,31.0,32.0,-1.0,3
77.0,0to1,0,1,0.4960318293473165,-0.015873015873015872,31.5,31.0,0.5,2
94.0,1to6,1,6,0.32973004387331906,0.0,94.0,94.0,0.0,3
109.0,6to1,6,1,0.25,0.0,32.0,32.0,0.0,4
127.0,1to6,1,6,0.23330879536665572,-0.48031496062992124,63.5,33.0,30.5,3
141.0,6to1,6,1,0.25,0.0,32.0,32.0,0.0,4
157.0,1to6,1,6,0.16569188422418266,-0.9070665529866091,52.333333333333336,30.0,22.333333333333336,3
172.0,6to1,6,1,0.24607344269416004,-0.021052631578947406,31.666666666666668,31.0,0.6666666666666679,4
188.0,1to0,1,0,0.6690253028399984,1.0428963623884695,62.666666666666664,126.0,-63.333333333333336,3
203.0,0to1,0,1,0.49337255973367866,-0.02651131374535626,31.333333333333332,31.0,0.33333333333333215,2
217.0,1to0,1,0,0.5593050614017437,0.5774585743700363,54.25,29.0,25.25,3
232.0,0to1,0,1,0.4791566156770986,-0.08342188285104732,30.75,29.0,1.75,2
247.0,1to0,1,0,0.4614838604264942,0.1847460237627489,49.4,30.0,19.4,3
261.0,0to1,0,1,0.4676765137487204,-0.12947451442999464,30.4,29.0,1.3999999999999986,2
277.0,1to0,1,0,0.37647178991442215,-0.16543448165241353,46.166666666666664,30.0,16.166666666666664,3
292.0,0to1,0,1,0.47175981867702915,-0.11308107180704381,30.5,31.0,-0.5,2
308.0,1to0,1,0,0.31002435584041876,-0.460889027106959,44.0,31.0,13.0,3
326.0,0to1,0,1,0.49592337077109544,-0.016306878258656718,31.0,34.0,-3.0,2
341.0,1to0,1,0,0.2638968621652791,-0.6866954787198623,42.625,33.0,9.625,3
356.0,0to1,0,1,0.4888401139283117,-0.04464695923031664,30.875,30.0,0.875,2
372.0,1to0,1,0,0.2182639760637519,-0.9366954787198623,41.333333333333336,31.0,10.333333333333336,3
388.0,0to1,0,1,0.49690281593555213,-0.01238889471418761,31.0,32.0,-1.0,2
404.0,1to6,1,6,0.551762217416511,0.5384780014688364,101.0,247.0,-146.0,3
420.0,6to1,6,1,0.24753715938385815,-0.01317861583091591,31.75,32.0,-0.25,4
436.0,1to6,1,6,0.3952649350295579,-0.0945495214669434,87.2,32.0,55.2,3
452.0,6to1,6,1,0.24871048088851272,-0.0068893076548153034,31.8,32.0,-0.1999999999999993,4
467.0,1to0,1,0,0.3659981271616901,0.09756576325015898,46.7,95.0,-48.3,3
483.0,0to1,0,1,0.49690281593555213,-0.01238889471418761,31.0,31.0,0.0,2
500.0,1to6,1,6,0.2554660369287121,-0.3265495214669434,83.33333333333333,64.0,19.33333333333333,3
515.0,6to1,6,1,0.24969005841605665,-0.0016537055605744281,31.833333333333332,32.0,-0.16666666666666785,4
532.0,1to6,1,6,0.16129603946823365,-0.905496889887996,76.0,32.0,44.0,3
547.0,6to1,6,1,0.25053111286959967,0.002830599372160982,31.857142857142858,32.0,-0.14285714285714235,4
561.0,1to0,1,0,0.6459159150697742,0.9407030181521198,51.0,94.0,-43.0,3
576.0,0to1,0,1,0.4821610886625793,-0.07138594486168018,30.818181818181817,29.0,1.8181818181818166,2
592.0,1to6,1,6,0.08588501551635745,-1.0946860790771853,74.0,60.0,14.0,3
607.0,6to1,6,1,0.2461219010494912,-0.020791447871933506,31.75,31.0,0.75,4
623.0,1to0,1,0,0.6997818898046986,1.1349245269803703,51.916666666666664,62.0,-10.083333333333336,3
639.0,0to1,0,1,0.4909146217252405,-0.03634551359483386,30.916666666666668,32.0,-1.0833333333333321,2
