time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
39.0,-gneE1,gneJ3,gneJ2,0.5,0.0,39.0,39.0,0.0,2
61.0,gneE1,gneJ2,gneJ3,1.0,0.0,42.0,42.0,0.0,1
81.0,-gneE1,gneJ3,gneJ2,0.5092582009614423,0.037037037037037035,40.5,42.0,-1.5,2
102.0,gneE1,gneJ2,gneJ3,1.0,-0.012048192771084338,41.5,41.0,0.5,1
122.0,-gneE1,gneJ3,gneJ2,0.5113065118050788,0.0452337583485125,40.666666666666664,41.0,-0.3333333333333357,2
144.0,gneE1,gneJ2,gneJ3,1.0,-0.0040481927710842806,41.666666666666664,42.0,-0.3333333333333357,1
165.0,-gneE1,gneJ3,gneJ2,0.5219004785190665,0.08765800077275493,41.25,43.0,-1.75,2
186.0,gneE1,gneJ2,gneJ3,1.0,0.0019398311810115282,41.75,42.0,-0.25,1
207.0,-gneE1,gneJ3,gneJ2,0.5255155050737101,0.10215075439594337,41.4,42.0,-0.6000000000000014,2
227.0,gneE1,gneJ2,gneJ3,1.0,-0.012483245742065429,41.6,41.0,0.6000000000000014,1
247.0,-gneE1,gneJ3,gneJ2,0.5184442953823646,0.0738106734242835,41.166666666666664,40.0,1.1666666666666643,2
266.0,gneE1,gneJ2,gneJ3,1.0,-0.0651148246894338,41.166666666666664,39.0,2.1666666666666643,1
285.0,-gneE1,gneJ3,gneJ2,0.5017859940934538,0.007144006757616811,40.714285714285715,38.0,2.7142857142857153,2
306.0,gneE1,gneJ2,gneJ3,1.0,-0.08950506859187282,41.0,40.0,1.0,1
327.0,-gneE1,gneJ3,gneJ2,0.5086658677673197,0.034666942537433326,40.875,42.0,-1.125,2
347.0,gneE1,gneJ2,gneJ3,1.0,-0.08950506859187282,41.0,41.0,0.0,1
367.0,-gneE1,gneJ3,gneJ2,0.5038982642744598,0.01559337305514448,40.77777777777778,40.0,0.7777777777777786,2
388.0,gneE1,gneJ2,gneJ3,1.0,-0.08950506859187282,41.0,41.0,0.0,1
410.0,-gneE1,gneJ3,gneJ2,0.5160879099152172,0.06437386086002253,41.0,43.0,-2.0,2
429.0,gneE1,gneJ2,gneJ3,1.0,-0.08950506859187282,41.0,41.0,0.0,1
450.0,-gneE1,gneJ3,gneJ2,0.5105363496580319,0.04215163863780037,40.90909090909091,40.0,0.9090909090909065,2
472.0,gneE1,gneJ2,gneJ3,1.0,-0.04535495821659683,41.18181818181818,43.0,-1.8181818181818201,1
490.0,gneE2,gneJ3,gneJ4,0.489463650341968,0.0,490.0,490.0,0.0,2
511.0,-gneE2,gneJ4,gneJ3,0.5,0.0,39.0,39.0,0.0,2
531.0,gneE2,gneJ3,gneJ4,0.291579318531701,-0.8455743879472694,265.5,41.0,224.5,2
552.0,-gneE2,gneJ4,gneJ3,0.5062496744995105,0.025,40.0,41.0,-1.0,2
572.0,gneE2,gneJ3,gneJ4,0.15806572019674098,-1.6305394229123045,190.66666666666666,41.0,149.66666666666666,2
591.0,-gneE2,gneJ4,gneJ3,0.5020483078692036,0.00819327731092443,39.666666666666664,39.0,0.6666666666666643,2
612.0,-gneE1,gneJ3,gneJ2,0.9791465444272663,2.2186222268730944,51.0,162.0,-111.0,2
632.0,gneE1,gneJ2,gneJ3,1.0,-0.8884922131185576,38.25,6.0,32.25,1
655.0,-gneE1,gneJ3,gneJ2,0.9533319587882477,1.3863641623569654,47.69230769230769,8.0,39.69230769230769,2
681.0,gneE1,gneJ2,gneJ3,1.0,-1.6113067120524596,36.07692307692308,10.0,26.07692307692308,1
702.0,-gneE1,gneJ3,gneJ2,0.9017853871363132,0.5866821273808127,44.92857142857143,9.0,35.92857142857143,2
724.0,gneE1,gneJ2,gneJ3,1.0,-2.405424359111283,34.0,7.0,27.0,1
749.0,-gneE1,gneJ3,gneJ2,0.8067174377259767,-0.20171912653768254,42.53333333333333,9.0,33.53333333333333,2
773.0,gneE1,gneJ2,gneJ3,1.0,-3.157490474813762,32.266666666666666,8.0,24.266666666666666,1
