time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
30.0,23to24,23,24,0.3333333333333333,0.0,30.0,30.0,0.0,3
45.0,24to23,24,23,0.5,0.0,30.0,30.0,0.0,2
60.0,23to24,23,24,0.3333333333333333,0.0,30.0,30.0,0.0,3
76.0,24to23,24,23,0.48267825516781476,-0.06931471805599453,30.5,31.0,-0.5,2
92.0,23to24,23,24,0.33975662303962967,0.028768207245178003,30.666666666666668,32.0,-1.3333333333333321,3
108.0,24to23,24,23,0.48509185355446816,-0.05965026656210316,31.0,32.0,-1.0,2
122.0,23to24,23,24,0.35263843876343043,0.08568549411898926,30.5,30.0,0.5,3
137.0,24to23,24,23,0.48267135698492836,-0.0693423439565608,30.5,29.0,1.5,2
153.0,23to24,23,24,0.33011625346604423,-0.014512128480325542,30.6,31.0,-0.3999999999999986,3
167.0,24to23,24,23,0.5065743379026594,0.026298867263860035,30.4,30.0,0.3999999999999986,2
184.0,23to18,23,18,0.3349418732669779,0.0,184.0,184.0,0.0,3
201.0,18to17,18,17,0.25,0.0,201.0,201.0,0.0,4
217.0,17to12,17,12,0.25,0.0,217.0,217.0,0.0,4
232.0,12to17,12,17,0.25,0.0,31.0,31.0,0.0,4
248.0,17to12,17,12,0.1814512038930442,-0.4079339543837931,124.0,31.0,93.0,4
264.0,12to17,12,17,0.23722989192934046,-0.06931471805599453,31.5,32.0,-0.5,4
280.0,17to12,17,12,0.14191097798931296,-0.7008956152555512,93.33333333333333,32.0,61.33333333333333,4
296.0,12to13,12,13,0.2542567026902199,0.0,296.0,296.0,0.0,4
311.0,13to12,13,12,0.25,0.0,31.0,31.0,0.0,4
326.0,12to13,12,13,0.1800264262685231,-0.4401314215399578,163.0,30.0,133.0,4
342.0,13to12,13,12,0.25,0.0,31.0,31.0,0.0,4
357.0,12to13,12,13,0.13758391814187698,-0.7594667647504045,119.0,31.0,88.0,4
373.0,13to12,13,12,0.25,0.0,31.0,31.0,0.0,4
390.0,12to13,12,13,0.11242517005969954,-0.990167949589983,97.5,33.0,64.5,4
406.0,13to12,13,12,0.2576792605397802,0.04054651081081644,31.5,33.0,-1.5,4
421.0,12to13,12,13,0.09722726322602811,-1.1523826496378178,84.2,31.0,53.2,4
438.0,13to12,13,12,0.23980488772347133,-0.05513721345768107,31.6,32.0,-0.3999999999999986,4
455.0,12to17,12,17,0.39280981319221886,0.4042746351612785,84.66666666666667,191.0,-106.33333333333333,4
469.0,17to12,17,12,0.12571384823270276,-0.8407871597265084,77.75,31.0,46.75,4
484.0,12to17,12,17,0.29981443971636473,-0.008390496136082226,70.75,29.0,41.75,4
500.0,17to12,17,12,0.10855369681320483,-1.0069879627763156,68.4,31.0,37.400000000000006,4
516.0,12to17,12,17,0.23945927659489574,-0.3158551502738898,63.0,32.0,31.0,4
533.0,17to12,17,12,0.09806891558995001,-1.1202553735499354,62.5,33.0,29.5,4
550.0,12to17,12,17,0.20064283124273247,-0.5424903563091774,58.166666666666664,34.0,24.166666666666664,4
567.0,17to12,17,12,0.09165131908297625,-1.195024659245709,58.42857142857143,34.0,24.42857142857143,4
583.0,12to7,12,7,0.34516298463639383,0.0,583.0,583.0,0.0,4
598.0,7to12,7,12,0.25,0.0,31.0,31.0,0.0,4
613.0,12to7,12,7,0.2411529939392084,-0.5059989738866151,306.5,30.0,276.5,4
629.0,7to12,7,12,0.25,0.0,31.0,31.0,0.0,4
645.0,12to7,12,7,0.17959665521205237,-0.8787129226038861,215.0,32.0,183.0,4
660.0,7to12,7,12,0.25,0.0,31.0,31.0,0.0,4
677.0,12to7,12,7,0.14244987081024552,-1.1547198345442153,169.25,32.0,137.25,4
694.0,7to12,7,12,0.2655108988254059,0.08109302162163289,31.75,34.0,-2.25,4
710.0,12to7,12,7,0.12096996941683955,-1.3429070849787326,142.0,33.0,109.0,4
726.0,7to12,7,12,0.23387252677919254,-0.08796007178394079,31.8,32.0,-0.1999999999999993,4
743.0,12to7,12,7,0.10584184107090247,-1.4935671081219404,123.83333333333333,33.0,90.83333333333333,4
758.0,7to12,7,12,0.20473607985917722,-0.2583400115283515,31.833333333333332,32.0,-0.16666666666666785,4
775.0,12to17,12,17,0.39555193927036514,0.00804314234773107,82.0,225.0,-143.0,4
