time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
30.0,14to9,14,9,0.3333333333333333,0.0,30.0,30.0,0.0,3
45.0,9to4,9,4,0.3333333333333333,0.0,45.0,45.0,0.0,3
59.0,4to9,4,9,0.5,0.0,29.0,29.0,0.0,2
74.0,9to4,9,4,0.29311625370888095,-0.18714973875118524,37.0,29.0,8.0,3
90.0,4to9,4,9,0.5,0.0,30.0,31.0,-1.0,2
105.0,9to4,9,4,0.2749791848894306,-0.27635778088925017,35.0,31.0,4.0,3
121.0,4to3,4,3,0.5,0.0,121.0,121.0,0.0,2
136.0,3to8,3,8,0.3333333333333333,0.0,136.0,136.0,0.0,3
152.0,8to13,8,13,0.25,0.0,152.0,152.0,0.0,4
166.0,13to14,13,14,0.25,0.0,151.0,151.0,0.0,4
182.0,14to9,14,9,0.4134434201791053,0.34339872044851466,61.0,92.0,-31.0,3
198.0,9to4,9,4,0.36248537494033994,0.12855409100913867,49.5,93.0,-43.5,3
215.0,4to3,4,3,0.44170578576903535,-0.23424207168999453,107.5,94.0,13.5,2
231.0,3to8,3,8,0.27588114181449974,-0.27183823975299265,115.5,95.0,20.5,3
246.0,8to3,8,3,0.25,0.0,31.0,31.0,0.0,4
262.0,3to8,3,8,0.21820596159631062,-0.5830047525628708,87.33333333333333,31.0,56.33333333333333,3
278.0,8to13,8,13,0.18480365228075293,-0.3855227905674566,79.5,7.0,72.5,4
293.0,13to14,13,14,0.2209273447612558,-0.16165812943996316,139.0,127.0,12.0,4
308.0,14to9,14,9,0.5012541280370212,0.6981637032282786,82.66666666666667,126.0,-43.33333333333333,3
325.0,9to4,9,4,0.4589091187559058,0.528412120412734,65.0,127.0,-62.0,3
340.0,4to3,4,3,0.4043225713771241,-0.3874862900291553,103.0,94.0,9.0,2
354.0,3to8,3,8,0.2511336690175021,-0.39942798045704686,88.5,92.0,-3.5,3
370.0,8to13,8,13,0.22555957063429413,-0.13494415789070185,83.66666666666667,92.0,-8.333333333333329,4
386.0,13to14,13,14,0.19597824154327173,-0.31301040236794964,123.66666666666667,93.0,30.66666666666667,4
403.0,14to19,14,19,0.2493729359814894,0.0,403.0,403.0,0.0,3
418.0,19to24,19,24,0.3333333333333333,0.0,418.0,418.0,0.0,3
435.0,24to19,24,19,0.5,0.0,32.0,32.0,0.0,2
451.0,19to24,19,24,0.23747809751707516,-0.4734086538355055,225.5,33.0,192.5,3
467.0,24to19,24,19,0.5,0.0,32.0,32.0,0.0,2
482.0,19to24,19,24,0.18027946734511577,-0.8213080445522897,160.66666666666666,31.0,129.66666666666666,3
498.0,24to19,24,19,0.50912195267978,0.036491859729734635,31.666666666666668,31.0,0.6666666666666679,2
513.0,19to24,19,24,0.14631810734624734,-1.0706283838310076,128.25,31.0,97.25,3
528.0,24to19,24,19,0.502368853966795,0.009475486762806176,31.25,30.0,1.25,2
543.0,19to24,19,24,0.12439650206811881,-1.2582921184915943,108.6,30.0,78.6,3
558.0,24to19,24,19,0.5019187766502285,0.0076751442778730024,31.0,30.0,1.0,2
574.0,19to24,19,24,0.11044432375504142,-1.393063380771605,95.66666666666667,31.0,64.66666666666667,3
591.0,24to19,24,19,0.5144934866508629,0.05799019222668485,31.333333333333332,33.0,-1.6666666666666679,2
607.0,19to24,19,24,0.10251452884152663,-1.4764452182181957,86.71428571428571,33.0,53.71428571428571,3
622.0,24to19,24,19,0.5398455094434904,0.1597207228681982,31.285714285714285,31.0,0.2857142857142847,2
636.0,19to24,19,24,0.09856996610072001,-1.5200686365443472,79.5,29.0,50.5,3
651.0,24to19,24,19,0.516741374385828,0.06699053927284546,31.0,29.0,2.0,2
665.0,19to24,19,24,0.09494584451732965,-1.5615409303184162,73.88888888888889,29.0,44.888888888888886,3
681.0,24to23,24,23,0.483258625614172,0.0,118.0,118.0,0.0,2
696.0,23to24,23,24,0.33474907492678335,0.006364101230920318,31.0,31.0,0.0,3
711.0,24to23,24,23,0.39767009375976753,-0.3481920215427283,69.5,21.0,48.5,2
727.0,23to24,23,24,0.3360257915996019,0.012091792338748603,31.0,31.0,0.0,3
742.0,24to23,24,23,0.3454927756311495,-0.5719203509191676,56.666666666666664,31.0,25.666666666666664,2
759.0,23to24,23,24,0.3281758621104071,-0.0232997964750222,31.333333333333332,32.0,-0.6666666666666679,3
775.0,24to19,24,19,0.7452986791964425,0.5017731310952481,41.333333333333336,124.0,-82.66666666666666,2
791.0,19to24,19,24,0.1002820425132115,-1.5009475118960818,69.7,32.0,37.7,3
806.0,24to19,24,19,0.6851745556145951,0.20573494017282207,40.3,31.0,9.299999999999997,2
820.0,19to24,19,24,0.10004162880319532,-1.503614940072612,66.0,29.0,37.0,3
836.0,24to19,24,19,0.6311726099620353,-0.03466973284882803,39.36363636363637,30.0,9.363636363636367,2
852.0,19to24,19,24,0.09736296708553159,-1.533727411524417,63.166666666666664,32.0,31.166666666666664,3
867.0,24to19,24,19,0.589165941003681,-0.21140185706104428,38.666666666666664,31.0,7.666666666666664,2
883.0,19to18,19,18,0.4513185164572342,0.0,76.0,76.0,0.0,3
899.0,18to13,18,13,0.25,0.0,529.0,529.0,0.0,4
915.0,13to14,13,14,0.322502859579882,0.356318959816154,225.0,529.0,-304.0,4
932.0,14to19,14,19,0.1731234742641118,-0.4616908843430766,234.0,65.0,169.0,3
950.0,19to18,19,18,0.4180674588532928,-0.1353669657098647,71.5,67.0,4.5,3
965.0,18to13,18,13,0.17882788737439367,-0.4256966163705502,297.5,66.0,231.5,4
982.0,13to14,13,14,0.2460992132743702,-0.02091372747035919,193.4,67.0,126.4,4
999.0,14to9,14,9,0.6904314988130559,1.2908505748343306,234.75,691.0,-456.25,3
1015.0,9to4,9,4,0.600600240488489,1.1011139176657054,169.16666666666666,690.0,-520.8333333333334,3
1030.0,4to3,4,3,0.5646354593781016,0.25999661371139177,249.75,690.0,-440.25,2
1047.0,3to8,3,8,0.3930507237980529,0.2586406294627217,209.4,693.0,-483.6,3
1063.0,8to9,8,9,0.27868032271268767,0.10460582217824202,64.0,64.0,0.0,4
1079.0,9to4,9,4,0.460223944979035,0.5337060478703965,154.14285714285714,64.0,90.14285714285714,3
1096.0,4to3,4,3,0.4521823267972359,-0.19185704208583773,213.0,66.0,147.0,2
1111.0,3to8,3,8,0.289767819691297,-0.20336476997951455,185.16666666666666,64.0,121.16666666666666,3
1127.0,8to13,8,13,0.2996781202050184,0.2858793732007952,103.25,162.0,-58.75,4
1144.0,13to14,13,14,0.23570773245442692,-0.07774536074421698,188.16666666666666,162.0,26.166666666666657,4
1160.0,14to9,14,9,0.557248589403579,0.7187161865517211,207.2,97.0,110.19999999999999,3
1177.0,9to4,9,4,0.3517539494235906,0.08180877245797291,147.125,98.0,49.125,3
1193.0,4to3,4,3,0.3619712904310242,-0.5668183811776455,193.66666666666666,97.0,96.66666666666666,2
1208.0,3to8,3,8,0.23227163304927684,-0.502381282272932,172.57142857142858,97.0,75.57142857142858,3
1225.0,8to13,8,13,0.2626373249173665,0.10240468501660499,102.2,98.0,4.200000000000003,4
1242.0,13to14,13,14,0.19417080694752265,-0.32452129221143533,175.28571428571428,98.0,77.28571428571428,4
1258.0,14to9,14,9,0.42610419024330687,0.19094923894904167,189.0,98.0,91.0,3
1273.0,9to4,9,4,0.2748075114287543,-0.2772190463926344,141.44444444444446,96.0,45.44444444444446,3
