time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
36.0,-gneE3,gneJ5,gneJ4,0.5,0.0,36.0,36.0,0.0,2
56.0,-gneE2,gneJ4,gneJ3,0.5,0.0,56.0,56.0,0.0,2
75.0,gneE2,gneJ3,gneJ4,0.5,0.0,39.0,39.0,0.0,2
96.0,-gneE2,gneJ4,gneJ3,0.4533486496178095,-0.18714973875118524,48.0,40.0,8.0,2
116.0,gneE2,gneJ3,gneJ4,0.5,0.0,40.0,41.0,-1.0,2
135.0,-gneE2,gneJ4,gneJ3,0.4224193267495729,-0.312849640618985,45.0,39.0,6.0,2
155.0,gneE2,gneJ3,gneJ4,0.5091219526797802,0.036491859729735114,39.666666666666664,39.0,0.6666666666666643,2
176.0,-gneE2,gneJ4,gneJ3,0.4144263878621556,-0.34569653420029056,44.0,41.0,3.0,2
197.0,gneE2,gneJ3,gneJ4,0.5221864844745591,0.08880425255030387,40.25,42.0,-1.75,2
216.0,-gneE2,gneJ4,gneJ3,0.4088627743613696,-0.36866859799941687,43.2,40.0,3.200000000000003,2
236.0,gneE2,gneJ3,gneJ4,0.517975111342079,0.07193144456574614,40.0,39.0,1.0,2
257.0,-gneE2,gneJ4,gneJ3,0.41576328543432095,-0.340190160956739,42.833333333333336,41.0,1.8333333333333357,2
277.0,gneE2,gneJ3,gneJ4,0.5116244410504069,0.04650614442977635,40.166666666666664,41.0,-0.8333333333333357,2
298.0,-gneE2,gneJ4,gneJ3,0.42364246490095075,-0.307838332442259,42.57142857142857,41.0,1.5714285714285694,2
318.0,gneE2,gneJ3,gneJ4,0.502052065059471,0.008208306324677561,40.285714285714285,41.0,-0.7142857142857153,2
338.0,-gneE2,gneJ4,gneJ3,0.4204683253520618,-0.3208511694460951,42.25,40.0,2.25,2
358.0,gneE2,gneJ3,gneJ4,0.5328066046769883,0.13141522062377897,40.25,40.0,0.25,2
378.0,gneE3,gneJ4,gneJ5,0.5795316746479382,0.0,361.0,361.0,0.0,2
397.0,-gneE3,gneJ5,gneJ4,0.5101352391964766,0.04054651081081644,37.5,39.0,-1.5,2
418.0,gneE3,gneJ4,gneJ5,0.467825360518687,-0.449727809629954,200.5,40.0,160.5,2
438.0,-gneE3,gneJ5,gneJ4,0.522669643356163,0.09074078467107624,38.666666666666664,41.0,-2.3333333333333357,2
458.0,gneE3,gneJ4,gneJ5,0.3899305302508175,-0.7684554092687049,147.0,40.0,107.0,2
477.0,-gneE3,gneJ5,gneJ4,0.47815302133622306,-0.08744359100539947,38.75,39.0,-0.25,2
497.0,gneE3,gneJ4,gneJ5,0.3324559221496412,-1.0179493054281705,120.0,39.0,81.0,2
518.0,-gneE3,gneJ5,gneJ4,0.48740231008904766,-0.050401426512026816,39.2,41.0,-1.7999999999999972,2
539.0,gneE3,gneJ4,gneJ5,0.2940678421735846,-1.1965598121806025,104.4,42.0,62.400000000000006,2
559.0,-gneE3,gneJ5,gneJ4,0.49117700740442805,-0.03529563414738673,39.5,41.0,-1.5,2
580.0,gneE3,gneJ4,gneJ5,0.26788004512165386,-1.3262562552847184,93.83333333333333,41.0,52.83333333333333,2
600.0,-gneE3,gneJ5,gneJ4,0.49072219278603757,-0.03711548900193656,39.714285714285715,41.0,-1.2857142857142847,2
621.0,-gneE2,gneJ4,gneJ3,0.830133296018067,0.26031599495995855,69.0,283.0,-214.0,2
640.0,-gneE1,gneJ3,gneJ2,0.46719339532301174,0.0,640.0,640.0,0.0,2
662.0,gneE1,gneJ2,gneJ3,1.0,0.012484445959259002,41.0,41.0,0.0,1
682.0,-gneE1,gneJ3,gneJ2,0.34474901187937934,-0.5107864791095156,341.0,42.0,299.0,2
703.0,gneE1,gneJ2,gneJ3,1.0,0.023720447322592104,41.0,41.0,0.0,1
