time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
31.0,13to12,13,12,0.5081967213114754,0.0,31.0,31.0,0.0,4
46.0,12to13,12,13,0.5081967213114754,0.0,31.0,31.0,0.0,4
62.0,13to12,13,12,0.5081967213114754,0.0,31.0,31.0,0.0,4
78.0,12to13,12,13,0.4948690416482385,-0.06931471805599453,31.5,32.0,-0.5,4
94.0,13to12,13,12,0.500734649753566,-0.04054651081081626,31.333333333333332,32.0,-0.6666666666666679,4
109.0,12to13,12,13,0.5215404830532928,0.04273018435477464,31.333333333333332,31.0,0.33333333333333215,4
125.0,13to12,13,12,0.5350570362439492,0.0996366170200658,31.25,31.0,0.25,4
141.0,12to13,12,13,0.506849094225323,-0.021392073519791104,31.5,32.0,-0.5,4
156.0,13to18,13,18,0.741007998116605,0.0,156.0,156.0,0.0,4
172.0,18to13,18,13,0.5105622538221486,0.009465478616906253,31.0,31.0,0.0,4
187.0,13to18,13,18,0.5421157697769883,-0.3704564712164605,93.5,31.0,62.5,4
203.0,18to13,18,13,0.5126908317282758,0.01798440937212188,31.0,31.0,0.0,4
219.0,13to18,13,18,0.41599717046378637,-0.6310450417970528,73.0,32.0,41.0,4
235.0,18to13,18,13,0.5071470252257283,-0.014895063759000314,31.333333333333332,32.0,-0.6666666666666679,4
250.0,13to18,13,18,0.335119403207482,-0.8216453629804555,62.5,31.0,31.5,4
265.0,18to13,18,13,0.5096760994418168,0.0059194077273316235,31.0,30.0,1.0,4
281.0,13to12,13,12,0.6722902053494477,0.5499897736498011,56.2,156.0,-99.8,4
296.0,12to13,12,13,0.5523134116129917,0.16441174046143256,31.4,31.0,0.3999999999999986,4
312.0,13to12,13,12,0.5725003459598761,0.20116101641451936,52.0,31.0,21.0,4
328.0,12to17,12,17,0.8519233453934913,0.0,328.0,328.0,0.0,4
344.0,17to12,17,12,0.5200286861644756,0.015619115343836094,32.0,32.0,0.0,4
360.0,12to17,12,17,0.6688038155063066,-0.4469298543192079,180.0,32.0,148.0,4
376.0,17to12,17,12,0.5235363027737703,0.02967631915328858,32.0,32.0,0.0,4
393.0,12to17,12,17,0.5156565078229806,-0.7693036794717413,131.0,33.0,98.0,4
408.0,17to12,17,12,0.5266911837391988,0.04232780258179582,32.0,32.0,0.0,4
423.0,12to17,12,17,0.4044072806551115,-1.0049652720011495,105.75,30.0,75.75,4
437.0,17to12,17,12,0.5079493586903496,-0.00902188021492641,31.25,29.0,2.25,4
453.0,12to17,12,17,0.32734865030962423,-1.1834084106977052,90.6,30.0,60.599999999999994,4
