time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
30.0,16to11,16,11,0.5,0.0,30.0,30.0,0.0,4
46.0,11to10,11,10,0.6052631578947368,0.0,46.0,46.0,0.0,4
63.0,10to15,10,15,0.7590361445783133,0.0,63.0,63.0,0.0,3
81.0,15to20,15,20,0.801980198019802,0.0,81.0,81.0,0.0,3
97.0,20to21,20,21,0.9065420560747663,0.0,97.0,97.0,0.0,2
111.0,21to16,21,16,0.8305084745762712,0.0,98.0,98.0,0.0,3
127.0,16to11,16,11,0.750446879508096,0.3511545438831021,63.5,97.0,-33.5,4
143.0,11to10,11,10,0.7671642961114036,0.3238678452164381,71.5,97.0,-25.5,4
160.0,10to15,10,15,0.8415245766664767,0.2833213344056216,80.0,97.0,-17.0,3
176.0,15to20,15,20,0.8424001025500091,0.19459101490553132,88.0,95.0,-7.0,3
193.0,20to21,20,21,0.9112780838698565,0.06238324625039507,96.5,96.0,0.5,2
208.0,21to16,21,16,0.846821594077317,0.125766641421295,97.5,97.0,0.5,3
223.0,16to11,16,11,0.8266037690821584,0.6543840329131063,74.33333333333333,96.0,-21.66666666666667,4
240.0,11to10,11,10,0.8295649576159947,0.6017179218689499,80.0,97.0,-17.0,4
257.0,10to15,10,15,0.877716517660052,0.51625017097589,85.66666666666667,97.0,-11.333333333333329,3
272.0,15to20,15,20,0.8652868618647234,0.3484559651659328,90.66666666666667,96.0,-5.333333333333329,3
289.0,20to21,20,21,0.9196303900743366,0.1721064142194949,96.33333333333333,96.0,0.3333333333333286,2
306.0,21to16,21,16,0.8390698150768797,0.0654952315390982,97.66666666666667,98.0,-0.3333333333333286,3
322.0,16to11,16,11,0.8726889300636002,0.9378859054077738,80.5,99.0,-18.5,4
339.0,11to10,11,10,0.8692988958315109,0.8562655865962304,84.75,99.0,-14.25,4
356.0,10to5,10,5,0.6986496614494594,0.0,356.0,356.0,0.0,3
371.0,5to10,5,10,0.6269249885517014,0.04904376624270955,32.0,32.0,0.0,3
388.0,10to5,10,5,0.44639976885146504,-0.4490312703641055,194.0,32.0,162.0,3
404.0,5to10,5,10,0.6246602423694194,0.02386843780515361,32.5,33.0,-0.5,3
420.0,10to15,10,15,0.6595387402276592,0.9037727716237065,105.0,163.0,-58.0,3
438.0,15to20,15,20,0.9193521296940539,0.7333845418154311,109.5,166.0,-56.5,3
453.0,20to21,20,21,0.9517001541980584,0.5538089815859495,113.25,164.0,-50.75,2
