time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
37.0,gneE4,gneJ5,gneJ6,0.9736842105263158,0.0,37.0,37.0,0.0,2
57.0,-gneE4,gneJ6,gneJ5,0.975609756097561,0.0,40.0,40.0,0.0,2
77.0,gneE4,gneJ5,gneJ6,0.9756650262500663,0.04054651081081644,38.5,40.0,-1.5,2
98.0,-gneE4,gneJ6,gneJ5,0.9743152922566554,-0.06546279952896697,40.5,41.0,-0.5,2
116.0,-gneE3,gneJ5,gneJ4,0.7431461418235736,0.0,116.0,116.0,0.0,2
137.0,gneE3,gneJ4,gneJ5,0.9750937189243296,0.003851918527027562,39.0,39.0,0.0,2
156.0,-gneE3,gneJ5,gneJ4,0.5839030302531701,-0.32668748308124623,78.0,40.0,38.0,2
176.0,-gneE2,gneJ4,gneJ3,0.8180319735307223,0.0,176.0,176.0,0.0,2
195.0,gneE2,gneJ3,gneJ4,0.9750089180486239,0.0003659322600676184,39.0,39.0,0.0,2
216.0,-gneE2,gneJ4,gneJ3,0.6536286745542037,-0.3796896426929074,108.0,40.0,68.0,2
236.0,gneE2,gneJ3,gneJ4,0.9756262948585688,0.000695271294128475,40.0,41.0,-1.0,2
255.0,-gneE2,gneJ4,gneJ3,0.5307702796850217,-0.6520008397966833,85.0,39.0,46.0,2
275.0,gneE2,gneJ3,gneJ4,0.9762992280271883,0.037750300772107656,39.666666666666664,39.0,0.6666666666666643,2
296.0,-gneE2,gneJ4,gneJ3,0.4503291454878566,-0.8359924314779312,74.0,41.0,33.0,2
317.0,gneE2,gneJ3,gneJ4,0.9778043393752549,0.09030278174850678,40.25,42.0,-1.75,2
338.0,gneE3,gneJ4,gneJ5,0.8539823026663702,0.44676356066859624,120.0,201.0,-81.0,2
358.0,-gneE3,gneJ5,gneJ4,0.5052297835107639,-0.4724667910033733,65.66666666666667,41.0,24.66666666666667,2
378.0,gneE3,gneJ4,gneJ5,0.7463825506997256,0.01130659195200077,93.33333333333333,40.0,53.33333333333333,2
397.0,-gneE3,gneJ5,gneJ4,0.43439530038900515,-0.6502731654852555,59.0,39.0,20.0,2
416.0,gneE3,gneJ4,gneJ5,0.6431009946393699,-0.31883542376882573,79.5,38.0,41.5,2
437.0,gneE4,gneJ5,gneJ6,0.8935285802819757,0.5732451032866858,145.66666666666666,360.0,-214.33333333333334,2
458.0,-gneE4,gneJ6,gneJ5,0.9760866348076533,-0.0044582347638351255,41.0,42.0,-1.0,2
478.0,gneE4,gneJ5,gneJ6,0.8065429692602536,0.07164965743126274,119.5,41.0,78.5,2
498.0,-gneE4,gneJ6,gneJ5,0.9768574725648206,0.035212979528296745,40.75,40.0,0.75,2
517.0,gneE4,gneJ5,gneJ6,0.7111287936986805,-0.31046806165574736,103.4,39.0,64.4,2
537.0,-gneE4,gneJ6,gneJ5,0.9744448811184878,-0.05779947300685111,40.4,39.0,1.3999999999999986,2
557.0,gneE4,gneJ5,gneJ6,0.6212881962627509,-0.6085219373595857,92.83333333333333,40.0,52.83333333333333,2
576.0,-gneE4,gneJ6,gneJ5,0.971321453143638,-0.1705293440134077,40.166666666666664,39.0,1.1666666666666643,2
597.0,gneE4,gneJ5,gneJ6,0.54554110117789,-0.8360720154952416,85.28571428571429,40.0,45.28571428571429,2
618.0,-gneE4,gneJ6,gneJ5,0.9715151058464201,-0.1700538479588606,40.42857142857143,42.0,-1.5714285714285694,2
639.0,gneE4,gneJ5,gneJ6,0.4872263020848549,-1.0043045462958036,79.875,42.0,37.875,2
660.0,-gneE4,gneJ6,gneJ5,0.971290697389932,-0.18297904077222035,40.625,42.0,-1.375,2
681.0,-gneE3,gneJ5,gneJ4,0.7635050715520725,-0.0962395291057474,104.0,284.0,-180.0,2
702.0,gneE3,gneJ4,gneJ5,0.5564724550245896,-0.5817356926059303,72.0,42.0,30.0,2
723.0,-gneE3,gneJ5,gneJ4,0.6514896425245083,-0.5379904656336281,93.66666666666667,42.0,51.66666666666667,2
744.0,gneE3,gneJ4,gneJ5,0.4696891984474086,-0.8580120142958114,67.0,42.0,25.0,2
763.0,-gneE3,gneJ5,gneJ4,0.5366696160357713,-0.9312466367290237,86.0,40.0,46.0,2
782.0,-gneE2,gneJ4,gneJ3,0.823713139289091,-0.16402644426049828,156.4,486.0,-329.6,2
801.0,-gneE1,gneJ3,gneJ2,0.9478685866957799,0.0,801.0,801.0,0.0,2
823.0,gneE1,gneJ2,gneJ3,1.0,0.008578764266108143,41.0,41.0,0.0,1
