time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
29.0,4to9,4,9,1.0,2.9000000000000004,29.0,29.0,0.0,2
46.0,9to4,9,4,1.0,3.4755000000000003,32.0,32.0,0.0,3
62.0,4to9,4,9,1.0,6.2401725,31.0,33.0,-2.0,2
76.0,9to4,9,4,1.0,6.7207663875,31.0,30.0,1.0,3
92.0,4to9,4,9,1.0,9.2546280568125,30.666666666666668,30.0,0.6666666666666679,2
107.0,9to4,9,4,1.0,10.027879414147188,31.0,31.0,0.0,3
122.0,4to9,4,9,1.0,12.281813795475232,30.5,30.0,0.5,2
137.0,9to4,9,4,1.0,13.191863783302617,30.75,30.0,0.75,3
153.0,4to9,4,9,1.0,15.406859475341458,30.6,31.0,-0.3999999999999986,2
168.0,9to4,9,4,1.0,16.436329055129793,30.8,31.0,-0.1999999999999993,3
185.0,4to9,4,9,1.0,18.627624788044642,30.833333333333332,32.0,-1.1666666666666679,2
200.0,9to4,9,4,1.0,19.762320504481057,31.0,32.0,-1.0,3
216.0,4to9,4,9,1.0,21.742282757165878,30.857142857142858,31.0,-0.14285714285714235,2
232.0,9to4,9,4,1.0,23.051605315963712,31.142857142857142,32.0,-0.8571428571428577,3
247.0,4to9,4,9,1.0,24.857956986465844,30.875,31.0,-0.125,2
263.0,9to4,9,4,1.0,26.207950698081596,31.125,31.0,0.125,3
280.0,4to9,4,9,1.0,28.161916604137012,31.11111111111111,33.0,-1.8888888888888893,2
296.0,9to4,9,4,1.0,29.562537705666454,31.333333333333332,33.0,-1.6666666666666679,3
312.0,4to9,4,9,1.0,31.354166025761625,31.2,32.0,-0.8000000000000007,2
328.0,9to14,9,14,0.5259567876279623,32.800000000000004,328.0,328.0,0.0,3
344.0,14to19,14,19,1.0,34.4,344.0,344.0,0.0,3
360.0,19to14,19,14,1.0,6.468000000000001,32.0,32.0,0.0,3
377.0,14to19,14,19,1.0,34.87446,188.5,33.0,155.5,3
393.0,19to14,19,14,1.0,12.4342737,32.5,33.0,-0.5,3
409.0,14to19,14,19,1.0,35.7682700015,136.33333333333334,32.0,104.33333333333334,3
426.0,19to14,19,14,1.0,17.8888319801425,32.666666666666664,33.0,-0.3333333333333357,3
441.0,14to19,14,19,1.0,37.09088203946354,110.25,32.0,78.25,3
457.0,19to14,19,14,1.0,22.723582575877284,32.25,31.0,1.25,3
473.0,14to19,14,19,1.0,38.740534180225524,94.6,32.0,62.599999999999994,3
488.0,19to14,19,14,1.0,27.23157506541098,32.0,31.0,1.0,3
505.0,14to19,14,19,1.0,40.65348039341701,84.16666666666667,32.0,52.16666666666667,3
521.0,19to14,19,14,1.0,31.6704981962445,32.166666666666664,33.0,-0.8333333333333357,3
