time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
40.0,-gneE9,gneJ12,gneJ11,1.0,4.0,40.0,40.0,0.0,1
59.0,gneE9,gneJ11,gneJ12,1.0,4.4799999999999995,41.0,41.0,0.0,2
79.0,-gneE9,gneJ12,gneJ11,1.0,7.9256,39.5,39.0,0.5,1
99.0,gneE9,gneJ11,gneJ12,1.0,8.784932,40.5,40.0,0.5,2
120.0,-gneE9,gneJ12,gneJ11,1.0,12.06760854,40.0,41.0,-1.0,1
140.0,gneE9,gneJ11,gneJ12,1.0,13.1528616113,40.666666666666664,41.0,-0.3333333333333357,2
160.0,-gneE9,gneJ12,gneJ11,1.0,16.1103695390735,40.0,40.0,0.0,1
181.0,gneE9,gneJ11,gneJ12,1.0,17.468060556381985,40.75,41.0,-0.25,2
202.0,-gneE9,gneJ12,gneJ11,1.0,20.35879833802244,40.4,42.0,-1.6000000000000014,1
221.0,gneE9,gneJ11,gneJ12,1.0,21.65534034285592,40.6,40.0,0.6000000000000014,2
242.0,-gneE9,gneJ12,gneJ11,1.0,24.38017583679151,40.333333333333336,40.0,0.3333333333333357,1
262.0,gneE9,gneJ11,gneJ12,1.0,25.905923013065518,40.666666666666664,41.0,-0.3333333333333357,2
284.0,-gneE9,gneJ12,gneJ11,1.0,28.60322093935358,40.57142857142857,42.0,-1.4285714285714306,1
304.0,gneE9,gneJ11,gneJ12,1.0,30.232636700997556,40.857142857142854,42.0,-1.142857142857146,2
325.0,-gneE9,gneJ12,gneJ11,1.0,32.714999332012994,40.625,41.0,-0.375,1
345.0,gneE9,gneJ11,gneJ12,1.0,34.41729796743903,40.875,41.0,-0.125,2
365.0,-gneE9,gneJ12,gneJ11,1.0,36.713142705718404,40.55555555555556,40.0,0.5555555555555571,1
385.0,gneE9,gneJ11,gneJ12,1.0,38.46331672773838,40.77777777777778,40.0,0.7777777777777786,2
405.0,-gneE9,gneJ12,gneJ11,1.0,40.69584352428171,40.5,40.0,0.5,1
424.0,-gneE8,gneJ11,gneJ10,0.5243415891875681,42.400000000000006,424.0,424.0,0.0,2
445.0,gneE8,gneJ10,gneJ11,1.0,8.028,40.0,40.0,0.0,2
463.0,gneE9,gneJ11,gneJ12,0.521893069927209,46.28309018977131,44.5,78.0,-33.5,2
485.0,-gneE9,gneJ12,gneJ11,1.0,45.023152739881816,40.45454545454545,40.0,0.45454545454545325,1
505.0,-gneE8,gneJ11,gneJ10,0.5039631523712338,47.02266,252.5,81.0,171.5,2
525.0,gneE8,gneJ10,gneJ11,1.0,15.6923527,40.0,40.0,0.0,2
545.0,-gneE8,gneJ11,gneJ10,0.5081199286446426,47.8111675065,181.66666666666666,40.0,141.66666666666666,2
566.0,gneE8,gneJ10,gneJ11,1.0,22.7651783431175,40.333333333333336,41.0,-0.6666666666666643,2
586.0,-gneE8,gneJ11,gneJ10,0.5157448406031411,49.29274269844616,146.5,41.0,105.5,2
607.0,gneE8,gneJ10,gneJ11,1.0,29.27147106515814,40.5,41.0,-0.5,2
627.0,gneE9,gneJ11,gneJ12,0.5584065858703309,62.33198068108295,55.36363636363637,164.0,-108.63636363636363,2
647.0,-gneE9,gneJ12,gneJ11,1.0,50.442375630596516,40.416666666666664,40.0,0.4166666666666643,1
666.0,-gneE8,gneJ11,gneJ10,0.46940776036503984,55.14425817979157,133.2,80.0,53.19999999999999,2
687.0,gneE8,gneJ10,gneJ11,1.0,36.26586212334521,40.4,40.0,0.3999999999999986,2
