time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
40.0,-gneE4,gneJ6,gneJ5,1.0,4.0,40.0,40.0,0.0,2
62.0,gneE4,gneJ5,gneJ6,1.0,4.78,44.0,44.0,0.0,2
83.0,gneE5,gneJ6,gneJ7,0.6747967479674797,8.3,83.0,83.0,0.0,2
105.0,-gneE5,gneJ7,gneJ6,1.0,5.0885,43.0,43.0,0.0,2
126.0,gneE5,gneJ6,gneJ7,0.7538977595928731,12.253407500000002,63.0,43.0,20.0,2
147.0,-gneE5,gneJ7,gneJ6,1.0,9.9437237125,42.5,42.0,0.5,2
170.0,gneE5,gneJ6,gneJ7,0.8036590155216465,16.3727205026875,56.666666666666664,44.0,12.666666666666664,2
193.0,-gneE5,gneJ7,gneJ6,1.0,15.104759789005314,43.666666666666664,46.0,-2.3333333333333357,2
215.0,gneE5,gneJ6,gneJ7,0.8378623817421548,20.670400632374253,53.75,45.0,8.75,2
236.0,-gneE5,gneJ7,gneJ6,1.0,19.857971870180336,43.5,43.0,0.5,2
258.0,gneE5,gneJ6,gneJ7,0.8610622315344472,24.789867896803962,51.6,43.0,8.600000000000001,2
280.0,-gneE5,gneJ7,gneJ6,1.0,24.62721213335868,43.6,44.0,-0.3999999999999986,2
301.0,gneE5,gneJ6,gneJ7,0.8786056631653512,28.95046625979264,50.166666666666664,43.0,7.166666666666664,2
325.0,-gneE5,gneJ7,gneJ6,1.0,29.414785214703112,43.833333333333336,45.0,-1.1666666666666643,2
347.0,gneE5,gneJ6,gneJ7,0.8931904199197797,33.44982422921017,49.57142857142857,46.0,3.5714285714285694,2
370.0,-gneE5,gneJ7,gneJ6,1.0,34.151039995007764,44.0,45.0,-1.0,2
391.0,gneE5,gneJ6,gneJ7,0.9041897593233131,37.74919060581489,48.875,44.0,4.875,2
413.0,-gneE5,gneJ7,gneJ6,1.0,38.6221091030594,43.875,43.0,0.875,2
433.0,-gneE4,gneJ6,gneJ5,0.5345541429473347,43.3541,216.5,393.0,-176.5,2
454.0,gneE4,gneJ5,gneJ6,1.0,12.520639500000001,42.5,41.0,1.5,2
475.0,-gneE4,gneJ6,gneJ5,0.5405256550211577,44.4081507525,158.33333333333334,42.0,116.33333333333334,2
497.0,gneE4,gneJ5,gneJ6,1.0,19.7873498714875,42.666666666666664,43.0,-0.3333333333333357,2
519.0,gneE5,gneJ6,gneJ7,0.5318140446674587,50.44337191002404,57.666666666666664,128.0,-70.33333333333334,2
542.0,-gneE5,gneJ7,gneJ6,1.0,44.05201852420575,44.0,45.0,-1.0,2
563.0,-gneE4,gneJ6,gneJ5,0.5010078196926321,50.64713391504131,140.75,88.0,52.75,2
584.0,gneE4,gneJ5,gneJ6,1.0,26.820092606267675,42.5,42.0,0.5,2
606.0,gneE5,gneJ6,gneJ7,0.5350535422624781,58.28397647882118,60.6,87.0,-26.4,2
629.0,-gneE5,gneJ7,gneJ6,1.0,49.683794437273185,44.1,45.0,-0.8999999999999986,2
650.0,-gneE4,gneJ6,gneJ5,0.49368607078161625,56.83032932113261,130.0,87.0,43.0,2
