time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
29.0,17to12,17,12,0.25,0.0,29.0,29.0,0.0,4
44.0,12to13,12,13,0.25,0.0,44.0,44.0,0.0,4
62.0,13to14,13,14,0.25,0.0,62.0,62.0,0.0,4
78.0,14to19,14,19,0.3333333333333333,0.0,78.0,78.0,0.0,3
94.0,19to18,19,18,0.3333333333333333,0.0,94.0,94.0,0.0,3
110.0,18to23,18,23,0.25,0.0,110.0,110.0,0.0,4
126.0,23to18,23,18,0.191672528684848,-0.746031746031746,126.0,32.0,94.0,3
142.0,18to23,18,23,0.14091594424026851,-0.7090909090909091,110.0,32.0,78.0,4
158.0,23to18,23,18,0.191672528684848,-0.746031746031746,32.0,32.0,0.0,3
175.0,18to17,18,17,0.2714243556534098,-0.07428571428571429,175.0,162.0,13.0,4
192.0,17to12,17,12,0.9713094515930865,4.620689655172414,29.0,163.0,-134.0,4
208.0,12to11,12,11,0.25,0.0,208.0,208.0,0.0,4
225.0,11to16,11,16,0.25,0.0,225.0,225.0,0.0,4
241.0,16to11,16,11,0.1232850423380829,-0.8630705394190872,241.0,33.0,208.0,4
255.0,11to16,11,16,0.12289687817146352,-0.8666666666666667,225.0,30.0,195.0,4
270.0,16to11,16,11,0.11077049160310332,-0.9842826606312084,33.0,29.0,4.0,4
285.0,11to16,11,16,0.12289687817146352,-0.8666666666666667,30.0,30.0,0.0,4
301.0,16to11,16,11,0.1177481609998214,-0.9153171433898291,29.0,31.0,-2.0,4
316.0,11to16,11,16,0.12653538554542765,-0.8333333333333334,30.0,31.0,-1.0,4
331.0,16to11,16,11,0.11443818074500046,-0.9475752079059581,31.0,30.0,1.0,4
346.0,11to16,11,16,0.12650334629433002,-0.8336232492577155,30.008700000000005,30.0,0.008700000000004593,4
362.0,16to11,16,11,0.11446921766335788,-0.9472689851300179,30.990509999999997,31.0,-0.009490000000003107,4
378.0,11to16,11,16,0.12719784263087172,-0.8273529273141043,31.800599999999996,32.0,-0.19940000000000424,4
395.0,16to11,16,11,0.11509253774701363,-0.9411343076007557,32.79879000000001,33.0,-0.201209999999989,4
410.0,11to16,11,16,0.12726801862575945,-0.8267209656908417,31.979790000000005,32.0,-0.020209999999995176,4
426.0,16to11,16,11,0.11450718481934842,-0.9468944841264327,31.1796,31.0,0.17960000000000065,4
441.0,11to6,11,6,0.2909106604580802,0.0,441.0,441.0,0.0,4
457.0,6to1,6,1,0.25,0.0,457.0,457.0,0.0,4
474.0,1to0,1,0,0.3333333333333333,0.0,474.0,474.0,0.0,3
488.0,0to5,0,5,0.5,0.0,488.0,488.0,0.0,2
504.0,5to10,5,10,0.3333333333333333,0.0,504.0,504.0,0.0,3
520.0,10to5,10,5,0.1636101020107225,-0.9384615384615385,520.0,32.0,488.0,3
536.0,5to10,5,10,0.16387761220502198,-0.9365079365079365,504.0,32.0,472.0,3
552.0,10to5,10,5,0.1636101020107225,-0.9384615384615385,32.0,32.0,0.0,3
568.0,5to10,5,10,0.16387761220502198,-0.9365079365079365,32.0,32.0,0.0,3
584.0,10to5,10,5,0.1636101020107225,-0.9384615384615385,32.0,32.0,0.0,3
600.0,5to10,5,10,0.16387761220502198,-0.9365079365079365,32.0,32.0,0.0,3
616.0,10to5,10,5,0.1636101020107225,-0.9384615384615385,32.0,32.0,0.0,3
632.0,5to10,5,10,0.1638789824407342,-0.9364979364079355,31.99968,32.0,-0.00031999999999854367,3
648.0,10to5,10,5,0.16361147044737545,-0.9384515383615375,31.99968,32.0,-0.00031999999999854367,3
664.0,5to10,5,10,0.16388035268565784,-0.9364879363079346,31.99968,32.0,-0.00031999999999854367,3
679.0,10to5,10,5,0.16317333786028548,-0.9416567160353914,31.09968,31.0,0.09967999999999932,3
695.0,5to10,5,10,0.16344164076773318,-0.9396931139817885,31.09968,31.0,0.09967999999999932,3
711.0,10to5,10,5,0.16356020348607103,-0.9388262269800326,31.909679999999998,32.0,-0.09032000000000195,3
727.0,5to0,5,0,0.2725276257112756,-0.6519944979367263,727.0,253.0,474.0,3
742.0,0to5,0,5,0.28161284285367666,-0.9364754098360656,488.0,31.0,457.0,2
758.0,5to0,5,0,0.13478391799740244,-1.5294648536679516,253.0,31.0,222.0,3
775.0,0to5,0,5,0.2948467800309033,-0.8719592808038075,31.0,33.0,-2.0,2
790.0,5to0,5,0,0.1385902768667438,-1.4972067891518226,31.0,32.0,-1.0,3
806.0,0to5,0,5,0.2824045522996159,-0.932565341409868,33.0,31.0,2.0,2
823.0,5to10,5,10,0.25736485372733237,-0.8577867137616205,118.30968,128.0,-9.69032,3
839.0,10to5,10,5,0.16401542692620308,-0.9355024890700837,32.89068,33.0,-0.10931999999999675,3
857.0,5to10,5,10,0.22124890386838664,-1.0564797349434634,42.430679999999995,34.0,8.430679999999995,3
872.0,10to5,10,5,0.1640620669959575,-0.9351623734307662,32.98878,33.0,-0.011220000000001562,3
888.0,5to10,5,10,0.2151839038050294,-1.092032975826797,32.14278,31.0,1.142780000000002,3
904.0,10to5,10,5,0.16364126199047,-0.9382338479098631,32.098589999999994,32.0,0.0985899999999944,3
919.0,5to10,5,10,0.21456583715273486,-1.0956966010963303,31.11399,31.0,0.11399000000000115,3
934.0,10to5,10,5,0.16269398588228698,-0.945171382294651,30.209580000000003,30.0,0.20958000000000254,3
950.0,5to10,5,10,0.21450541262769632,-1.0960551821472566,31.011120000000002,31.0,0.011120000000001795,3
965.0,10to5,10,5,0.16304378606126618,-0.9426057845892974,30.920670000000005,31.0,-0.07932999999999524,3
981.0,5to10,5,10,0.21450563003817383,-1.0960538918230112,30.99996,31.0,-3.999999999848569e-05,3
997.0,10to5,10,5,0.16350741711244346,-0.9392121190762198,31.891769999999998,32.0,-0.10823000000000249,3
1014.0,5to10,5,10,0.21553642237163428,-1.089946821908631,32.799690000000005,33.0,-0.20030999999999466,3
