time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
30.0,6to11,6,11,0.25,0.0,30.0,30.0,0.0,4
47.0,11to16,11,16,0.25,0.0,47.0,47.0,0.0,4
63.0,16to21,16,21,0.25,0.0,63.0,63.0,0.0,4
79.0,21to20,21,20,0.2978192391406324,-0.16455696202531644,79.0,66.0,13.0,3
93.0,20to21,20,21,0.33683751901882514,-0.6774193548387096,93.0,30.0,63.0,2
109.0,21to20,21,20,0.19731535374549355,-0.7100115074798619,66.0,30.0,36.0,3
126.0,20to21,20,21,0.35952661600405744,-0.5774193548387097,30.0,33.0,-3.0,2
143.0,21to20,21,20,0.21928714994796228,-0.5766781741465286,30.0,34.0,-4.0,3
159.0,20to21,20,21,0.35952661600405744,-0.5774193548387097,33.0,33.0,0.0,2
176.0,21to20,21,20,0.21429343650777824,-0.6060899388524109,34.0,33.0,1.0,3
191.0,20to21,20,21,0.3525789275591291,-0.6077223851417399,33.0,32.0,1.0,2
208.0,21to20,21,20,0.21423926426659873,-0.606411710282232,32.0103,32.0,0.010300000000000864,3
225.0,20to21,20,21,0.35270878878845796,-0.6071535323204155,33.98067,34.0,-0.019329999999996517,2
242.0,21to20,21,20,0.21523322757882418,-0.6005171682660171,33.800760000000004,34.0,-0.1992399999999961,3
259.0,20to21,20,21,0.29895526746244466,-0.8522777424136708,10.597769999999999,8.0,2.597769999999999,2
275.0,21to20,21,20,0.21482619544382017,-0.6029286118764169,33.079769999999996,33.0,0.07976999999999634,3
292.0,20to15,20,15,0.6790780269271431,-0.10273972602739725,292.0,262.0,30.0,2
309.0,15to10,15,10,0.30043007112215253,-0.15210355987055016,309.0,262.0,47.0,3
327.0,10to5,10,5,0.21906407591566202,-0.5779816513761468,327.0,138.0,189.0,3
343.0,5to0,5,0,0.23191662463930157,-0.5043731778425656,343.0,170.0,173.0,3
359.0,0to5,0,5,0.2868231689492524,-0.9108635097493036,359.0,32.0,327.0,2
374.0,5to6,5,6,0.26544002545083845,-0.5454545454545454,374.0,170.0,204.0,3
390.0,6to11,6,11,0.16356400481287864,-0.5333333333333333,30.0,14.0,16.0,4
406.0,11to16,11,16,0.14436941183408508,-0.6808510638297872,47.0,15.0,32.0,4
421.0,16to21,16,21,0.5269082069449841,1.2063492063492063,63.0,139.0,-76.0,4
438.0,21to20,21,20,0.22979576916047237,-0.5163175796945981,150.00768000000002,163.0,-12.992319999999978,3
454.0,20to15,20,15,0.45279270512591924,-1.041671023737321,262.0,16.0,246.0,2
471.0,15to10,15,10,0.1437875048794954,-1.0910348575804738,262.0,16.0,246.0,3
487.0,10to5,10,5,0.10384752974158606,-1.4620396223906396,138.0,16.0,122.0,3
503.0,5to0,5,0,0.26495833324076534,-0.5631967072543304,170.0,160.0,10.0,3
519.0,0to5,0,5,0.2868231689492524,-0.9108635097493036,32.0,32.0,0.0,2
535.0,5to6,5,6,0.15191387926005576,-1.2689839572192514,170.0,47.0,123.0,3
551.0,6to11,6,11,0.6737504553503071,1.823809523809524,14.0,47.0,-33.0,4
566.0,11to16,11,16,0.9989100540682352,7.919148936170212,15.0,144.0,-129.0,4
583.0,16to21,16,21,0.5678794459614589,1.371816832248487,139.0,162.0,-23.0,4
600.0,21to20,21,20,0.23111871579714144,-0.5088579004697601,160.80048000000002,162.0,-1.1995199999999784,3
617.0,20to15,20,15,0.9998763716109826,8.14582897626268,16.0,163.0,-147.0,2
634.0,15to10,15,10,0.9993911429241191,8.096465142419525,16.0,163.0,-147.0,3
651.0,10to5,10,5,0.9939088778052587,5.787960377609361,16.0,132.0,-116.0,3
667.0,5to0,5,0,0.31304342926285805,-0.5381967072543303,160.0,164.0,-4.0,3
683.0,0to5,0,5,0.2868231689492524,-0.9108635097493036,32.0,32.0,0.0,2
699.0,5to0,5,0,0.1692703611730567,-1.3430747560348182,164.0,32.0,132.0,3
715.0,0to5,0,5,0.2868231689492524,-0.9108635097493036,32.0,32.0,0.0,2
