time,edge,old node,current node,probability (value_exp),value_func,expect,true,expect-true,no.of neighbours
37.0,-gneE4,gneJ6,gneJ5,0.5,0.0,37.0,37.0,0.0,2
58.0,gneE4,gneJ5,gneJ6,0.4230305725979342,-0.3103448275862069,58.0,40.0,18.0,2
79.0,-gneE4,gneJ6,gneJ5,0.5337324656024703,0.13513513513513514,37.0,42.0,-5.0,2
99.0,gneE4,gneJ5,gneJ6,0.42914391038209526,-0.2853448275862069,40.0,41.0,-1.0,2
119.0,-gneE4,gneJ6,gneJ5,0.5218650681608962,0.08751608751608753,42.0,40.0,2.0,2
141.0,gneE4,gneJ5,gneJ6,0.4351290648791667,-0.26095458368376784,41.0,42.0,-1.0,2
160.0,-gneE4,gneJ6,gneJ5,0.5280993835869149,0.11251608751608752,40.0,41.0,-1.0,2
180.0,gneE4,gneJ5,gneJ6,0.4176608780434815,-0.3323831551123393,42.0,39.0,3.0,2
199.0,-gneE4,gneJ6,gneJ5,0.5279794353214413,0.11203478082223414,39.01877999999999,39.0,0.01877999999999247,2
218.0,gneE4,gneJ5,gneJ6,0.4175809638114126,-0.33271173132505255,38.01249,38.0,0.012489999999999668,2
238.0,-gneE4,gneJ6,gneJ5,0.5279698504047324,0.11199632076300584,39.00149999999999,39.0,0.0014999999999929514,2
258.0,gneE4,gneJ5,gneJ6,0.4187982050804738,-0.32770882686665864,39.80088,40.0,-0.19912000000000063,2
278.0,-gneE4,gneJ6,gneJ5,0.5285957268088757,0.11450786280370322,39.89979,40.0,-0.10020999999999702,2
299.0,gneE4,gneJ5,gneJ6,0.4195146073385836,-0.3247662913154036,40.87971,41.0,-0.12028999999999712,2
319.0,-gneE4,gneJ6,gneJ5,0.5292683938329444,0.11720757062679069,40.889610000000005,41.0,-0.11038999999999533,2
340.0,gneE4,gneJ5,gneJ6,0.4195881631314342,-0.3244642488938138,40.98762,41.0,-0.01238000000000028,2
360.0,-gneE4,gneJ6,gneJ5,0.5293376257435968,0.1174854527018354,40.98861,41.0,-0.011389999999998679,2
381.0,gneE4,gneJ5,gneJ6,0.41959754848852904,-0.3244257108233222,40.998419999999996,41.0,-0.0015800000000041337,2
401.0,-gneE4,gneJ6,gneJ5,0.5293466801498837,0.11752179548599992,40.99851,41.0,-0.0014899999999968827,2
421.0,gneE4,gneJ5,gneJ6,0.41899337808650317,-0.3269070385206749,40.09949999999999,40.0,0.09949999999999193,2
