time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
39.0,17to22,17,22,0.19660163905828923,-0.3090588484036632,39.0,8.0,31.0,4
57.0,22to21,22,21,0.2612155127910825,-0.3465132841539053,57.0,10.0,47.0,3
73.0,21to20,21,20,0.3333333333333333,0.0,73.0,73.0,0.0,3
90.0,20to15,20,15,0.5,0.0,90.0,90.0,0.0,2
107.0,15to10,15,10,0.3333333333333333,0.0,107.0,107.0,0.0,3
124.0,10to11,10,11,0.2522972618463821,-0.39325030672203193,124.0,45.0,79.0,3
141.0,11to16,11,16,0.18693434811174975,-0.3714420946540583,141.0,79.0,62.0,4
157.0,16to17,16,17,0.25,0.0,142.0,142.0,0.0,4
173.0,17to12,17,12,0.26779945364723695,0.0,173.0,173.0,0.0,4
188.0,12to7,12,7,0.17315315016135097,-0.46483073765311633,188.0,13.0,175.0,4
205.0,7to2,7,2,0.1743108844484796,-0.4567656433710444,205.0,45.0,160.0,4
221.0,2to3,2,3,0.24235649604432052,-0.4466560167233916,221.0,78.0,143.0,3
237.0,3to4,3,4,0.24419249282777344,-0.43668272375276557,237.0,109.0,128.0,3
253.0,4to9,4,9,0.3957887610487344,-0.4230432329213175,253.0,143.0,110.0,2
270.0,9to14,9,14,0.2493571604137647,-0.4088965304043004,270.0,176.0,94.0,3
286.0,14to19,14,19,0.2527328653363755,-0.39094248796683156,286.0,209.0,77.0,3
303.0,19to24,19,24,0.25643341548842546,-0.3714420946540583,303.0,241.0,62.0,3
319.0,24to23,24,23,0.38236810863045906,-0.47950885519106234,319.0,113.0,206.0,2
334.0,23to18,23,18,0.2329262805725618,-0.4987137190642583,334.0,79.0,255.0,3
350.0,18to13,18,13,0.16611151415516742,-0.5148280598946671,350.0,45.0,305.0,4
366.0,13to8,13,8,0.16440292255354486,-0.5272139839035113,366.0,16.0,350.0,4
381.0,8to7,8,7,0.17863012767170566,-0.42704389155269257,193.0,78.0,115.0,4
398.0,7to6,7,6,0.18175428981835737,-0.5362582223726804,398.0,11.0,387.0,4
413.0,6to1,6,1,0.16922685019793698,-0.4925043606304328,413.0,175.0,238.0,4
428.0,1to0,1,0,0.23508948216597236,-0.4866454594314107,428.0,205.0,223.0,3
444.0,0to5,0,5,0.3699437379787385,-0.5324581856346692,444.0,73.0,371.0,2
461.0,5to10,5,10,0.23343924082413767,-0.49584495029651793,354.0,107.0,247.0,3
479.0,10to15,10,15,0.29426937441702256,-0.3590085641907847,389.0,335.0,54.0,3
495.0,15to20,15,20,0.2506630933178457,-0.4019317306789126,422.0,335.0,87.0,3
510.0,20to21,20,21,0.3680545806757205,-0.540571784364156,453.0,47.0,406.0,2
526.0,21to22,21,22,0.22553118279416265,-0.540571784364156,487.0,81.0,406.0,3
542.0,22to17,22,17,0.2828587024196149,-0.39550042392051954,385.0,304.0,81.0,3
556.0,17to16,17,16,0.17664587140735327,-0.5334233423373369,415.0,40.0,375.0,4
573.0,16to11,16,11,0.16368376974304052,-0.5324581856346692,449.0,78.0,371.0,4
589.0,11to16,11,16,0.1926456503802519,-0.3342978851886525,33.0,33.0,0.0,4
605.0,16to15,16,15,0.2017768859408923,-0.42466489841655847,126.0,14.0,112.0,4
622.0,15to10,15,10,0.28088749778594363,-0.42782311719957283,161.0,45.0,116.0,3
