time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
30.0,17to16,17,16,0.25,0.0,30.0,30.0,0.0,4
46.0,16to15,16,15,0.25,0.0,46.0,46.0,0.0,4
63.0,15to20,15,20,0.3333333333333333,0.0,63.0,63.0,0.0,3
79.0,20to21,20,21,0.5,0.0,79.0,79.0,0.0,2
94.0,21to22,21,22,0.3333333333333333,0.0,94.0,94.0,0.0,3
110.0,22to23,22,23,0.3333333333333333,0.0,110.0,110.0,0.0,3
126.0,23to24,23,24,0.3333333333333333,0.0,126.0,126.0,0.0,3
140.0,24to19,24,19,0.5,0.0,140.0,140.0,0.0,2
157.0,19to14,19,14,0.3333333333333333,0.0,157.0,157.0,0.0,3
173.0,14to9,14,9,0.3333333333333333,0.0,173.0,173.0,0.0,3
188.0,9to8,9,8,0.3333333333333333,0.0,188.0,188.0,0.0,3
205.0,8to13,8,13,0.25,0.0,205.0,205.0,0.0,4
221.0,13to12,13,12,0.25,0.0,221.0,221.0,0.0,4
237.0,12to11,12,11,0.25,0.0,237.0,237.0,0.0,4
254.0,11to10,11,10,0.25,0.0,254.0,254.0,0.0,4
270.0,10to5,10,5,0.3333333333333333,0.0,270.0,270.0,0.0,3
285.0,5to0,5,0,0.3333333333333333,0.0,285.0,285.0,0.0,3
302.0,0to1,0,1,0.5,0.0,302.0,302.0,0.0,2
320.0,1to2,1,2,0.3333333333333333,0.0,320.0,320.0,0.0,3
335.0,2to7,2,7,0.3333333333333333,0.0,335.0,335.0,0.0,3
351.0,7to6,7,6,0.25,0.0,351.0,351.0,0.0,4
366.0,6to11,6,11,0.25,0.0,129.0,129.0,0.0,4
381.0,11to16,11,16,0.25,0.0,351.0,351.0,0.0,4
395.0,16to17,16,17,0.25,0.0,380.0,380.0,0.0,4
411.0,17to18,17,18,0.25,0.0,411.0,411.0,0.0,4
428.0,18to23,18,23,0.25,0.0,318.0,318.0,0.0,4
445.0,23to22,23,22,0.3333333333333333,0.0,351.0,351.0,0.0,3
460.0,22to21,22,21,0.3333333333333333,0.0,381.0,381.0,0.0,3
476.0,21to20,21,20,0.3333333333333333,0.0,413.0,413.0,0.0,3
493.0,20to15,20,15,0.5,0.0,447.0,447.0,0.0,2
510.0,15to10,15,10,0.3333333333333333,0.0,256.0,256.0,0.0,3
526.0,10to5,10,5,0.3333333333333333,0.0,256.0,256.0,0.0,3
541.0,5to0,5,0,0.3333333333333333,0.0,256.0,256.0,0.0,3
558.0,0to1,0,1,0.5,0.0,256.0,256.0,0.0,2
575.0,1to2,1,2,0.3333333333333333,0.0,255.0,255.0,0.0,3
591.0,2to3,2,3,0.3333333333333333,0.0,591.0,591.0,0.0,3
607.0,3to4,3,4,0.3333333333333333,0.0,607.0,607.0,0.0,3
623.0,4to3,4,3,0.5,0.0,32.0,32.0,0.0,2
640.0,3to8,3,8,0.3333333333333333,0.0,452.0,452.0,0.0,3
655.0,8to9,8,9,0.25,0.0,482.0,482.0,0.0,4
672.0,9to14,9,14,0.3333333333333333,0.0,515.0,515.0,0.0,3
688.0,14to19,14,19,0.3333333333333333,0.0,548.0,548.0,0.0,3
705.0,19to24,19,24,0.3333333333333333,0.0,579.0,579.0,0.0,3
721.0,24to23,24,23,0.5,0.0,293.0,293.0,0.0,2
736.0,23to18,23,18,0.3333333333333333,0.0,325.0,325.0,0.0,3
753.0,18to13,18,13,0.25,0.0,548.0,548.0,0.0,4
769.0,13to12,13,12,0.25,0.0,548.0,548.0,0.0,4
786.0,12to7,12,7,0.25,0.0,451.0,451.0,0.0,4
802.0,7to6,7,6,0.25,0.0,451.0,451.0,0.0,4
817.0,6to11,6,11,0.25,0.0,451.0,451.0,0.0,4
833.0,11to16,11,16,0.25,0.0,452.0,452.0,0.0,4
848.0,16to17,16,17,0.25,0.0,453.0,453.0,0.0,4
864.0,17to22,17,22,0.25,0.0,419.0,419.0,0.0,4
