time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
32,13to14,13,14,0.25,0,32,32,0,4
47,14to9,14,9,0.333333333333333,0,47,47,0,3
62,9to4,9,4,0.333333333333333,0,62,62,0,3
78,4to3,4,3,0.5,0,78,78,0,2
95,3to2,3,2,0.301426203451853,-0.147368421052632,95,81,14,3
111,2to1,2,1,0.333333333333333,0,111,111,0,3
128,1to6,1,6,0.333333333333333,0,128,128,0,3
144,6to11,6,11,0.119787330657796,-0.895833333333333,144,15,129,4
161,11to16,11,16,0.142550683308543,-0.695652173913043,161,49,112,4
177,16to21,16,21,0.25,0,177,177,0,4
193,21to20,21,20,0.333333333333333,0,193,193,0,3
209,20to15,20,15,0.2852309486652,-0.91866028708134,209,17,192,2
226,15to10,15,10,0.186652743762172,-0.778761061946903,226,50,176,3
242,10to5,10,5,0.204494539795657,-0.665289256198347,242,81,161,3
258,5to0,5,0,0.333333333333333,0,258,258,0,3
275,0to1,0,1,0.5,0,164,164,0,2
292,1to2,1,2,0.333333333333333,0,197,197,0,3
308,2to7,2,7,0.312050633619721,-0.097402597402597,308,278,30,3
324,7to8,7,8,0.224333722475677,-0.141975308641975,324,278,46,4
340,8to13,8,13,0.222887314759831,-0.150306748466258,326,277,49,4
355,13to18,13,18,0.210627442743673,-0.222535211267606,355,276,79,4
371,18to19,18,19,0.133599381664422,-0.77088948787062,371,85,286,4
386,19to24,19,24,0.198163798917894,-0.704663212435233,386,114,272,3
401,24to23,24,23,0.345607408683186,-0.638403990024938,401,145,256,2
418,23to22,23,22,0.219718107473786,-0.574162679425837,418,178,240,3
434,22to17,22,17,0.285641076479146,-0.223502304147465,434,337,97,3
451,17to12,17,12,0.25,0,451,451,0,4
466,12to11,12,11,0.25,0,322,322,0,4
482,11to6,11,6,0.142543735186366,-0.878531073446328,354,43,311,4
498,6to5,6,5,0.169956053958058,-0.70703125,256,75,181,4
514,5to10,5,10,0.333333333333333,0,288,288,0,3
531,10to15,10,15,0.397752730102172,0,322,322,0,3
547,15to10,15,10,0.186652743762172,-0.778761061946903,33,33,0,3
564,10to15,10,15,0.397752730102172,0,33,33,0,3
579,15to20,15,20,0.396092061151014,-0.044041450777202,386,369,17,3
595,20to21,20,21,0.690792678252811,-0.114832535885167,418,370,48,2
609,21to16,21,16,0.333333333333333,0,448,448,0,3
624,16to17,16,17,0.25,0,190,190,0,4
641,17to18,17,18,0.25,0,286,286,0,4
657,18to13,18,13,0.201909182352093,-0.473186119873817,317,167,150,4
673,13to14,13,14,0.116752100859514,-0.993759750390016,641,4,637,4
688,14to9,14,9,0.169797522439255,-0.893915756630265,641,68,573,3
703,9to4,9,4,0.245899213234262,-0.427457098283931,641,367,274,3
718,4to3,4,3,0.311029112442666,-0.7953125,640,131,509,2
734,3to8,3,8,0.213717178994976,-0.680487804878049,410,131,279,3
750,8to7,8,7,0.200076151029953,-0.334841628959276,442,294,148,4
766,7to2,7,2,0.227908823918373,-0.166666666666667,474,395,79,4
782,2to1,2,1,0.29515372800959,-0.224852071005917,507,393,114,3
799,1to6,1,6,0.333333333333333,0,317,317,0,3
814,6to5,6,5,0.169956053958058,-0.70703125,316,316,0,4
831,5to0,5,0,0.27824532955537,-0.260034904013962,573,424,149,3
846,0to1,0,1,0.5,0,64,64,0,2
863,1to2,1,2,0.333333333333333,0,97,97,0,3
879,2to3,2,3,0.369573043742644,0,161,161,0,3
895,3to4,3,4,0.42205741207084,0,192,192,0,3
910,4to9,4,9,0.688970887557334,0,222,222,0,2
927,9to14,9,14,0.200371108769867,-0.881889763779527,254,30,224,3
942,14to19,14,19,0.225729557742504,-0.889667250437828,571,63,508,3
959,19to18,19,18,0.358005569596234,-0.182389937106918,318,260,58,3
974,18to23,18,23,0.180431979897506,-0.778359511343804,573,127,446,4
990,23to24,23,24,0.225053665186266,-0.789735099337748,604,127,477,3
1004,24to19,24,19,0.654392591316814,0,62,62,0,2
1021,19to14,19,14,0.429636061159366,0,94,94,0,3
1037,14to13,14,13,0.531854157523722,-0.071052631578947,380,353,27,3
1053,13to14,13,14,0.116752100859514,-0.993759750390016,32,32,0,4
1068,14to9,14,9,0.230193823660052,-0.912903098402417,158,155,3,3
1084,9to8,9,8,0.329015824400732,-0.648571428571429,350,123,227,3
1099,8to7,8,7,0.115449307697673,-0.98527142838621,349,122,227,4
1115,7to12,7,12,0.262482006551724,-0.034638554216868,664,641,23,4
1130,12to11,12,11,0.179417489107875,-0.421686746987952,664,384,280,4
1148,11to10,11,10,0.267566104407843,-0.357737104825291,601,386,215,4
1163,10to15,10,15,0.315664332343917,-0.358931552587646,599,384,215,3
1179,15to20,15,20,0.313578579879036,-0.405708117443869,600,383,217,3
1194,20to21,20,21,0.608630041644517,-0.47710298663642,599,382,217,2
1210,21to20,21,20,0.333333333333333,0,31,31,0,3
1225,20to15,20,15,0.391369958355483,-0.91866028708134,62,62,0,2
1242,15to16,15,16,0.423270488824444,-0.191153238546603,633,512,121,3
1259,16to21,16,21,0.25,0,65,65,0,4
1274,21to20,21,20,0.333333333333333,0,64,64,0,3
1289,20to15,20,15,0.391369958355483,-0.91866028708134,64,64,0,2
1306,15to10,15,10,0.235192329957637,-0.778761061946903,158,158,0,3
1322,10to5,10,5,0.161947596268924,-1.11410815383614,508,280,228,3
1339,5to6,5,6,0.271262824351991,-0.416666666666667,540,315,225,3
1355,6to1,6,1,0.251521599601866,-0.447937131630648,509,281,228,4
