time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
15420,gneE8,gneJ10,gneJ11,0.532888757159172,0,15420,15420,0,2
15460,gneE8,gneJ10,gneJ11,0.33770337891355,-0.805290845624972,7730,40,7690,2
18168,gneE8,gneJ10,gneJ11,0.407569878027006,-1.38273624380107,6056,2708,3348,2
9797,-gneE11,gneJ10,gneJ14,0.5,0,41,41,0,2
9837,-gneE11,gneJ10,gneJ14,0.511107472850319,0.044437202339783,40.5,40,0.5,2
12527,-gneE11,gneJ10,gneJ14,0.467111242840828,-0.131745254941969,40,39,1,2
15501,-gneE11,gneJ10,gneJ14,0.72092809658787,0.143779092406138,60.25,121,-60.75,2
15705,-gneE11,gneJ10,gneJ14,0.577211930763124,-0.493952384013205,56.2,40,16.2,2
17894,-gneE11,gneJ10,gneJ14,0.449318436703363,-1.0087157131461,53.3333333333333,39,14.3333333333333,2
18288,-gneE11,gneJ10,gneJ14,0.669467903637922,-0.676956789750202,68.1428571428571,157,-88.8571428571429,2
18329,-gneE11,gneJ10,gneJ14,0.533815574878176,-1.24726714778641,64.75,41,23.75,2
19530,-gneE11,gneJ10,gneJ14,0.380534549419922,-1.87001620023652,61.8888888888889,39,22.8888888888889,2
15440,-gneE8,gneJ11,gneJ10,0.5,0,41,41,0,2
15481,-gneE8,gneJ11,gneJ10,0.496871091039077,-0.012515799219487,41,41,0,2
18268,-gneE8,gneJ11,gneJ10,0.751554835870269,0.286741819328134,66.6666666666667,118,-51.3333333333333,2
18188,gneE9,gneJ11,gneJ12,0.503128908960923,0,18188,18188,0,2
18229,gneE9,gneJ11,gneJ12,0.308388420483207,-0.820180202059357,9114.5,41,9073.5,2
18210,-gneE9,gneJ12,gneJ11,1,0,42,42,0,1
18249,-gneE9,gneJ12,gneJ11,1,-0.038750961488852,40.5,39,1.5,1
9776,gneE11,gneJ14,gneJ10,0.52483556127302,0,9776,9776,0,2
9817,gneE11,gneJ14,gneJ10,0.339683233857901,-0.764130216352172,4908.5,41,4867.5,2
12507,gneE11,gneJ14,gneJ10,0.416163832238995,-1.2678454918669,4169,2690,1479,2
15399,gneE11,gneJ14,gneJ10,0.479154087552916,-1.64476765893446,3849.75,2892,957.75,2
15685,gneE11,gneJ14,gneJ10,0.492200226042019,-2.02434532255275,3120.6,204,2916.6,2
17875,gneE11,gneJ14,gneJ10,0.4296018745095,-2.32769383501761,2965.5,2190,775.5,2
18150,gneE11,gneJ14,gneJ10,0.392959103894267,-2.72768685241877,2581.14285714286,275,2306.14285714286,2
18309,gneE11,gneJ14,gneJ10,0.324668110696005,-3.02519702979896,2263.625,41,2222.625,2
19511,gneE11,gneJ14,gneJ10,0.477524018428716,-3.29202088399255,2145.66666666667,1202,943.666666666667,2
7466,-gneE10,gneJ14,gneJ7,0.5,0,42,42,0,2
7507,-gneE10,gneJ14,gneJ7,0.505864537059235,0.023459224047449,41.5,41,0.5,2
8721,-gneE10,gneJ14,gneJ7,0.47516443872698,-0.099424065986774,41,40,1,2
9856,-gneE10,gneJ14,gneJ7,0.724950768192323,0.205023423856427,60.5,119,-58.5,2
11623,-gneE10,gneJ14,gneJ7,0.645994979671805,-0.162649578756922,56.8,42,14.8,2
11665,-gneE10,gneJ14,gneJ7,0.554179454596826,-0.546558163275168,54.3333333333333,42,12.3333333333333,2
11705,-gneE10,gneJ14,gneJ7,0.458800157451821,-0.929304093280846,52.2857142857143,40,12.2857142857143,2
12546,-gneE10,gneJ14,gneJ7,0.638008341448835,-0.701115303120309,55.5,78,-22.5,2
12587,-gneE10,gneJ14,gneJ7,0.531693702453056,-1.14090047937571,53.8888888888889,41,12.8888888888889,2
12830,-gneE10,gneJ14,gneJ7,0.427149635072013,-1.56133564598059,52.5,40,12.5,2
15522,-gneE10,gneJ14,gneJ7,0.631070409036098,-1.1079560347977,62.3636363636364,161,-98.6363636363636,2
15565,-gneE10,gneJ14,gneJ7,0.523458922334423,-1.55086302550935,60.75,43,17.75,2
15606,-gneE10,gneJ14,gneJ7,0.41377628326985,-1.99314369562729,59.2307692307692,41,18.2307692307692,2
15725,-gneE10,gneJ14,gneJ7,0.576550875323019,-1.71571511437142,60.6428571428572,79,-18.3571428571429,2
17835,-gneE10,gneJ14,gneJ7,0.495031954439871,-2.04421815879842,59.3333333333333,41,18.3333333333333,2
17913,-gneE10,gneJ14,gneJ7,0.62604554067561,-1.81240474136855,60.5,78,-17.5,2
17954,-gneE10,gneJ14,gneJ7,0.508723514799846,-2.29279623460103,59.3529411764706,41,18.3529411764706,2
18349,-gneE10,gneJ14,gneJ7,0.757944704748688,-1.88375278852806,69.2777777777778,238,-168.722222222222,2
19308,-gneE10,gneJ14,gneJ7,0.666506705432806,-2.33276958847468,67.6842105263158,39,28.6842105263158,2
19348,-gneE10,gneJ14,gneJ7,0.562410368685868,-2.77424680936505,66.3,40,26.3,2
19389,-gneE10,gneJ14,gneJ7,0.455900066366331,-3.20205632852482,65.0952380952381,41,24.0952380952381,2
19551,-gneE10,gneJ14,gneJ7,0.577402597831589,-2.97990107548929,65.7727272727273,80,-14.2272727272727,2
158,gneE1,gneJ2,gneJ3,1,0,41,41,0,1
320,gneE1,gneJ2,gneJ3,1,0.109361795072666,40.5,40,0.5,1
360,gneE1,gneJ2,gneJ3,1,0.159524343280093,40.3333333333333,40,0.333333333333336,1
402,gneE1,gneJ2,gneJ3,1,0.144380920796928,40.75,42,-1.25,1
889,gneE1,gneJ2,gneJ3,1,0.108373913227916,40.4,39,1.4,1
