robot,time,edge,probability (reward_coeff),expect,true,no.of neighbours
bot_0,520,-gneE1,0.30556015628469,346,142,2
bot_0,870,-gneE1,0.133955498687511,350,109,2
bot_0,1812,-gneE1,0.050675639411136,942,273,2
bot_0,2699,-gneE1,-0.006528192218761,887,7,2
bot_0,2745,-gneE1,0.044051088202873,89,8,2
bot_0,3157,-gneE1,0.011154356166451,458,81,2
bot_0,3198,-gneE1,0.013064215130939,81,77,2
bot_0,5880,-gneE1,0.008739164028905,2723,118,2
bot_0,9380,-gneE1,0.008478831596925,3500,182,2
bot_0,12948,-gneE1,0.008463955531626,3568,208,2
bot_0,15698,-gneE1,0.008462383507621,2750,278,2
bot_0,18427,-gneE1,0.008462210358644,2729,329,2
bot_0,18467,-gneE1,0.008462334177993,77,27,2
bot_0,311,-gneE10,0.778449381467476,273,78,2
bot_0,657,-gneE10,1.02417768532281,267,45,2
bot_0,773,-gneE10,0.961215964076703,154,118,2
bot_0,1361,-gneE10,1.11332780610722,626,60,2
bot_0,1474,-gneE10,1.00513828867416,152,45,2
bot_0,2237,-gneE10,0.999031921057088,41,38,2
bot_0,2433,-gneE10,0.963362921835879,40,20,2
bot_0,2552,-gneE10,1.02758047361711,1115,11,2
bot_0,2593,-gneE10,0.972662180389217,80,10,2
bot_0,3494,-gneE10,0.997380438824558,942,179,2
bot_0,3612,-gneE10,0.97767475938779,155,45,2
bot_0,3770,-gneE10,0.972780988533366,40,32,2
bot_0,3967,-gneE10,0.960455485282845,39,16,2
bot_0,4163,-gneE10,0.975630636925105,591,89,2
bot_0,5073,-gneE10,0.982084646510071,910,229,2
bot_0,5154,-gneE10,0.97743694545729,120,51,2
bot_0,5313,-gneE10,0.977089767524212,41,39,2
bot_0,6015,-gneE10,0.981048650510565,901,22,2
bot_0,6093,-gneE10,0.979125877962047,115,57,2
bot_0,7022,-gneE10,0.980424873578358,967,274,2
bot_0,7102,-gneE10,0.980050257602021,118,92,2
bot_0,8152,-gneE10,0.98061234204607,1090,255,2
bot_0,8230,-gneE10,0.980384510757272,118,79,2
bot_0,9203,-gneE10,0.980649224192224,1010,165,2
bot_0,10249,-gneE10,0.980536411829379,51,9,2
bot_0,10415,-gneE10,0.980634045800747,1172,218,2
bot_0,10493,-gneE10,0.980561131429628,119,42,2
bot_0,11652,-gneE10,0.980597918327284,1197,209,2
bot_0,11732,-gneE10,0.980567190136636,117,31,2
bot_0,12770,-gneE10,0.980582412032107,1077,177,2
bot_0,12850,-gneE10,0.980566180498184,120,6,2
bot_0,13244,-gneE10,0.980560427430933,39,21,2
bot_0,13635,-gneE10,0.980558376399157,40,31,2
bot_0,13795,-gneE10,0.980554263544919,39,19,2
