robot,time,edge,probability (reward_coeff),expect,true,no.of neighbours
bot_0,383,-gneE1,0.5,346,88,2
bot_0,742,-gneE1,0.5,359,69,2
bot_0,783,-gneE1,0.5,80,66,2
bot_0,1095,-gneE1,0.5,353,36,2
bot_0,1136,-gneE1,0.5,81,33,2
bot_0,1450,-gneE1,0.5,355,9,2
bot_0,1493,-gneE1,0.5,86,8,2
bot_0,1833,-gneE1,0.5,383,8,2
bot_0,1878,-gneE1,0.5,87,10,2
bot_0,2218,-gneE1,0.5,385,9,2
bot_0,2261,-gneE1,0.5,86,8,2
bot_0,2601,-gneE1,0.5,383,10,2
bot_0,2643,-gneE1,0.5,84,8,2
bot_0,2982,-gneE1,0.5,381,9,2
bot_0,3024,-gneE1,0.5,85,7,2
bot_0,3361,-gneE1,0.5,379,8,2
bot_0,3407,-gneE1,0.5,86,10,2
bot_0,3740,-gneE1,0.5,379,9,2
bot_0,3784,-gneE1,0.5,85,9,2
bot_0,4122,-gneE1,0.5,382,8,2
bot_0,4165,-gneE1,0.5,84,8,2
bot_0,4506,-gneE1,0.5,384,11,2
bot_0,4548,-gneE1,0.5,86,10,2
bot_0,4889,-gneE1,0.5,383,10,2
bot_0,4931,-gneE1,0.5,88,9,2
bot_0,5266,-gneE1,0.5,377,8,2
bot_0,5310,-gneE1,0.5,85,7,2
bot_0,5650,-gneE1,0.5,384,10,2
bot_0,5693,-gneE1,0.5,87,8,2
bot_0,6029,-gneE1,0.5,379,8,2
bot_0,6072,-gneE1,0.5,84,8,2
bot_0,6411,-gneE1,0.5,382,9,2
bot_0,6455,-gneE1,0.5,87,9,2
bot_0,6795,-gneE1,0.5,384,7,2
bot_0,6837,-gneE1,0.5,84,7,2
bot_0,7179,-gneE1,0.5,384,8,2
bot_0,7223,-gneE1,0.5,84,9,2
bot_0,7558,-gneE1,0.5,379,9,2
bot_0,7601,-gneE1,0.5,83,9,2
bot_0,7938,-gneE1,0.5,380,8,2
bot_0,7980,-gneE1,0.5,86,7,2
bot_0,8322,-gneE1,0.5,384,10,2
bot_0,8365,-gneE1,0.5,85,9,2
bot_0,8700,-gneE1,0.5,378,9,2
bot_0,8742,-gneE1,0.5,85,7,2
bot_0,9081,-gneE1,0.5,381,8,2
bot_0,9128,-gneE1,0.5,89,10,2
bot_0,9459,-gneE1,0.5,378,7,2
bot_0,9504,-gneE1,0.5,84,9,2
bot_0,9836,-gneE1,0.5,377,8,2
bot_0,9881,-gneE1,0.5,86,9,2
bot_0,10215,-gneE1,0.5,379,10,2
bot_0,10259,-gneE1,0.5,83,9,2
bot_0,10598,-gneE1,0.5,383,9,2
bot_0,10642,-gneE1,0.5,87,11,2
bot_0,10970,-gneE1,0.5,372,10,2
bot_0,11016,-gneE1,0.5,89,10,2
bot_0,11349,-gneE1,0.5,379,8,2
bot_0,11394,-gneE1,0.5,85,8,2
bot_0,11734,-gneE1,0.5,385,9,2
bot_0,11778,-gneE1,0.5,87,9,2
bot_0,12121,-gneE1,0.5,387,10,2
bot_0,12161,-gneE1,0.5,85,8,2
bot_0,12502,-gneE1,0.5,381,8,2
bot_0,12547,-gneE1,0.5,86,9,2
bot_0,12885,-gneE1,0.5,383,9,2
bot_0,12928,-gneE1,0.5,85,9,2
bot_0,13262,-gneE1,0.5,377,8,2
bot_0,13306,-gneE1,0.5,85,9,2
bot_0,13645,-gneE1,0.5,383,9,2
bot_0,13688,-gneE1,0.5,85,8,2
bot_0,14029,-gneE1,0.5,384,8,2
bot_0,14072,-gneE1,0.5,84,8,2
bot_0,14417,-gneE1,0.5,388,9,2
bot_0,14462,-gneE1,0.5,89,9,2
bot_0,14794,-gneE1,0.5,377,7,2
bot_0,14837,-gneE1,0.5,82,8,2
bot_0,15184,-gneE1,0.5,390,8,2
bot_0,15227,-gneE1,0.5,88,8,2
bot_0,15564,-gneE1,0.5,380,8,2
bot_0,15609,-gneE1,0.5,87,9,2
bot_0,15946,-gneE1,0.5,382,9,2
bot_0,15990,-gneE1,0.5,88,9,2
bot_0,16330,-gneE1,0.5,384,9,2
bot_0,16374,-gneE1,0.5,85,8,2
bot_0,16709,-gneE1,0.5,379,8,2
bot_0,16752,-gneE1,0.5,83,8,2
bot_0,17084,-gneE1,0.5,375,9,2
bot_0,17127,-gneE1,0.5,88,8,2
bot_0,17467,-gneE1,0.5,383,8,2
bot_0,17513,-gneE1,0.5,89,10,2
bot_0,17851,-gneE1,0.5,384,8,2
bot_0,17897,-gneE1,0.5,87,8,2
bot_0,18236,-gneE1,0.5,385,9,2
bot_0,18279,-gneE1,0.5,86,9,2
bot_0,18614,-gneE1,0.5,378,8,2
bot_0,18657,-gneE1,0.5,86,9,2
bot_0,19002,-gneE1,0.5,388,9,2
bot_0,19045,-gneE1,0.5,86,8,2
bot_0,19380,-gneE1,0.5,378,9,2
bot_0,19424,-gneE1,0.5,87,8,2
bot_0,19762,-gneE1,0.5,382,8,2
bot_0,19806,-gneE1,0.5,87,9,2
bot_0,20142,-gneE1,0.5,380,8,2
bot_0,20188,-gneE1,0.5,87,9,2
bot_0,20527,-gneE1,0.5,385,8,2
bot_0,20573,-gneE1,0.5,87,9,2
bot_0,20907,-gneE1,0.5,380,8,2
bot_0,20953,-gneE1,0.5,91,9,2
bot_0,21294,-gneE1,0.5,387,9,2
bot_0,21338,-gneE1,0.5,87,10,2
bot_0,21678,-gneE1,0.5,384,9,2
bot_0,21720,-gneE1,0.5,83,8,2
bot_0,22059,-gneE1,0.5,381,9,2
bot_0,22102,-gneE1,0.5,86,8,2
bot_0,22443,-gneE1,0.5,384,10,2
bot_0,22484,-gneE1,0.5,85,9,2
bot_0,22820,-gneE1,0.5,377,9,2
bot_0,22864,-gneE1,0.5,87,9,2
bot_0,23202,-gneE1,0.5,382,9,2
bot_0,23248,-gneE1,0.5,88,9,2
bot_0,23586,-gneE1,0.5,384,9,2
bot_0,23629,-gneE1,0.5,87,8,2
bot_0,23973,-gneE1,0.5,387,10,2
bot_0,24017,-gneE1,0.5,87,9,2
bot_0,24357,-gneE1,0.5,384,9,2
bot_0,24400,-gneE1,0.5,86,9,2
bot_0,24735,-gneE1,0.5,378,8,2
bot_0,24779,-gneE1,0.5,85,9,2
bot_0,25117,-gneE1,0.5,382,8,2
bot_0,25164,-gneE1,0.5,89,10,2
