time,edge,probability (value_coeff),expect,true,no.of neighbours
126,-gneE1,0.5,126,126,2
170,-gneE1,0.502943316264267,44,34,2
508,-gneE1,0.502523155949347,382,372,2
553,-gneE1,0.503782711694663,45,35,2
888,-gneE1,0.503395086138541,380,370,2
931,-gneE1,0.504943920795722,43,34,2
1273,-gneE1,0.50461693530029,385,376,2
1316,-gneE1,0.505912099535694,43,35,2
1660,-gneE1,0.505633299462432,387,379,2
1704,-gneE1,0.506869118759354,44,35,2
2040,-gneE1,0.506558331105765,380,371,2
2082,-gneE1,0.507804726147783,42,33,2
2416,-gneE1,0.507497453052847,376,367,2
2460,-gneE1,0.508986698843929,44,34,2
2802,-gneE1,0.508660338977687,386,376,2
2847,-gneE1,0.509803271463175,45,36,2
3184,-gneE1,0.509511174756383,382,373,2
3228,-gneE1,0.510806423645749,44,36,2
3564,-gneE1,0.510549013676643,380,372,2
3606,-gneE1,0.511968721103638,42,34,2
3945,-gneE1,0.511715135869065,381,373,2
3990,-gneE1,0.51296277134622,45,37,2
4329,-gneE1,0.512713958438003,384,376,2
4373,-gneE1,0.513708009493566,44,35,2
4715,-gneE1,0.513432357183908,386,377,2
4757,-gneE1,0.514404948636702,42,33,2
5093,-gneE1,0.514126005603637,378,369,2
5136,-gneE1,0.51536526102359,43,36,2
5474,-gneE1,0.515151817654171,381,374,2
5519,-gneE1,0.516352477503495,45,36,2
5854,-gneE1,0.516079456905508,380,371,2
5899,-gneE1,0.517270908925466,45,36,2
6239,-gneE1,0.517003398228783,385,376,2
6282,-gneE1,0.518067075032576,43,35,2
6617,-gneE1,0.517826503642376,378,370,2
6659,-gneE1,0.519043521007017,42,33,2
6996,-gneE1,0.518775290462007,379,370,2
7038,-gneE1,0.519850324241712,42,32,2
7372,-gneE1,0.519551678337826,376,366,2
7418,-gneE1,0.52058351723084,46,38,2
7755,-gneE1,0.520350293566423,383,375,2
7799,-gneE1,0.521376365648179,44,35,2
8134,-gneE1,0.521112624999568,379,370,2
8176,-gneE1,0.522026747790687,42,34,2
8515,-gneE1,0.5217947219434,381,373,2
8557,-gneE1,0.522846553002798,42,33,2
8895,-gneE1,0.522586093600595,380,371,2
8937,-gneE1,0.523777940912028,42,35,2
9271,-gneE1,0.523574134216056,376,369,2
9315,-gneE1,0.524719191628038,44,36,2
9654,-gneE1,0.524491535628763,383,375,2
9698,-gneE1,0.525516818631624,44,34,2
10029,-gneE1,0.5252273799788,375,365,2
10073,-gneE1,0.52661501650538,44,36,2
10413,-gneE1,0.526389811008266,384,376,2
10457,-gneE1,0.527494861576922,44,34,2
10793,-gneE1,0.527211489415624,380,370,2
10839,-gneE1,0.528324925238152,46,36,2
11170,-gneE1,0.528040350232886,377,367,2
11213,-gneE1,0.529317023701006,43,34,2
11552,-gneE1,0.529065167132966,382,373,2
11595,-gneE1,0.530337270473971,43,33,2
11937,-gneE1,0.530060580109934,385,375,2
11980,-gneE1,0.531162149094812,43,34,2
12324,-gneE1,0.530915253843317,387,378,2
12367,-gneE1,0.532038937886164,43,34,2
12701,-gneE1,0.531786301866182,377,368,2
12745,-gneE1,0.532647364585274,44,35,2
13087,-gneE1,0.53240139833711,386,377,2
13130,-gneE1,0.5334057383196,43,34,2
13469,-gneE1,0.533157948589029,382,373,2
13511,-gneE1,0.534298005124536,42,34,2
13852,-gneE1,0.53407896859508,383,375,2
13896,-gneE1,0.535054120930429,44,35,2
14234,-gneE1,0.534807762552188,382,373,2
14276,-gneE1,0.535815311852063,42,33,2
14617,-gneE1,0.535570277021212,383,374,2
14662,-gneE1,0.536648647923591,45,36,2
15000,-gneE1,0.536404272196923,383,374,2
15046,-gneE1,0.537231245381914,46,37,2
15379,-gneE1,0.53698492967415,379,370,2
15424,-gneE1,0.53793844558123,45,37,2
15761,-gneE1,0.537721769205097,382,374,2
15805,-gneE1,0.53868393791059,44,35,2
16142,-gneE1,0.53844013969846,381,372,2
16184,-gneE1,0.539446776166982,42,34,2
16521,-gneE1,0.539229443618727,379,371,2
16565,-gneE1,0.540332298331337,44,36,2
16907,-gneE1,0.540119413274003,386,378,2
16951,-gneE1,0.540945651636153,44,35,2
17289,-gneE1,0.540704202259503,382,373,2
17332,-gneE1,0.541789028000661,43,34,2
17670,-gneE1,0.541547484478189,381,372,2
17715,-gneE1,0.54248750137655,45,38,2
18058,-gneE1,0.542303432365523,388,381,2
18101,-gneE1,0.543370895904717,43,36,2
18445,-gneE1,0.543186749650875,387,380,2
18489,-gneE1,0.544239665679893,44,36,2
18831,-gneE1,0.544029111562905,386,378,2
18876,-gneE1,0.545056200997436,45,35,2
19213,-gneE1,0.544790793903399,382,372,2
19257,-gneE1,0.545756146304687,44,36,2
19592,-gneE1,0.545542562949589,379,371,2
19636,-gneE1,0.546462218875598,44,36,2
19976,-gneE1,0.546251829763599,384,376,2
277,-gneE10,0.5,43,35,2
405,-gneE10,0.499220777719366,171,163,2
656,-gneE10,0.499643173357795,40,31,2
784,-gneE10,0.498839329710026,168,159,2
1039,-gneE10,0.499275594744071,44,37,2
1167,-gneE10,0.498699319325084,172,165,2
1424,-gneE10,0.49906656681196,44,36,2
1554,-gneE10,0.498440909006283,174,166,2
1808,-gneE10,0.498753061599156,43,33,2
1933,-gneE10,0.497966420145773,168,158,2
2187,-gneE10,0.49831668055044,42,33,2
2312,-gneE10,0.497620926195084,167,158,2
2567,-gneE10,0.498008231867542,43,33,2
2697,-gneE10,0.497276532701367,173,163,2
2952,-gneE10,0.497654510698767,41,32,2
3080,-gneE10,0.496991538869396,169,160,2
3332,-gneE10,0.497324739881808,41,33,2
3458,-gneE10,0.496736846268979,167,159,2
3709,-gneE10,0.497069068643741,41,33,2
3839,-gneE10,0.496502198273054,171,163,2
4097,-gneE10,0.496860472950638,41,32,2
4226,-gneE10,0.496226371795256,170,161,2
4478,-gneE10,0.49658926845378,42,33,2
4608,-gneE10,0.495968969998516,172,163,2
4860,-gneE10,0.49632836705296,42,34,2
4990,-gneE10,0.495782147633148,172,164,2
5243,-gneE10,0.496177940905704,42,34,2
5369,-gneE10,0.495623482979575,168,160,2
5624,-gneE10,0.495975609385763,41,32,2
5748,-gneE10,0.495345507395597,165,156,2
6006,-gneE10,0.49569146780194,42,33,2
6131,-gneE10,0.495073516691161,167,158,2
6384,-gneE10,0.495421725331091,40,32,2
6511,-gneE10,0.494876197066785,167,159,2
6762,-gneE10,0.495224495806627,40,32,2
6891,-gneE10,0.494688883328664,169,161,2
7142,-gneE10,0.495033858692579,41,32,2
7268,-gneE10,0.494427731344644,167,158,2
7522,-gneE10,0.494768385738024,41,32,2
7649,-gneE10,0.494169308904835,168,159,2
7898,-gneE10,0.494475641546968,40,30,2
8027,-gneE10,0.493817489471515,169,159,2
8282,-gneE10,0.494116054150564,41,32,2
8409,-gneE10,0.493523256920305,168,159,2
8661,-gneE10,0.493824403965811,41,32,2
8790,-gneE10,0.493241439319233,170,161,2
9042,-gneE10,0.49350191969874,44,35,2
9168,-gneE10,0.492921645409325,170,161,2
9424,-gneE10,0.493215995568439,44,35,2
9551,-gneE10,0.492641690950569,171,162,2
9799,-gneE10,0.492941866140757,39,29,2
9927,-gneE10,0.492291207105078,167,157,2
10181,-gneE10,0.492617382072515,42,34,2
10306,-gneE10,0.492098965456811,167,159,2
10562,-gneE10,0.492426034767646,42,33,2
10690,-gneE10,0.491855367405131,170,161,2
10945,-gneE10,0.492144982234857,41,32,2
11069,-gneE10,0.491559221724691,165,156,2
11319,-gneE10,0.491890559269576,44,34,2
11448,-gneE10,0.491272047330537,173,163,2
11702,-gneE10,0.491558629603969,43,35,2
11829,-gneE10,0.491056845951829,170,162,2
12087,-gneE10,0.491378140731452,43,36,2
12217,-gneE10,0.490948173483713,173,166,2
12469,-gneE10,0.491269486468491,42,34,2
12596,-gneE10,0.490768092513196,169,161,2
12851,-gneE10,0.491088380682381,42,34,2
12983,-gneE10,0.490602950540243,174,166,2
13234,-gneE10,0.490957725057937,42,33,2
13364,-gneE10,0.490406948005398,172,163,2
13616,-gneE10,0.490728538951525,42,34,2
13746,-gneE10,0.490240407424814,172,164,2
14002,-gneE10,0.490519728584223,42,33,2
14130,-gneE10,0.489965722000593,170,161,2
14383,-gneE10,0.49028224232937,43,35,2
14512,-gneE10,0.489796873105602,172,164,2
14767,-gneE10,0.490113591121923,40,33,2
14895,-gneE10,0.489679959975043,168,161,2
15150,-gneE10,0.489993715516687,42,34,2
15276,-gneE10,0.489499436312146,168,160,2
15527,-gneE10,0.48978140457869,41,31,2
15655,-gneE10,0.489168769924604,169,159,2
15910,-gneE10,0.489446252729474,43,34,2
16039,-gneE10,0.48890585431796,172,163,2
16287,-gneE10,0.489224759703817,40,32,2
16416,-gneE10,0.488737048794994,169,161,2
16670,-gneE10,0.489014129474841,40,33,2
16799,-gneE10,0.488588394038773,169,162,2
17054,-gneE10,0.488863899495597,40,32,2
17183,-gneE10,0.48837847238473,169,161,2
17438,-gneE10,0.488688750568568,42,34,2
17565,-gneE10,0.48820441552068,169,161,2
17822,-gneE10,0.48844359532615,43,36,2
17951,-gneE10,0.488028117960884,172,165,2
18207,-gneE10,0.488299961578961,42,34,2
18337,-gneE10,0.487826159375751,172,164,2
18595,-gneE10,0.488098327119174,44,35,2
18722,-gneE10,0.487563314952063,171,162,2
18981,-gneE10,0.487832217045316,42,33,2
19110,-gneE10,0.487298318131386,171,162,2
19360,-gneE10,0.487574924886999,40,31,2
19487,-gneE10,0.487029319217662,167,158,2
19744,-gneE10,0.487299837078209,44,35,2
19872,-gneE10,0.486771139217761,172,163,2
299,-gneE11,0.5,44,36,2
384,-gneE11,0.498957835169431,129,121,2
678,-gneE11,0.499369939244629,41,33,2
763,-gneE11,0.498413338443624,126,118,2
1060,-gneE11,0.498794455015333,43,34,2
1146,-gneE11,0.497804007598663,129,120,2
1444,-gneE11,0.498126479830619,42,34,2
1531,-gneE11,0.497280853428114,129,121,2
1827,-gneE11,0.497673620858054,40,31,2
1911,-gneE11,0.496712972598351,124,115,2
2207,-gneE11,0.497021294091797,42,34,2
2291,-gneE11,0.496200637933366,126,118,2
2589,-gneE11,0.496501802939088,43,35,2
2674,-gneE11,0.495709794570419,128,120,2
2973,-gneE11,0.496003147725497,40,32,2
3058,-gneE11,0.495205691251447,125,117,2
