time,edge,old node,current node,probability (value_exp),value_coeff,sum,expect,true,no.of neighbours
41,-gneE11,gneJ10,gneJ14,0.5,0.5,3.29744254140026,0,41,2
61,-gneE8,gneJ11,gneJ10,0.5,0.5,3.29744254140026,0,43,2
107,-gneE8,gneJ11,gneJ10,0.53498944560027,0.570093457943925,3.30554617909342,0,89,2
152,-gneE8,gneJ11,gneJ10,0.562675848977867,0.626014510575504,3.32365833341719,0,134,2
197,-gneE8,gneJ11,gneJ10,0.583783208436533,0.669161718697331,3.34473444637625,0,179,2
242,-gneE8,gneJ11,gneJ10,0.600745271060934,0.70428568563948,3.36648765425337,0,224,2
287,-gneE8,gneJ11,gneJ10,0.614864055478951,0.733902410378156,3.38805663834832,0,269,2
329,-gneE8,gneJ11,gneJ10,0.639728925402775,0.787093899739858,3.43427089722626,0,311,2
373,-gneE8,gneJ11,gneJ10,0.652600121795787,0.815244033788116,3.46265190482052,0,355,2
420,-gneE8,gneJ11,gneJ10,0.650978981623987,0.811672605216687,3.45889968647093,0,402,2
463,-gneE8,gneJ11,gneJ10,0.66699377032462,0.847309754244765,3.49832515631601,0,445,2
509,-gneE8,gneJ11,gneJ10,0.668301593742853,0.850256709058124,3.50178356519615,0,491,2
553,-gneE8,gneJ11,gneJ10,0.678245694291831,0.872860687358305,3.52932404197329,0,535,2
598,-gneE8,gneJ11,gneJ10,0.68297129415782,0.883730252575697,3.5432086039451,0,580,2
641,-gneE8,gneJ11,gneJ10,0.695995975640506,0.91415146942437,3.58429882882223,0,623,2
685,-gneE8,gneJ11,gneJ10,0.703662387169929,0.932399644606852,3.61053603018378,0,667,2
730,-gneE8,gneJ11,gneJ10,0.70651085640747,0.939248959675345,3.62069381902218,0,712,2
773,-gneE8,gneJ11,gneJ10,0.717649419470232,0.966415841952189,3.66266104551767,0,755,2
817,-gneE8,gneJ11,gneJ10,0.723808310119846,0.981715719553168,3.6874840868786,0,799,2
862,-gneE8,gneJ11,gneJ10,0.725428753883973,0.985776044379154,3.69421638926224,0,844,2
904,-gneE8,gneJ11,gneJ10,0.739302905922875,1.02117427446765,3.75550149510071,0,886,2
947,-gneE8,gneJ11,gneJ10,0.7481577707461,1.04440553106744,3.79827467547673,0,929,2
990,-gneE8,gneJ11,gneJ10,0.756439190797802,1.06662775328966,3.84110806882424,0,972,2
1034,-gneE8,gneJ11,gneJ10,0.760337750069104,1.077266051162,3.86228349507602,0,1016,2
1078,-gneE8,gneJ11,gneJ10,0.764036830775849,1.08747013279465,3.88300530107874,0,1060,2
1121,-gneE8,gneJ11,gneJ10,0.771354458511882,1.10798752797753,3.92589676531458,0,1103,2
1165,-gneE8,gneJ11,gneJ10,0.774518041875314,1.11700040351401,3.9452594859562,0,1147,2
1210,-gneE8,gneJ11,gneJ10,0.773795571101916,1.11493428781153,3.94079251141917,0,1192,2
1254,-gneE8,gneJ11,gneJ10,0.77685161995663,1.12370621763609,3.95987369594186,0,1236,2
1297,-gneE8,gneJ11,gneJ10,0.783463090469603,1.14298146821435,4.00287476820789,0,1279,2
1342,-gneE8,gneJ11,gneJ10,0.782450063173345,1.1400008422829,3.99612850196433,0,1324,2
1385,-gneE8,gneJ11,gneJ10,0.788773270240906,1.1587734054598,4.03921258526417,0,1367,2
1430,-gneE8,gneJ11,gneJ10,0.78760581255817,1.15527690196329,4.03108049980756,0,1412,2
1474,-gneE8,gneJ11,gneJ10,0.790091854415096,1.16273958853046,4.04849682296102,0,1456,2
1520,-gneE8,gneJ11,gneJ10,0.785250713497395,1.14826590431993,4.01492286801577,0,1502,2
1563,-gneE8,gneJ11,gneJ10,0.791442085171976,1.16681996701987,4.05811483868729,0,1545,2
1608,-gneE8,gneJ11,gneJ10,0.79020760365596,1.16308862373629,4.04931690857065,0,1590,2
1650,-gneE8,gneJ11,gneJ10,0.79969017294015,1.19217953282719,4.11941203398671,0,1632,2
1696,-gneE8,gneJ11,gneJ10,0.794733660658415,1.17684934414795,4.08204293575868,0,1678,2
1741,-gneE8,gneJ11,gneJ10,0.793418748355868,1.17282866637655,4.07240122543076,0,1723,2
1786,-gneE8,gneJ11,gneJ10,0.792130979972825,1.16890929347622,4.06306581527555,0,1768,2
1832,-gneE8,gneJ11,gneJ10,0.787235681464256,1.15417130220984,4.02851938189624,0,1814,2
1877,-gneE8,gneJ11,gneJ10,0.786073307847461,1.15070832938086,4.02052927053386,0,1859,2
1920,-gneE8,gneJ11,gneJ10,0.792226011738422,1.16919791271419,4.06375113622115,0,1902,2
