time,edge,old node,current node,probability (value_exp),denominator,expect,true,no.of neighbours
63,-gneE8,gneJ11,gneJ10,0.5,3.29744254140026,44,44,2
105,gneE11,gneJ14,gneJ10,0.5,3.29744254140026,42,42,2
148,gneE11,gneJ14,gneJ10,0.5,3.29744254140026,42,37,2
232,gneE11,gneJ14,gneJ10,0.573003900925338,3.86120921074701,59.5,77,2
275,-gneE8,gneJ11,gneJ10,0.5,3.29744254140026,44,43,2
319,-gneE8,gneJ11,gneJ10,0.494186308528893,3.25954259147274,43,42,2
362,-gneE8,gneJ11,gneJ10,0.400301697049532,4.02401821587406,43,36,2
407,-gneE8,gneJ11,gneJ10,0.451730329650433,3.56589145125396,43,42,2
449,-gneE8,gneJ11,gneJ10,0.5043963183303,3.19356280415549,43,84,2
492,-gneE8,gneJ11,gneJ10,0.691324363718528,5.12752319052358,71,127,2
535,-gneE8,gneJ11,gneJ10,0.617321115898231,4.13595196687664,64,43,2
579,-gneE8,gneJ11,gneJ10,0.552685316363046,3.53831774650046,60,44,2
621,-gneE8,gneJ11,gneJ10,0.402285740054885,2.64799016762325,53.5,21,2
665,-gneE8,gneJ11,gneJ10,0.128595697226442,8.28370394356663,53.5,23,2
709,-gneE8,gneJ11,gneJ10,0.186703759810603,5.70555561024049,53.5,67,2
754,-gneE8,gneJ11,gneJ10,0.25356651378073,4.20106215271606,53.5,112,2
797,-gneE8,gneJ11,gneJ10,0.333394693478998,3.19515788666109,53.5,34,2
842,-gneE8,gneJ11,gneJ10,0.410672038255789,2.59391578926268,53.5,37,2
885,-gneE8,gneJ11,gneJ10,0.494063857552063,2.15609514429646,53.5,39,2
930,-gneE8,gneJ11,gneJ10,0.565373081587255,1.88415175559783,53.5,3,2
973,-gneE8,gneJ11,gneJ10,0.347592124376815,1.25520108195387,46.5714285714286,5,2
1016,-gneE8,gneJ11,gneJ10,0.278338713716436,1.56750746157759,46.5714285714286,6,2
1061,-gneE8,gneJ11,gneJ10,0.340333577779742,1.28197168625773,46.5714285714286,11,2
1105,-gneE8,gneJ11,gneJ10,0.408379426254303,1.0683643262791,46.5714285714286,15,2
1150,-gneE8,gneJ11,gneJ10,0.472731873709535,0.922929116610617,46.5714285714286,20,2
1194,-gneE8,gneJ11,gneJ10,0.538909884918559,0.809593631154783,46.5714285714286,24,2
1237,-gneE8,gneJ11,gneJ10,0.442222468304755,0.669255391883227,44.125,27,2
1278,-gneE8,gneJ11,gneJ10,0.353751692037452,0.836631394242302,44.125,28,2
1321,-gneE8,gneJ11,gneJ10,0.421662438177708,0.701887919170394,44.125,29,2
1363,-gneE8,gneJ11,gneJ10,0.493993497724933,0.599116734709864,44.125,30,2
1407,-gneE8,gneJ11,gneJ10,0.555885119844087,0.532411753363494,44.125,34,2
1450,-gneE8,gneJ11,gneJ10,0.519571130643842,0.492168554224284,43.3333333333333,37,2
1494,-gneE8,gneJ11,gneJ10,0.507399620162495,0.480007713588501,43.1,41,2
1536,-gneE8,gneJ11,gneJ10,0.50158620163931,0.474408980682982,43,42,2
1580,-gneE8,gneJ11,gneJ10,0.50690491689749,0.479526140376199,43.0833333333333,44,2
1624,-gneE8,gneJ11,gneJ10,0.511805122383579,0.484339334310694,43.1538461538462,44,2
1669,-gneE8,gneJ11,gneJ10,0.521694676987231,0.494353649566881,43.2857142857143,45,2
1715,-gneE8,gneJ11,gneJ10,0.536215327879403,0.50983138566758,43.4666666666667,46,2
1758,-gneE8,gneJ11,gneJ10,0.533709659341402,0.507091743965055,43.4375,43,2
1803,-gneE8,gneJ11,gneJ10,0.542106853665959,0.516391179758197,43.5294117647059,45,2
1847,-gneE8,gneJ11,gneJ10,0.544638672574557,0.519262325976381,43.5555555555556,44,2
1891,-gneE8,gneJ11,gneJ10,0.547033827588152,0.522008036007687,43.5789473684211,44,2
1934,-gneE8,gneJ11,gneJ10,0.543902656817238,0.518424379297205,43.55,43,2
1979,-gneE8,gneJ11,gneJ10,0.551744927060659,0.527494269028887,43.6190476190476,45,2
2022,-gneE8,gneJ11,gneJ10,0.327291830979869,0.351492657481839,41.7727272727273,3,2
2065,-gneE8,gneJ11,gneJ10,0.000691878937367,166.272839408763,41.7727272727273,5,2
2110,-gneE8,gneJ11,gneJ10,0.00110844377258,103.785756471397,41.7727272727273,11,2
2155,-gneE8,gneJ11,gneJ10,0.00175587140487,65.5177111058208,41.7727272727273,15,2
2200,-gneE8,gneJ11,gneJ10,0.002751288721631,41.8133780503454,41.7727272727273,18,2
2243,-gneE8,gneJ11,gneJ10,0.004370246318285,26.3236136054588,41.7727272727273,22,2
2285,-gneE8,gneJ11,gneJ10,0.006953730496747,16.5437351213167,41.7727272727273,24,2
2330,-gneE8,gneJ11,gneJ10,0.010542644988444,10.9119367643803,41.7727272727273,29,2
2373,-gneE8,gneJ11,gneJ10,0.016220357342992,7.09236381237401,41.7727272727273,31,2
2418,-gneE8,gneJ11,gneJ10,0.024051557307709,4.78308634952041,41.7727272727273,39,2
2463,-gneE8,gneJ11,gneJ10,0.035249890546633,3.26357539439792,41.7727272727273,1,2
2508,-gneE8,gneJ11,gneJ10,0.051008712395141,2.255314240282,41.7727272727273,4,2
2551,-gneE8,gneJ11,gneJ10,0.074620571639263,1.54167507586715,41.7727272727273,7,2
2596,-gneE8,gneJ11,gneJ10,0.104609561852685,1.09971472402509,41.7727272727273,11,2
2640,-gneE8,gneJ11,gneJ10,0.14562677971207,0.789969232792673,41.7727272727273,15,2
2685,-gneE8,gneJ11,gneJ10,0.195849376201066,0.58739362705504,41.7727272727273,20,2
2728,-gneE8,gneJ11,gneJ10,0.262381244749269,0.438448546705935,41.7727272727273,24,2
2772,-gneE8,gneJ11,gneJ10,0.337247539917372,0.34111642584968,41.7727272727273,28,2
2816,-gneE8,gneJ11,gneJ10,0.41978735698233,0.274045117199786,41.7727272727273,31,2
2862,-gneE8,gneJ11,gneJ10,0.49829633436689,0.230867994622871,41.7727272727273,36,2
2906,-gneE8,gneJ11,gneJ10,0.582734575728568,0.197415221671686,41.7727272727273,40,2
2950,-gneE8,gneJ11,gneJ10,0.356370252581106,0.127984367656741,40.0869565217391,3,2
2993,-gneE8,gneJ11,gneJ10,0.292152858597489,0.156116293529424,40.0869565217391,5,2
3038,-gneE8,gneJ11,gneJ10,0.36367028177512,0.125415310829465,40.0869565217391,9,2
3084,-gneE8,gneJ11,gneJ10,0.43684125374626,0.10440822847459,40.0869565217391,15,2
3127,-gneE8,gneJ11,gneJ10,0.522874891368622,0.087228937899241,40.0869565217391,17,2
3169,-gneE8,gneJ11,gneJ10,0.383686080344257,0.067529087277831,39.125,17,2
3212,-gneE8,gneJ11,gneJ10,0.318816943444297,0.081269114893774,39.125,20,2
3258,-gneE8,gneJ11,gneJ10,0.387125198157807,0.066929176737017,39.125,26,2
3304,-gneE8,gneJ11,gneJ10,0.459065291424224,0.05644070961338,39.125,32,2
3352,-gneE8,gneJ11,gneJ10,0.52410239567195,0.049436848640307,39.125,40,2
3395,-gneE8,gneJ11,gneJ10,0.293816459184068,0.033315528433681,37.6,1,2
3436,-gneE8,gneJ11,gneJ10,0.238091776375095,0.041112930271094,37.6,3,2
3479,-gneE8,gneJ11,gneJ10,0.304462652326602,0.032150579144695,37.6,4,2
3523,-gneE8,gneJ11,gneJ10,0.37546885758025,0.026070472697294,37.6,8,2
3566,-gneE8,gneJ11,gneJ10,0.455047423158389,0.021511275752952,37.6,11,2
3609,-gneE8,gneJ11,gneJ10,0.535948668437813,0.01826415695511,37.6,12,2
3652,-gneE8,gneJ11,gneJ10,0.383574070469373,0.013749431924989,36.6923076923077,14,2
3694,-gneE8,gneJ11,gneJ10,0.309648677032467,0.017031965454051,36.6923076923077,16,2
3736,-gneE8,gneJ11,gneJ10,0.386567846168639,0.013642949413358,36.6923076923077,18,2
3782,-gneE8,gneJ11,gneJ10,0.453084760616242,0.011640041838831,36.6923076923077,26,2
3829,-gneE8,gneJ11,gneJ10,0.516536193547437,0.010210176239325,36.6923076923077,32,2
3872,-gneE8,gneJ11,gneJ10,0.498829678038443,0.009849447289487,36.5925925925926,34,2
3915,-gneE8,gneJ11,gneJ10,0.410842286298386,0.011958838669063,36.5925925925926,35,2
3960,-gneE8,gneJ11,gneJ10,0.481651349383038,0.01020073259748,36.5925925925926,38,2
4003,-gneE8,gneJ11,gneJ10,0.560126947612855,0.008771576945567,36.5925925925926,1,2
4044,-gneE8,gneJ11,gneJ10,0.337700189240909,0.005825730677581,35.3928571428571,3,2
4088,-gneE8,gneJ11,gneJ10,0.265102624714798,0.007421089679523,35.3928571428571,4,2
4133,-gneE8,gneJ11,gneJ10,0.32397818021946,0.006072477939573,35.3928571428571,7,2
4179,-gneE8,gneJ11,gneJ10,0.384492569234486,0.005116744794841,35.3928571428571,13,2
4223,-gneE8,gneJ11,gneJ10,0.45591030688954,0.004315213590383,35.3928571428571,17,2
4268,-gneE8,gneJ11,gneJ10,0.524414457666937,0.003751518142803,35.3928571428571,20,2
4312,-gneE8,gneJ11,gneJ10,0.439184219015665,0.003181379431559,34.9655172413793,23,2
4355,-gneE8,gneJ11,gneJ10,0.345585425139243,0.004043028262777,34.9655172413793,26,2
4401,-gneE8,gneJ11,gneJ10,0.406494234179092,0.003437223762505,34.9655172413793,72,2
4445,-gneE8,gneJ11,gneJ10,0.477681123907296,0.002924988179589,34.9655172413793,116,2
4490,-gneE8,gneJ11,gneJ10,0.545068312510806,0.002563369781313,34.9655172413793,161,2
4533,-gneE8,gneJ11,gneJ10,0.985304282754022,0.079353604914443,40.6,204,2
4578,-gneE8,gneJ11,gneJ10,0.98674330820216,0.087967507886218,40.741935483871,45,2
4623,-gneE8,gneJ11,gneJ10,0.988000579149538,0.097184535387541,40.875,45,2
4667,-gneE8,gneJ11,gneJ10,0.988846540063232,0.104555729512004,40.969696969697,44,2
4710,-gneE8,gneJ11,gneJ10,0.98936400241588,0.109642572880306,41.0294117647059,43,2
4752,-gneE8,gneJ11,gneJ10,0.989602959136876,0.112162504276365,41.0571428571429,42,2
