time,edge,probability (value_exp),denominator,expect,true,no.of neighbours
40,-gneE1,0.5,3.29744254140026,0,3,2
82,-gneE1,0.5,3.29744254140026,45,45,2
127,-gneE1,0.477288366739361,3.45435042124223,45,10,2
173,-gneE1,0.615903791660243,2.67691365603677,45,56,2
215,-gneE1,0.69906029656732,3.41660596328275,71.5,98,2
258,-gneE1,0.630968855941847,2.78619407031568,62,43,2
301,-gneE1,0.571375940467039,2.39882097719149,57.25,43,2
346,-gneE1,0.466703785583855,1.92799490703737,51.8,30,2
391,-gneE1,0.474030766902029,1.89819434628956,51.8,45,2
434,-gneE1,0.474030766902029,1.89819434628956,51.8,88,2
478,-gneE1,0.450135227581663,1.99896046024856,51.8,132,2
523,-gneE1,0.390506510727892,2.3041933923804,51.8,177,2
567,-gneE1,0.347426915956548,2.58990446731327,51.8,221,2
613,-gneE1,0.505028987123343,1.78168490253605,51.8,267,2
657,-gneE1,0.908362324024847,9.62357863674364,95,311,2
702,-gneE1,0.858877253068624,6.24904489184974,87.8571428571429,45,2
747,-gneE1,0.794366666810702,4.28861589294714,82.5,45,2
792,-gneE1,0.716246522756115,3.10791744087543,78.3333333333333,45,2
835,-gneE1,0.622643767892986,2.337002295977,74.8,43,2
878,-gneE1,0.52467048635979,1.85530743521817,71.9090909090909,43,2
926,-gneE1,0.446528688202446,1.59336601922719,69.9166666666667,48,2
971,-gneE1,0.665775562164337,1.06865388101501,69.9166666666667,45,2
1017,-gneE1,0.72335857766674,1.29109458594697,71.5384615384615,91,2
1063,-gneE1,0.650450259505219,1.02180090912834,69.7142857142857,46,2
1107,-gneE1,0.566620942767097,0.824152059639544,68,44,2
1152,-gneE1,0.486037161560518,0.694933983374358,66.5625,45,2
1195,-gneE1,0.531983863511184,0.634913507567541,66.5625,43,2
1239,-gneE1,0.601558847115639,0.745780812712799,67.7647058823529,87,2
1283,-gneE1,0.470944450518289,0.56166080689906,65.7222222222222,31,2
1326,-gneE1,0.431795269788046,0.612584385680224,65.7222222222222,43,2
1371,-gneE1,0.389907521622198,0.678394299710472,65.7222222222222,88,2
1415,-gneE1,0.327298689561581,0.808164067008797,65.7222222222222,132,2
1460,-gneE1,0.2532571829837,1.04443647744341,65.7222222222222,177,2
1506,-gneE1,0.191661685872508,1.38009346457845,65.7222222222222,223,2
1550,-gneE1,0.152425934797097,1.73534143277417,65.7222222222222,267,2
1597,-gneE1,0.113831047472575,2.3237161210035,65.7222222222222,314,2
1641,-gneE1,0.092201001886346,2.86885212384996,65.7222222222222,358,2
1685,-gneE1,0.103145021247148,2.56445766246861,65.7222222222222,402,2
1729,-gneE1,0.106688463354547,2.47928437401629,65.7222222222222,446,2
1772,-gneE1,0.088659136912417,2.98346058053821,65.7222222222222,489,2
1817,-gneE1,0.070626462374446,3.745211514069,65.7222222222222,534,2
1863,-gneE1,0.056711692569695,4.66413587916936,65.7222222222222,580,2
1905,-gneE1,0.060285467331939,4.38764186111899,65.7222222222222,622,2
1948,-gneE1,0.051132211102076,5.17308041998599,65.7222222222222,665,2
1992,-gneE1,0.044715034994805,5.91548323988721,65.7222222222222,709,2
2037,-gneE1,0.036459782866436,7.25487151285927,65.7222222222222,754,2
2081,-gneE1,0.07423049665399,3.56337424651353,65.7222222222222,798,2
2126,-gneE1,0.059603747741397,4.43782564194407,65.7222222222222,14,2
2170,-gneE1,0.049348926630537,5.36001607619691,65.7222222222222,17,2
2211,-gneE1,0.044277828153222,5.97389373226269,65.7222222222222,15,2
2254,-gneE1,0.037900799440675,6.9790359038935,65.7222222222222,17,2
2299,-gneE1,0.030988023965504,8.53591182119884,65.7222222222222,20,2
2344,-gneE1,0.025480050874151,10.3811032948555,65.7222222222222,24,2
2387,-gneE1,0.022154125451118,11.9395839238326,65.7222222222222,27,2
2434,-gneE1,0.02490064730227,10.6226571892621,65.7222222222222,74,2
2479,-gneE1,0.020597365598759,12.8419840301652,65.7222222222222,38,2
2522,-gneE1,0.018008676600516,14.6879776871091,65.7222222222222,39,2
2568,-gneE1,0.018386791850728,14.3859267146853,65.7222222222222,85,2
2611,-gneE1,0.016121845702247,16.4069948917743,65.7222222222222,38,2
2655,-gneE1,0.013829174160052,19.1270307989056,65.7222222222222,42,2
2698,-gneE1,0.015332429789647,17.2517365943754,65.7222222222222,85,2
2742,-gneE1,0.014203070356231,18.6235112161287,65.7222222222222,129,2
2787,-gneE1,0.011914622427117,22.2005390184021,65.7222222222222,174,2
2831,-gneE1,0.010291972090061,25.7007148647624,65.7222222222222,218,2
2875,-gneE1,0.008920134550463,29.653256751494,65.7222222222222,262,2
2919,-gneE1,0.007756102770415,34.103601758824,65.7222222222222,306,2
2961,-gneE1,0.007113286589688,37.1854889786363,65.7222222222222,348,2
3007,-gneE1,0.005912064185614,44.7408945130136,65.7222222222222,394,2
3053,-gneE1,0.004933825414375,53.6117551529239,65.7222222222222,440,2
3096,-gneE1,0.00445502019608,59.3737016760281,65.7222222222222,483,2
3138,-gneE1,0.004132955337644,64.0004593501202,65.7222222222222,525,2
3181,-gneE1,0.003745183201,70.6269963007713,65.7222222222222,568,2
