time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
539,gneE11,gneJ14,gneJ10,0.610402380987512,0.5,522,522,0,2
580,gneE11,gneJ14,gneJ10,0.400028162169643,-0.354351687388988,281.5,41,240.5,2
659,gneE11,gneJ14,gneJ10,0.104460724173905,-0.985192808884315,214,79,135,2
701,-gneE8,gneJ11,gneJ10,0.5,0.5,42,42,0,2
821,-gneE8,gneJ11,gneJ10,0.798447954235465,0.981481481481481,81,120,-39,2
862,-gneE8,gneJ11,gneJ10,0.688156701693185,0.396375098502758,62.6666666666667,26,36.6666666666667,2
1826,gneE11,gneJ14,gneJ10,0.32075331298863,-0.296623951998626,277.75,469,-191.25,2
1905,-gneE8,gneJ11,gneJ10,0.628934967843432,0.579895697753694,66.75,79,-12.25,2
1944,gneE11,gneJ14,gneJ10,0.170689739937235,-1.12705873460732,230,39,191,2
2669,gneE11,gneJ14,gneJ10,0.494680031239845,0.192941265392678,312.5,725,-412.5,2
2709,gneE11,gneJ14,gneJ10,0.294201147076361,-0.660844635390612,273.571428571429,40,233.571428571429,2
2834,gneE11,gneJ14,gneJ10,0.106329074463251,-1.17064855695924,255,125,130,2
2914,-gneE8,gneJ11,gneJ10,0.519690056140606,0.732633449915078,69.4,80,-10.6,2
3830,gneE11,gneJ14,gneJ10,0.131730562879063,-2.0445006594242,229.888888888889,29,200.888888888889,2
3869,gneE11,gneJ14,gneJ10,0.059169616202555,-2.92511192972028,209.4,25,184.4,2
3992,-gneE8,gneJ11,gneJ10,0.610664249492707,0.629692273444489,68,61,7,2
4114,-gneE8,gneJ11,gneJ10,0.811904410040804,-0.154155707553135,60.1428571428571,13,47.1428571428571,2
6047,gneE11,gneJ14,gneJ10,0.542727719172995,0.188789415571198,304.090909090909,1251,-946.909090909091,2
6087,gneE11,gneJ14,gneJ10,0.334729899066249,-0.669408516481978,282.083333333333,40,242.083333333333,2
6128,-gneE8,gneJ11,gneJ10,0.763576572751934,-0.444198997596426,57.75,41,16.75,2
6169,-gneE8,gneJ11,gneJ10,0.712178367654061,-0.710600588053682,55.8888888888889,41,14.8888888888889,2
6207,gneE11,gneJ14,gneJ10,0.176164691057018,-1.52509066664266,263.307692307692,38,225.307692307692,2
6246,gneE11,gneJ14,gneJ10,0.084336125879446,-2.36737836161666,247.285714285714,39,208.285714285714,2
8381,gneE11,gneJ14,gneJ10,0.995813336390006,2.35443689655736,373.133333333333,2135,-1761.86666666667,2
8421,-gneE8,gneJ11,gneJ10,0.655349018834471,-0.973952337593277,54.3,40,14.3,2
8582,-gneE8,gneJ11,gneJ10,0.542629226530082,0.541672662406723,64,161,-97,2
8659,-gneE8,gneJ11,gneJ10,0.775396476273448,0.724771253956019,65.0833333333333,77,-11.9166666666667,2
8699,gneE11,gneJ14,gneJ10,0.989901227169167,1.4679724651222,352.3125,40,312.3125,2
8738,gneE11,gneJ14,gneJ10,0.97591999691305,0.58478007611586,333.882352941176,39,294.882352941176,2
8781,gneE11,gneJ14,gneJ10,0.944660423962074,-0.279881578019478,317.722222222222,43,274.722222222222,2
9507,gneE11,gneJ14,gneJ10,0.378068326636656,0.860382192345145,339.210526315789,726,-386.789473684211,2
9547,gneE11,gneJ14,gneJ10,0.201910906259594,-0.016256203954006,324.25,40,284.25,2
9710,gneE11,gneJ14,gneJ10,0.111323056856717,-0.501364507203104,316.571428571429,163,153.571428571429,2
10469,gneE11,gneJ14,gneJ10,0.565082909659579,0.752989482266317,336.681818181818,759,-422.318181818182,2
10508,gneE11,gneJ14,gneJ10,0.350301183433889,-0.12654315270548,323.739130434783,39,284.739130434783,2
10549,-gneE8,gneJ11,gneJ10,0.708364951251506,0.373189745440204,63.2307692307692,41,22.2307692307692,2
10588,-gneE8,gneJ11,gneJ10,0.627522427323845,0.007336086903619,61.5,39,22.5,2
10745,gneE11,gneJ14,gneJ10,0.283346162671325,-1.01745224361457,311.666666666667,34,277.666666666667,2
10786,-gneE8,gneJ11,gneJ10,0.510724112869305,-0.471363464665888,59.4666666666667,31,28.4666666666667,2
10826,gneE11,gneJ14,gneJ10,0.137680542848789,-1.92421835975735,300.32,28,272.32,2
11192,gneE11,gneJ14,gneJ10,0.125046260950579,-1.76616287490115,302.230769230769,350,-47.769230769231,2
11799,gneE11,gneJ14,gneJ10,0.572488379174125,-0.830073093448112,313.518518518519,607,-293.481481481481,2
11961,-gneE8,gneJ11,gneJ10,0.678970735336811,0.987839571387243,65.875,162,-96.125,2
12041,-gneE8,gneJ11,gneJ10,0.862576495318604,1.18713410401511,66.7058823529412,80,-13.2941176470588,2
12081,-gneE8,gneJ11,gneJ10,0.810020641992258,0.800422008614768,65.2222222222222,40,25.2222222222222,2
12613,gneE11,gneJ14,gneJ10,0.06083822585558,-0.174410094670742,321.321428571429,532,-210.678571428571,2
13139,gneE11,gneJ14,gneJ10,0.326507154392413,0.427396058852308,328.379310344828,526,-197.620689655172,2
13544,gneE11,gneJ14,gneJ10,0.386117465315029,0.651207501237481,330.933333333333,405,-74.066666666667,2
13586,gneE11,gneJ14,gneJ10,0.208651974003277,-0.218200723436541,321.612903225806,42,279.612903225806,2
13992,gneE11,gneJ14,gneJ10,0.409624296281225,0.033919554127067,324.25,406,-81.75,2
14075,gneE11,gneJ14,gneJ10,0.188798438029084,-0.704200725058324,316.939393939394,83,233.939393939394,2
14116,gneE11,gneJ14,gneJ10,0.089067468992148,-1.57143882029642,308.823529411765,41,267.823529411765,2
14558,gneE11,gneJ14,gneJ10,0.17421781017659,-1.15762050554592,312.628571428571,442,-129.371428571429,2
15127,gneE11,gneJ14,gneJ10,0.55136639530739,-0.378105259259755,319.75,569,-249.25,2
15168,-gneE8,gneJ11,gneJ10,0.74862579564256,0.441574271989254,63.9473684210526,41,22.9473684210526,2
15209,-gneE8,gneJ11,gneJ10,0.67790547719457,0.09444051402747,62.8,41,21.8,2
15407,-gneE8,gneJ11,gneJ10,0.939283214820096,1.95413790054742,69.2380952380952,198,-128.761904761905,2
15446,gneE11,gneJ14,gneJ10,0.338749484558972,-1.25317019432469,312.162162162162,39,273.162162162162,2
16418,gneE11,gneJ14,gneJ10,0.454879326308036,0.696518353830556,329.526315789474,972,-642.473684210526,2
16460,gneE11,gneJ14,gneJ10,0.259109415293482,-0.173109153332768,322.153846153846,42,280.153846153846,2
17384,gneE11,gneJ14,gneJ10,0.326956257532464,-1.03351524470333,315.2,44,271.2,2
17423,gneE11,gneJ14,gneJ10,0.168151787514391,-1.91031423252556,308.439024390244,38,270.439024390244,2
17703,gneE11,gneJ14,gneJ10,0.146693979751247,-2.88376136386743,301.285714285714,8,293.285714285714,2
17742,-gneE8,gneJ11,gneJ10,0.852458764085448,0.969258175461504,66.1363636363636,1,65.1363636363636,2
18606,gneE11,gneJ14,gneJ10,0.433139933746913,-2.47376365691948,304.255813953488,429,-124.744186046512,2
18724,gneE11,gneJ14,gneJ10,0.228280859734964,-3.0804601193087,300.022727272727,118,182.022727272727,2
19167,gneE11,gneJ14,gneJ10,0.481729276325345,-2.61937832511345,303.2,443,-139.8,2
19327,gneE11,gneJ14,gneJ10,0.358034810977186,-3.08619953635656,300.086956521739,160,140.086956521739,2
19406,-gneE8,gneJ11,gneJ10,0.775638349312114,1.15374318198041,66.695652173913,79,-12.304347826087,2
19448,-gneE8,gneJ11,gneJ10,0.706826575598073,0.793337090609851,65.6666666666667,42,23.6666666666667,2
19930,gneE11,gneJ14,gneJ10,0.166466459964243,-2.50045125132226,303.957446808511,482,-178.042553191489,2
19970,-gneE8,gneJ11,gneJ10,0.622185017957805,0.41214897179797,64.64,40,24.64,2
20689,gneE11,gneJ14,gneJ10,0.741771901917649,-1.20041792909634,312.604166666667,719,-406.395833333333,2
20729,-gneE8,gneJ11,gneJ10,0.531670597075035,0.040168295469467,63.6923076923077,40,23.6923076923077,2
20769,gneE11,gneJ14,gneJ10,0.546236112063479,-2.07014208994712,307.040816326531,40,267.040816326531,2
21492,gneE11,gneJ14,gneJ10,0.707223798938032,-0.777524129520941,315.36,723,-407.64,2
21534,gneE11,gneJ14,gneJ10,0.504355523778808,-1.6420402585532,310,42,268,2
21654,-gneE8,gneJ11,gneJ10,0.569136201125093,0.864492619793792,65.7777777777778,120,-54.2222222222222,2
22500,gneE11,gneJ14,gneJ10,0.793568254386451,-0.000829883913429,320.307692307692,846,-525.692307692308,2
22543,gneE11,gneJ14,gneJ10,0.618466640211086,-0.864354645875224,315.075471698113,43,272.075471698113,2
22585,gneE11,gneJ14,gneJ10,0.405770167421591,-1.72887886784524,310.018518518519,42,268.018518518519,2
22706,gneE11,gneJ14,gneJ10,0.086638518097333,-2.33420445199896,306.581818181818,121,185.581818181818,2
22908,gneE11,gneJ14,gneJ10,0.118949927070715,-2.67128837136136,304.714285714286,202,102.714285714286,2
23558,gneE11,gneJ14,gneJ10,0.353067263291491,-1.57972237836147,310.771929824561,650,-339.228070175439,2
23598,gneE11,gneJ14,gneJ10,0.18619762210425,-2.44904760084654,306.103448275862,40,266.103448275862,2
23638,-gneE8,gneJ11,gneJ10,0.473791002652955,0.481232707899518,64.8571428571429,40,24.8571428571429,2
23679,-gneE8,gneJ11,gneJ10,0.385882787947093,0.121512729439637,64.0344827586207,41,23.0344827586207,2
23960,-gneE8,gneJ11,gneJ10,0.996896028890002,3.06445005404207,71.2666666666667,281,-209.733333333333,2
24002,-gneE8,gneJ11,gneJ10,0.995363793810588,2.66169776046409,70.3225806451613,42,28.3225806451613,2
24041,gneE11,gneJ14,gneJ10,0.087417065762895,-3.3197270815412,301.576271186441,39,262.576271186441,2
26576,gneE11,gneJ14,gneJ10,0.997580124785459,3.16256335529469,338.8,2535,-2196.2,2
26617,gneE11,gneJ14,gneJ10,0.994201848656483,2.28534797898756,333.918032786885,41,292.918032786885,2
26658,gneE11,gneJ14,gneJ10,0.986196696970111,1.40989476977639,329.193548387097,41,288.193548387097,2
26699,gneE11,gneJ14,gneJ10,0.967555749658711,0.536196662104392,324.619047619048,41,283.619047619048,2
26743,gneE11,gneJ14,gneJ10,0.926399187796944,-0.326403972196657,320.234375,44,276.234375,2
26784,gneE11,gneJ14,gneJ10,0.840562762925878,-1.19663186467815,315.938461538462,41,274.938461538462,2
26984,gneE11,gneJ14,gneJ10,0.157403815725823,-1.56005779060408,314.181818181818,200,114.181818181818,2
27306,gneE11,gneJ14,gneJ10,0.211850085563275,-1.53555403906072,314.298507462687,322,-7.70149253731302,2
27346,gneE11,gneJ14,gneJ10,0.101115850610746,-2.40663186634293,310.264705882353,40,270.264705882353,2
27669,gneE11,gneJ14,gneJ10,0.11649507291278,-2.36620424858466,310.449275362319,323,-12.550724637681,2
27789,gneE11,gneJ14,gneJ10,0.067225244792813,-2.97625020745379,307.728571428571,120,187.728571428571,2
28425,gneE11,gneJ14,gneJ10,0.295763348874196,-1.94008661454221,312.352112676056,636,-323.647887323944,2
28464,-gneE8,gneJ11,gneJ10,0.992836927322666,2.22411326294268,69.34375,39,30.34375,2
28507,-gneE8,gneJ11,gneJ10,0.989635481141123,1.85143421784984,68.5454545454545,43,25.5454545454545,2
28548,-gneE8,gneJ11,gneJ10,0.984696407716884,1.45673165597403,67.7352941176471,41,26.7352941176471,2
28588,-gneE8,gneJ11,gneJ10,0.977285388682701,1.05425619716054,66.9428571428571,40,26.9428571428571,2
28630,-gneE8,gneJ11,gneJ10,0.967570901784743,0.688218461311486,66.25,42,24.25,2
28673,-gneE8,gneJ11,gneJ10,0.954825870459012,0.343490289977054,65.6216216216216,43,22.6216216216216,2
29311,gneE11,gneJ14,gneJ10,0.342653839346506,-0.926674385745369,316.875,638,-321.125,2
29352,gneE11,gneJ14,gneJ10,0.179382053679291,-1.79572408823049,313.095890410959,41,272.095890410959,2
30635,gneE11,gneJ14,gneJ10,0.947273443568199,1.13741315854858,326.202702702703,1283,-956.797297297297,2
30677,gneE11,gneJ14,gneJ10,0.882750257814068,0.267680723992521,322.413333333333,42,280.413333333333,2
30717,gneE11,gneJ14,gneJ10,0.758458546825043,-0.606808355731685,318.697368421053,40,278.697368421053,2
30756,-gneE8,gneJ11,gneJ10,0.934117787508571,-0.055780078892018,64.9210526315789,39,25.9210526315789,2
30874,gneE11,gneJ14,gneJ10,0.196128511253154,-1.23349803073888,316.090909090909,118,198.090909090909,2
30914,-gneE8,gneJ11,gneJ10,0.906700017291051,-0.433522400391818,64.2820512820513,40,24.2820512820513,2
30952,gneE11,gneJ14,gneJ10,0.09203145801003,-2.11190800735618,312.525641025641,38,274.525641025641,2
31196,gneE11,gneJ14,gneJ10,0.061701224942048,-2.32899910844874,311.658227848101,244,67.658227848101,2
31234,-gneE8,gneJ11,gneJ10,0.866601833962801,-0.836272891550954,63.625,38,25.625,2
31639,gneE11,gneJ14,gneJ10,0.402642043682608,-2.03434554815145,312.825,405,-92.175,2
31888,gneE11,gneJ14,gneJ10,0.588799404256337,-2.23636335230575,312.037037037037,249,63.037037037037,2
31928,-gneE8,gneJ11,gneJ10,0.818418709493508,-1.20184349116411,63.0487804878049,40,23.0487804878049,2
31968,-gneE8,gneJ11,gneJ10,0.758719253531515,-1.56184349116411,62.5,40,22.5,2
32009,gneE11,gneJ14,gneJ10,0.375616938558418,-3.10356196188073,308.731707317073,41,267.731707317073,2
32289,gneE11,gneJ14,gneJ10,0.052041618983635,-3.19560759401075,308.385542168675,280,28.385542168675,2
32409,gneE11,gneJ14,gneJ10,0.021529428181498,-3.80363372560197,306.142857142857,120,186.142857142857,2
33218,gneE11,gneJ14,gneJ10,0.454234333694308,-2.2111737821524,312.058823529412,809,-496.941176470588,2
33381,gneE11,gneJ14,gneJ10,0.4201812694991,-2.68591898598933,310.325581395349,163,147.325581395349,2
34111,gneE11,gneJ14,gneJ10,0.734934830609828,-1.36955747165568,315.149425287356,730,-414.850574712644,2
34515,-gneE8,gneJ11,gneJ10,0.990558948995649,3.17338265607921,70.4418604651163,404,-333.558139534884,2
