time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,no.of neighbours
41.0,-gneE1,gneJ3,gneJ2,0.5,0.5,41.0,41.0,2
63.0,gneE1,gneJ2,gneJ3,1.0,1.0,25.0,25.0,1
85.0,-gneE1,gneJ3,gneJ2,0.8175744761936438,2.0,42.5,44.0,2
107.0,gneE1,gneJ2,gneJ3,1.0,10.5,34.5,44.0,1
128.0,-gneE1,gneJ3,gneJ2,0.8621583430350646,2.3333333333333357,42.666666666666664,43.0,2
152.0,gneE1,gneJ2,gneJ3,1.0,17.5,38.0,45.0,1
173.0,-gneE1,gneJ3,gneJ2,0.9729680917669681,4.083333333333336,43.25,45.0,2
195.0,gneE1,gneJ2,gneJ3,1.0,-10.25,28.75,1.0,1
222.0,-gneE1,gneJ3,gneJ2,4.5347472835338777e-11,-23.316666666666663,36.4,9.0,2
245.0,gneE1,gneJ2,gneJ3,1.0,-23.65,25.4,12.0,1
266.0,gneE2,gneJ3,gneJ4,0.9999999999546525,0.5,12.0,12.0,2
288.0,gneE3,gneJ4,gneJ5,0.5,0.5,172.0,172.0,2
309.0,-gneE3,gneJ5,gneJ4,0.5,0.5,14.0,14.0,2
330.0,-gneE2,gneJ4,gneJ3,0.5,0.5,16.0,16.0,2
352.0,gneE2,gneJ3,gneJ4,0.9999999999986307,4.0,15.5,19.0,2
374.0,gneE3,gneJ4,gneJ5,2.1151310375910802e-19,-42.5,129.0,86.0,2
396.0,-gneE3,gneJ5,gneJ4,0.9999996940977731,15.5,29.0,44.0,2
418.0,-gneE2,gneJ4,gneJ3,1.0,4.0,19.5,23.0,2
441.0,gneE2,gneJ3,gneJ4,1.0,23.666666666666668,25.333333333333332,45.0,2
463.0,-gneE2,gneJ4,gneJ3,1.0,9.0,22.0,27.0,2
485.0,gneE2,gneJ3,gneJ4,1.0,37.66666666666667,30.0,44.0,2
506.0,-gneE2,gneJ4,gneJ3,1.0,14.25,23.75,29.0,2
529.0,gneE2,gneJ3,gneJ4,1.0,48.866666666666674,32.8,44.0,2
550.0,-gneE2,gneJ4,gneJ3,1.0,21.65,25.6,33.0,2
573.0,gneE2,gneJ3,gneJ4,1.0,51.53333333333334,33.333333333333336,36.0,2
