time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
153,gneE11,gneJ14,gneJ10,0.5,0.5,27,27,0,2
232,-gneE8,gneJ11,gneJ10,0.5,0.5,62,62,0,2
314,-gneE8,gneJ11,gneJ10,0.60707324438046,0.638888888888889,72,82,-10,2
355,-gneE8,gneJ11,gneJ10,0.52495202856118,0.303753753753754,61.6666666666667,41,20.6666666666667,2
394,-gneE8,gneJ11,gneJ10,0.449255226662985,0.000182325182325,56,39,17,2
473,gneE11,gneJ14,gneJ10,0.620239767300204,0.990566037735849,53,79,-26,2
512,-gneE8,gneJ11,gneJ10,0.386455642679922,-0.258372807897523,52.6,39,13.6,2
590,-gneE8,gneJ11,gneJ10,0.326388075530679,0.114061209697785,56.8333333333333,78,-21.1666666666667,2
631,-gneE8,gneJ11,gneJ10,0.274231555240101,-0.134629889778655,54.5714285714286,41,13.5714285714286,2
671,gneE11,gneJ14,gneJ10,0.577491423683262,0.812483845955027,48.6666666666667,40,8.6666666666667,2
834,-gneE8,gneJ11,gneJ10,0.865217933403797,1.25803066068006,68.125,163,-94.875,2
875,gneE11,gneJ14,gneJ10,0.547231059079559,0.68948919354861,46.75,41,5.75,2
914,-gneE8,gneJ11,gneJ10,0.81158614947613,0.859058057940335,64.8888888888889,39,25.8888888888889,2
1034,-gneE8,gneJ11,gneJ10,0.839811813468786,0.647701591063363,63.4,50,13.4,2
1074,-gneE8,gneJ11,gneJ10,0.787454169976094,0.300520582161286,61.2727272727273,40,21.2727272727273,2
1114,-gneE8,gneJ11,gneJ10,0.72748831515044,-0.027210510275689,59.5,40,19.5,2
1429,gneE11,gneJ14,gneJ10,0.826725608907701,1.43164947229425,57.4,100,-42.6,2
1469,-gneE8,gneJ11,gneJ10,0.661854981016325,-0.337555337861896,58,40,18,2
1509,gneE11,gneJ14,gneJ10,0.785252329131088,1.1655944264227,54.5,40,14.5,2
1548,-gneE8,gneJ11,gneJ10,0.58906372273496,-0.649030747697961,56.6428571428571,39,17.6428571428571,2
1626,-gneE8,gneJ11,gneJ10,0.655063783261005,-0.997643534187708,55.2666666666667,36,19.2666666666667,2
2146,gneE11,gneJ14,gneJ10,0.914604939170963,2.05621942642269,64,121,-57,2
2185,gneE11,gneJ14,gneJ10,0.88203679638854,1.69687651061161,60.875,39,21.875,2
2264,gneE11,gneJ14,gneJ10,0.921604498760121,1.95306025619465,62.8888888888889,79,-16.1111111111111,2
2304,-gneE8,gneJ11,gneJ10,0.472129909714998,-1.75061265532785,52.625,13,39.625,2
2419,gneE11,gneJ14,gneJ10,0.964680353760637,2.64175335457937,68.1,115,-46.9,2
2494,-gneE8,gneJ11,gneJ10,0.722805172584354,-1.36020916568772,53.9411764705882,75,-21.0588235294118,2
2536,-gneE8,gneJ11,gneJ10,0.67846800713864,-1.57188799780451,53.2777777777778,42,11.2777777777778,2
2576,gneE11,gneJ14,gneJ10,0.948710661968807,2.25201687746426,65.5454545454546,40,25.5454545454546,2
2614,gneE11,gneJ14,gneJ10,0.925422496335069,1.85280739129825,63.25,38,25.25,2
2654,gneE11,gneJ14,gneJ10,0.843890122726231,1.02185810651281,59.1538461538462,10,49.1538461538462,2
