time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
158,gneE8,gneJ10,gneJ11,0.5,0.5,158,158,0,2
237,gneE8,gneJ10,gneJ11,0.417429793537685,0.166666666666667,118.5,79,39.5,2
395,gneE8,gneJ10,gneJ11,0.300253246254715,-0.097664543524416,104.666666666667,77,27.6666666666667,2
1712,gneE8,gneJ10,gneJ11,0.449017328118727,0.524067482619375,231.5,612,-380.5,2
1880,gneE8,gneJ10,gneJ11,0.435187602754793,-0.433105964918098,186.8,8,178.8,2
1920,gneE8,gneJ10,gneJ11,0.224173921867709,-1.41389571945385,156.166666666667,3,153.166666666667,2
2000,gneE8,gneJ10,gneJ11,0.124018461919708,-2.12730411249377,139.571428571429,40,99.5714285714286,2
2441,gneE8,gneJ10,gneJ11,0.692357099977833,-1.55761661249377,172.125,400,-227.875,2
2481,gneE8,gneJ10,gneJ11,0.516299232018533,-2.303558743757,157.444444444444,40,117.444444444444,2
2523,gneE8,gneJ10,gneJ11,0.343685847294165,-3.01569034074124,145.9,42,103.9,2
2600,gneE8,gneJ10,gneJ11,0.161006425801163,-3.46425804907457,139.636363636364,77,62.6363636363636,2
4811,gneE8,gneJ10,gneJ11,0.378896400879403,-4.17455029812158,131.166666666667,38,93.1666666666667,2
4930,gneE8,gneJ10,gneJ11,0.576370750906467,-4.26078774643818,130.230769230769,119,11.2307692307692,2
4970,gneE8,gneJ10,gneJ11,0.408790297484935,-4.93764868123334,123.785714285714,40,83.7857142857143,2
5009,gneE8,gneJ10,gneJ11,0.261375223080278,-5.60751324105275,118.133333333333,39,79.1333333333333,2
5050,gneE8,gneJ10,gneJ11,0.157492885957719,-6.24568202207867,113.3125,41,72.3125,2
5821,gneE8,gneJ10,gneJ11,0.605983782370971,-5.44999949258666,149.764705882353,733,-583.235294117647,2
5981,gneE8,gneJ10,gneJ11,0.427730533704265,-6.17157721880476,143.666666666667,40,103.666666666667,2
6140,gneE8,gneJ10,gneJ11,0.54642024108043,-6.0802167421414,144.473684210526,159,-14.5263157894737,2
6179,gneE8,gneJ10,gneJ11,0.369675222693098,-6.8000443283483,139.2,39,100.2,2
6622,gneE8,gneJ10,gneJ11,0.668285751950775,-6.50072460045714,142.238095238095,203,-60.7619047619048,2
6700,gneE8,gneJ10,gneJ11,0.712634618217022,-6.94085510616676,139.318181818182,78,61.3181818181818,2
6777,gneE8,gneJ10,gneJ11,0.547327199743971,-7.65919219930244,134.913043478261,38,96.9130434782609,2
6978,gneE8,gneJ10,gneJ11,0.826017941382712,-7.50893178263577,135.958333333333,160,-24.0416666666667,2
7183,gneE8,gneJ10,gneJ11,0.622691054087662,-7.88878832776428,133.84,83,50.84,2
7223,gneE8,gneJ10,gneJ11,0.452179918205314,-8.58164125156818,130.230769230769,40,90.2307692307692,2
7305,gneE8,gneJ10,gneJ11,0.293876541968946,-9.26640482424769,126.888888888889,40,86.8888888888889,2
8194,gneE8,gneJ10,gneJ11,0.455932365877648,-8.70067657855202,133.321428571429,307,-173.678571428571,2
8236,gneE8,gneJ10,gneJ11,0.298577668255299,-9.3780275719295,130.172413793103,42,88.1724137931035,2
8355,gneE8,gneJ10,gneJ11,0.17547432723942,-10.0712630202777,127.133333333333,39,88.1333333333333,2
8560,gneE8,gneJ10,gneJ11,0.184240510573918,-9.7036784412061,129.645161290323,205,-75.3548387096774,2
8601,gneE8,gneJ10,gneJ11,0.102963238049895,-10.3805257318465,126.875,41,85.875,2
8640,gneE8,gneJ10,gneJ11,0.054642778007002,-11.0665467125735,124.212121212121,39,85.2121212121212,2
9558,gneE8,gneJ10,gneJ11,0.805031491028465,-10.2873216892308,139.088235294118,630,-490.911764705882,2
9636,gneE8,gneJ10,gneJ11,0.66753224345299,-11.008320220802,136.2,38,98.2,2
9797,gneE8,gneJ10,gneJ11,0.755274838259956,-11.421444446968,134.611111111111,79,55.6111111111111,2
9839,gneE8,gneJ10,gneJ11,0.609418211004217,-12.1035230067061,132.108108108108,42,90.1081081081081,2
9918,gneE8,gneJ10,gneJ11,0.43863810243872,-12.7950814482645,129.684210526316,40,89.6842105263158,2
9997,gneE8,gneJ10,gneJ11,0.282381028434318,-13.4810717864288,127.384615384615,40,87.3846153846154,2
10198,gneE8,gneJ10,gneJ11,0.439543430215106,-13.12398223419,129.225,201,-71.775,2
10354,gneE8,gneJ10,gneJ11,0.675423010629081,-12.9565338289367,129.878048780488,156,-26.1219512195122,2
10435,gneE8,gneJ10,gneJ11,0.509545225459336,-13.6511647014199,127.714285714286,39,88.7142857142857,2
10514,gneE8,gneJ10,gneJ11,0.282626145136342,-14.0270603472035,126.581395348837,79,47.5813953488372,2
11672,gneE8,gneJ10,gneJ11,0.583292609294787,-14.1321719382762,126.272727272727,113,13.2727272727273,2
11714,gneE8,gneJ10,gneJ11,0.419196006566641,-14.7945513594981,124.4,42,82.4,2
11754,gneE8,gneJ10,gneJ11,0.268996895414322,-15.4681944953618,122.565217391304,40,82.5652173913043,2
11915,gneE8,gneJ10,gneJ11,0.584988655573176,-15.2345484004762,123.382978723404,161,-37.6170212765957,2
12036,gneE8,gneJ10,gneJ11,0.418754113796424,-15.9057249718069,121.645833333333,40,81.6458333333333,2
12399,gneE8,gneJ10,gneJ11,0.594115533558,-15.2544065932158,126.571428571429,363,-236.428571428571,2
12440,gneE8,gneJ10,gneJ11,0.427850378819796,-15.9260388213112,124.86,41,83.86,2
12719,gneE8,gneJ10,gneJ11,0.842979636342998,-15.5638879003368,126.294117647059,198,-71.7058823529412,2
12761,gneE8,gneJ10,gneJ11,0.734475275620637,-16.2270068267597,124.673076923077,42,82.6730769230769,2
13557,gneE8,gneJ10,gneJ11,0.770051585833422,-15.7968691419051,126.509433962264,222,-95.4905660377358,2
