time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours
299,gneE8,gneJ10,gneJ11,0.5,0.5,299,299,0,2
339,gneE8,gneJ10,gneJ11,5.73937489252994E-57,-129,169.5,40,129.5,2
378,-gneE11,gneJ10,gneJ14,1,0.5,119,119,0,2
457,-gneE11,gneJ10,gneJ14,1,-39,79.5,40,39.5,2
319,-gneE8,gneJ11,gneJ10,0.5,0.5,41,41,0,2
360,-gneE8,gneJ11,gneJ10,0.5,0.5,41,41,0,2
278,gneE11,gneJ14,gneJ10,0.5,0.5,278,278,0,2
437,gneE11,gneJ14,gneJ10,2.25634013591704E-44,-100,177.5,77,100.5,2
397,-gneE10,gneJ14,gneJ7,0.5,0.5,8,8,0,2
477,-gneE10,gneJ14,gneJ7,1,18,25.5,43,-17.5,2
1776,-gneE10,gneJ14,gneJ7,1,4.33333333333333,18.6666666666667,5,13.6666666666667,2
1815,-gneE10,gneJ14,gneJ7,1,-8.91666666666667,14.25,1,13.25,2
1857,-gneE10,gneJ14,gneJ7,1,13.2833333333333,19.8,42,-22.2,2
2225,-gneE10,gneJ14,gneJ7,1,5.11666666666666,18.1666666666667,10,8.16666666666667,2
2267,-gneE10,gneJ14,gneJ7,1,-3.59761904761905,16.7142857142857,8,8.71428571428572,2
2308,-gneE10,gneJ14,gneJ7,1,-13.8476190476191,15.25,5,10.25,2
2800,-gneE10,gneJ14,gneJ7,1,-14.0698412698413,15.2222222222222,15,0.222222222222221,2
2839,-gneE10,gneJ14,gneJ7,1,-19.6698412698413,14.6,9,5.6,2
2880,-gneE10,gneJ14,gneJ7,1,-28.397113997114,13.7272727272727,5,8.72727272727273,2
2923,-gneE10,gneJ14,gneJ7,1,-37.3137806637807,12.9166666666667,4,8.91666666666667,2
3182,-gneE10,gneJ14,gneJ7,1,-47.3907037407037,12.0769230769231,2,10.0769230769231,2
3222,-gneE10,gneJ14,gneJ7,1,-21.4621323121323,14.0714285714286,40,-25.9285714285714,2
3676,-gneE10,gneJ14,gneJ7,1,-29.928798978799,13.4666666666667,5,8.46666666666667,2
3715,-gneE10,gneJ14,gneJ7,1,-5.99129897879898,15.0625,39,-23.9375,2
3757,-gneE10,gneJ14,gneJ7,1,19.3616421976716,16.6470588235294,42,-25.3529411764706,2
3800,-gneE10,gneJ14,gneJ7,1,43.306086642116,18.0555555555556,42,-23.9444444444444,2
4852,-gneE10,gneJ14,gneJ7,1,32.8324024315897,17.4736842105263,7,10.4736842105263,2
4893,-gneE10,gneJ14,gneJ7,1,18.1324024315897,16.7,2,14.7,2
4934,-gneE10,gneJ14,gneJ7,1,41.2752595744469,17.8571428571429,41,-23.1428571428571,2
4977,-gneE10,gneJ14,gneJ7,1,64.3207141199014,18.9545454545455,42,-23.0454545454545,2
5018,-gneE10,gneJ14,gneJ7,1,84.4511489025101,19.8695652173913,40,-20.1304347826087,2
5058,-gneE10,gneJ14,gneJ7,1,97.9928155691768,20.4583333333333,34,-13.5416666666667,2
5100,-gneE10,gneJ14,gneJ7,1,109.072815569177,20.92,32,-11.08,2
5141,-gneE10,gneJ14,gneJ7,1,115.880507876869,21.1923076923077,28,-6.80769230769231,2
5470,-gneE10,gneJ14,gneJ7,1,99.3249523213135,20.5555555555556,4,16.5555555555556,2
5511,-gneE10,gneJ14,gneJ7,1,80.4678094641707,19.8571428571429,1,18.8571428571429,2
5551,-gneE10,gneJ14,gneJ7,1,99.9160853262396,20.551724137931,40,-19.448275862069,2
6136,-gneE10,gneJ14,gneJ7,1,86.8160853262396,20.1,7,13.1,2
6176,-gneE10,gneJ14,gneJ7,1,68.3322143584977,19.4838709677419,1,18.4838709677419,2
6216,-gneE10,gneJ14,gneJ7,1,88.2072143584977,20.125,40,-19.875,2
6258,-gneE10,gneJ14,gneJ7,1,104.570850722134,20.6363636363636,37,-16.3636363636364,2
6300,-gneE10,gneJ14,gneJ7,1,119.482615428016,21.0882352941176,36,-14.9117647058824,2
6883,-gneE10,gneJ14,gneJ7,1,102.882615428016,20.6,4,16.6,2
6923,-gneE10,gneJ14,gneJ7,1,121.743726539128,21.1388888888889,40,-18.8611111111111,2
6962,-gneE10,gneJ14,gneJ7,1,138.149131944533,21.5945945945946,38,-16.4054054054054,2
7003,-gneE10,gneJ14,gneJ7,1,149.254395102428,21.8947368421053,33,-11.1052631578947,2
7045,-gneE10,gneJ14,gneJ7,1,157.151830999864,22.1025641025641,30,-7.8974358974359,2
7418,-gneE10,gneJ14,gneJ7,1,139.501830999864,21.65,4,17.65,2
7458,-gneE10,gneJ14,gneJ7,1,119.355489536449,21.1463414634146,1,20.1463414634146,2
7499,-gneE10,gneJ14,gneJ7,1,138.736441917401,21.6190476190476,41,-19.3809523809524,2
8036,-gneE10,gneJ14,gneJ7,1,119.573651219727,21.1627906976744,2,19.1627906976744,2
8076,-gneE10,gneJ14,gneJ7,1,137.982742128818,21.5909090909091,40,-18.4090909090909,2
8117,-gneE10,gneJ14,gneJ7,1,155.982742128818,22,40,-18,2
8159,-gneE10,gneJ14,gneJ7,1,171.634916041861,22.3478260869565,38,-15.6521739130435,2
8198,-gneE10,gneJ14,gneJ7,1,183.03917136101,22.5957446808511,34,-11.4042553191489,2
8741,-gneE10,gneJ14,gneJ7,1,163.85167136101,22.1875,3,19.1875,2
8782,-gneE10,gneJ14,gneJ7,1,182.280242789582,22.5714285714286,41,-18.4285714285714,2
8824,-gneE10,gneJ14,gneJ7,1,199.360242789582,22.92,40,-17.08,2
8862,-gneE10,gneJ14,gneJ7,1,211.203380044484,23.156862745098,35,-11.843137254902,2
8904,-gneE10,gneJ14,gneJ7,1,222.818764659868,23.3846153846154,35,-11.6153846153846,2
9813,-gneE10,gneJ14,gneJ7,1,207.724425037227,23.0943396226415,8,15.0943396226415,2
9853,-gneE10,gneJ14,gneJ7,1,189.965165777967,22.7592592592593,5,17.7592592592593,2
9894,-gneE10,gneJ14,gneJ7,1,169.583347596149,22.3818181818182,2,20.3818181818182,2
9934,-gneE10,gneJ14,gneJ7,1,186.886919024721,22.6964285714286,40,-17.3035714285714,2
9977,-gneE10,gneJ14,gneJ7,1,202.90446288437,22.9824561403509,39,-16.0175438596491,2
10020,-gneE10,gneJ14,gneJ7,1,217.663083574025,23.2413793103448,38,-14.7586206896552,2
10061,-gneE10,gneJ14,gneJ7,1,229.222405607923,23.4406779661017,35,-11.5593220338983,2
10103,-gneE10,gneJ14,gneJ7,1,237.63907227459,23.5833333333333,32,-8.41666666666667,2
36,gneE3,gneJ4,gneJ5,0.5,0.5,36,36,0,2
76,gneE3,gneJ4,gneJ5,0.880797077977883,2.5,38,40,-2,2
721,gneE3,gneJ4,gneJ5,0.965554804333789,3.83333333333334,38.6666666666667,40,-1.33333333333334,2
760,gneE3,gneJ4,gneJ5,0.972968091766968,4.08333333333334,38.75,39,-0.25,2
801,gneE3,gneJ4,gneJ5,0.995428506435616,5.88333333333333,39.2,41,-1.8,2
2520,gneE3,gneJ4,gneJ5,0.997647684429022,6.55,39.3333333333333,40,-0.666666666666664,2
2560,gneE3,gneJ4,gneJ5,0.998670243203357,7.12142857142857,39.4285714285714,40,-0.571428571428569,2
2601,gneE3,gneJ4,gneJ5,0.999663450453034,8.49642857142857,39.625,41,-1.375,2
4451,gneE3,gneJ4,gneJ5,0.999900837432748,9.71865079365079,39.7777777777778,41,-1.22222222222222,2
4489,gneE3,gneJ4,gneJ5,0.99950903704308,8.11865079365079,39.6,38,1.6,2
4529,gneE3,gneJ4,gneJ5,0.999658658991882,8.48228715728715,39.6363636363636,40,-0.363636363636367,2
4569,gneE3,gneJ4,gneJ5,0.999755394812228,8.81562049062049,39.6666666666667,40,-0.333333333333336,2
55,-gneE3,gneJ5,gneJ4,0.5,0.5,39,39,0,2
700,-gneE3,gneJ5,gneJ4,1,303.5,342,645,-303,2
740,-gneE3,gneJ5,gneJ4,1,102.166666666667,241.333333333333,40,201.333333333333,2
781,-gneE3,gneJ5,gneJ4,7.95291646658566E-22,-48.0833333333333,191.25,41,150.25,2
2500,-gneE3,gneJ5,gneJ4,1,428.492857142857,354.857142857143,41,313.857142857143,2
2540,-gneE3,gneJ5,gneJ4,1,152.992857142857,315.5,40,275.5,2
2581,-gneE3,gneJ5,gneJ4,3.68205268100289E-17,-91.0071428571429,285,41,244,2
4431,-gneE3,gneJ5,gneJ4,1,560.039826839827,367.916666666667,41,326.916666666667,2
4470,-gneE3,gneJ5,gneJ4,1,256.424442224442,342.615384615385,39,303.615384615385,2
4509,-gneE3,gneJ5,gneJ4,1,-25.5041292041294,320.928571428571,39,281.928571428571,2
4550,-gneE3,gneJ5,gneJ4,2.1510223626197E-75,-286.770795870796,302.266666666667,41,261.266666666667,2
96,gneE4,gneJ5,gneJ6,0.5,0.5,96,96,0,2
820,gneE4,gneJ5,gneJ6,0.829676081356156,-46.5,49,2,47,2
859,gneE4,gneJ5,gneJ6,0.006161017060907,-53.1666666666667,45.6666666666667,39,6.66666666666666,2
2621,gneE4,gneJ5,gneJ6,0.999999999997795,-64.1666666666667,42,31,11,2
2662,gneE4,gneJ5,gneJ6,0.999999838776841,-75.3666666666667,39.2,28,11.2,2
2702,gneE4,gneJ5,gneJ6,0.787034659748326,-89.7,36.3333333333333,22,14.3333333333333,2
2991,gneE4,gneJ5,gneJ6,4.44918857642702E-11,-114.842857142857,32.1428571428571,7,25.1428571428571,2
4588,gneE4,gneJ5,gneJ6,1,-121.092857142857,31.25,25,6.25,2
4627,gneE4,gneJ5,gneJ6,1,-131.092857142857,30,20,10,2
4669,gneE4,gneJ5,gneJ6,1,-142.792857142857,28.7,17,11.7,2
4751,gneE4,gneJ5,gneJ6,1,-156.156493506494,27.3636363636364,14,13.3636363636364,2
9508,gneE4,gneJ5,gneJ6,1,-144.57316017316,28.4166666666667,40,-11.5833333333333,2
9550,gneE4,gneJ5,gneJ6,1,-136.650083250083,29.0769230769231,37,-7.92307692307692,2
9589,gneE4,gneJ5,gneJ6,1,-133.935797535798,29.2857142857143,32,-2.71428571428572,2
9629,gneE4,gneJ5,gneJ6,1,-137.002464202464,29.0666666666667,26,3.06666666666667,2
681,-gneE4,gneJ6,gneJ5,0.929078463396385,0.5,468,468,0,2
840,-gneE4,gneJ6,gneJ5,9.14340355242706E-93,-214,253.5,39,214.5,2
2399,-gneE4,gneJ6,gneJ5,1,656.333333333333,688.666666666667,1559,-870.333333333333,2
2641,-gneE4,gneJ6,gneJ5,1,169.833333333333,526.5,40,486.5,2
2681,-gneE4,gneJ6,gneJ5,0.000206718529438,-219.366666666667,429.2,40,389.2,2
2971,-gneE4,gneJ6,gneJ5,1.24819686375311E-47,-335.366666666667,406,290,116,2
4331,-gneE4,gneJ6,gneJ5,1,482.347619047619,542.285714285714,1360,-817.714285714286,2
4608,-gneE4,gneJ6,gneJ5,1,41.972619047619,479.375,39,440.375,2
4648,-gneE4,gneJ6,gneJ5,0.022247922764291,-348.582936507936,430.555555555556,40,390.555555555556,2
4731,-gneE4,gneJ6,gneJ5,1.67527957433961E-135,-661.382936507937,395.8,83,312.8,2
9488,-gneE4,gneJ6,gneJ5,1,441.794802419803,518.769230769231,43,475.769230769231,2
9529,-gneE4,gneJ6,gneJ5,1,-1.84805472305442,484.642857142857,41,443.642857142857,2
9570,-gneE4,gneJ6,gneJ5,1,-415.914721389721,455.066666666667,41,414.066666666667,2
9610,-gneE4,gneJ6,gneJ5,0,-805.039721389721,429.125,40,389.125,2
116,gneE5,gneJ6,gneJ7,0.5,0.5,32,32,0,2
157,gneE5,gneJ6,gneJ7,0.377540668798145,0,31.5,31,0.5,2
199,gneE5,gneJ6,gneJ7,0.998498817743263,7,35,42,-7,2
240,gneE5,gneJ6,gneJ7,0.999983298578152,11.5,36.5,41,-4.5,2
519,gneE5,gneJ6,gneJ7,0.999999543647572,15.1,37.4,41,-3.6,2
562,gneE5,gneJ6,gneJ7,0.999992241134443,12.2666666666667,36.8333333333333,34,2.83333333333334,2
601,gneE5,gneJ6,gneJ7,0.993646533364457,5.55238095238095,35.7142857142857,29,6.71428571428572,2
642,gneE5,gneJ6,gneJ7,0.070921536603615,-2.07261904761905,34.625,27,7.625,2
879,gneE5,gneJ6,gneJ7,1,1.81626984126984,35.1111111111111,39,-3.88888888888889,2
