time,edge,old node,possible nodes,probability (value_exp),value_coeff,expect,true,no.of neighbours
135,-gneE11,gneJ10,gneJ14,0.5,0.5,40,40,2
859,-gneE11,gneJ10,gneJ14,0.5,0.5,40,41,2
899,-gneE11,gneJ10,gneJ14,0.713207252842057,0.5,40,81,2
941,-gneE11,gneJ10,gneJ14,0.855339905994625,0.5,40,123,2
1021,-gneE11,gneJ10,gneJ14,0.920407308292035,1.17078189300412,121.5,203,2
1060,-gneE11,gneJ10,gneJ14,0.865621539384067,0.585675510025392,94,39,2
1101,-gneE11,gneJ10,gneJ14,0.797465378302834,0.093415448105887,80.75,41,2
1221,-gneE11,gneJ10,gneJ14,0.717828246887759,-0.343397738707299,72.8,41,2
1262,-gneE11,gneJ10,gneJ14,0.632073337990433,-0.735990331299892,67.5,41,2
2104,-gneE11,gneJ10,gneJ14,0.542481157242153,-1.10677684815382,63.5714285714286,40,2
2145,-gneE11,gneJ10,gneJ14,0.461385147924479,-1.43187972881226,60.75,41,2
2187,-gneE11,gneJ10,gneJ14,0.197817849921781,-1.43187972881226,60.75,42,2
2228,-gneE11,gneJ10,gneJ14,0.37900641151359,-1.43187972881226,60.75,83,2
2305,-gneE11,gneJ10,gneJ14,0.599579751515709,-1.43187972881226,60.75,160,2
2346,-gneE11,gneJ10,gneJ14,0.781939284729281,-1.43187972881226,60.75,201,2
2424,-gneE11,gneJ10,gneJ14,0.97233027022764,0.850473212364209,85,279,2
2465,-gneE11,gneJ10,gneJ14,0.955555064255477,0.359158075887783,80.6,41,2
3836,-gneE11,gneJ10,gneJ14,0.930894324366941,-0.108374391644685,77,41,2
3879,-gneE11,gneJ10,gneJ14,0.898464999556067,-0.528599110745808,74.1666666666667,43,2
3919,-gneE11,gneJ10,gneJ14,0.85061388355214,-0.969459325799572,71.5384615384615,40,2
4205,-gneE11,gneJ10,gneJ14,0.788639408352405,-1.39213973817071,69.2857142857143,40,2
4245,-gneE11,gneJ10,gneJ14,0.713164444826922,-1.79808033223011,67.3333333333333,40,2
5048,-gneE11,gneJ10,gneJ14,0.627224172471512,-2.1885565227063,65.625,40,2
5088,-gneE11,gneJ10,gneJ14,0.53598268278714,-2.56470331169713,64.1176470588235,40,2
5129,-gneE11,gneJ10,gneJ14,0.449349301643828,-2.91218341779792,62.8333333333333,41,2
5168,-gneE11,gneJ10,gneJ14,0.026279452561864,-2.91218341779792,62.8333333333333,39,2
5207,-gneE11,gneJ10,gneJ14,0.064082048945803,-2.91218341779792,62.8333333333333,78,2
5247,-gneE11,gneJ10,gneJ14,0.146863958233174,-2.91218341779792,62.8333333333333,118,2
5285,-gneE11,gneJ10,gneJ14,0.387844460874201,-1.60915311476762,67.7368421052632,156,2
