time,edge,old node,current node,probability (value_exp),denominator,expect,true,no.of neighbours
10319,-gneE1,gneJ3,gneJ2,0.5,3.29744254140026,10319,10319,2
10360,-gneE1,gneJ3,gneJ2,0.5,3.29744254140026,10319,41,2
10400,-gneE1,gneJ3,gneJ2,0.272015030660165,2.26477377986973,5200,81,2
10441,-gneE1,gneJ3,gneJ2,0.270786818212603,2.27504615341328,5200,41,2
116,-gneE10,gneJ14,gneJ7,0.5,3.29744254140026,0,116,2
275,-gneE10,gneJ14,gneJ7,0.610872305668823,2.69896221419794,0,275,2
314,-gneE10,gneJ14,gneJ7,0.610872305668823,2.69896221419794,11,11,2
353,-gneE10,gneJ14,gneJ7,0.410240054188969,4.0189183232232,11,8,2
556,-gneE10,gneJ14,gneJ7,0.423183412659506,3.89599691618039,11,41,2
598,-gneE10,gneJ14,gneJ7,0.458207289710759,3.59819956539948,11,83,2
759,-gneE10,gneJ14,gneJ7,0.56303552727512,4.46141143361734,19,27,2
799,-gneE10,gneJ14,gneJ7,0.396176809279266,6.34043457386553,19,23,2
1523,-gneE10,gneJ14,gneJ7,0.807423719067741,19.8804412278284,261.666666666667,747,2
1565,-gneE10,gneJ14,gneJ7,0.653961884290359,11.0638142480235,206.75,42,2
1764,-gneE10,gneJ14,gneJ7,0.740295190559122,9.77355101768443,206.75,37,2
2314,-gneE10,gneJ14,gneJ7,0.893135366351902,23.7519010542512,282.8,587,2
2354,-gneE10,gneJ14,gneJ7,0.783848655036425,11.7428749057109,242.333333333333,40,2
2396,-gneE10,gneJ14,gneJ7,0.618871528480619,6.6597968776504,213.714285714286,42,2
2438,-gneE10,gneJ14,gneJ7,0.426346473003267,4.42468857098633,192.25,42,2
2477,-gneE10,gneJ14,gneJ7,0.462007225443136,4.0831620426899,192.25,39,2
2802,-gneE10,gneJ14,gneJ7,0.638793835236435,6.08160073278349,211.333333333333,364,2
3040,-gneE10,gneJ14,gneJ7,0.710195985510576,5.47016476540422,211.333333333333,39,2
3080,-gneE10,gneJ14,gneJ7,0.780703316566116,4.97614007016003,211.333333333333,79,2
3121,-gneE10,gneJ14,gneJ7,0.84809916593197,4.58070142328509,211.333333333333,120,2
